5240 77201
0 225 1
1 225 1
2 225 1
3 225 1
4 225 1
5 226 1
6 226 1
7 226 1
8 226 1
9 226 1
10 226 1
11 226 1
3 227 1
2 228 1
12 229 1
13 229 1
14 229 1
10 229 1
8 230 1
15 230 1
16 231 1
0 231 1
17 231 1
1 231 1
18 231 1
19 231 1
20 231 1
8 231 1
21 231 1
22 231 1
23 231 1
24 231 1
25 231 1
26 231 1
4 231 1
27 231 1
28 231 1
10 231 1
29 231 1
30 231 1
31 231 1
32 231 1
33 231 1
34 231 1
35 231 1
36 231 1
37 231 1
38 231 1
3 231 1
39 231 1
40 231 1
41 231 1
42 231 1
43 232 1
32 232 1
44 233 1
1 234 1
45 234 1
22 234 1
25 234 1
4 234 1
27 234 1
46 234 1
34 234 1
47 234 1
48 234 1
38 234 1
3 234 1
49 234 1
41 234 1
50 234 1
42 234 1
51 235 1
52 235 1
51 236 1
6 236 1
53 236 1
54 236 1
43 236 1
2 236 1
55 237 1
56 237 1
57 237 1
58 238 1
59 238 1
60 238 1
61 238 1
0 238 1
62 238 1
6 238 1
63 238 1
64 238 1
19 238 1
12 238 1
13 238 1
8 238 1
65 238 1
66 238 1
21 238 1
67 238 1
68 238 1
69 238 1
70 238 1
71 238 1
22 238 1
52 238 1
24 238 1
72 238 1
73 238 1
74 238 1
28 238 1
10 238 1
75 238 1
29 238 1
76 238 1
30 238 1
77 238 1
31 238 1
78 238 1
46 238 1
79 238 1
44 238 1
80 238 1
81 238 1
82 238 1
83 238 1
34 238 1
84 238 1
47 238 1
9 238 1
35 238 1
85 238 1
86 238 1
87 238 1
88 238 1
36 238 1
89 238 1
90 238 1
91 238 1
92 238 1
93 238 1
48 238 1
37 238 1
94 238 1
3 238 1
14 238 1
95 238 1
49 238 1
96 238 1
41 238 1
97 238 1
50 238 1
98 238 1
99 238 1
100 238 1
101 238 1
102 238 1
42 238 1
55 239 1
1 239 1
103 239 1
19 239 1
12 239 1
13 239 1
104 239 1
105 239 1
24 239 1
106 239 1
107 239 1
108 239 1
11 239 1
30 239 1
36 239 1
109 239 1
110 239 1
37 239 1
111 239 1
112 239 1
49 239 1
41 239 1
101 239 1
61 240 1
6 240 1
113 240 1
13 240 1
21 240 1
22 240 1
25 240 1
106 240 1
26 240 1
74 240 1
4 240 1
114 240 1
27 240 1
29 240 1
77 240 1
7 240 1
85 240 1
36 240 1
92 240 1
93 240 1
37 240 1
14 240 1
40 240 1
96 240 1
61 241 1
45 241 1
26 241 1
27 241 1
55 242 1
12 242 1
30 242 1
47 242 1
0 243 1
6 243 1
20 243 1
8 243 1
115 243 1
116 243 1
52 243 1
117 243 1
107 243 1
118 243 1
108 243 1
119 243 1
2 243 1
7 243 1
120 243 1
121 243 1
84 243 1
122 243 1
15 243 1
36 243 1
89 243 1
109 243 1
110 243 1
111 243 1
40 243 1
99 243 1
42 243 1
58 244 1
59 244 1
16 244 1
62 244 1
6 244 1
1 244 1
123 244 1
45 244 1
124 244 1
56 244 1
19 244 1
12 244 1
20 244 1
57 244 1
125 244 1
54 244 1
126 244 1
105 244 1
71 244 1
22 244 1
23 244 1
127 244 1
107 244 1
72 244 1
128 244 1
74 244 1
4 244 1
27 244 1
28 244 1
129 244 1
11 244 1
75 244 1
29 244 1
76 244 1
77 244 1
43 244 1
130 244 1
31 244 1
78 244 1
32 244 1
46 244 1
2 244 1
82 244 1
34 244 1
84 244 1
9 244 1
35 244 1
85 244 1
36 244 1
89 244 1
90 244 1
92 244 1
93 244 1
48 244 1
37 244 1
38 244 1
111 244 1
3 244 1
14 244 1
39 244 1
95 244 1
40 244 1
131 244 1
41 244 1
132 244 1
99 244 1
102 244 1
51 245 1
22 245 1
130 245 1
31 245 1
3 245 1
17 246 1
6 246 1
103 246 1
8 246 1
22 246 1
25 246 1
107 246 1
73 246 1
26 246 1
4 246 1
114 246 1
27 246 1
108 246 1
43 246 1
32 246 1
80 246 1
34 246 1
47 246 1
122 246 1
109 246 1
40 246 1
133 247 1
55 247 1
53 247 1
64 247 1
117 247 1
107 247 1
74 247 1
77 247 1
43 247 1
31 247 1
32 247 1
80 247 1
48 247 1
49 247 1
33 248 1
99 249 1
65 250 1
66 250 1
21 250 1
34 250 1
134 250 1
36 250 1
89 250 1
92 250 1
31 251 1
34 251 1
90 251 1
5 252 1
58 252 1
59 252 1
0 252 1
65 252 1
66 252 1
21 252 1
68 252 1
71 252 1
4 252 1
28 252 1
78 252 1
79 252 1
82 252 1
35 252 1
87 252 1
88 252 1
3 252 1
96 252 1
135 252 1
102 252 1
52 253 1
49 253 1
75 254 1
43 254 1
16 255 1
61 255 1
17 255 1
6 255 1
12 255 1
57 255 1
136 255 1
21 255 1
22 255 1
116 255 1
25 255 1
107 255 1
128 255 1
74 255 1
4 255 1
108 255 1
43 255 1
137 255 1
31 255 1
78 255 1
80 255 1
82 255 1
47 255 1
88 255 1
89 255 1
92 255 1
138 255 1
