5985 93357
0 408 1
1 409 1
2 409 1
3 409 1
4 409 1
5 409 1
6 409 1
7 409 1
8 409 1
9 409 1
10 409 1
11 410 1
12 410 1
13 411 1
14 411 1
15 411 1
16 411 1
17 411 1
18 411 1
19 411 1
20 411 1
21 411 1
22 411 1
23 411 1
24 411 1
25 411 1
26 411 1
27 411 1
28 411 1
29 411 1
30 412 1
31 413 1
13 414 1
32 414 1
33 414 1
34 414 1
9 414 1
35 414 1
5 414 1
26 414 1
36 414 1
28 414 1
37 414 1
38 414 1
31 415 1
18 415 1
39 415 1
0 415 1
19 415 1
40 415 1
26 415 1
41 415 1
42 416 1
43 416 1
0 416 1
19 416 1
44 416 1
4 416 1
45 416 1
46 416 1
47 416 1
22 417 1
21 417 1
46 417 1
48 417 1
49 418 1
12 418 1
44 419 1
3 420 1
50 420 1
51 420 1
52 420 1
53 420 1
34 420 1
39 420 1
54 420 1
55 420 1
56 420 1
57 420 1
58 420 1
59 420 1
60 420 1
61 420 1
25 420 1
44 420 1
37 420 1
62 420 1
63 420 1
64 420 1
65 420 1
11 420 1
66 420 1
67 420 1
68 420 1
69 420 1
70 420 1
71 420 1
72 420 1
43 421 1
73 421 1
74 421 1
75 421 1
76 422 1
77 422 1
78 422 1
79 422 1
9 422 1
80 422 1
39 422 1
35 422 1
19 422 1
81 422 1
82 422 1
41 422 1
15 422 1
83 422 1
84 422 1
85 422 1
86 422 1
45 422 1
87 422 1
88 422 1
89 422 1
36 422 1
69 422 1
7 422 1
28 422 1
90 422 1
91 422 1
14 423 1
9 423 1
92 423 1
35 423 1
57 423 1
93 423 1
44 423 1
94 423 1
62 423 1
29 423 1
13 423 1
95 423 1
4 423 1
96 423 1
5 423 1
70 423 1
71 423 1
8 423 1
97 423 1
91 423 1
78 424 1
51 424 1
73 424 1
53 424 1
57 424 1
1 424 1
98 424 1
99 424 1
65 424 1
88 424 1
100 424 1
67 424 1
89 424 1
36 424 1
27 424 1
101 424 1
78 425 1
35 426 1
102 427 1
103 427 1
2 427 1
104 427 1
33 427 1
34 427 1
9 427 1
19 427 1
105 427 1
106 427 1
58 427 1
1 427 1
59 427 1
107 427 1
108 427 1
25 427 1
26 427 1
109 427 1
44 427 1
38 427 1
110 427 1
29 427 1
111 427 1
13 427 1
99 427 1
112 427 1
113 427 1
4 427 1
66 427 1
49 427 1
114 427 1
115 427 1
116 427 1
117 427 1
40 427 1
46 427 1
5 427 1
118 427 1
71 427 1
8 427 1
28 427 1
91 427 1
119 428 1
120 428 1
121 428 1
76 428 1
77 428 1
122 428 1
123 428 1
124 428 1
125 428 1
43 428 1
126 428 1
34 428 1
127 428 1
39 428 1
35 428 1
0 428 1
74 428 1
54 428 1
81 428 1
98 428 1
128 428 1
26 428 1
129 428 1
130 428 1
131 428 1
132 428 1
133 428 1
134 428 1
135 428 1
15 428 1
136 428 1
137 428 1
85 428 1
138 428 1
12 428 1
45 428 1
88 428 1
139 428 1
23 428 1
140 428 1
89 428 1
141 428 1
142 428 1
36 428 1
70 428 1
71 428 1
143 428 1
91 428 1
144 428 1
50 429 1
42 429 1
19 429 1
61 429 1
117 429 1
145 430 1
146 430 1
34 430 1
79 430 1
56 430 1
30 430 1
107 430 1
60 430 1
147 430 1
26 430 1
148 430 1
94 430 1
149 430 1
150 430 1
151 430 1
152 430 1
153 430 1
154 430 1
67 430 1
21 430 1
155 430 1
156 430 1
5 430 1
118 430 1
69 430 1
8 430 1
72 430 1
119 431 1
125 431 1
157 431 1
158 431 1
120 432 1
159 432 1
160 432 1
161 432 1
158 432 1
7 432 1
159 433 1
162 433 1
9 433 1
163 433 1
29 433 1
13 433 1
164 433 1
89 433 1
165 433 1
166 434 1
43 434 1
167 434 1
120 435 1
14 435 1
51 435 1
6 435 1
39 435 1
0 435 1
82 435 1
120 436 1
159 436 1
76 436 1
77 436 1
122 436 1
6 436 1
168 436 1
125 436 1
43 436 1
33 436 1
39 436 1
92 436 1
105 436 1
81 436 1
57 436 1
1 436 1
163 436 1
98 436 1
169 436 1
24 436 1
26 436 1
129 436 1
131 436 1
170 436 1
132 436 1
171 436 1
157 436 1
63 436 1
172 436 1
173 436 1
158 436 1
174 436 1
15 436 1
175 436 1
11 436 1
83 436 1
85 436 1
176 436 1
12 436 1
45 436 1
100 436 1
177 436 1
142 436 1
178 436 1
7 436 1
71 436 1
72 436 1
144 436 1
179 436 1
9 437 1
0 437 1
98 437 1
29 437 1
167 437 1
151 437 1
49 437 1
100 437 1
46 437 1
5 437 1
180 438 1
43 438 1
57 438 1
130 438 1
157 438 1
152 438 1
181 438 1
120 439 1
78 439 1
122 439 1
42 439 1
17 439 1
180 439 1
73 439 1
34 439 1
80 439 1
127 439 1
35 439 1
74 439 1
182 439 1
82 439 1
30 439 1
26 439 1
132 439 1
183 439 1
62 439 1
184 439 1
185 439 1
15 439 1
4 439 1
186 439 1
66 439 1
187 439 1
85 439 1
12 439 1
89 439 1
141 439 1
142 439 1
47 439 1
188 439 1
70 439 1
71 439 1
72 439 1
189 439 1
144 439 1
49 440 1
190 440 1
46 440 1
191 440 1
192 440 1
52 441 1
61 441 1
25 441 1
44 441 1
124 442 1
34 442 1
57 442 1
84 442 1
12 442 1
53 443 1
99 443 1
67 443 1
193 443 1
194 444 1
42 444 1
79 444 1
19 444 1
54 444 1
182 444 1
107 444 1
195 444 1
29 444 1
13 444 1
113 444 1
66 444 1
85 444 1
196 444 1
197 444 1
45 444 1
198 444 1
89 444 1
141 444 1
199 444 1
97 444 1
143 444 1
165 444 1
51 445 1
159 446 1
103 446 1
50 446 1
35 446 1
0 446 1
129 446 1
200 446 1
46 446 1
201 446 1
165 446 1
202 446 1
43 447 1
203 447 1
129 447 1
130 447 1
94 447 1
161 447 1
167 447 1
5 447 1
204 447 1
98 448 1
99 448 1
200 448 1
100 448 1
67 448 1
205 448 1
201 448 1
101 448 1
3 449 1
50 449 1
35 449 1
54 449 1
56 449 1
60 449 1
206 449 1
207 449 1
110 449 1
185 449 1
112 449 1
186 449 1
49 449 1
85 449 1
196 449 1
32 449 1
67 449 1
208 449 1
2 449 1
42 449 1
146 449 1
34 449 1
79 449 1
209 449 1
1 449 1
107 449 1
24 449 1
210 449 1
63 449 1
149 449 1
211 449 1
212 449 1
213 449 1
197 449 1
117 449 1
46 449 1
141 449 1
125 450 1
35 450 1
175 450 1
28 450 1
13 450 1
213 450 1
214 450 1
8 450 1
165 450 1
78 451 1
98 451 1
99 451 1
27 451 1
215 451 1
78 452 1
27 452 1
216 452 1
41 452 1
3 453 1
127 453 1
25 453 1
195 453 1
44 453 1
211 453 1
29 453 1
13 453 1
4 453 1
114 453 1
213 453 1
188 453 1
119 454 1
120 454 1
78 454 1
39 454 1
35 454 1
0 454 1
217 454 1
218 454 1
60 454 1
129 454 1
219 454 1
170 454 1
109 454 1
133 454 1
171 454 1
157 454 1
207 454 1
172 454 1
184 454 1
150 454 1
15 454 1
83 454 1
66 454 1
220 454 1
49 454 1
190 454 1
187 454 1
153 454 1
221 454 1
85 454 1
196 454 1
96 454 1
222 454 1
21 454 1
223 454 1
5 454 1
193 454 1
68 454 1
70 454 1
28 454 1
199 454 1
97 454 1
204 454 1
91 454 1
103 454 1
224 454 1
2 454 1
122 454 1
42 454 1
225 454 1
126 454 1
33 454 1
79 454 1
80 454 1
74 454 1
19 454 1
209 454 1
182 454 1
81 454 1
82 454 1
30 454 1
226 454 1
227 454 1
228 454 1
24 454 1
229 454 1
26 454 1
230 454 1
231 454 1
232 454 1
233 454 1
135 454 1
29 454 1
212 454 1
234 454 1
64 454 1
65 454 1
113 454 1
235 454 1
236 454 1
114 454 1
237 454 1
115 454 1
138 454 1
117 454 1
88 454 1
139 454 1
23 454 1
238 454 1
155 454 1
140 454 1
46 454 1
118 454 1
239 454 1
188 454 1
240 454 1
143 454 1
72 454 1
241 454 1
165 454 1
144 454 1
43 455 1
105 456 1
91 457 1
126 457 1
34 457 1
16 457 1
69 457 1
120 458 1
242 458 1
35 458 1
98 458 1
200 458 1
18 458 1
41 458 1
120 459 1
194 459 1
180 459 1
125 459 1
35 459 1
54 459 1
10 459 1
243 459 1
219 459 1
131 459 1
109 459 1
244 459 1
184 459 1
85 459 1
196 459 1
89 459 1
199 459 1
97 459 1
42 459 1
79 459 1
9 459 1
19 459 1
182 459 1
107 459 1
24 459 1
44 459 1
29 459 1
13 459 1
113 459 1
237 459 1
115 459 1
245 459 1
246 459 1
197 459 1
12 459 1
117 459 1
40 459 1
118 459 1
188 459 1
8 459 1
144 459 1
120 460 1
125 460 1
43 460 1
161 460 1
158 460 1
181 460 1
7 460 1
139 460 1
56 461 1
129 461 1
207 461 1
103 461 1
80 461 1
24 461 1
63 461 1
149 461 1
72 461 1
110 462 1
247 462 1
248 462 1
101 462 1
40 462 1
120 463 1
168 463 1
125 463 1
43 463 1
249 463 1
250 463 1
39 463 1
92 463 1
160 463 1
251 463 1
171 463 1
157 463 1
161 463 1
252 463 1
253 463 1
158 463 1
174 463 1
190 463 1
32 463 1
181 463 1
222 463 1
89 463 1
7 463 1
204 463 1
254 463 1
121 463 1
255 463 1
256 463 1
33 463 1
79 463 1
80 463 1
257 463 1
55 463 1
182 463 1
30 463 1
107 463 1
258 463 1
26 463 1
231 463 1
94 463 1
183 463 1
134 463 1
149 463 1
13 463 1
259 463 1
138 463 1
45 463 1
260 463 1
139 463 1
142 463 1
178 463 1
72 463 1
90 463 1
261 463 1
52 464 1
262 464 1
100 464 1
36 464 1
27 464 1
101 464 1
51 464 1
73 464 1
74 464 1
22 464 1
263 464 1
44 464 1
210 464 1
37 464 1
65 464 1
52 465 1
100 465 1
101 465 1
103 465 1
52 466 1
39 466 1
60 466 1
195 466 1
27 466 1
264 466 1
78 467 1
98 468 1
7 468 1
78 469 1
0 469 1
15 470 1
6 470 1
34 470 1
101 471 1
44 471 1
37 471 1
52 472 1
42 472 1
50 473 1
127 473 1
78 474 1
3 474 1
206 474 1
265 474 1
25 474 1
109 474 1
38 474 1
133 474 1
110 474 1
185 474 1
31 474 1
11 474 1
66 474 1
49 474 1
153 474 1
27 474 1
28 474 1
199 474 1
97 474 1
266 474 1
42 474 1
225 474 1
19 474 1
267 474 1
182 474 1
107 474 1
268 474 1
44 474 1
41 474 1
29 474 1
113 474 1
237 474 1
197 474 1
117 474 1
269 474 1
8 474 1
125 475 1
129 475 1
91 475 1
80 475 1
0 476 1
42 476 1
113 476 1
120 477 1
270 477 1
0 477 1
248 477 1
91 477 1
18 477 1
52 478 1
51 478 1
40 478 1
0 479 1
3 480 1
129 480 1
27 480 1
80 480 1
24 480 1
149 480 1
21 481 1
271 482 1
125 482 1
35 482 1
