4650 32689
0 119 1
1 119 1
2 119 1
3 119 1
4 119 1
5 119 1
6 119 1
7 120 1
8 120 1
6 120 1
9 120 1
10 121 1
11 122 1
6 122 1
12 122 1
13 122 1
14 122 1
10 122 1
9 123 1
15 123 1
7 124 1
16 124 1
4 124 1
5 124 1
17 124 1
18 124 1
2 124 1
19 124 1
20 124 1
21 124 1
15 124 1
22 125 1
15 126 1
23 127 1
20 127 1
15 127 1
24 128 1
13 129 1
10 129 1
25 129 1
6 129 1
21 129 1
10 130 1
4 131 1
18 131 1
26 131 1
4 132 1
10 132 1
27 132 1
28 132 1
29 132 1
30 132 1
23 133 1
18 133 1
31 134 1
4 135 1
13 135 1
32 135 1
30 135 1
33 135 1
34 136 1
13 136 1
35 136 1
20 136 1
24 137 1
10 137 1
36 138 1
37 138 1
38 138 1
32 138 1
33 138 1
39 139 1
13 139 1
40 139 1
29 139 1
30 139 1
21 139 1
9 139 1
22 139 1
7 140 1
23 140 1
20 140 1
1 140 1
10 141 1
41 141 1
42 142 1
23 142 1
18 142 1
43 142 1
3 142 1
20 142 1
44 142 1
45 142 1
46 143 1
45 143 1
7 144 1
10 144 1
7 145 1
47 145 1
24 145 1
48 145 1
18 145 1
49 145 1
50 145 1
43 145 1
51 145 1
44 145 1
45 145 1
47 146 1
52 146 1
4 146 1
48 146 1
53 146 1
1 146 1
54 146 1
0 147 1
7 147 1
4 147 1
39 147 1
13 147 1
48 147 1
37 147 1
18 147 1
2 147 1
49 147 1
55 147 1
27 147 1
19 147 1
56 147 1
30 147 1
54 147 1
21 147 1
45 147 1
9 147 1
57 147 1
58 147 1
15 147 1
47 148 1
34 149 1
23 149 1
39 149 1
59 149 1
13 149 1
48 149 1
17 149 1
18 149 1
38 149 1
60 149 1
55 149 1
61 149 1
50 149 1
62 149 1
28 149 1
43 149 1
19 149 1
63 149 1
26 149 1
51 149 1
20 149 1
44 149 1
64 149 1
30 149 1
65 149 1
45 149 1
66 149 1
57 149 1
5 150 1
59 151 1
18 151 1
11 152 1
10 153 1
67 153 1
51 153 1
0 154 1
7 154 1
16 154 1
47 154 1
4 154 1
23 154 1
5 154 1
29 154 1
43 154 1
67 154 1
56 154 1
25 154 1
6 154 1
12 154 1
68 154 1
11 154 1
13 154 1
37 154 1
17 154 1
55 154 1
61 154 1
50 154 1
69 154 1
70 154 1
10 154 1
3 154 1
71 154 1
20 154 1
32 154 1
44 154 1
30 154 1
9 154 1
15 154 1
4 155 1
20 155 1
10 156 1
4 157 1
15 157 1
72 158 1
4 158 1
48 158 1
49 158 1
35 158 1
31 158 1
28 158 1
25 158 1
57 158 1
73 158 1
37 158 1
18 158 1
55 158 1
27 158 1
3 158 1
32 158 1
9 158 1
22 158 1
74 159 1
47 160 1
4 160 1
6 160 1
11 160 1
13 160 1
9 160 1
9 161 1
7 162 1
4 162 1
40 162 1
28 162 1
21 162 1
11 162 1
18 162 1
27 162 1
3 162 1
20 162 1
44 162 1
32 162 1
1 162 1
9 162 1
41 162 1
7 163 1
47 163 1
5 163 1
48 163 1
75 163 1
53 163 1
65 163 1
76 163 1
77 163 1
27 163 1
8 163 1
78 163 1
79 163 1
80 163 1
51 163 1
20 163 1
1 163 1
41 163 1
15 163 1
38 164 1
19 164 1
16 165 1
4 165 1
23 165 1
24 165 1
5 165 1
49 165 1
81 165 1
12 165 1
53 165 1
76 165 1
69 165 1
82 165 1
14 165 1
54 165 1
6 166 1
7 167 1
40 167 1
19 167 1
21 167 1
55 167 1
48 168 1
7 169 1
4 169 1
24 169 1
5 169 1
48 169 1
2 169 1
83 169 1
69 169 1
16 170 1
47 171 1
13 171 1
9 171 1
15 171 1
31 172 1
7 173 1
40 174 1
35 174 1
28 174 1
32 174 1
30 174 1
84 174 1
85 174 1
37 175 1
9 176 1
15 176 1
31 177 1
76 178 1
4 179 1
6 179 1
86 180 1
24 180 1
49 180 1
79 180 1
80 180 1
45 180 1
41 180 1
15 180 1
47 181 1
13 181 1
4 182 1
43 182 1
7 183 1
49 183 1
0 184 1
7 184 1
6 184 1
21 184 1
22 184 1
15 184 1
2 185 1
4 186 1
38 186 1
40 186 1
37 186 1
51 186 1
14 186 1
35 187 1
29 187 1
21 187 1
87 187 1
55 187 1
61 187 1
88 187 1
44 187 1
30 187 1
15 187 1
21 188 1
9 188 1
15 188 1
4 189 1
13 189 1
7 190 1
16 190 1
2 190 1
89 190 1
46 190 1
57 190 1
90 190 1
83 190 1
76 190 1
69 190 1
82 190 1
54 190 1
7 191 1
23 192 1
4 193 1
6 193 1
21 193 1
39 193 1
28 194 1
29 194 1
30 194 1
7 195 1
4 195 1
56 195 1
31 196 1
4 197 1
3 197 1
44 197 1
45 197 1
47 198 1
7 199 1
48 199 1
91 199 1
83 199 1
76 199 1
79 199 1
20 199 1
15 199 1
7 200 1
10 200 1
37 201 1
54 201 1
11 202 1
36 203 1
40 204 1
35 204 1
56 204 1
6 204 1
87 204 1
39 204 1
37 204 1
18 204 1
50 204 1
88 204 1
27 204 1
32 204 1
1 204 1
41 204 1
15 204 1
47 205 1
23 205 1
2 205 1
43 205 1
56 205 1
66 205 1
87 205 1
3 205 1
20 205 1
44 205 1
1 205 1
45 205 1
41 205 1
37 206 1
30 207 1
7 208 1
28 208 1
0 209 1
7 209 1
34 209 1
4 209 1
24 209 1
5 209 1
49 209 1
35 209 1
28 209 1
56 209 1
12 209 1
64 209 1
57 209 1
87 209 1
39 209 1
18 209 1
55 209 1
69 209 1
27 209 1
82 209 1
20 209 1
44 209 1
9 209 1
92 209 1
7 210 1
4 210 1
6 210 1
10 210 1
3 210 1
44 210 1
45 210 1
47 211 1
4 211 1
6 211 1
21 211 1
68 211 1
11 211 1
10 211 1
8 211 1
9 211 1
7 212 1
93 212 1
7 213 1
4 213 1
43 213 1
66 213 1
87 213 1
42 213 1
59 213 1
18 213 1
10 213 1
3 213 1
44 213 1
15 213 1
7 214 1
47 214 1
5 214 1
94 214 1
27 214 1
8 214 1
20 214 1
95 214 1
32 214 1
1 214 1
9 214 1
41 214 1
47 215 1
4 215 1
25 215 1
96 215 1
10 215 1
4 216 1
35 216 1
21 216 1
5 217 1
97 217 1
40 217 1
31 217 1
76 217 1
27 217 1
54 217 1
9 217 1
47 218 1
4 218 1
31 218 1
25 218 1
6 218 1
21 218 1
37 218 1
10 218 1
9 218 1
12 219 1
16 220 1
40 220 1
39 220 1
76 220 1
44 220 1
41 220 1
92 220 1
34 221 1
46 221 1
7 222 1
10 222 1
9 223 1
4 224 1
6 224 1
16 225 1
34 225 1
48 225 1
40 225 1
49 225 1
26 225 1
57 225 1
73 225 1
83 225 1
76 225 1
51 225 1
54 225 1
98 226 1
56 226 1
6 226 1
12 226 1
39 226 1
13 226 1
10 226 1
71 226 1
30 226 1
9 226 1
15 226 1
0 227 1
7 227 1
47 227 1
4 227 1
5 227 1
38 227 1
2 227 1
49 227 1
99 227 1
35 227 1
28 227 1
29 227 1
43 227 1
56 227 1
6 227 1
21 227 1
57 227 1
87 227 1
11 227 1
39 227 1
59 227 1
13 227 1
17 227 1
18 227 1
60 227 1
55 227 1
61 227 1
77 227 1
69 227 1
27 227 1
3 227 1
100 227 1
51 227 1
44 227 1
45 227 1
9 227 1
92 227 1
84 227 1
85 227 1
15 227 1
0 228 1
7 228 1
16 228 1
47 228 1
4 228 1
24 228 1
5 228 1
48 228 1
97 228 1
49 228 1
101 228 1
31 228 1
56 228 1
6 228 1
12 228 1
21 228 1
36 228 1
13 228 1
17 228 1
79 228 1
20 228 1
54 228 1
9 228 1
58 228 1
15 228 1
47 229 1
24 229 1
48 229 1
49 229 1
10 229 1
27 229 1
9 229 1
47 230 1
21 230 1
11 230 1
36 230 1
10 230 1
45 230 1
15 230 1
7 231 1
5 232 1
80 232 1
7 233 1
47 233 1
5 233 1
11 233 1
77 233 1
69 233 1
10 233 1
7 234 1
16 234 1
4 234 1
23 234 1
24 234 1
5 234 1
2 234 1
49 234 1
43 234 1
6 234 1
57 234 1
73 234 1
11 234 1
59 234 1
13 234 1
69 234 1
3 234 1
79 234 1
20 234 1
44 234 1
1 234 1
54 234 1
9 234 1
15 234 1
23 235 1
20 235 1
47 236 1
34 236 1
4 236 1
23 236 1
24 236 1
5 236 1
2 236 1
68 236 1
83 236 1
27 236 1
82 236 1
20 236 1
95 236 1
1 236 1
45 236 1
9 236 1
58 236 1
15 236 1
47 237 1
38 237 1
35 237 1
31 237 1
28 237 1
29 237 1
56 237 1
6 237 1
21 237 1
