2361 8960
0 54 1
1 55 1
2 56 1
3 57 1
4 58 1
5 58 1
6 58 1
7 58 1
8 58 1
9 59 1
10 60 1
11 61 1
1 62 1
10 62 1
2 62 1
12 63 1
12 64 1
13 64 1
14 64 1
15 64 1
0 65 1
2 66 1
16 67 1
9 68 1
10 68 1
17 68 1
16 68 1
2 68 1
18 68 1
7 68 1
5 69 1
19 69 1
20 69 1
9 69 1
21 69 1
0 69 1
4 69 1
17 69 1
16 69 1
2 69 1
18 69 1
9 70 1
2 70 1
11 70 1
12 71 1
22 72 1
23 73 1
9 73 1
1 73 1
24 73 1
25 73 1
12 73 1
8 73 1
17 73 1
6 73 1
2 73 1
18 73 1
26 73 1
11 73 1
1 74 1
25 74 1
0 75 1
14 75 1
22 76 1
20 77 1
9 77 1
20 78 1
9 78 1
4 78 1
5 78 1
19 78 1
27 78 1
21 79 1
0 80 1
21 80 1
27 80 1
28 81 1
17 81 1
6 82 1
11 82 1
12 83 1
12 84 1
11 85 1
20 86 1
9 86 1
28 86 1
19 86 1
2 87 1
9 88 1
28 88 1
19 88 1
21 88 1
22 89 1
22 90 1
1 90 1
24 90 1
25 90 1
5 90 1
29 90 1
2 90 1
11 90 1
30 91 1
20 91 1
23 91 1
9 91 1
1 91 1
24 91 1
4 91 1
28 91 1
25 91 1
5 91 1
12 91 1
21 91 1
13 91 1
10 91 1
6 91 1
31 91 1
11 91 1
2 92 1
32 93 1
12 94 1
2 95 1
15 95 1
3 96 1
25 97 1
6 98 1
11 98 1
12 99 1
6 99 1
11 99 1
11 100 1
20 101 1
9 101 1
20 102 1
9 102 1
25 102 1
33 102 1
14 102 1
6 102 1
14 103 1
22 104 1
0 104 1
10 104 1
20 105 1
22 105 1
9 105 1
24 105 1
11 105 1
1 106 1
12 106 1
11 106 1
9 107 1
9 108 1
20 109 1
23 109 1
9 109 1
19 109 1
34 109 1
14 109 1
11 109 1
9 110 1
20 111 1
23 111 1
9 111 1
0 111 1
5 111 1
19 111 1
21 111 1
27 111 1
18 111 1
7 111 1
2 112 1
22 113 1
21 113 1
10 113 1
2 113 1
18 113 1
8 114 1
14 114 1
1 115 1
28 116 1
12 117 1
12 118 1
7 118 1
1 119 1
5 120 1
25 121 1
12 121 1
2 121 1
18 121 1
11 121 1
0 122 1
31 122 1
22 123 1
8 123 1
6 123 1
25 124 1
12 124 1
1 125 1
25 125 1
12 125 1
14 125 1
2 125 1
15 125 1
9 126 1
1 126 1
24 126 1
25 126 1
5 126 1
12 126 1
8 126 1
14 126 1
6 126 1
26 126 1
11 126 1
0 127 1
28 127 1
5 127 1
25 128 1
10 129 1
17 129 1
7 129 1
1 130 1
15 131 1
20 132 1
22 132 1
23 132 1
4 132 1
28 132 1
35 132 1
10 132 1
14 132 1
17 132 1
2 132 1
18 132 1
7 132 1
26 132 1
11 132 1
11 133 1
3 133 1
11 134 1
3 135 1
22 136 1
9 137 1
2 137 1
18 137 1
11 138 1
21 139 1
20 140 1
22 140 1
23 140 1
9 140 1
1 140 1
24 140 1
35 140 1
25 140 1
5 140 1
19 140 1
12 140 1
36 140 1
10 140 1
14 140 1
17 140 1
16 140 1
6 140 1
2 140 1
18 140 1
7 140 1
11 140 1
20 141 1
1 142 1
37 142 1
6 142 1
11 142 1
6 143 1
1 144 1
24 144 1
4 144 1
5 144 1
12 144 1
10 144 1
17 144 1
6 144 1
2 144 1
18 144 1
23 145 1
9 145 1
25 145 1
20 146 1
22 146 1
8 146 1
10 146 1
14 146 1
17 146 1
7 146 1
14 147 1
2 148 1
12 149 1
11 149 1
20 150 1
19 150 1
11 150 1
20 151 1
22 152 1
8 153 1
6 153 1
11 153 1
0 154 1
2 154 1
3 155 1
8 156 1
1 157 1
19 157 1
11 157 1
9 158 1
25 158 1
14 158 1
6 158 1
11 158 1
9 159 1
25 159 1
11 159 1
28 160 1
21 160 1
18 160 1
12 161 1
14 161 1
11 161 1
2 162 1
20 163 1
22 163 1
9 163 1
19 163 1
19 164 1
20 165 1
22 165 1
4 165 1
10 165 1
22 166 1
21 166 1
10 166 1
23 167 1
0 167 1
28 167 1
21 167 1
12 168 1
14 169 1
23 170 1
5 170 1
19 170 1
1 171 1
22 172 1
12 173 1
10 173 1
27 173 1
12 174 1
12 175 1
13 175 1
11 175 1
21 176 1
1 177 1
11 177 1
9 178 1
14 178 1
11 179 1
1 180 1
26 180 1
20 181 1
22 181 1
9 181 1
0 181 1
24 181 1
4 181 1
35 181 1
5 181 1
21 181 1
33 181 1
10 181 1
6 181 1
2 181 1
18 181 1
7 181 1
11 181 1
11 182 1
9 183 1
25 183 1
37 183 1
12 183 1
8 183 1
14 183 1
6 183 1
31 183 1
2 183 1
3 183 1
25 184 1
20 185 1
22 185 1
9 185 1
21 185 1
6 186 1
20 187 1
22 187 1
9 187 1
28 187 1
5 187 1
8 187 1
33 187 1
10 187 1
16 187 1
27 187 1
2 187 1
18 187 1
25 188 1
24 189 1
5 189 1
21 189 1
2 189 1
18 189 1
11 189 1
27 190 1
38 191 1
23 191 1
4 191 1
5 191 1
8 191 1
36 191 1
10 191 1
2 191 1
39 191 1
3 192 1
22 193 1
11 194 1
24 195 1
28 195 1
5 195 1
17 195 1
7 195 1
23 196 1
0 196 1
12 196 1
14 196 1
11 196 1
1 197 1
1 198 1
24 199 1
20 200 1
9 200 1
0 200 1
27 200 1
2 200 1
3 200 1
22 201 1
4 201 1
10 201 1
17 201 1
16 201 1
2 201 1
7 201 1
9 202 1
24 202 1
12 202 1
17 202 1
19 203 1
2 203 1
20 204 1
26 204 1
17 205 1
2 205 1
11 205 1
23 206 1
9 206 1
24 206 1
21 206 1
10 206 1
14 206 1
7 206 1
20 206 1
1 206 1
5 206 1
19 206 1
12 206 1
16 206 1
27 206 1
2 206 1
26 206 1
11 206 1
1 207 1
23 208 1
24 208 1
10 208 1
18 208 1
20 208 1
22 208 1
5 208 1
17 208 1
27 208 1
11 208 1
25 209 1
14 209 1
12 209 1
6 209 1
9 210 1
22 211 1
5 212 1
19 213 1
9 214 1
21 214 1
20 214 1
14 215 1
31 215 1
18 215 1
12 215 1
6 215 1
11 215 1
7 216 1
1 216 1
3 217 1
22 218 1
24 219 1
35 219 1
10 219 1
14 219 1
29 219 1
22 219 1
17 219 1
27 219 1
30 220 1
23 220 1
9 220 1
24 220 1
4 220 1
28 220 1
35 220 1
25 220 1
37 220 1
21 220 1
36 220 1
13 220 1
10 220 1
14 220 1
29 220 1
31 220 1
18 220 1
39 220 1
20 220 1
22 220 1
1 220 1
40 220 1
32 220 1
5 220 1
19 220 1
41 220 1
12 220 1
33 220 1
17 220 1
16 220 1
6 220 1
27 220 1
2 220 1
11 220 1
8 221 1
0 222 1
19 222 1
1 223 1
3 223 1
8 224 1
10 225 1
14 225 1
12 225 1
8 225 1
6 225 1
25 226 1
1 226 1
5 226 1
12 226 1
2 226 1
7 227 1
22 227 1
33 227 1
38 228 1
9 228 1
24 228 1
25 228 1
13 228 1
10 228 1
14 228 1
31 228 1
18 228 1
7 228 1
20 228 1
22 228 1
1 228 1
5 228 1
19 228 1
12 228 1
8 228 1
17 228 1
16 228 1
6 228 1
27 228 1
2 228 1
26 228 1
11 228 1
14 229 1
26 229 1
23 230 1
15 231 1
9 232 1
17 232 1
2 232 1
0 233 1
5 233 1
5 234 1
14 235 1
8 235 1
9 236 1
24 236 1
21 236 1
18 236 1
39 236 1
20 236 1
5 236 1
17 236 1
16 236 1
2 236 1
8 237 1
2 238 1
23 239 1
0 239 1
25 239 1
37 239 1
13 239 1
14 239 1
15 239 1
12 239 1
2 240 1
15 241 1
11 241 1
18 242 1
2 242 1
14 243 1
1 243 1
11 243 1
3 244 1
25 245 1
1 245 1
12 245 1
42 245 1
2 245 1
24 246 1
21 247 1
21 248 1
12 249 1
24 250 1
25 250 1
37 250 1
13 250 1
14 250 1
18 250 1
7 250 1
15 250 1
1 250 1
5 250 1
12 250 1
17 250 1
16 250 1
6 250 1
2 250 1
11 250 1
9 251 1
0 251 1
22 251 1
8 251 1
33 251 1
26 251 1
29 252 1
24 253 1
25 253 1
14 253 1
20 253 1
22 253 1
12 253 1
11 253 1
28 254 1
25 254 1
10 254 1
14 254 1
31 254 1
22 254 1
4 255 1
8 256 1
19 257 1
17 258 1
2 258 1
25 259 1
1 259 1
12 259 1
12 260 1
31 261 1
2 262 1
0 263 1
21 264 1
25 265 1
1 265 1
11 265 1
9 266 1
20 266 1
22 267 1
1 268 1
11 269 1
5 270 1
20 271 1
0 272 1
3 273 1
24 274 1
18 274 1
20 274 1
5 274 1
8 274 1
17 274 1
16 274 1
2 274 1
9 275 1
0 275 1
4 276 1
20 277 1
24 278 1
10 278 1
31 278 1
1 278 1
19 278 1
8 278 1
11 278 1
38 279 1
43 279 1
4 279 1
35 279 1
25 279 1
36 279 1
10 279 1
29 279 1
18 279 1
7 279 1
39 279 1
20 279 1
22 279 1
12 279 1
8 279 1
33 279 1
17 279 1
16 279 1
27 279 1
2 279 1
26 279 1
11 279 1
10 280 1
14 280 1
7 280 1
12 280 1
17 280 1
2 280 1
25 281 1
15 281 1
14 282 1
9 283 1
4 283 1
10 283 1
14 283 1
18 283 1
22 283 1
5 283 1
12 283 1
17 283 1
16 283 1
2 283 1
9 284 1
24 285 1
4 285 1
25 285 1
10 285 1
14 285 1
31 285 1
18 285 1
7 285 1
15 285 1
22 285 1
5 285 1
12 285 1
17 285 1
16 285 1
6 285 1
27 285 1
2 285 1
11 285 1
25 286 1
1 286 1
0 287 1
0 288 1
0 289 1
8 289 1
14 290 1
11 290 1
