6233 149309
0 542 1
1 542 1
2 543 1
3 543 1
4 543 1
5 543 1
6 543 1
7 543 1
8 543 1
9 543 1
10 543 1
11 543 1
12 543 1
13 543 1
14 543 1
15 543 1
16 543 1
17 543 1
18 543 1
19 543 1
20 543 1
21 543 1
22 543 1
23 543 1
24 543 1
25 544 1
26 544 1
27 544 1
28 544 1
29 544 1
30 544 1
31 544 1
32 544 1
33 544 1
34 544 1
35 544 1
36 544 1
37 545 1
38 545 1
39 545 1
40 546 1
41 546 1
16 546 1
42 546 1
43 546 1
44 546 1
45 546 1
46 546 1
47 546 1
48 546 1
49 546 1
50 546 1
51 546 1
52 546 1
53 546 1
54 546 1
55 547 1
56 547 1
8 547 1
1 547 1
57 547 1
58 547 1
52 547 1
59 548 1
14 548 1
48 548 1
40 549 1
60 549 1
10 549 1
11 549 1
16 549 1
61 549 1
62 549 1
63 549 1
20 549 1
64 549 1
65 549 1
66 549 1
67 549 1
9 549 1
68 549 1
69 549 1
70 549 1
15 549 1
71 549 1
51 549 1
59 550 1
55 550 1
10 550 1
72 550 1
73 551 1
28 551 1
74 551 1
75 551 1
76 551 1
12 551 1
77 551 1
78 551 1
79 551 1
80 551 1
81 551 1
82 551 1
0 551 1
83 551 1
84 551 1
85 551 1
86 551 1
87 551 1
88 551 1
89 551 1
90 551 1
91 551 1
92 551 1
93 551 1
94 551 1
95 551 1
96 551 1
56 551 1
97 551 1
7 551 1
8 551 1
98 551 1
99 551 1
1 551 1
24 551 1
39 551 1
100 551 1
101 551 1
102 551 1
103 551 1
104 551 1
105 551 1
106 551 1
107 551 1
108 551 1
109 551 1
110 551 1
111 551 1
112 551 1
62 552 1
113 552 1
114 552 1
71 553 1
115 553 1
116 553 1
12 554 1
77 554 1
78 554 1
80 554 1
117 554 1
118 554 1
21 554 1
46 554 1
0 554 1
119 554 1
84 554 1
86 554 1
87 554 1
120 554 1
121 554 1
122 554 1
123 554 1
94 554 1
5 554 1
124 554 1
125 554 1
8 554 1
126 554 1
30 554 1
127 554 1
128 554 1
129 554 1
22 554 1
24 554 1
100 554 1
130 554 1
101 554 1
36 554 1
131 554 1
132 554 1
48 554 1
133 554 1
134 554 1
32 554 1
135 554 1
136 554 1
116 554 1
112 554 1
89 555 1
6 556 1
41 556 1
28 556 1
11 556 1
137 556 1
138 556 1
139 556 1
84 556 1
49 556 1
52 556 1
89 556 1
92 556 1
55 556 1
5 556 1
8 556 1
27 556 1
140 556 1
10 556 1
14 556 1
127 556 1
16 556 1
24 556 1
4 556 1
104 556 1
19 556 1
141 557 1
142 557 1
143 557 1
144 557 1
42 557 1
41 558 1
145 558 1
146 558 1
20 558 1
64 558 1
83 558 1
85 558 1
147 558 1
148 558 1
52 558 1
91 558 1
149 558 1
93 558 1
150 558 1
151 558 1
55 558 1
152 558 1
124 558 1
153 558 1
154 558 1
43 558 1
130 558 1
155 558 1
156 558 1
157 558 1
133 558 1
69 558 1
158 558 1
51 558 1
135 558 1
159 558 1
136 558 1
160 558 1
161 558 1
162 558 1
112 558 1
163 559 1
164 559 1
28 559 1
75 559 1
76 559 1
12 559 1
77 559 1
78 559 1
165 559 1
79 559 1
166 559 1
167 559 1
168 559 1
81 559 1
20 559 1
169 559 1
170 559 1
64 559 1
171 559 1
172 559 1
42 559 1
173 559 1
139 559 1
174 559 1
25 559 1
175 559 1
84 559 1
85 559 1
29 559 1
176 559 1
120 559 1
177 559 1
33 559 1
34 559 1
89 559 1
178 559 1
92 559 1
53 559 1
179 559 1
93 559 1
180 559 1
181 559 1
182 559 1
183 559 1
122 559 1
123 559 1
94 559 1
54 559 1
184 559 1
185 559 1
186 559 1
40 559 1
96 559 1
5 559 1
7 559 1
187 559 1
125 559 1
8 559 1
188 559 1
10 559 1
30 559 1
189 559 1
190 559 1
191 559 1
24 559 1
192 559 1
39 559 1
100 559 1
102 559 1
103 559 1
193 559 1
131 559 1
194 559 1
37 559 1
195 559 1
196 559 1
197 559 1
9 559 1
198 559 1
134 559 1
199 559 1
200 559 1
32 559 1
70 559 1
15 559 1
201 559 1
17 559 1
202 559 1
135 559 1
203 559 1
204 559 1
116 559 1
108 559 1
162 559 1
163 560 1
205 560 1
206 560 1
164 560 1
11 560 1
141 560 1
31 560 1
117 560 1
81 560 1
207 560 1
21 560 1
171 560 1
172 560 1
65 560 1
143 560 1
139 560 1
83 560 1
2 560 1
26 560 1
86 560 1
177 560 1
88 560 1
148 560 1
208 560 1
52 560 1
181 560 1
182 560 1
150 560 1
183 560 1
209 560 1
210 560 1
55 560 1
125 560 1
8 560 1
188 560 1
211 560 1
38 560 1
212 560 1
24 560 1
43 560 1
103 560 1
213 560 1
214 560 1
48 560 1
157 560 1
69 560 1
106 560 1
19 560 1
215 560 1
118 561 1
88 561 1
55 561 1
216 562 1
64 562 1
93 562 1
130 562 1
217 562 1
218 563 1
3 563 1
219 563 1
75 563 1
11 563 1
79 563 1
31 563 1
20 563 1
21 563 1
44 563 1
220 563 1
46 563 1
2 563 1
84 563 1
221 563 1
49 563 1
52 563 1
222 563 1
89 563 1
18 563 1
178 563 1
23 563 1
223 563 1
94 563 1
54 563 1
210 563 1
186 563 1
40 563 1
224 563 1
96 563 1
225 563 1
226 563 1
5 563 1
7 563 1
8 563 1
140 563 1
126 563 1
227 563 1
14 563 1
154 563 1
1 563 1
100 563 1
228 563 1
193 563 1
214 563 1
156 563 1
196 563 1
197 563 1
9 563 1
229 563 1
200 563 1
70 563 1
201 563 1
17 563 1
51 563 1
106 563 1
19 563 1
116 563 1
108 563 1
112 563 1
12 564 1
216 564 1
77 564 1
166 564 1
118 564 1
230 564 1
142 564 1
64 564 1
144 564 1
231 564 1
138 564 1
232 564 1
175 564 1
233 564 1
87 564 1
120 564 1
148 564 1
52 564 1
18 564 1
91 564 1
92 564 1
234 564 1
53 564 1
179 564 1
235 564 1
150 564 1
94 564 1
236 564 1
96 564 1
151 564 1
152 564 1
237 564 1
238 564 1
124 564 1
10 564 1
14 564 1
153 564 1
154 564 1
129 564 1
239 564 1
100 564 1
101 564 1
36 564 1
102 564 1
103 564 1
156 564 1
240 564 1
157 564 1
133 564 1
241 564 1
200 564 1
69 564 1
70 564 1
105 564 1
158 564 1
71 564 1
50 564 1
106 564 1
242 564 1
204 564 1
216 565 1
78 565 1
243 565 1
42 565 1
45 565 1
233 565 1
68 565 1
108 565 1
74 566 1
11 566 1
168 566 1
244 566 1
86 566 1
147 566 1
88 566 1
208 566 1
178 566 1
179 566 1
55 566 1
130 566 1
228 566 1
196 566 1
106 566 1
245 567 1
246 567 1
243 567 1
137 567 1
146 567 1
169 567 1
247 567 1
248 567 1
57 567 1
249 567 1
148 567 1
121 567 1
90 567 1
92 567 1
235 567 1
180 567 1
150 567 1
250 567 1
185 567 1
236 567 1
251 567 1
238 567 1
252 567 1
8 567 1
253 567 1
254 567 1
127 567 1
211 567 1
61 567 1
255 567 1
256 567 1
39 567 1
257 567 1
193 567 1
258 567 1
4 567 1
48 567 1
9 567 1
133 567 1
104 567 1
15 567 1
17 567 1
217 567 1
135 567 1
19 567 1
259 567 1
108 567 1
73 568 1
77 568 1
117 568 1
99 568 1
100 568 1
101 568 1
102 568 1
103 568 1
48 568 1
216 569 1
62 569 1
65 569 1
4 569 1
163 570 1
206 570 1
164 570 1
41 570 1
11 570 1
260 570 1
117 570 1
20 570 1
261 570 1
0 570 1
83 570 1
233 570 1
18 570 1
181 570 1
182 570 1
183 570 1
54 570 1
250 570 1
262 570 1
40 570 1
96 570 1
263 570 1
13 570 1
264 570 1
38 570 1
239 570 1
101 570 1
265 570 1
102 570 1
103 570 1
213 570 1
37 570 1
156 570 1
157 570 1
266 570 1
267 570 1
268 570 1
269 570 1
270 570 1
271 570 1
272 570 1
132 571 1
80 572 1
233 572 1
8 572 1
38 572 1
239 572 1
103 572 1
266 572 1
206 573 1
164 573 1
28 573 1
261 573 1
0 573 1
139 573 1
83 573 1
2 573 1
273 573 1
18 573 1
274 573 1
91 573 1
182 573 1
183 573 1
122 573 1
262 573 1
96 573 1
151 573 1
152 573 1
275 573 1
27 573 1
10 573 1
153 573 1
128 573 1
35 573 1
38 573 1
39 573 1
265 573 1
36 573 1
103 573 1
37 573 1
155 573 1
266 573 1
268 573 1
70 573 1
79 574 1
20 574 1
25 574 1
233 574 1
54 574 1
251 574 1
126 574 1
256 574 1
48 574 1
9 574 1
135 574 1
19 574 1
276 574 1
277 575 1
278 575 1
139 575 1
56 575 1
253 575 1
39 575 1
37 575 1
195 575 1
15 575 1
163 576 1
41 576 1
74 576 1
11 576 1
277 576 1
246 576 1
21 576 1
64 576 1
144 576 1
279 576 1
57 576 1
83 576 1
233 576 1
29 576 1
86 576 1
280 576 1
148 576 1
178 576 1
182 576 1
183 576 1
281 576 1
152 576 1
282 576 1
7 576 1
8 576 1
283 576 1
140 576 1
10 576 1
284 576 1
153 576 1
39 576 1
130 576 1
36 576 1
103 576 1
193 576 1
47 576 1
37 576 1
155 576 1
156 576 1
48 576 1
157 576 1
104 576 1
68 576 1
266 576 1
241 576 1
285 576 1
70 576 1
106 576 1
19 576 1
286 576 1
287 577 1
48 577 1
288 578 1
126 578 1
256 578 1
15 578 1
141 579 1
42 579 1
49 579 1
89 579 1
154 579 1
130 579 1
198 579 1
73 580 1
28 580 1
77 580 1
117 580 1
246 580 1
289 580 1
243 580 1
231 580 1
220 580 1
278 580 1
0 580 1
139 580 1
83 580 1
244 580 1
290 580 1
84 580 1
86 580 1
280 580 1
291 580 1
273 580 1
292 580 1
293 580 1
274 580 1
123 580 1
184 580 1
262 580 1
294 580 1
125 580 1
128 580 1
129 580 1
295 580 1
38 580 1
101 580 1
265 580 1
36 580 1
296 580 1
193 580 1
47 580 1
297 580 1
266 580 1
268 580 1
298 580 1
299 580 1
135 580 1
300 580 1
136 580 1
276 580 1
161 580 1
163 581 1
