6197 148638
0 491 1
1 491 1
2 491 1
3 491 1
4 491 1
5 491 1
6 491 1
7 491 1
8 491 1
9 491 1
10 491 1
11 491 1
12 491 1
13 491 1
14 492 1
15 492 1
16 492 1
17 492 1
18 492 1
19 492 1
20 492 1
21 492 1
22 492 1
23 492 1
24 492 1
25 492 1
26 492 1
27 492 1
28 492 1
29 492 1
30 492 1
31 492 1
32 492 1
33 492 1
34 492 1
35 492 1
36 492 1
37 492 1
38 493 1
39 493 1
40 493 1
41 493 1
42 493 1
43 493 1
44 493 1
45 493 1
46 493 1
47 494 1
48 494 1
49 494 1
50 495 1
51 495 1
52 495 1
29 495 1
53 495 1
54 495 1
55 495 1
56 495 1
57 495 1
58 495 1
59 495 1
60 495 1
61 495 1
62 495 1
63 495 1
64 495 1
65 496 1
66 496 1
67 496 1
21 496 1
6 496 1
9 496 1
68 496 1
63 496 1
69 497 1
27 497 1
19 497 1
59 497 1
50 498 1
70 498 1
71 498 1
23 498 1
24 498 1
29 498 1
72 498 1
73 498 1
33 498 1
74 498 1
75 498 1
76 498 1
77 498 1
78 498 1
19 498 1
22 498 1
79 498 1
80 498 1
81 498 1
28 498 1
82 498 1
62 498 1
69 499 1
65 499 1
5 499 1
23 499 1
7 499 1
83 499 1
8 499 1
84 499 1
85 499 1
5 500 1
40 500 1
86 500 1
87 500 1
88 500 1
25 500 1
89 500 1
90 500 1
91 500 1
2 500 1
92 500 1
93 500 1
94 500 1
7 500 1
95 500 1
96 500 1
1 500 1
97 500 1
98 500 1
99 500 1
100 500 1
101 500 1
102 500 1
103 500 1
104 500 1
12 500 1
105 500 1
106 500 1
107 500 1
108 500 1
66 500 1
109 500 1
20 500 1
21 500 1
6 500 1
110 500 1
111 500 1
112 500 1
8 500 1
9 500 1
37 500 1
49 500 1
113 500 1
114 500 1
4 500 1
84 500 1
115 500 1
85 500 1
116 500 1
117 500 1
118 500 1
119 500 1
120 500 1
72 501 1
19 501 1
82 502 1
121 502 1
25 503 1
89 503 1
122 503 1
34 503 1
57 503 1
1 503 1
100 503 1
123 503 1
17 503 1
124 503 1
21 503 1
125 503 1
42 503 1
126 503 1
112 503 1
35 503 1
37 503 1
127 503 1
128 503 1
59 503 1
129 503 1
130 503 1
44 503 1
121 503 1
103 504 1
18 505 1
51 505 1
40 505 1
24 505 1
131 505 1
132 505 1
60 505 1
63 505 1
103 505 1
65 505 1
17 505 1
21 505 1
133 505 1
23 505 1
27 505 1
126 505 1
29 505 1
37 505 1
16 505 1
115 505 1
134 505 1
32 505 1
135 506 1
136 506 1
137 506 1
138 506 1
53 506 1
139 506 1
134 506 1
5 507 1
51 507 1
140 507 1
33 507 1
74 507 1
75 507 1
97 507 1
141 507 1
63 507 1
104 507 1
142 507 1
143 507 1
65 507 1
144 507 1
145 507 1
112 507 1
146 507 1
54 507 1
127 507 1
147 507 1
148 507 1
149 507 1
129 507 1
80 507 1
150 507 1
62 507 1
151 507 1
152 507 1
153 507 1
154 508 1
67 508 1
155 508 1
156 508 1
40 508 1
87 508 1
10 508 1
88 508 1
25 508 1
89 508 1
90 508 1
157 508 1
158 508 1
159 508 1
160 508 1
2 508 1
92 508 1
93 508 1
33 508 1
161 508 1
162 508 1
163 508 1
74 508 1
75 508 1
164 508 1
165 508 1
94 508 1
53 508 1
166 508 1
167 508 1
95 508 1
168 508 1
96 508 1
169 508 1
170 508 1
38 508 1
171 508 1
98 508 1
99 508 1
41 508 1
101 508 1
172 508 1
173 508 1
123 508 1
45 508 1
46 508 1
103 508 1
174 508 1
175 508 1
104 508 1
176 508 1
177 508 1
11 508 1
178 508 1
12 508 1
179 508 1
106 508 1
13 508 1
64 508 1
180 508 1
181 508 1
182 508 1
50 508 1
108 508 1
109 508 1
183 508 1
17 508 1
20 508 1
184 508 1
124 508 1
21 508 1
6 508 1
185 508 1
23 508 1
42 508 1
186 508 1
187 508 1
188 508 1
8 508 1
37 508 1
189 508 1
49 508 1
113 508 1
114 508 1
190 508 1
191 508 1
128 508 1
192 508 1
47 508 1
4 508 1
193 508 1
194 508 1
195 508 1
22 508 1
130 508 1
196 508 1
197 508 1
44 508 1
81 508 1
28 508 1
198 508 1
30 508 1
199 508 1
134 508 1
200 508 1
201 508 1
121 508 1
119 508 1
153 508 1
154 509 1
202 509 1
203 509 1
5 509 1
156 509 1
24 509 1
135 509 1
43 509 1
90 509 1
158 509 1
2 509 1
92 509 1
93 509 1
204 509 1
34 509 1
75 509 1
164 509 1
165 509 1
94 509 1
76 509 1
137 509 1
95 509 1
168 509 1
96 509 1
169 509 1
97 509 1
14 509 1
39 509 1
100 509 1
101 509 1
173 509 1
123 509 1
102 509 1
141 509 1
205 509 1
63 509 1
3 509 1
177 509 1
178 509 1
139 509 1
12 509 1
142 509 1
179 509 1
106 509 1
206 509 1
13 509 1
207 509 1
65 509 1
70 509 1
124 509 1
21 509 1
185 509 1
208 509 1
48 509 1
209 509 1
37 509 1
54 509 1
114 509 1
210 509 1
211 509 1
84 509 1
59 509 1
149 509 1
80 509 1
117 509 1
134 509 1
32 509 1
122 510 1
102 510 1
65 510 1
212 511 1
92 511 1
74 511 1
213 511 1
104 511 1
139 511 1
8 511 1
127 511 1
4 511 1
214 511 1
134 511 1
215 512 1
15 512 1
216 512 1
87 512 1
24 512 1
217 512 1
43 512 1
91 512 1
158 512 1
33 512 1
34 512 1
161 512 1
55 512 1
218 512 1
57 512 1
14 512 1
19 512 1
219 512 1
123 512 1
60 512 1
63 512 1
220 512 1
103 512 1
31 512 1
174 512 1
36 512 1
221 512 1
222 512 1
64 512 1
207 512 1
182 512 1
50 512 1
108 512 1
223 512 1
224 512 1
17 512 1
20 512 1
21 512 1
133 512 1
125 512 1
225 512 1
27 512 1
146 512 1
9 512 1
226 512 1
191 512 1
211 512 1
148 512 1
195 512 1
22 512 1
227 512 1
197 512 1
81 512 1
198 512 1
30 512 1
62 512 1
117 512 1
32 512 1
121 512 1
119 512 1
5 513 1
25 513 1
212 513 1
157 513 1
0 513 1
122 513 1
228 513 1
136 513 1
74 513 1
7 513 1
138 513 1
132 513 1
229 513 1
171 513 1
230 513 1
141 513 1
63 513 1
31 513 1
231 513 1
175 513 1
232 513 1
139 513 1
142 513 1
233 513 1
108 513 1
143 513 1
144 513 1
234 513 1
235 513 1
23 513 1
27 513 1
145 513 1
112 513 1
146 513 1
236 513 1
113 513 1
114 513 1
148 513 1
237 513 1
84 513 1
149 513 1
129 513 1
238 513 1
85 513 1
197 513 1
80 513 1
81 513 1
116 513 1
150 513 1
82 513 1
61 513 1
117 513 1
201 513 1
212 514 1
89 514 1
239 514 1
53 514 1
56 514 1
230 514 1
79 514 1
119 514 1
86 515 1
24 515 1
160 515 1
240 515 1
241 515 1
100 515 1
102 515 1
205 515 1
174 515 1
175 515 1
65 515 1
112 515 1
127 515 1
226 515 1
195 515 1
117 515 1
242 516 1
243 516 1
90 516 1
244 516 1
239 516 1
131 516 1
163 516 1
245 516 1
246 516 1
68 516 1
247 516 1
141 516 1
232 516 1
176 516 1
142 516 1
248 516 1
181 516 1
233 516 1
249 516 1
235 516 1
250 516 1
21 516 1
6 516 1
251 516 1
252 516 1
126 516 1
208 516 1
253 516 1
49 516 1
191 516 1
16 516 1
59 516 1
22 516 1
129 516 1
115 516 1
28 516 1
30 516 1
214 516 1
32 516 1
254 516 1
119 516 1
91 517 1
111 517 1
113 517 1
114 517 1
59 517 1
212 518 1
72 518 1
76 518 1
95 518 1
16 518 1
118 518 1
154 519 1
203 519 1
156 519 1
51 519 1
24 519 1
255 519 1
33 519 1
256 519 1
1 519 1
97 519 1
230 519 1
31 519 1
177 519 1
178 519 1
179 519 1
64 519 1
248 519 1
257 519 1
50 519 1
108 519 1
258 519 1
26 519 1
112 519 1
259 519 1
48 519 1
236 519 1
260 519 1
113 519 1
114 519 1
210 519 1
47 519 1
148 519 1
149 519 1
261 519 1
262 519 1
263 519 1
264 519 1
265 519 1
266 519 1
5 520 1
94 521 1
95 521 1
230 521 1
21 521 1
112 521 1
48 521 1
236 521 1
114 521 1
261 521 1
267 522 1
7 522 1
268 522 1
203 523 1
156 523 1
40 523 1
2 523 1
256 523 1
95 523 1
1 523 1
97 523 1
14 523 1
269 523 1
31 523 1
178 523 1
179 523 1
257 523 1
108 523 1
143 523 1
144 523 1
270 523 1
23 523 1
145 523 1
48 523 1
49 523 1
260 523 1
114 523 1
47 523 1
147 523 1
261 523 1
81 523 1
33 524 1
7 524 1
38 524 1
230 524 1
64 524 1
249 524 1
125 524 1
84 524 1
59 524 1
22 524 1
32 524 1
271 525 1
94 525 1
95 525 1
96 525 1
13 525 1
66 525 1
272 525 1
251 525 1
49 525 1
47 525 1
193 525 1
84 525 1
28 525 1
154 526 1
51 526 1
86 526 1
24 526 1
10 526 1
217 526 1
90 526 1
271 526 1
244 526 1
34 526 1
74 526 1
94 526 1
138 526 1
240 526 1
273 526 1
68 526 1
97 526 1
230 526 1
41 526 1
100 526 1
274 526 1
123 526 1
141 526 1
174 526 1
3 526 1
178 526 1
139 526 1
179 526 1
275 526 1
144 526 1
276 526 1
70 526 1
20 526 1
21 526 1
277 526 1
133 526 1
23 526 1
278 526 1
145 526 1
8 526 1
49 526 1
127 526 1
114 526 1
191 526 1
58 526 1
47 526 1
147 526 1
148 526 1
59 526 1
149 526 1
115 526 1
79 526 1
261 526 1
238 526 1
279 526 1
81 526 1
117 526 1
32 526 1
280 526 1
281 527 1
95 527 1
268 527 1
59 527 1
67 528 1
101 528 1
282 528 1
6 528 1
125 528 1
28 528 1
135 529 1
53 529 1
60 529 1
103 529 1
146 529 1
127 529 1
40 530 1
244 530 1
283 530 1
239 530 1
218 530 1
1 530 1
97 530 1
241 530 1
100 530 1
274 530 1
284 530 1
269 530 1
285 530 1
286 530 1
180 530 1
257 530 1
287 530 1
124 530 1
112 530 1
48 530 1
260 530 1
191 530 1
58 530 1
288 530 1
261 530 1
289 530 1
67 531 1
183 531 1
154 532 1
156 532 1
51 532 1
40 532 1
86 532 1
160 532 1
122 532 1
228 532 1
283 532 1
34 532 1
165 532 1
132 532 1
273 532 1
218 532 1
57 532 1
1 532 1
