6319 162292
0 614 1
1 614 1
2 614 1
3 614 1
4 614 1
5 614 1
6 614 1
7 614 1
8 614 1
9 614 1
10 614 1
11 614 1
12 614 1
13 615 1
14 615 1
15 615 1
16 615 1
17 615 1
18 615 1
19 615 1
20 615 1
21 615 1
22 615 1
23 615 1
24 615 1
25 615 1
26 615 1
27 615 1
28 615 1
29 615 1
30 615 1
31 615 1
32 615 1
33 615 1
34 615 1
35 616 1
36 616 1
37 616 1
38 616 1
39 616 1
40 616 1
41 616 1
42 616 1
43 616 1
44 617 1
45 617 1
46 617 1
47 618 1
48 618 1
49 618 1
27 618 1
50 618 1
51 618 1
52 618 1
53 618 1
54 618 1
55 618 1
56 618 1
57 618 1
58 618 1
59 618 1
60 618 1
61 619 1
62 619 1
63 619 1
19 619 1
5 619 1
7 619 1
64 619 1
65 619 1
66 619 1
67 619 1
68 619 1
59 619 1
69 619 1
70 620 1
25 620 1
47 621 1
71 621 1
72 621 1
21 621 1
22 621 1
27 621 1
73 621 1
74 621 1
75 621 1
30 621 1
76 621 1
77 621 1
78 621 1
20 621 1
79 621 1
80 621 1
81 621 1
26 621 1
82 621 1
58 621 1
70 622 1
61 622 1
21 622 1
83 622 1
6 622 1
37 623 1
84 623 1
85 623 1
86 623 1
87 623 1
23 623 1
88 623 1
89 623 1
90 623 1
91 623 1
2 623 1
92 623 1
93 623 1
94 623 1
95 623 1
96 623 1
97 623 1
64 623 1
98 623 1
1 623 1
99 623 1
100 623 1
101 623 1
102 623 1
103 623 1
104 623 1
105 623 1
106 623 1
107 623 1
108 623 1
109 623 1
110 623 1
111 623 1
112 623 1
113 623 1
114 623 1
10 623 1
115 623 1
116 623 1
117 623 1
118 623 1
119 623 1
62 623 1
120 623 1
121 623 1
18 623 1
19 623 1
5 623 1
122 623 1
123 623 1
6 623 1
7 623 1
34 623 1
46 623 1
124 623 1
125 623 1
126 623 1
127 623 1
4 623 1
128 623 1
129 623 1
130 623 1
131 623 1
132 623 1
133 623 1
134 623 1
135 623 1
136 623 1
137 623 1
138 623 1
139 623 1
140 623 1
141 623 1
85 624 1
74 624 1
142 624 1
12 624 1
143 624 1
82 625 1
144 625 1
23 626 1
88 626 1
89 626 1
145 626 1
31 626 1
53 626 1
1 626 1
101 626 1
105 626 1
107 626 1
146 626 1
117 626 1
16 626 1
147 626 1
19 626 1
148 626 1
39 626 1
149 626 1
150 626 1
32 626 1
34 626 1
124 626 1
151 626 1
152 626 1
153 626 1
41 626 1
144 626 1
140 626 1
110 627 1
17 628 1
48 628 1
37 628 1
22 628 1
154 628 1
155 628 1
101 628 1
56 628 1
59 628 1
110 628 1
61 628 1
16 628 1
19 628 1
156 628 1
21 628 1
25 628 1
149 628 1
27 628 1
157 628 1
34 628 1
15 628 1
130 628 1
29 628 1
158 629 1
159 629 1
160 629 1
161 629 1
162 629 1
163 629 1
48 630 1
164 630 1
30 630 1
94 630 1
99 630 1
104 630 1
165 630 1
59 630 1
113 630 1
114 630 1
166 630 1
167 630 1
61 630 1
168 630 1
169 630 1
170 630 1
50 630 1
171 630 1
172 630 1
173 630 1
152 630 1
80 630 1
174 630 1
58 630 1
175 630 1
176 630 1
177 630 1
140 630 1
178 631 1
63 631 1
179 631 1
180 631 1
181 631 1
37 631 1
85 631 1
86 631 1
8 631 1
87 631 1
23 631 1
88 631 1
89 631 1
182 631 1
90 631 1
183 631 1
184 631 1
185 631 1
186 631 1
2 631 1
92 631 1
93 631 1
30 631 1
94 631 1
187 631 1
188 631 1
189 631 1
190 631 1
191 631 1
96 631 1
192 631 1
193 631 1
64 631 1
194 631 1
195 631 1
98 631 1
196 631 1
197 631 1
35 631 1
142 631 1
198 631 1
199 631 1
200 631 1
201 631 1
100 631 1
101 631 1
102 631 1
104 631 1
38 631 1
106 631 1
202 631 1
203 631 1
204 631 1
205 631 1
206 631 1
42 631 1
43 631 1
207 631 1
110 631 1
208 631 1
209 631 1
114 631 1
210 631 1
211 631 1
9 631 1
212 631 1
10 631 1
213 631 1
116 631 1
146 631 1
11 631 1
117 631 1
60 631 1
214 631 1
215 631 1
216 631 1
47 631 1
119 631 1
121 631 1
217 631 1
16 631 1
18 631 1
218 631 1
147 631 1
19 631 1
5 631 1
219 631 1
21 631 1
39 631 1
220 631 1
221 631 1
157 631 1
222 631 1
6 631 1
34 631 1
223 631 1
46 631 1
124 631 1
125 631 1
126 631 1
224 631 1
12 631 1
225 631 1
151 631 1
226 631 1
44 631 1
227 631 1
228 631 1
4 631 1
229 631 1
230 631 1
231 631 1
232 631 1
20 631 1
128 631 1
55 631 1
153 631 1
233 631 1
234 631 1
41 631 1
81 631 1
26 631 1
235 631 1
28 631 1
236 631 1
237 631 1
238 631 1
144 631 1
135 631 1
239 631 1
177 631 1
178 632 1
240 632 1
241 632 1
181 632 1
22 632 1
158 632 1
40 632 1
90 632 1
184 632 1
2 632 1
92 632 1
93 632 1
242 632 1
31 632 1
190 632 1
191 632 1
96 632 1
76 632 1
160 632 1
195 632 1
98 632 1
196 632 1
99 632 1
13 632 1
36 632 1
105 632 1
106 632 1
205 632 1
108 632 1
165 632 1
243 632 1
59 632 1
3 632 1
211 632 1
212 632 1
163 632 1
10 632 1
166 632 1
213 632 1
116 632 1
244 632 1
11 632 1
245 632 1
61 632 1
71 632 1
147 632 1
19 632 1
219 632 1
45 632 1
246 632 1
34 632 1
50 632 1
126 632 1
247 632 1
248 632 1
173 632 1
80 632 1
132 632 1
29 632 1
249 632 1
145 633 1
108 633 1
61 633 1
250 634 1
92 634 1
251 634 1
114 634 1
163 634 1
6 634 1
4 634 1
252 634 1
253 635 1
14 635 1
254 635 1
85 635 1
86 635 1
22 635 1
40 635 1
91 635 1
184 635 1
30 635 1
31 635 1
187 635 1
51 635 1
255 635 1
53 635 1
13 635 1
101 635 1
256 635 1
56 635 1
59 635 1
257 635 1
110 635 1
208 635 1
33 635 1
258 635 1
117 635 1
60 635 1
245 635 1
216 635 1
47 635 1
119 635 1
259 635 1
260 635 1
16 635 1
18 635 1
19 635 1
156 635 1
148 635 1
261 635 1
25 635 1
170 635 1
7 635 1
124 635 1
262 635 1
225 635 1
248 635 1
172 635 1
231 635 1
232 635 1
20 635 1
263 635 1
234 635 1
81 635 1
235 635 1
28 635 1
58 635 1
132 635 1
29 635 1
144 635 1
135 635 1
140 635 1
23 636 1
250 636 1
88 636 1
183 636 1
0 636 1
145 636 1
264 636 1
159 636 1
94 636 1
161 636 1
155 636 1
97 636 1
265 636 1
142 636 1
201 636 1
266 636 1
103 636 1
107 636 1
165 636 1
59 636 1
113 636 1
267 636 1
209 636 1
268 636 1
163 636 1
166 636 1
117 636 1
269 636 1
119 636 1
167 636 1
168 636 1
270 636 1
271 636 1
21 636 1
25 636 1
169 636 1
170 636 1
150 636 1
272 636 1
124 636 1
125 636 1
126 636 1
172 636 1
273 636 1
173 636 1
152 636 1
55 636 1
274 636 1
234 636 1
80 636 1
81 636 1
131 636 1
174 636 1
82 636 1
57 636 1
132 636 1
238 636 1
250 637 1
89 637 1
275 637 1
52 637 1
266 637 1
79 637 1
135 637 1
84 638 1
276 638 1
22 638 1
186 638 1
277 638 1
278 638 1
105 638 1
108 638 1
243 638 1
208 638 1
209 638 1
61 638 1
262 638 1
231 638 1
132 638 1
279 639 1
280 639 1
281 639 1
85 639 1
282 639 1
90 639 1
283 639 1
275 639 1
154 639 1
189 639 1
284 639 1
285 639 1
97 639 1
64 639 1
65 639 1
286 639 1
165 639 1
207 639 1
111 639 1
268 639 1
210 639 1
287 639 1
166 639 1
288 639 1
215 639 1
269 639 1
289 639 1
271 639 1
290 639 1
19 639 1
5 639 1
291 639 1
292 639 1
149 639 1
73 639 1
293 639 1
294 639 1
46 639 1
295 639 1
225 639 1
296 639 1
227 639 1
228 639 1
15 639 1
20 639 1
152 639 1
130 639 1
297 639 1
26 639 1
28 639 1
252 639 1
29 639 1
298 639 1
135 639 1
239 639 1
88 640 1
91 640 1
123 640 1
124 640 1
125 640 1
126 640 1
250 641 1
74 641 1
76 641 1
15 641 1
134 641 1
178 642 1
241 642 1
181 642 1
48 642 1
22 642 1
299 642 1
30 642 1
300 642 1
1 642 1
99 642 1
266 642 1
211 642 1
212 642 1
213 642 1
60 642 1
288 642 1
301 642 1
47 642 1
119 642 1
302 642 1
24 642 1
303 642 1
45 642 1
272 642 1
304 642 1
125 642 1
126 642 1
247 642 1
44 642 1
172 642 1
173 642 1
305 642 1
306 642 1
307 642 1
308 642 1
309 642 1
310 642 1
96 643 1
142 643 1
198 643 1
266 643 1
19 643 1
45 643 1
272 643 1
126 643 1
305 643 1
311 644 1
241 645 1
181 645 1
37 645 1
85 645 1
2 645 1
300 645 1
1 645 1
99 645 1
142 645 1
13 645 1
198 645 1
199 645 1
202 645 1
312 645 1
109 645 1
313 645 1
113 645 1
212 645 1
213 645 1
301 645 1
119 645 1
167 645 1
168 645 1
314 645 1
21 645 1
169 645 1
45 645 1
46 645 1
304 645 1
126 645 1
44 645 1
171 645 1
55 645 1
305 645 1
81 645 1
69 645 1
30 646 1
35 646 1
266 646 1
315 646 1
60 646 1
289 646 1
148 646 1
294 646 1
20 646 1
29 646 1
316 647 1
96 647 1
98 647 1
207 647 1
11 647 1
62 647 1
291 647 1
46 647 1
44 647 1
229 647 1
26 647 1
178 648 1
48 648 1
84 648 1
22 648 1
8 648 1
90 648 1
316 648 1
283 648 1
31 648 1
96 648 1
161 648 1
277 648 1
317 648 1
65 648 1
99 648 1
266 648 1
38 648 1
105 648 1
318 648 1
165 648 1
208 648 1
3 648 1
212 648 1
163 648 1
213 648 1
319 648 1
168 648 1
320 648 1
71 648 1
18 648 1
19 648 1
321 648 1
156 648 1
21 648 1
322 648 1
169 648 1
6 648 1
46 648 1
126 648 1
225 648 1
54 648 1
44 648 1
171 648 1
172 648 1
173 648 1
130 648 1
79 648 1
305 648 1
274 648 1
323 648 1
81 648 1
132 648 1
29 648 1
324 648 1
325 649 1
200 649 1
311 649 1
63 650 1
281 650 1
85 650 1
64 650 1
106 650 1
326 650 1
5 650 1
148 650 1
294 650 1
12 650 1
26 650 1
158 651 1
56 651 1
110 651 1
327 651 1
170 651 1
37 652 1
88 652 1
283 652 1
328 652 1
275 652 1
255 652 1
1 652 1
99 652 1
278 652 1
329 652 1
101 652 1
105 652 1
318 652 1
330 652 1
312 652 1
331 652 1
332 652 1
313 652 1
146 652 1
214 652 1
301 652 1
333 652 1
147 652 1
150 652 1
334 652 1
45 652 1
304 652 1
225 652 1
54 652 1
335 652 1
305 652 1
336 652 1
63 653 1
217 653 1
12 653 1
178 654 1
181 654 1
48 654 1
37 654 1
84 654 1
186 654 1
145 654 1
264 654 1
328 654 1
31 654 1
94 654 1
191 654 1
155 654 1
97 654 1
317 654 1
255 654 1
53 654 1
1 654 1
99 654 1
266 654 1
101 654 1
105 654 1
108 654 1
165 654 1
337 654 1
243 654 1
113 654 1
114 654 1
166 654 1
60 654 1
288 654 1
47 654 1
119 654 1
260 654 1
156 654 1
25 654 1
39 654 1
122 654 1
338 654 1
339 654 1
169 654 1
340 654 1
45 654 1
272 654 1
46 654 1
125 654 1
126 654 1
247 654 1
54 654 1
127 654 1
172 654 1
173 654 1
152 654 1
274 654 1
306 654 1
234 654 1
131 654 1
174 654 1
341 654 1
132 654 1
236 654 1
310 654 1
177 654 1
342 654 1
253 655 1
276 655 1
250 655 1
88 655 1
2 655 1
92 655 1
242 655 1
94 655 1
95 655 1
97 655 1
194 655 1
142 655 1
198 655 1
199 655 1
101 655 1
38 655 1
343 655 1
209 655 1
10 655 1
