7378 287468
0 1363 1
1 1363 1
2 1363 1
3 1364 1
4 1364 1
5 1364 1
6 1364 1
7 1364 1
8 1364 1
9 1364 1
10 1364 1
11 1364 1
12 1364 1
13 1364 1
14 1364 1
15 1364 1
16 1364 1
17 1364 1
18 1364 1
19 1364 1
20 1364 1
21 1364 1
22 1364 1
23 1364 1
24 1364 1
25 1364 1
26 1364 1
27 1365 1
28 1365 1
29 1365 1
30 1365 1
31 1365 1
32 1365 1
33 1365 1
34 1365 1
35 1365 1
36 1365 1
37 1365 1
38 1365 1
39 1366 1
40 1366 1
41 1367 1
42 1367 1
43 1367 1
44 1367 1
45 1367 1
46 1367 1
47 1367 1
48 1367 1
49 1367 1
18 1367 1
50 1367 1
20 1367 1
51 1367 1
52 1367 1
53 1367 1
54 1367 1
55 1367 1
56 1367 1
57 1367 1
58 1367 1
59 1367 1
60 1367 1
61 1367 1
62 1367 1
63 1367 1
64 1367 1
65 1367 1
66 1367 1
67 1367 1
68 1367 1
69 1367 1
70 1367 1
71 1367 1
72 1367 1
73 1367 1
74 1367 1
75 1367 1
76 1367 1
77 1367 1
78 1367 1
79 1367 1
80 1367 1
81 1367 1
82 1368 1
83 1368 1
11 1368 1
84 1368 1
85 1368 1
2 1368 1
86 1368 1
87 1368 1
88 1368 1
27 1368 1
89 1368 1
90 1368 1
91 1368 1
92 1368 1
93 1368 1
94 1368 1
95 1368 1
96 1368 1
97 1368 1
98 1369 1
16 1369 1
42 1370 1
99 1370 1
100 1370 1
101 1370 1
13 1370 1
102 1370 1
103 1370 1
104 1370 1
21 1370 1
105 1370 1
106 1370 1
107 1370 1
108 1370 1
109 1370 1
110 1370 1
12 1370 1
111 1370 1
112 1370 1
113 1370 1
17 1370 1
114 1370 1
70 1370 1
115 1370 1
75 1370 1
98 1371 1
82 1371 1
116 1371 1
1 1371 1
117 1371 1
91 1371 1
118 1371 1
119 1371 1
120 1372 1
121 1372 1
122 1372 1
31 1372 1
123 1372 1
124 1372 1
100 1372 1
125 1372 1
83 1372 1
32 1372 1
126 1372 1
127 1372 1
128 1372 1
129 1372 1
14 1372 1
130 1372 1
131 1372 1
132 1372 1
133 1372 1
134 1372 1
135 1372 1
136 1372 1
137 1372 1
20 1372 1
138 1372 1
139 1372 1
140 1372 1
141 1372 1
142 1372 1
1 1372 1
24 1372 1
143 1372 1
144 1372 1
145 1372 1
146 1372 1
86 1372 1
0 1372 1
147 1372 1
148 1372 1
149 1372 1
150 1372 1
9 1372 1
151 1372 1
152 1372 1
153 1372 1
154 1372 1
155 1372 1
156 1372 1
157 1372 1
158 1372 1
159 1372 1
63 1372 1
93 1372 1
160 1372 1
161 1372 1
162 1372 1
163 1372 1
164 1372 1
72 1372 1
165 1372 1
166 1372 1
167 1372 1
168 1372 1
169 1372 1
170 1372 1
171 1372 1
172 1372 1
173 1372 1
10 1372 1
174 1372 1
175 1372 1
176 1372 1
177 1372 1
178 1372 1
179 1372 1
180 1372 1
181 1372 1
182 1372 1
183 1372 1
184 1372 1
185 1372 1
186 1372 1
187 1372 1
188 1372 1
189 1372 1
2 1372 1
190 1372 1
191 1372 1
192 1372 1
193 1372 1
194 1372 1
195 1372 1
196 1372 1
197 1372 1
198 1372 1
199 1372 1
200 1372 1
201 1372 1
28 1372 1
202 1372 1
203 1372 1
204 1372 1
205 1372 1
206 1372 1
207 1372 1
208 1372 1
209 1372 1
118 1372 1
210 1372 1
211 1372 1
212 1372 1
213 1372 1
214 1372 1
215 1372 1
216 1372 1
217 1372 1
218 1372 1
219 1372 1
79 1372 1
220 1372 1
221 1373 1
222 1373 1
11 1373 1
127 1373 1
135 1373 1
223 1373 1
103 1373 1
224 1373 1
57 1373 1
225 1373 1
226 1373 1
227 1373 1
158 1373 1
93 1373 1
228 1373 1
229 1373 1
115 1373 1
230 1373 1
231 1373 1
170 1373 1
232 1373 1
233 1373 1
234 1373 1
235 1373 1
173 1373 1
236 1373 1
237 1373 1
174 1373 1
238 1373 1
49 1373 1
18 1373 1
185 1373 1
105 1373 1
186 1373 1
239 1373 1
28 1373 1
240 1373 1
206 1373 1
241 1373 1
242 1373 1
243 1373 1
212 1373 1
244 1373 1
25 1373 1
245 1374 1
246 1374 1
247 1374 1
114 1374 1
248 1374 1
249 1374 1
14 1375 1
132 1375 1
56 1375 1
0 1375 1
154 1375 1
119 1375 1
7 1375 1
250 1375 1
251 1375 1
252 1375 1
34 1375 1
253 1375 1
254 1375 1
22 1375 1
255 1375 1
256 1375 1
257 1375 1
36 1375 1
258 1375 1
248 1375 1
259 1376 1
162 1376 1
260 1377 1
261 1377 1
8 1377 1
32 1377 1
13 1377 1
262 1377 1
130 1377 1
263 1377 1
224 1377 1
264 1377 1
265 1377 1
266 1377 1
267 1377 1
27 1377 1
268 1377 1
226 1377 1
269 1377 1
61 1377 1
162 1377 1
270 1377 1
73 1377 1
165 1377 1
271 1377 1
82 1377 1
272 1377 1
7 1377 1
273 1377 1
16 1377 1
253 1377 1
50 1377 1
116 1377 1
274 1377 1
84 1377 1
200 1377 1
28 1377 1
275 1377 1
209 1377 1
276 1377 1
277 1377 1
242 1377 1
278 1377 1
279 1378 1
280 1378 1
260 1378 1
281 1378 1
263 1378 1
137 1378 1
282 1378 1
283 1378 1
284 1378 1
259 1378 1
285 1378 1
286 1378 1
266 1378 1
267 1378 1
287 1378 1
288 1378 1
289 1378 1
290 1378 1
291 1379 1
21 1379 1
147 1379 1
292 1379 1
293 1379 1
168 1379 1
294 1379 1
295 1379 1
82 1379 1
296 1379 1
250 1379 1
297 1379 1
298 1379 1
49 1379 1
299 1379 1
300 1379 1
52 1379 1
301 1379 1
302 1379 1
303 1379 1
304 1379 1
256 1379 1
305 1379 1
112 1379 1
306 1379 1
70 1379 1
307 1379 1
258 1379 1
308 1379 1
309 1379 1
310 1379 1
311 1380 1
120 1380 1
312 1380 1
313 1380 1
32 1380 1
127 1380 1
128 1380 1
129 1380 1
14 1380 1
132 1380 1
134 1380 1
314 1380 1
315 1380 1
316 1380 1
317 1380 1
138 1380 1
318 1380 1
21 1380 1
319 1380 1
320 1380 1
321 1380 1
322 1380 1
323 1380 1
324 1380 1
140 1380 1
325 1380 1
86 1380 1
326 1380 1
29 1380 1
225 1380 1
327 1380 1
328 1380 1
329 1380 1
330 1380 1
331 1380 1
91 1380 1
332 1380 1
333 1380 1
334 1380 1
37 1380 1
38 1380 1
162 1380 1
335 1380 1
336 1380 1
168 1380 1
337 1380 1
338 1380 1
339 1380 1
340 1380 1
78 1380 1
341 1380 1
342 1380 1
343 1380 1
42 1380 1
7 1380 1
10 1380 1
344 1380 1
251 1380 1
345 1380 1
34 1380 1
346 1380 1
347 1380 1
348 1380 1
274 1380 1
349 1380 1
350 1380 1
193 1380 1
198 1380 1
351 1380 1
352 1380 1
108 1380 1
353 1380 1
255 1380 1
200 1380 1
354 1380 1
201 1380 1
39 1380 1
355 1380 1
356 1380 1
357 1380 1
358 1380 1
12 1380 1
60 1380 1
257 1380 1
359 1380 1
360 1380 1
36 1380 1
113 1380 1
17 1380 1
361 1380 1
19 1380 1
362 1380 1
363 1380 1
364 1380 1
365 1380 1
308 1380 1
248 1380 1
215 1380 1
366 1380 1
311 1381 1
120 1381 1
221 1381 1
367 1381 1
368 1381 1
313 1381 1
11 1381 1
13 1381 1
281 1381 1
35 1381 1
282 1381 1
20 1381 1
369 1381 1
138 1381 1
370 1381 1
323 1381 1
324 1381 1
140 1381 1
106 1381 1
285 1381 1
147 1381 1
4 1381 1
30 1381 1
154 1381 1
371 1381 1
334 1381 1
292 1381 1
372 1381 1
338 1381 1
339 1381 1
373 1381 1
294 1381 1
374 1381 1
340 1381 1
375 1381 1
376 1381 1
377 1381 1
82 1381 1
251 1381 1
345 1381 1
176 1381 1
378 1381 1
379 1381 1
40 1381 1
380 1381 1
381 1381 1
382 1381 1
52 1381 1
198 1381 1
383 1381 1
384 1381 1
385 1381 1
289 1381 1
386 1381 1
304 1381 1
112 1381 1
211 1381 1
219 1381 1
387 1382 1
82 1382 1
388 1383 1
389 1383 1
168 1383 1
390 1383 1
391 1383 1
121 1384 1
392 1384 1
222 1384 1
5 1384 1
393 1384 1
394 1384 1
122 1384 1
31 1384 1
123 1384 1
388 1384 1
127 1384 1
128 1384 1
13 1384 1
134 1384 1
395 1384 1
396 1384 1
35 1384 1
223 1384 1
20 1384 1
259 1384 1
224 1384 1
21 1384 1
319 1384 1
139 1384 1
142 1384 1
397 1384 1
398 1384 1
144 1384 1
53 1384 1
399 1384 1
146 1384 1
400 1384 1
401 1384 1
56 1384 1
268 1384 1
4 1384 1
150 1384 1
402 1384 1
152 1384 1
403 1384 1
404 1384 1
405 1384 1
406 1384 1
371 1384 1
158 1384 1
61 1384 1
93 1384 1
407 1384 1
408 1384 1
409 1384 1
162 1384 1
335 1384 1
270 1384 1
72 1384 1
410 1384 1
165 1384 1
23 1384 1
169 1384 1
170 1384 1
411 1384 1
78 1384 1
412 1384 1
376 1384 1
343 1384 1
42 1384 1
413 1384 1
377 1384 1
414 1384 1
415 1384 1
416 1384 1
7 1384 1
10 1384 1
417 1384 1
418 1384 1
273 1384 1
101 1384 1
252 1384 1
419 1384 1
16 1384 1
175 1384 1
176 1384 1
50 1384 1
420 1384 1
421 1384 1
185 1384 1
300 1384 1
