6166 131648
0 513 1
1 514 1
2 514 1
3 514 1
4 514 1
5 514 1
6 514 1
7 514 1
8 514 1
9 514 1
10 514 1
11 514 1
12 514 1
13 514 1
14 514 1
15 514 1
16 514 1
17 514 1
18 514 1
19 514 1
20 514 1
21 514 1
22 514 1
23 514 1
24 514 1
25 515 1
26 515 1
27 515 1
28 515 1
29 515 1
30 515 1
31 515 1
32 515 1
33 515 1
34 516 1
35 516 1
36 516 1
37 516 1
38 517 1
39 517 1
40 517 1
41 517 1
42 517 1
16 517 1
43 517 1
44 517 1
45 517 1
46 517 1
47 517 1
48 517 1
49 517 1
50 517 1
51 517 1
52 517 1
53 517 1
54 517 1
55 517 1
56 517 1
57 517 1
58 518 1
8 518 1
59 518 1
55 518 1
60 519 1
14 519 1
6 519 1
51 519 1
38 520 1
61 520 1
10 520 1
11 520 1
16 520 1
62 520 1
63 520 1
20 520 1
64 520 1
65 520 1
66 520 1
6 520 1
9 520 1
67 520 1
68 520 1
69 520 1
15 520 1
70 520 1
54 520 1
60 521 1
58 521 1
10 521 1
43 521 1
71 521 1
72 521 1
27 522 1
73 522 1
74 522 1
75 522 1
12 522 1
76 522 1
77 522 1
0 522 1
78 522 1
79 522 1
80 522 1
81 522 1
82 522 1
83 522 1
84 522 1
85 522 1
7 522 1
8 522 1
86 522 1
87 522 1
88 522 1
24 522 1
36 522 1
89 522 1
90 522 1
91 522 1
92 522 1
93 522 1
94 522 1
95 522 1
96 522 1
62 523 1
97 523 1
6 523 1
98 523 1
70 524 1
99 524 1
12 525 1
76 525 1
100 525 1
21 525 1
48 525 1
0 525 1
79 525 1
101 525 1
4 525 1
102 525 1
8 525 1
103 525 1
29 525 1
104 525 1
88 525 1
22 525 1
24 525 1
105 525 1
51 525 1
106 525 1
107 525 1
31 525 1
99 525 1
81 526 1
5 527 1
39 527 1
27 527 1
11 527 1
108 527 1
109 527 1
52 527 1
55 527 1
81 527 1
58 527 1
4 527 1
8 527 1
110 527 1
10 527 1
14 527 1
104 527 1
16 527 1
24 527 1
3 527 1
92 527 1
19 527 1
111 528 1
112 528 1
113 528 1
114 528 1
44 528 1
39 529 1
115 529 1
43 529 1
20 529 1
78 529 1
116 529 1
55 529 1
82 529 1
117 529 1
118 529 1
58 529 1
119 529 1
120 529 1
88 529 1
121 529 1
45 529 1
122 529 1
123 529 1
124 529 1
106 529 1
68 529 1
125 529 1
54 529 1
126 529 1
127 529 1
128 530 1
129 530 1
27 530 1
74 530 1
75 530 1
12 530 1
76 530 1
130 530 1
131 530 1
132 530 1
77 530 1
20 530 1
133 530 1
134 530 1
135 530 1
44 530 1
136 530 1
137 530 1
25 530 1
138 530 1
28 530 1
139 530 1
140 530 1
101 530 1
141 530 1
32 530 1
33 530 1
81 530 1
142 530 1
143 530 1
82 530 1
144 530 1
145 530 1
146 530 1
147 530 1
57 530 1
148 530 1
149 530 1
150 530 1
38 530 1
85 530 1
4 530 1
7 530 1
151 530 1
102 530 1
8 530 1
152 530 1
10 530 1
29 530 1
153 530 1
154 530 1
155 530 1
24 530 1
156 530 1
36 530 1
89 530 1
37 530 1
90 530 1
157 530 1
105 530 1
158 530 1
34 530 1
159 530 1
160 530 1
9 530 1
107 530 1
161 530 1
162 530 1
31 530 1
69 530 1
15 530 1
163 530 1
17 530 1
164 530 1
165 530 1
166 530 1
99 530 1
95 530 1
128 531 1
167 531 1
168 531 1
129 531 1
11 531 1
111 531 1
30 531 1
169 531 1
77 531 1
170 531 1
21 531 1
134 531 1
135 531 1
64 531 1
113 531 1
78 531 1
1 531 1
26 531 1
79 531 1
140 531 1
101 531 1
80 531 1
116 531 1
171 531 1
55 531 1
145 531 1
146 531 1
117 531 1
147 531 1
172 531 1
173 531 1
58 531 1
102 531 1
8 531 1
152 531 1
174 531 1
35 531 1
175 531 1
24 531 1
45 531 1
37 531 1
90 531 1
176 531 1
177 531 1
51 531 1
124 531 1
68 531 1
94 531 1
19 531 1
100 532 1
80 532 1
58 532 1
178 533 1
82 533 1
179 533 1
180 534 1
2 534 1
181 534 1
74 534 1
11 534 1
30 534 1
169 534 1
20 534 1
21 534 1
46 534 1
182 534 1
48 534 1
1 534 1
6 534 1
183 534 1
101 534 1
141 534 1
52 534 1
55 534 1
184 534 1
81 534 1
18 534 1
142 534 1
23 534 1
185 534 1
57 534 1
173 534 1
150 534 1
38 534 1
85 534 1
186 534 1
187 534 1
4 534 1
7 534 1
8 534 1
110 534 1
103 534 1
188 534 1
14 534 1
121 534 1
189 534 1
157 534 1
177 534 1
123 534 1
160 534 1
9 534 1
190 534 1
162 534 1
69 534 1
163 534 1
17 534 1
54 534 1
94 534 1
19 534 1
99 534 1
95 534 1
191 535 1
12 535 1
178 535 1
169 535 1
130 535 1
100 535 1
192 535 1
112 535 1
43 535 1
114 535 1
109 535 1
193 535 1
138 535 1
194 535 1
141 535 1
116 535 1
55 535 1
18 535 1
195 535 1
143 535 1
196 535 1
117 535 1
197 535 1
85 535 1
118 535 1
119 535 1
198 535 1
199 535 1
10 535 1
14 535 1
120 535 1
88 535 1
121 535 1
200 535 1
89 535 1
90 535 1
123 535 1
201 535 1
124 535 1
106 535 1
202 535 1
162 535 1
68 535 1
69 535 1
93 535 1
203 535 1
125 535 1
204 535 1
70 535 1
53 535 1
94 535 1
166 535 1
178 536 1
76 536 1
169 536 1
205 536 1
44 536 1
47 536 1
194 536 1
67 536 1
95 536 1
73 537 1
11 537 1
132 537 1
206 537 1
79 537 1
141 537 1
80 537 1
171 537 1
142 537 1
143 537 1
83 537 1
58 537 1
88 537 1
189 537 1
160 537 1
94 537 1
207 538 1
208 538 1
205 538 1
108 538 1
133 538 1
209 538 1
59 538 1
210 538 1
141 538 1
116 538 1
196 538 1
144 538 1
117 538 1
211 538 1
149 538 1
197 538 1
212 538 1
199 538 1
213 538 1
8 538 1
214 538 1
215 538 1
104 538 1
174 538 1
216 538 1
36 538 1
157 538 1
3 538 1
51 538 1
9 538 1
106 538 1
92 538 1
15 538 1
17 538 1
179 538 1
19 538 1
217 538 1
95 538 1
87 539 1
89 539 1
90 539 1
51 539 1
178 540 1
62 540 1
64 540 1
37 540 1
3 540 1
128 541 1
168 541 1
129 541 1
39 541 1
11 541 1
218 541 1
20 541 1
219 541 1
0 541 1
78 541 1
194 541 1
18 541 1
145 541 1
146 541 1
147 541 1
57 541 1
211 541 1
220 541 1
38 541 1
85 541 1
221 541 1
13 541 1
88 541 1
222 541 1
35 541 1
200 541 1
223 541 1
89 541 1
37 541 1
90 541 1
176 541 1
34 541 1
123 541 1
124 541 1
224 541 1
225 541 1
226 541 1
227 541 1
228 541 1
229 541 1
43 542 1
230 542 1
169 543 1
194 543 1
8 543 1
88 543 1
35 543 1
200 543 1
90 543 1
224 543 1
168 544 1
129 544 1
27 544 1
40 544 1
191 544 1
169 544 1
219 544 1
0 544 1
78 544 1
1 544 1
231 544 1
18 544 1
146 544 1
147 544 1
220 544 1
85 544 1
118 544 1
119 544 1
232 544 1
10 544 1
120 544 1
35 544 1
36 544 1
223 544 1
37 544 1
90 544 1
34 544 1
122 544 1
224 544 1
69 544 1
20 545 1
25 545 1
194 545 1
57 545 1
212 545 1
103 545 1
51 545 1
9 545 1
19 545 1
233 546 1
214 546 1
36 546 1
37 546 1
34 546 1
159 546 1
15 546 1
128 547 1
234 547 1
39 547 1
40 547 1
191 547 1
73 547 1
11 547 1
169 547 1
233 547 1
41 547 1
208 547 1
21 547 1
114 547 1
235 547 1
97 547 1
59 547 1
78 547 1
194 547 1
28 547 1
79 547 1
236 547 1
101 547 1
141 547 1
116 547 1
142 547 1
146 547 1
147 547 1
83 547 1
237 547 1
119 547 1
238 547 1
7 547 1
239 547 1
8 547 1
240 547 1
110 547 1
10 547 1
241 547 1
120 547 1
36 547 1
90 547 1
157 547 1
50 547 1
34 547 1
