7681 280016
0 1661 1
1 1661 1
2 1661 1
3 1661 1
4 1661 1
5 1661 1
6 1661 1
7 1661 1
8 1662 1
9 1662 1
10 1662 1
11 1662 1
12 1662 1
13 1662 1
14 1662 1
15 1662 1
16 1662 1
2 1662 1
17 1662 1
18 1662 1
19 1662 1
20 1662 1
21 1662 1
22 1662 1
23 1662 1
24 1662 1
25 1662 1
26 1662 1
27 1662 1
28 1662 1
29 1662 1
30 1662 1
31 1662 1
32 1662 1
33 1662 1
34 1662 1
35 1662 1
36 1662 1
37 1662 1
38 1662 1
39 1662 1
40 1662 1
41 1662 1
42 1662 1
43 1662 1
44 1662 1
45 1662 1
46 1662 1
47 1662 1
48 1662 1
49 1662 1
50 1662 1
51 1662 1
52 1662 1
53 1662 1
6 1662 1
54 1662 1
55 1662 1
56 1662 1
57 1662 1
58 1663 1
59 1663 1
60 1663 1
61 1663 1
62 1663 1
63 1663 1
64 1663 1
65 1663 1
66 1663 1
12 1664 1
67 1664 1
68 1665 1
69 1665 1
70 1665 1
71 1665 1
72 1665 1
73 1665 1
74 1665 1
75 1665 1
76 1665 1
77 1665 1
78 1665 1
79 1665 1
80 1665 1
81 1665 1
82 1665 1
83 1665 1
84 1665 1
85 1665 1
86 1665 1
87 1665 1
32 1665 1
88 1665 1
89 1665 1
90 1665 1
91 1665 1
92 1665 1
93 1665 1
94 1665 1
95 1665 1
96 1665 1
97 1665 1
98 1665 1
99 1665 1
100 1665 1
101 1665 1
102 1665 1
103 1665 1
104 1665 1
105 1665 1
106 1665 1
107 1665 1
108 1665 1
109 1665 1
110 1665 1
111 1665 1
112 1665 1
113 1665 1
2 1665 1
114 1665 1
115 1665 1
116 1665 1
117 1665 1
118 1665 1
119 1665 1
120 1665 1
121 1665 1
122 1665 1
123 1665 1
124 1665 1
125 1665 1
126 1665 1
127 1665 1
128 1665 1
129 1665 1
130 1665 1
131 1665 1
132 1665 1
133 1665 1
134 1665 1
135 1665 1
136 1665 1
137 1665 1
138 1665 1
139 1665 1
140 1665 1
141 1665 1
142 1665 1
143 1666 1
144 1666 1
145 1666 1
146 1666 1
147 1666 1
148 1666 1
149 1666 1
150 1666 1
151 1666 1
152 1666 1
153 1666 1
154 1666 1
155 1667 1
33 1667 1
69 1668 1
156 1668 1
73 1668 1
79 1668 1
157 1668 1
158 1668 1
159 1668 1
160 1668 1
161 1668 1
162 1668 1
163 1668 1
5 1668 1
164 1668 1
165 1668 1
166 1668 1
167 1668 1
168 1668 1
169 1668 1
170 1668 1
171 1668 1
172 1668 1
173 1668 1
174 1668 1
175 1668 1
176 1668 1
45 1668 1
177 1668 1
178 1668 1
179 1668 1
180 1668 1
181 1668 1
182 1668 1
183 1668 1
184 1668 1
185 1668 1
186 1668 1
187 1668 1
188 1668 1
8 1668 1
189 1668 1
190 1668 1
191 1668 1
192 1668 1
2 1668 1
193 1668 1
194 1668 1
195 1668 1
25 1668 1
196 1668 1
4 1668 1
197 1668 1
198 1668 1
199 1668 1
117 1668 1
151 1668 1
200 1668 1
201 1668 1
202 1668 1
203 1668 1
38 1668 1
119 1668 1
120 1668 1
204 1668 1
205 1668 1
206 1668 1
126 1668 1
207 1668 1
208 1668 1
209 1668 1
210 1668 1
133 1668 1
136 1668 1
211 1668 1
212 1668 1
213 1668 1
214 1668 1
215 1668 1
216 1668 1
73 1669 1
155 1669 1
143 1669 1
157 1669 1
161 1669 1
217 1669 1
218 1669 1
91 1669 1
219 1669 1
178 1669 1
220 1669 1
221 1669 1
222 1669 1
223 1669 1
149 1669 1
117 1669 1
128 1669 1
224 1669 1
129 1669 1
225 1669 1
226 1669 1
227 1670 1
228 1670 1
