6082 140310
0 450 1
1 451 1
2 451 1
3 451 1
4 451 1
5 451 1
6 451 1
7 451 1
8 451 1
9 451 1
10 451 1
11 451 1
12 451 1
13 451 1
14 451 1
15 451 1
16 451 1
17 451 1
18 451 1
19 451 1
20 451 1
21 451 1
22 451 1
23 451 1
24 451 1
25 452 1
26 452 1
27 452 1
28 452 1
29 452 1
30 452 1
31 452 1
32 452 1
33 452 1
34 453 1
35 453 1
36 453 1
37 453 1
38 454 1
39 454 1
16 454 1
40 454 1
41 454 1
42 454 1
43 454 1
44 454 1
45 454 1
46 454 1
47 454 1
48 454 1
49 454 1
50 454 1
51 454 1
52 454 1
53 455 1
8 455 1
54 455 1
55 455 1
51 455 1
56 456 1
14 456 1
6 456 1
47 456 1
38 457 1
57 457 1
10 457 1
11 457 1
16 457 1
58 457 1
59 457 1
20 457 1
60 457 1
61 457 1
62 457 1
6 457 1
9 457 1
63 457 1
64 457 1
65 457 1
15 457 1
66 457 1
50 457 1
56 458 1
53 458 1
10 458 1
40 458 1
67 458 1
68 459 1
27 459 1
69 459 1
70 459 1
71 459 1
12 459 1
72 459 1
73 459 1
74 459 1
75 459 1
76 459 1
77 459 1
78 459 1
0 459 1
79 459 1
80 459 1
81 459 1
82 459 1
83 459 1
84 459 1
85 459 1
86 459 1
87 459 1
88 459 1
89 459 1
90 459 1
91 459 1
92 459 1
7 459 1
8 459 1
93 459 1
94 459 1
95 459 1
24 459 1
36 459 1
96 459 1
97 459 1
98 459 1
99 459 1
100 459 1
101 459 1
102 459 1
103 459 1
104 459 1
105 459 1
106 459 1
107 459 1
108 459 1
109 459 1
110 459 1
58 460 1
6 460 1
66 461 1
111 461 1
12 462 1
72 462 1
73 462 1
112 462 1
21 462 1
45 462 1
0 462 1
81 462 1
83 462 1
84 462 1
113 462 1
114 462 1
90 462 1
4 462 1
115 462 1
8 462 1
116 462 1
29 462 1
117 462 1
95 462 1
118 462 1
22 462 1
24 462 1
96 462 1
119 462 1
47 462 1
120 462 1
121 462 1
31 462 1
111 462 1
86 463 1
5 464 1
39 464 1
27 464 1
11 464 1
122 464 1
123 464 1
81 464 1
48 464 1
51 464 1
86 464 1
88 464 1
53 464 1
4 464 1
8 464 1
124 464 1
10 464 1
14 464 1
117 464 1
16 464 1
125 464 1
24 464 1
3 464 1
103 464 1
19 464 1
126 465 1
127 465 1
128 465 1
129 465 1
130 465 1
41 465 1
39 466 1
131 466 1
20 466 1
76 466 1
132 466 1
79 466 1
82 466 1
133 466 1
134 466 1
51 466 1
87 466 1
89 466 1
135 466 1
136 466 1
53 466 1
137 466 1
138 466 1
95 466 1
139 466 1
42 466 1
140 466 1
141 466 1
142 466 1
120 466 1
104 466 1
64 466 1
143 466 1
50 466 1
144 466 1
145 466 1
146 467 1
68 467 1
147 467 1
27 467 1
126 467 1
70 467 1
71 467 1
12 467 1
72 467 1
73 467 1
148 467 1
149 467 1
150 467 1
75 467 1
20 467 1
76 467 1
151 467 1
152 467 1
153 467 1
154 467 1
41 467 1
155 467 1
78 467 1
156 467 1
25 467 1
157 467 1
81 467 1
82 467 1
28 467 1
158 467 1
113 467 1
159 467 1
114 467 1
160 467 1
32 467 1
33 467 1
86 467 1
161 467 1
88 467 1
162 467 1
89 467 1
163 467 1
164 467 1
165 467 1
166 467 1
90 467 1
52 467 1
167 467 1
168 467 1
169 467 1
38 467 1
92 467 1
4 467 1
7 467 1
170 467 1
115 467 1
8 467 1
171 467 1
10 467 1
29 467 1
172 467 1
173 467 1
174 467 1
125 467 1
175 467 1
24 467 1
176 467 1
36 467 1
96 467 1
97 467 1
37 467 1
98 467 1
177 467 1
119 467 1
178 467 1
34 467 1
179 467 1
180 467 1
9 467 1
101 467 1
121 467 1
104 467 1
181 467 1
182 467 1
31 467 1
65 467 1
15 467 1
183 467 1
17 467 1
184 467 1
185 467 1
186 467 1
111 467 1
108 467 1
146 468 1
68 468 1
187 468 1
188 468 1
147 468 1
11 468 1
127 468 1
30 468 1
75 468 1
189 468 1
21 468 1
153 468 1
154 468 1
60 468 1
129 468 1
78 468 1
79 468 1
1 468 1
26 468 1
83 468 1
159 468 1
114 468 1
85 468 1
134 468 1
190 468 1
51 468 1
164 468 1
165 468 1
135 468 1
166 468 1
191 468 1
192 468 1
53 468 1
