6123 136602
0 445 1
1 446 1
2 446 1
3 446 1
4 446 1
5 446 1
6 446 1
7 446 1
8 446 1
9 446 1
10 446 1
11 446 1
12 446 1
13 446 1
14 446 1
15 446 1
16 446 1
17 446 1
18 446 1
19 446 1
20 446 1
21 446 1
22 446 1
23 446 1
24 446 1
25 446 1
26 447 1
27 447 1
28 447 1
29 447 1
30 447 1
31 447 1
32 447 1
33 447 1
34 447 1
35 448 1
36 448 1
37 448 1
38 448 1
39 449 1
40 449 1
17 449 1
41 449 1
42 449 1
43 449 1
44 449 1
45 449 1
46 449 1
47 449 1
48 449 1
49 449 1
50 449 1
51 449 1
52 449 1
53 449 1
54 450 1
8 450 1
55 450 1
52 450 1
56 451 1
14 451 1
6 451 1
48 451 1
39 452 1
57 452 1
10 452 1
11 452 1
17 452 1
58 452 1
59 452 1
21 452 1
60 452 1
61 452 1
62 452 1
6 452 1
9 452 1
63 452 1
64 452 1
65 452 1
15 452 1
66 452 1
51 452 1
56 453 1
54 453 1
10 453 1
41 453 1
67 453 1
28 454 1
68 454 1
69 454 1
70 454 1
12 454 1
71 454 1
72 454 1
0 454 1
73 454 1
74 454 1
75 454 1
76 454 1
77 454 1
78 454 1
79 454 1
7 454 1
8 454 1
80 454 1
81 454 1
82 454 1
25 454 1
37 454 1
83 454 1
84 454 1
85 454 1
86 454 1
87 454 1
88 454 1
89 454 1
58 455 1
6 455 1
66 456 1
90 456 1
12 457 1
71 457 1
91 457 1
22 457 1
46 457 1
0 457 1
74 457 1
92 457 1
4 457 1
93 457 1
8 457 1
94 457 1
30 457 1
95 457 1
82 457 1
23 457 1
25 457 1
96 457 1
48 457 1
97 457 1
98 457 1
32 457 1
90 457 1
76 458 1
5 459 1
40 459 1
28 459 1
11 459 1
99 459 1
100 459 1
101 459 1
49 459 1
52 459 1
76 459 1
54 459 1
4 459 1
8 459 1
102 459 1
10 459 1
14 459 1
95 459 1
17 459 1
25 459 1
3 459 1
85 459 1
20 459 1
103 460 1
104 460 1
105 460 1
106 460 1
107 460 1
42 460 1
108 461 1
40 461 1
109 461 1
21 461 1
110 461 1
111 461 1
73 461 1
112 461 1
52 461 1
77 461 1
113 461 1
114 461 1
115 461 1
54 461 1
116 461 1
117 461 1
118 461 1
82 461 1
119 461 1
43 461 1
120 461 1
121 461 1
122 461 1
123 461 1
97 461 1
64 461 1
16 461 1
124 461 1
51 461 1
125 461 1
126 461 1
127 461 1
128 461 1
129 462 1
130 462 1
28 462 1
103 462 1
69 462 1
70 462 1
12 462 1
71 462 1
131 462 1
132 462 1
133 462 1
72 462 1
21 462 1
134 462 1
135 462 1
136 462 1
137 462 1
42 462 1
138 462 1
139 462 1
26 462 1
140 462 1
29 462 1
141 462 1
142 462 1
92 462 1
143 462 1
33 462 1
34 462 1
76 462 1
144 462 1
145 462 1
77 462 1
146 462 1
147 462 1
148 462 1
149 462 1
53 462 1
150 462 1
151 462 1
152 462 1
39 462 1
79 462 1
4 462 1
7 462 1
153 462 1
93 462 1
8 462 1
154 462 1
10 462 1
30 462 1
155 462 1
156 462 1
157 462 1
25 462 1
158 462 1
37 462 1
83 462 1
38 462 1
84 462 1
159 462 1
96 462 1
160 462 1
35 462 1
