6250 147256
0 498 1
1 498 1
2 498 1
3 498 1
4 498 1
5 498 1
6 498 1
7 498 1
8 498 1
9 498 1
10 498 1
11 499 1
12 499 1
13 499 1
14 499 1
15 499 1
16 499 1
17 499 1
18 499 1
19 499 1
20 499 1
21 499 1
22 499 1
23 499 1
24 499 1
25 499 1
26 499 1
27 499 1
28 499 1
29 499 1
30 499 1
31 499 1
32 499 1
33 499 1
34 499 1
35 500 1
36 500 1
37 500 1
38 500 1
39 500 1
40 500 1
41 500 1
42 500 1
43 500 1
44 501 1
45 501 1
46 501 1
47 502 1
48 502 1
26 502 1
49 502 1
50 502 1
51 502 1
52 502 1
53 502 1
54 502 1
55 502 1
56 502 1
57 502 1
58 502 1
59 502 1
60 502 1
61 502 1
62 503 1
63 503 1
64 503 1
5 503 1
18 503 1
6 503 1
7 503 1
65 503 1
66 503 1
67 503 1
68 503 1
69 503 1
70 503 1
71 503 1
72 503 1
1 503 1
59 503 1
73 503 1
74 504 1
24 504 1
16 504 1
55 504 1
47 505 1
75 505 1
20 505 1
21 505 1
26 505 1
76 505 1
77 505 1
30 505 1
78 505 1
79 505 1
80 505 1
81 505 1
16 505 1
19 505 1
82 505 1
83 505 1
84 505 1
25 505 1
85 505 1
58 505 1
74 506 1
62 506 1
20 506 1
86 506 1
37 507 1
87 507 1
88 507 1
89 507 1
22 507 1
90 507 1
91 507 1
3 507 1
92 507 1
93 507 1
94 507 1
95 507 1
2 507 1
96 507 1
97 507 1
98 507 1
99 507 1
70 507 1
100 507 1
1 507 1
101 507 1
102 507 1
73 507 1
103 507 1
9 507 1
104 507 1
105 507 1
4 507 1
63 507 1
106 507 1
107 507 1
5 507 1
17 507 1
18 507 1
6 507 1
108 507 1
109 507 1
110 507 1
7 507 1
111 507 1
34 507 1
46 507 1
112 507 1
113 507 1
114 507 1
115 507 1
116 507 1
117 507 1
71 507 1
118 507 1
119 507 1
120 507 1
121 507 1
122 507 1
76 508 1
16 508 1
85 509 1
123 509 1
22 510 1
90 510 1
91 510 1
124 510 1
31 510 1
53 510 1
2 510 1
98 510 1
14 510 1
125 510 1
18 510 1
126 510 1
39 510 1
127 510 1
32 510 1
34 510 1
128 510 1
55 510 1
129 510 1
130 510 1
41 510 1
123 510 1
102 511 1
15 512 1
48 512 1
37 512 1
21 512 1
131 512 1
132 512 1
56 512 1
59 512 1
102 512 1
62 512 1
14 512 1
18 512 1
133 512 1
20 512 1
24 512 1
127 512 1
26 512 1
134 512 1
34 512 1
81 512 1
13 512 1
117 512 1
135 512 1
29 512 1
136 513 1
137 513 1
138 513 1
139 513 1
49 513 1
135 513 1
48 514 1
140 514 1
30 514 1
96 514 1
141 514 1
59 514 1
103 514 1
142 514 1
143 514 1
62 514 1
144 514 1
145 514 1
146 514 1
50 514 1
147 514 1
148 514 1
149 514 1
129 514 1
83 514 1
150 514 1
58 514 1
151 514 1
152 514 1
153 515 1
64 515 1
154 515 1
37 515 1
88 515 1
89 515 1
22 515 1
90 515 1
155 515 1
156 515 1
157 515 1
3 515 1
92 515 1
30 515 1
158 515 1
159 515 1
160 515 1
93 515 1
49 515 1
161 515 1
94 515 1
162 515 1
95 515 1
163 515 1
35 515 1
164 515 1
38 515 1
99 515 1
165 515 1
166 515 1
42 515 1
43 515 1
102 515 1
167 515 1
168 515 1
103 515 1
169 515 1
170 515 1
8 515 1
171 515 1
9 515 1
172 515 1
10 515 1
61 515 1
173 515 1
174 515 1
175 515 1
47 515 1
105 515 1
107 515 1
14 515 1
17 515 1
176 515 1
125 515 1
18 515 1
6 515 1
177 515 1
20 515 1
39 515 1
178 515 1
179 515 1
180 515 1
34 515 1
181 515 1
46 515 1
112 515 1
116 515 1
182 515 1
128 515 1
183 515 1
44 515 1
184 515 1
185 515 1
19 515 1
130 515 1
186 515 1
187 515 1
41 515 1
84 515 1
25 515 1
188 515 1
27 515 1
189 515 1
135 515 1
190 515 1
191 515 1
123 515 1
120 515 1
153 516 1
192 516 1
193 516 1
154 516 1
21 516 1
136 516 1
40 516 1
3 516 1
92 516 1
194 516 1
31 516 1
159 516 1
160 516 1
93 516 1
78 516 1
138 516 1
94 516 1
95 516 1
96 516 1
11 516 1
36 516 1
98 516 1
99 516 1
166 516 1
100 516 1
141 516 1
195 516 1
59 516 1
170 516 1
171 516 1
9 516 1
142 516 1
172 516 1
196 516 1
10 516 1
197 516 1
62 516 1
125 516 1
18 516 1
177 516 1
198 516 1
45 516 1
199 516 1
34 516 1
50 516 1
116 516 1
200 516 1
201 516 1
55 516 1
149 516 1
83 516 1
119 516 1
135 516 1
29 516 1
124 517 1
100 517 1
62 517 1
202 518 1
103 518 1
203 518 1
135 518 1
204 519 1
12 519 1
205 519 1
88 519 1
21 519 1
40 519 1
30 519 1
31 519 1
51 519 1
206 519 1
53 519 1
11 519 1
16 519 1
207 519 1
56 519 1
59 519 1
208 519 1
102 519 1
28 519 1
167 519 1
33 519 1
209 519 1
61 519 1
197 519 1
175 519 1
47 519 1
105 519 1
210 519 1
211 519 1
14 519 1
17 519 1
18 519 1
133 519 1
126 519 1
212 519 1
24 519 1
146 519 1
7 519 1
213 519 1
182 519 1
201 519 1
148 519 1
185 519 1
19 519 1
214 519 1
187 519 1
84 519 1
188 519 1
27 519 1
58 519 1
119 519 1
29 519 1
123 519 1
120 519 1
22 520 1
202 520 1
155 520 1
0 520 1
124 520 1
215 520 1
137 520 1
139 520 1
132 520 1
216 520 1
164 520 1
217 520 1
141 520 1
59 520 1
28 520 1
218 520 1
168 520 1
219 520 1
142 520 1
220 520 1
105 520 1
143 520 1
144 520 1
221 520 1
222 520 1
20 520 1
24 520 1
145 520 1
146 520 1
223 520 1
112 520 1
116 520 1
148 520 1
224 520 1
149 520 1
129 520 1
225 520 1
187 520 1
83 520 1
84 520 1
118 520 1
150 520 1
85 520 1
57 520 1
119 520 1
191 520 1
202 521 1
90 521 1
226 521 1
49 521 1
52 521 1
217 521 1
227 521 1
82 521 1
120 521 1
87 522 1
21 522 1
157 522 1
228 522 1
98 522 1
100 522 1
195 522 1
167 522 1
168 522 1
62 522 1
213 522 1
185 522 1
119 522 1
229 523 1
230 523 1
226 523 1
131 523 1
158 523 1
231 523 1
67 523 1
232 523 1
233 523 1
70 523 1
141 523 1
73 523 1
234 523 1
219 523 1
169 523 1
142 523 1
235 523 1
174 523 1
220 523 1
236 523 1
5 523 1
222 523 1
237 523 1
18 523 1
6 523 1
238 523 1
239 523 1
127 523 1
198 523 1
240 523 1
46 523 1
182 523 1
13 523 1
55 523 1
19 523 1
129 523 1
117 523 1
71 523 1
25 523 1
27 523 1
203 523 1
29 523 1
241 523 1
120 523 1
110 524 1
112 524 1
116 524 1
55 524 1
202 525 1
76 525 1
78 525 1
94 525 1
242 525 1
115 525 1
13 525 1
153 526 1
193 526 1
154 526 1
48 526 1
21 526 1
243 526 1
30 526 1
244 526 1
2 526 1
96 526 1
217 526 1
28 526 1
170 526 1
171 526 1
172 526 1
61 526 1
235 526 1
245 526 1
47 526 1
105 526 1
246 526 1
23 526 1
247 526 1
45 526 1
223 526 1
248 526 1
112 526 1
116 526 1
200 526 1
44 526 1
148 526 1
149 526 1
249 526 1
250 526 1
251 526 1
252 526 1
253 526 1
254 526 1
91 527 1
93 527 1
94 527 1
97 527 1
217 527 1
242 527 1
18 527 1
45 527 1
223 527 1
113 527 1
116 527 1
249 527 1
255 528 1
71 528 1
193 529 1
154 529 1
37 529 1
256 529 1
3 529 1
244 529 1
94 529 1
2 529 1
96 529 1
11 529 1
257 529 1
258 529 1
259 529 1
70 529 1
1 529 1
28 529 1
73 529 1
171 529 1
172 529 1
245 529 1
105 529 1
143 529 1
144 529 1
5 529 1
260 529 1
20 529 1
145 529 1
261 529 1
45 529 1
46 529 1
262 529 1
248 529 1
116 529 1
44 529 1
