6225 144815
0 484 1
1 485 1
2 485 1
3 485 1
4 485 1
5 485 1
6 485 1
7 485 1
8 485 1
9 485 1
10 485 1
11 485 1
12 485 1
13 485 1
14 485 1
15 485 1
16 485 1
17 485 1
18 485 1
19 485 1
20 485 1
21 485 1
22 485 1
23 485 1
24 485 1
25 486 1
26 486 1
27 486 1
28 486 1
29 486 1
30 486 1
31 486 1
32 486 1
33 486 1
34 487 1
35 487 1
36 487 1
37 488 1
38 488 1
39 488 1
16 488 1
40 488 1
41 488 1
42 488 1
43 488 1
44 488 1
45 488 1
46 488 1
47 488 1
48 488 1
49 488 1
50 488 1
51 488 1
52 488 1
53 488 1
54 489 1
8 489 1
55 489 1
52 489 1
56 490 1
14 490 1
6 490 1
47 490 1
37 491 1
57 491 1
10 491 1
11 491 1
16 491 1
58 491 1
59 491 1
20 491 1
60 491 1
41 491 1
61 491 1
62 491 1
63 491 1
6 491 1
9 491 1
64 491 1
65 491 1
66 491 1
67 491 1
15 491 1
68 491 1
51 491 1
69 491 1
56 492 1
54 492 1
10 492 1
70 492 1
27 493 1
71 493 1
72 493 1
73 493 1
12 493 1
74 493 1
75 493 1
76 493 1
41 493 1
0 493 1
77 493 1
78 493 1
79 493 1
80 493 1
81 493 1
82 493 1
83 493 1
7 493 1
8 493 1
84 493 1
85 493 1
86 493 1
24 493 1
36 493 1
87 493 1
88 493 1
89 493 1
90 493 1
91 493 1
92 493 1
93 493 1
58 494 1
94 494 1
6 494 1
68 495 1
95 495 1
12 496 1
74 496 1
96 496 1
21 496 1
45 496 1
0 496 1
78 496 1
97 496 1
69 496 1
4 496 1
98 496 1
8 496 1
99 496 1
29 496 1
100 496 1
86 496 1
22 496 1
24 496 1
101 496 1
47 496 1
102 496 1
103 496 1
31 496 1
95 496 1
80 497 1
69 497 1
5 498 1
38 498 1
27 498 1
11 498 1
104 498 1
105 498 1
41 498 1
106 498 1
107 498 1
108 498 1
49 498 1
52 498 1
80 498 1
109 498 1
54 498 1
4 498 1
8 498 1
110 498 1
10 498 1
14 498 1
100 498 1
16 498 1
111 498 1
24 498 1
112 498 1
113 498 1
3 498 1
89 498 1
114 498 1
19 498 1
115 498 1
116 499 1
75 499 1
117 499 1
118 499 1
119 499 1
40 499 1
38 500 1
120 500 1
20 500 1
121 500 1
122 500 1
77 500 1
123 500 1
124 500 1
52 500 1
125 500 1
81 500 1
126 500 1
127 500 1
54 500 1
128 500 1
129 500 1
130 500 1
86 500 1
131 500 1
42 500 1
132 500 1
133 500 1
134 500 1
102 500 1
66 500 1
135 500 1
51 500 1
136 500 1
137 500 1
138 501 1
139 501 1
27 501 1
72 501 1
73 501 1
12 501 1
74 501 1
140 501 1
141 501 1
142 501 1
76 501 1
20 501 1
143 501 1
94 501 1
144 501 1
145 501 1
40 501 1
146 501 1
147 501 1
25 501 1
148 501 1
28 501 1
149 501 1
150 501 1
97 501 1
32 501 1
33 501 1
80 501 1
151 501 1
69 501 1
152 501 1
81 501 1
153 501 1
154 501 1
155 501 1
156 501 1
53 501 1
157 501 1
158 501 1
159 501 1
37 501 1
83 501 1
4 501 1
7 501 1
160 501 1
98 501 1
8 501 1
161 501 1
10 501 1
29 501 1
162 501 1
163 501 1
164 501 1
24 501 1
165 501 1
36 501 1
87 501 1
88 501 1
62 501 1
166 501 1
101 501 1
167 501 1
34 501 1
168 501 1
169 501 1
9 501 1
103 501 1
170 501 1
171 501 1
31 501 1
67 501 1
15 501 1
172 501 1
114 501 1
17 501 1
173 501 1
174 501 1
175 501 1
95 501 1
92 501 1
138 502 1
176 502 1
177 502 1
139 502 1
11 502 1
116 502 1
30 502 1
76 502 1
178 502 1
21 502 1
144 502 1
145 502 1
60 502 1
118 502 1
77 502 1
1 502 1
26 502 1
78 502 1
150 502 1
97 502 1
79 502 1
124 502 1
179 502 1
52 502 1
154 502 1
155 502 1
126 502 1
156 502 1
180 502 1
181 502 1
182 502 1
54 502 1
98 502 1
8 502 1
161 502 1
183 502 1
35 502 1
184 502 1
24 502 1
42 502 1
88 502 1
185 502 1
112 502 1
113 502 1
186 502 1
47 502 1
134 502 1
66 502 1
91 502 1
19 502 1
187 502 1
96 503 1
79 503 1
54 503 1
188 504 1
81 504 1
113 504 1
189 504 1
190 505 1
2 505 1
191 505 1
192 505 1
72 505 1
11 505 1
30 505 1
20 505 1
21 505 1
43 505 1
193 505 1
45 505 1
1 505 1
108 505 1
6 505 1
194 505 1
97 505 1
49 505 1
52 505 1
195 505 1
80 505 1
18 505 1
151 505 1
23 505 1
196 505 1
53 505 1
181 505 1
159 505 1
37 505 1
182 505 1
83 505 1
197 505 1
198 505 1
4 505 1
7 505 1
199 505 1
8 505 1
110 505 1
99 505 1
200 505 1
14 505 1
111 505 1
131 505 1
201 505 1
166 505 1
186 505 1
133 505 1
169 505 1
9 505 1
202 505 1
171 505 1
67 505 1
172 505 1
17 505 1
51 505 1
91 505 1
19 505 1
95 505 1
92 505 1
12 506 1
188 506 1
140 506 1
75 506 1
96 506 1
203 506 1
117 506 1
119 506 1
105 506 1
204 506 1
148 506 1
205 506 1
123 506 1
206 506 1
207 506 1
124 506 1
52 506 1
18 506 1
208 506 1
152 506 1
209 506 1
126 506 1
210 506 1
83 506 1
127 506 1
128 506 1
211 506 1
212 506 1
10 506 1
14 506 1
111 506 1
130 506 1
86 506 1
131 506 1
213 506 1
87 506 1
88 506 1
113 506 1
214 506 1
133 506 1
215 506 1
134 506 1
102 506 1
216 506 1
171 506 1
66 506 1
67 506 1
90 506 1
135 506 1
114 506 1
68 506 1
50 506 1
91 506 1
175 506 1
188 507 1
74 507 1
217 507 1
40 507 1
44 507 1
205 507 1
65 507 1
92 507 1
71 508 1
11 508 1
142 508 1
218 508 1
78 508 1
79 508 1
179 508 1
151 508 1
152 508 1
54 508 1
86 508 1
201 508 1
169 508 1
91 508 1
192 509 1
219 509 1
220 509 1
217 509 1
104 509 1
143 509 1
221 509 1
107 509 1
55 509 1
222 509 1
124 509 1
209 509 1
153 509 1
126 509 1
223 509 1
224 509 1
158 509 1
210 509 1
225 509 1
212 509 1
226 509 1
8 509 1
227 509 1
228 509 1
100 509 1
183 509 1
111 509 1
229 509 1
36 509 1
230 509 1
62 509 1
166 509 1
112 509 1
113 509 1
