6258 160010
0 548 1
1 549 1
2 549 1
3 549 1
4 549 1
5 549 1
6 549 1
7 549 1
8 549 1
9 549 1
10 549 1
11 549 1
12 549 1
13 549 1
14 549 1
15 549 1
16 549 1
17 549 1
18 549 1
19 549 1
20 549 1
21 549 1
22 549 1
23 549 1
24 549 1
25 549 1
26 549 1
27 550 1
28 550 1
29 550 1
30 550 1
31 550 1
32 550 1
33 550 1
34 550 1
35 550 1
36 551 1
37 551 1
38 551 1
39 551 1
40 552 1
41 552 1
42 552 1
18 552 1
43 552 1
44 552 1
45 552 1
46 552 1
47 552 1
48 552 1
49 552 1
50 552 1
51 552 1
52 552 1
53 552 1
54 552 1
55 552 1
56 552 1
57 552 1
58 552 1
59 552 1
60 553 1
9 553 1
61 553 1
16 553 1
56 553 1
62 554 1
15 554 1
6 554 1
52 554 1
41 555 1
63 555 1
11 555 1
12 555 1
18 555 1
64 555 1
65 555 1
22 555 1
66 555 1
67 555 1
68 555 1
69 555 1
70 555 1
6 555 1
10 555 1
71 555 1
72 555 1
73 555 1
17 555 1
74 555 1
55 555 1
57 555 1
62 556 1
60 556 1
11 556 1
75 556 1
45 556 1
76 556 1
7 557 1
29 557 1
77 557 1
78 557 1
79 557 1
13 557 1
80 557 1
81 557 1
82 557 1
83 557 1
84 557 1
45 557 1
0 557 1
85 557 1
86 557 1
87 557 1
88 557 1
89 557 1
90 557 1
91 557 1
57 557 1
92 557 1
93 557 1
94 557 1
95 557 1
96 557 1
8 557 1
9 557 1
97 557 1
98 557 1
99 557 1
26 557 1
38 557 1
100 557 1
101 557 1
102 557 1
103 557 1
104 557 1
16 557 1
105 557 1
106 557 1
107 557 1
108 557 1
109 557 1
64 558 1
6 558 1
96 558 1
110 559 1
74 559 1
111 559 1
13 560 1
81 560 1
112 560 1
23 560 1
50 560 1
0 560 1
88 560 1
113 560 1
4 560 1
114 560 1
115 560 1
9 560 1
116 560 1
31 560 1
117 560 1
99 560 1
24 560 1
26 560 1
118 560 1
119 560 1
52 560 1
120 560 1
121 560 1
16 560 1
33 560 1
122 560 1
123 560 1
111 560 1
109 560 1
124 561 1
125 561 1
90 561 1
124 562 1
5 562 1
42 562 1
29 562 1
12 562 1
126 562 1
127 562 1
53 562 1
56 562 1
90 562 1
60 562 1
4 562 1
9 562 1
128 562 1
11 562 1
15 562 1
117 562 1
18 562 1
26 562 1
3 562 1
103 562 1
21 562 1
129 563 1
130 563 1
131 563 1
132 563 1
44 563 1
133 564 1
134 564 1
135 564 1
136 564 1
7 564 1
42 564 1
137 564 1
138 564 1
139 564 1
140 564 1
22 564 1
83 564 1
66 564 1
67 564 1
45 564 1
141 564 1
142 564 1
85 564 1
143 564 1
144 564 1
145 564 1
146 564 1
147 564 1
125 564 1
87 564 1
148 564 1
149 564 1
150 564 1
56 564 1
91 564 1
57 564 1
151 564 1
92 564 1
152 564 1
93 564 1
153 564 1
154 564 1
60 564 1
155 564 1
114 564 1
156 564 1
110 564 1
157 564 1
158 564 1
159 564 1
160 564 1
99 564 1
161 564 1
46 564 1
118 564 1
47 564 1
101 564 1
162 564 1
163 564 1
164 564 1
165 564 1
166 564 1
167 564 1
168 564 1
169 564 1
170 564 1
120 564 1
104 564 1
171 564 1
16 564 1
72 564 1
172 564 1
55 564 1
122 564 1
173 564 1
174 564 1
123 564 1
175 564 1
176 564 1
177 564 1
178 564 1
179 564 1
109 564 1
180 565 1
181 565 1
29 565 1
78 565 1
79 565 1
13 565 1
81 565 1
182 565 1
183 565 1
184 565 1
82 565 1
22 565 1
83 565 1
185 565 1
66 565 1
67 565 1
186 565 1
187 565 1
44 565 1
188 565 1
189 565 1
27 565 1
190 565 1
87 565 1
30 565 1
191 565 1
192 565 1
113 565 1
193 565 1
34 565 1
35 565 1
90 565 1
194 565 1
58 565 1
195 565 1
93 565 1
196 565 1
197 565 1
198 565 1
199 565 1
59 565 1
200 565 1
201 565 1
202 565 1
41 565 1
95 565 1
4 565 1
8 565 1
203 565 1
115 565 1
9 565 1
204 565 1
11 565 1
31 565 1
205 565 1
206 565 1
207 565 1
26 565 1
208 565 1
38 565 1
100 565 1
39 565 1
102 565 1
209 565 1
119 565 1
210 565 1
36 565 1
211 565 1
212 565 1
213 565 1
10 565 1
121 565 1
104 565 1
214 565 1
215 565 1
33 565 1
73 565 1
17 565 1
216 565 1
19 565 1
217 565 1
122 565 1
218 565 1
219 565 1
111 565 1
107 565 1
178 565 1
180 566 1
136 566 1
220 566 1
221 566 1
181 566 1
12 566 1
129 566 1
222 566 1
32 566 1
82 566 1
223 566 1
23 566 1
67 566 1
186 566 1
187 566 1
68 566 1
131 566 1
85 566 1
1 566 1
28 566 1
88 566 1
192 566 1
113 566 1
89 566 1
150 566 1
224 566 1
56 566 1
92 566 1
197 566 1
198 566 1
153 566 1
199 566 1
225 566 1
226 566 1
60 566 1
115 566 1
9 566 1
204 566 1
227 566 1
43 566 1
37 566 1
228 566 1
26 566 1
46 566 1
39 566 1
102 566 1
229 566 1
162 566 1
230 566 1
52 566 1
169 566 1
170 566 1
104 566 1
72 566 1
106 566 1
21 566 1
173 566 1
136 567 1
112 567 1
89 567 1
60 567 1
231 568 1
66 568 1
93 568 1
118 568 1
232 568 1
233 569 1
2 569 1
234 569 1
7 569 1
78 569 1
12 569 1
32 569 1
22 569 1
23 569 1
84 569 1
45 569 1
48 569 1
235 569 1
50 569 1
1 569 1
236 569 1
125 569 1
6 569 1
