6594 180055
0 714 1
1 714 1
2 715 1
3 715 1
4 715 1
5 715 1
6 715 1
7 715 1
8 715 1
9 715 1
10 715 1
11 715 1
12 715 1
13 715 1
14 715 1
15 715 1
16 715 1
17 715 1
18 715 1
19 715 1
20 715 1
21 715 1
22 715 1
23 715 1
24 715 1
25 716 1
26 716 1
27 716 1
28 716 1
29 716 1
30 716 1
31 716 1
32 716 1
33 716 1
34 716 1
35 717 1
36 717 1
37 718 1
38 718 1
39 718 1
40 718 1
41 718 1
42 718 1
18 718 1
43 718 1
44 718 1
45 718 1
46 718 1
47 718 1
48 718 1
49 718 1
50 718 1
51 718 1
52 718 1
53 718 1
54 718 1
55 718 1
56 718 1
57 718 1
58 718 1
59 718 1
60 718 1
61 718 1
62 719 1
8 719 1
63 719 1
60 719 1
64 720 1
15 720 1
37 721 1
65 721 1
10 721 1
11 721 1
18 721 1
66 721 1
67 721 1
68 721 1
69 721 1
20 721 1
70 721 1
71 721 1
72 721 1
73 721 1
9 721 1
74 721 1
56 721 1
75 721 1
76 721 1
16 721 1
77 721 1
59 721 1
78 721 1
79 721 1
64 722 1
62 722 1
10 722 1
43 722 1
80 722 1
1 722 1
81 722 1
44 722 1
82 722 1
56 722 1
83 722 1
28 723 1
84 723 1
85 723 1
86 723 1
13 723 1
87 723 1
88 723 1
89 723 1
1 723 1
44 723 1
0 723 1
90 723 1
91 723 1
92 723 1
93 723 1
94 723 1
95 723 1
96 723 1
7 723 1
8 723 1
97 723 1
98 723 1
23 723 1
99 723 1
100 723 1
101 723 1
102 723 1
103 723 1
104 723 1
105 723 1
106 723 1
107 723 1
108 723 1
66 724 1
51 724 1
109 724 1
50 724 1
102 724 1
110 724 1
77 725 1
111 725 1
13 726 1
87 726 1
48 726 1
0 726 1
91 726 1
5 726 1
112 726 1
8 726 1
113 726 1
29 726 1
114 726 1
21 726 1
23 726 1
34 726 1
115 726 1
116 726 1
117 726 1
31 726 1
111 726 1
93 727 1
6 728 1
40 728 1
118 728 1
28 728 1
119 728 1
11 728 1
120 728 1
121 728 1
122 728 1
69 728 1
80 728 1
123 728 1
124 728 1
125 728 1
126 728 1
127 728 1
128 728 1
129 728 1
130 728 1
55 728 1
60 728 1
93 728 1
78 728 1
131 728 1
132 728 1
133 728 1
134 728 1
62 728 1
5 728 1
8 728 1
27 728 1
135 728 1
10 728 1
15 728 1
114 728 1
18 728 1
23 728 1
136 728 1
4 728 1
103 728 1
137 728 1
138 728 1
139 728 1
140 728 1
141 728 1
142 728 1
143 729 1
88 729 1
144 729 1
145 729 1
146 729 1
147 729 1
148 729 1
149 730 1
150 730 1
151 730 1
40 730 1
152 730 1
153 730 1
20 730 1
154 730 1
80 730 1
70 730 1
44 730 1
155 730 1
156 730 1
90 730 1
157 730 1
60 730 1
83 730 1
94 730 1
158 730 1
159 730 1
39 730 1
62 730 1
160 730 1
161 730 1
162 730 1
163 730 1
164 730 1
165 730 1
45 730 1
100 730 1
166 730 1
167 730 1
168 730 1
169 730 1
170 730 1
116 730 1
75 730 1
138 730 1
17 730 1
171 730 1
59 730 1
172 730 1
173 730 1
174 730 1
175 730 1
176 731 1
38 731 1
177 731 1
28 731 1
85 731 1
86 731 1
13 731 1
87 731 1
178 731 1
179 731 1
180 731 1
89 731 1
20 731 1
181 731 1
182 731 1
70 731 1
183 731 1
184 731 1
185 731 1
126 731 1
186 731 1
25 731 1
187 731 1
188 731 1
189 731 1
32 731 1
33 731 1
93 731 1
190 731 1
191 731 1
94 731 1
192 731 1
193 731 1
194 731 1
195 731 1
131 731 1
61 731 1
196 731 1
197 731 1
198 731 1
37 731 1
96 731 1
5 731 1
199 731 1
7 731 1
200 731 1
112 731 1
8 731 1
201 731 1
10 731 1
29 731 1
202 731 1
203 731 1
204 731 1
23 731 1
205 731 1
99 731 1
101 731 1
206 731 1
115 731 1
207 731 1
35 731 1
208 731 1
209 731 1
9 731 1
117 731 1
210 731 1
211 731 1
31 731 1
76 731 1
16 731 1
212 731 1
140 731 1
141 731 1
19 731 1
213 731 1
214 731 1
215 731 1
174 731 1
111 731 1
107 731 1
176 732 1
151 732 1
216 732 1
217 732 1
177 732 1
119 732 1
11 732 1
143 732 1
30 732 1
144 732 1
121 732 1
89 732 1
218 732 1
183 732 1
184 732 1
71 732 1
146 732 1
126 732 1
90 732 1
2 732 1
219 732 1
26 732 1
91 732 1
189 732 1
92 732 1
157 732 1
220 732 1
60 732 1
193 732 1
194 732 1
158 732 1
195 732 1
221 732 1
222 732 1
223 732 1
134 732 1
62 732 1
112 732 1
8 732 1
201 732 1
224 732 1
36 732 1
225 732 1
23 732 1
45 732 1
101 732 1
226 732 1
167 732 1
227 732 1
136 732 1
228 732 1
170 732 1
75 732 1
57 732 1
106 732 1
229 732 1
151 733 1
92 733 1
62 733 1
230 734 1
70 734 1
94 734 1
231 734 1
232 735 1
233 735 1
3 735 1
234 735 1
235 735 1
85 735 1
11 735 1
30 735 1
68 735 1
69 735 1
20 735 1
44 735 1
236 735 1
46 735 1
237 735 1
238 735 1
48 735 1
127 735 1
2 735 1
128 735 1
239 735 1
240 735 1
55 735 1
56 735 1
60 735 1
241 735 1
93 735 1
190 735 1
79 735 1
22 735 1
242 735 1
61 735 1
222 735 1
198 735 1
243 735 1
37 735 1
223 735 1
96 735 1
244 735 1
245 735 1
5 735 1
7 735 1
8 735 1
135 735 1
113 735 1
246 735 1
15 735 1
247 735 1
248 735 1
165 735 1
224 735 1
249 735 1
206 735 1
228 735 1
82 735 1
169 735 1
102 735 1
209 735 1
9 735 1
250 735 1
251 735 1
211 735 1
76 735 1
212 735 1
141 735 1
19 735 1
59 735 1
106 735 1
174 735 1
111 735 1
107 735 1
252 736 1
253 736 1
254 736 1
149 736 1
150 736 1
255 736 1
256 736 1
13 736 1
230 736 1
257 736 1
178 736 1
258 736 1
88 736 1
259 736 1
145 736 1
260 736 1
69 736 1
261 736 1
80 736 1
70 736 1
1 736 1
147 736 1
123 736 1
155 736 1
262 736 1
109 736 1
187 736 1
263 736 1
219 736 1
264 736 1
56 736 1
265 736 1
266 736 1
157 736 1
267 736 1
60 736 1
268 736 1
269 736 1
191 736 1
270 736 1
271 736 1
272 736 1
158 736 1
273 736 1
96 736 1
159 736 1
39 736 1
274 736 1
160 736 1
275 736 1
276 736 1
277 736 1
10 736 1
15 736 1
163 736 1
278 736 1
165 736 1
224 736 1
279 736 1
34 736 1
99 736 1
100 736 1
101 736 1
167 736 1
280 736 1
53 736 1
169 736 1
281 736 1
170 736 1
116 736 1
282 736 1
283 736 1
211 736 1
75 736 1
76 736 1
105 736 1
171 736 1
140 736 1
77 736 1
58 736 1
141 736 1
106 736 1
284 736 1
215 736 1
174 736 1
285 736 1
230 737 1
87 737 1
286 737 1
47 737 1
263 737 1
74 737 1
107 737 1
118 738 1
84 738 1
11 738 1
180 738 1
44 738 1
287 738 1
91 738 1
130 738 1
92 738 1
220 738 1
190 738 1
191 738 1
62 738 1
249 738 1
209 738 1
106 738 1
288 739 1
289 739 1
290 739 1
286 739 1
122 739 1
69 739 1
153 739 1
181 739 1
291 739 1
125 739 1
63 739 1
109 739 1
239 739 1
129 739 1
292 739 1
293 739 1
56 739 1
157 739 1
294 739 1
270 739 1
192 739 1
158 739 1
295 739 1
296 739 1
197 739 1
297 739 1
273 739 1
298 739 1
276 739 1
299 739 1
8 739 1
300 739 1
301 739 1
302 739 1
114 739 1
303 739 1
224 739 1
304 739 1
206 739 1
136 739 1
50 739 1
4 739 1
305 739 1
306 739 1
9 739 1
116 739 1
103 739 1
251 739 1
16 739 1
138 739 1
19 739 1
231 739 1
142 739 1
307 739 1
107 739 1
252 740 1
258 740 1
308 740 1
309 740 1
98 740 1
99 740 1
101 740 1
253 741 1
310 741 1
230 741 1
66 741 1
71 741 1
109 741 1
311 741 1
312 741 1
309 741 1
4 741 1
17 741 1
176 742 1
310 742 1
217 742 1
177 742 1
40 742 1
11 742 1
313 742 1
314 742 1
20 742 1
315 742 1
0 742 1
90 742 1
316 742 1
263 742 1
193 742 1
194 742 1
195 742 1
61 742 1
296 742 1
317 742 1
37 742 1
96 742 1
318 742 1
14 742 1
319 742 1
36 742 1
279 742 1
320 742 1
99 742 1
101 742 1
226 742 1
35 742 1
