6223 144967
0 488 1
1 489 1
2 489 1
3 489 1
4 489 1
5 489 1
6 489 1
7 489 1
8 489 1
9 489 1
10 489 1
11 489 1
12 489 1
13 489 1
14 489 1
15 489 1
16 489 1
17 489 1
18 489 1
19 489 1
20 489 1
21 489 1
22 489 1
23 489 1
24 489 1
25 489 1
26 489 1
27 489 1
28 489 1
29 490 1
30 490 1
31 490 1
32 490 1
33 490 1
34 490 1
35 490 1
36 490 1
37 490 1
38 491 1
39 491 1
40 491 1
41 491 1
42 492 1
43 492 1
44 492 1
20 492 1
45 492 1
46 492 1
47 492 1
48 492 1
49 492 1
50 492 1
51 492 1
52 492 1
53 492 1
54 492 1
55 492 1
56 492 1
57 492 1
58 493 1
11 493 1
59 493 1
60 493 1
56 493 1
61 494 1
17 494 1
8 494 1
52 494 1
42 495 1
62 495 1
13 495 1
14 495 1
63 495 1
20 495 1
64 495 1
65 495 1
66 495 1
24 495 1
67 495 1
68 495 1
69 495 1
8 495 1
12 495 1
70 495 1
60 495 1
71 495 1
72 495 1
19 495 1
73 495 1
55 495 1
61 496 1
58 496 1
13 496 1
45 496 1
74 496 1
75 497 1
31 497 1
76 497 1
77 497 1
78 497 1
15 497 1
79 497 1
18 497 1
80 497 1
81 497 1
0 497 1
82 497 1
9 497 1
83 497 1
84 497 1
85 497 1
86 497 1
87 497 1
88 497 1
89 497 1
10 497 1
11 497 1
90 497 1
91 497 1
92 497 1
28 497 1
40 497 1
93 497 1
94 497 1
95 497 1
96 497 1
97 497 1
98 497 1
99 497 1
100 497 1
64 498 1
8 498 1
101 498 1
73 499 1
102 499 1
15 500 1
79 500 1
103 500 1
104 500 1
25 500 1
50 500 1
0 500 1
83 500 1
105 500 1
6 500 1
106 500 1
11 500 1
107 500 1
33 500 1
108 500 1
92 500 1
26 500 1
28 500 1
93 500 1
109 500 1
52 500 1
110 500 1
111 500 1
35 500 1
102 500 1
112 501 1
85 501 1
7 502 1
44 502 1
31 502 1
14 502 1
113 502 1
66 502 1
114 502 1
53 502 1
60 502 1
56 502 1
85 502 1
58 502 1
6 502 1
11 502 1
115 502 1
116 502 1
13 502 1
17 502 1
108 502 1
20 502 1
28 502 1
4 502 1
96 502 1
23 502 1
117 503 1
118 503 1
119 503 1
120 503 1
121 503 1
46 503 1
60 503 1
44 504 1
122 504 1
24 504 1
82 504 1
123 504 1
56 504 1
86 504 1
124 504 1
125 504 1
58 504 1
126 504 1
127 504 1
128 504 1
92 504 1
129 504 1
47 504 1
