6062 133900
0 457 1
1 458 1
2 458 1
3 458 1
4 458 1
5 458 1
6 458 1
7 458 1
8 458 1
9 458 1
10 458 1
11 458 1
12 458 1
13 458 1
14 458 1
15 458 1
16 458 1
17 458 1
18 458 1
19 458 1
20 458 1
21 458 1
22 458 1
23 458 1
24 458 1
25 458 1
26 459 1
27 459 1
28 459 1
29 459 1
30 459 1
31 459 1
32 459 1
33 459 1
34 459 1
35 460 1
36 460 1
37 460 1
38 460 1
39 461 1
40 461 1
17 461 1
41 461 1
42 461 1
43 461 1
44 461 1
45 461 1
46 461 1
47 461 1
48 461 1
49 461 1
50 461 1
51 461 1
52 461 1
53 461 1
54 462 1
9 462 1
55 462 1
56 462 1
57 462 1
58 462 1
59 462 1
60 462 1
61 462 1
51 462 1
62 463 1
15 463 1
7 463 1
47 463 1
39 464 1
63 464 1
11 464 1
12 464 1
17 464 1
64 464 1
65 464 1
21 464 1
66 464 1
67 464 1
68 464 1
7 464 1
10 464 1
69 464 1
61 464 1
70 464 1
71 464 1
16 464 1
72 464 1
50 464 1
62 465 1
54 465 1
11 465 1
73 465 1
28 466 1
74 466 1
75 466 1
76 466 1
13 466 1
77 466 1
78 466 1
79 466 1
0 466 1
80 466 1
81 466 1
82 466 1
83 466 1
84 466 1
85 466 1
86 466 1
87 466 1
8 466 1
9 466 1
88 466 1
89 466 1
90 466 1
25 466 1
37 466 1
91 466 1
92 466 1
93 466 1
94 466 1
95 466 1
96 466 1
97 466 1
64 467 1
7 467 1
72 468 1
98 468 1
13 469 1
77 469 1
99 469 1
22 469 1
45 469 1
0 469 1
82 469 1
100 469 1
101 469 1
5 469 1
102 469 1
9 469 1
103 469 1
30 469 1
104 469 1
90 469 1
23 469 1
25 469 1
105 469 1
47 469 1
106 469 1
107 469 1
32 469 1
98 469 1
84 470 1
6 471 1
40 471 1
28 471 1
12 471 1
108 471 1
109 471 1
48 471 1
61 471 1
51 471 1
84 471 1
54 471 1
5 471 1
9 471 1
110 471 1
11 471 1
15 471 1
104 471 1
17 471 1
25 471 1
3 471 1
93 471 1
111 471 1
20 471 1
112 472 1
113 472 1
114 472 1
115 472 1
116 472 1
41 472 1
61 472 1
40 473 1
117 473 1
21 473 1
80 473 1
118 473 1
51 473 1
85 473 1
119 473 1
120 473 1
54 473 1
121 473 1
122 473 1
90 473 1
123 473 1
42 473 1
124 473 1
125 473 1
126 473 1
106 473 1
70 473 1
127 473 1
50 473 1
128 473 1
129 473 1
130 474 1
131 474 1
28 474 1
112 474 1
75 474 1
76 474 1
13 474 1
77 474 1
132 474 1
133 474 1
134 474 1
78 474 1
21 474 1
135 474 1
136 474 1
137 474 1
41 474 1
138 474 1
139 474 1
26 474 1
140 474 1
29 474 1
141 474 1
142 474 1
100 474 1
143 474 1
61 474 1
33 474 1
34 474 1
84 474 1
144 474 1
145 474 1
85 474 1
146 474 1
147 474 1
148 474 1
149 474 1
101 474 1
52 474 1
150 474 1
151 474 1
152 474 1
39 474 1
87 474 1
5 474 1
8 474 1
153 474 1
102 474 1
9 474 1
154 474 1
11 474 1
30 474 1
155 474 1
156 474 1
157 474 1
25 474 1
158 474 1
37 474 1
91 474 1
38 474 1
92 474 1
159 474 1
105 474 1
160 474 1
35 474 1
161 474 1
162 474 1
10 474 1
107 474 1
163 474 1
164 474 1
32 474 1
71 474 1
16 474 1
165 474 1
18 474 1
166 474 1
167 474 1
168 474 1
98 474 1
96 474 1
130 475 1
169 475 1
170 475 1
131 475 1
12 475 1
113 475 1
31 475 1
78 475 1
171 475 1
22 475 1
136 475 1
137 475 1
66 475 1
115 475 1
80 475 1
1 475 1
27 475 1
82 475 1
142 475 1
100 475 1
83 475 1
118 475 1
172 475 1
51 475 1
147 475 1
148 475 1
119 475 1
149 475 1
173 475 1
174 475 1
54 475 1
102 475 1
9 475 1
154 475 1
175 475 1
36 475 1
176 475 1
25 475 1
42 475 1
38 475 1
92 475 1
177 475 1
178 475 1
47 475 1
126 475 1
70 475 1
95 475 1
20 475 1
99 476 1
83 476 1
54 476 1
112 477 1
179 477 1
85 477 1
180 477 1
181 478 1
2 478 1
182 478 1
75 478 1
12 478 1
31 478 1
21 478 1
22 478 1
43 478 1
183 478 1
45 478 1
1 478 1
7 478 1
81 478 1
184 478 1
100 478 1
143 478 1
48 478 1
51 478 1
185 478 1
84 478 1
19 478 1
144 478 1
24 478 1
186 478 1
52 478 1
174 478 1
152 478 1
39 478 1
87 478 1
187 478 1
188 478 1
5 478 1
8 478 1
9 478 1
110 478 1
103 478 1
