5708 92514
0 383 1
1 383 1
2 383 1
3 383 1
4 383 1
5 383 1
6 383 1
7 383 1
8 383 1
9 383 1
10 383 1
11 383 1
12 383 1
13 384 1
14 385 1
15 385 1
16 385 1
17 385 1
18 385 1
19 385 1
20 385 1
21 385 1
22 386 1
23 387 1
24 387 1
25 387 1
26 387 1
27 388 1
28 388 1
5 388 1
7 388 1
29 388 1
30 388 1
31 388 1
32 388 1
33 388 1
34 389 1
35 389 1
36 389 1
6 390 1
37 391 1
16 391 1
38 391 1
39 391 1
40 391 1
41 391 1
42 391 1
43 391 1
44 391 1
45 391 1
46 391 1
2 391 1
47 391 1
48 391 1
49 391 1
50 391 1
51 391 1
29 391 1
52 391 1
1 391 1
53 391 1
54 391 1
55 391 1
56 391 1
57 391 1
58 391 1
59 391 1
60 391 1
61 391 1
62 391 1
63 391 1
64 391 1
65 391 1
66 391 1
10 391 1
67 391 1
68 391 1
69 391 1
70 391 1
71 391 1
27 391 1
72 391 1
73 391 1
5 391 1
74 391 1
6 391 1
7 391 1
75 391 1
76 391 1
4 391 1
77 391 1
78 391 1
79 391 1
80 391 1
81 391 1
82 391 1
83 391 1
84 391 1
85 391 1
86 391 1
87 391 1
38 392 1
88 392 1
89 392 1
12 392 1
90 392 1
91 393 1
41 394 1
42 394 1
44 394 1
92 394 1
1 394 1
93 394 1
54 394 1
58 394 1
60 394 1
94 394 1
95 394 1
96 394 1
97 394 1
69 394 1
13 394 1
98 394 1
99 394 1
17 394 1
100 394 1
101 394 1
75 394 1
102 394 1
21 394 1
103 394 1
104 394 1
105 394 1
106 394 1
19 394 1
107 394 1
108 394 1
86 394 1
16 395 1
109 395 1
110 395 1
54 395 1
66 395 1
13 395 1
15 395 1
111 395 1
112 396 1
113 396 1
114 396 1
115 396 1
116 397 1
48 397 1
36 397 1
57 397 1
117 397 1
65 397 1
118 397 1
98 397 1
102 397 1
119 397 1
105 397 1
107 397 1
108 397 1
120 397 1
121 397 1
86 397 1
28 398 1
122 398 1
123 398 1
16 398 1
38 398 1
39 398 1
8 398 1
40 398 1
41 398 1
42 398 1
124 398 1
43 398 1
45 398 1
125 398 1
126 398 1
127 398 1
2 398 1
47 398 1
48 398 1
128 398 1
129 398 1
130 398 1
131 398 1
36 398 1
132 398 1
133 398 1
50 398 1
134 398 1
135 398 1
29 398 1
136 398 1
137 398 1
52 398 1
138 398 1
110 398 1
14 398 1
88 398 1
139 398 1
140 398 1
141 398 1
53 398 1
54 398 1
55 398 1
57 398 1
59 398 1
142 398 1
143 398 1
94 398 1
144 398 1
145 398 1
66 398 1
26 398 1
146 398 1
9 398 1
10 398 1
68 398 1
96 398 1
97 398 1
