7182 230328
0 1208 1
1 1208 1
2 1208 1
3 1209 1
4 1209 1
5 1209 1
6 1209 1
7 1209 1
8 1209 1
9 1209 1
10 1209 1
11 1209 1
12 1209 1
13 1210 1
14 1210 1
15 1210 1
16 1210 1
17 1210 1
18 1210 1
19 1210 1
20 1210 1
21 1210 1
22 1210 1
23 1210 1
24 1210 1
25 1210 1
26 1210 1
27 1210 1
28 1211 1
29 1211 1
30 1211 1
31 1211 1
32 1211 1
33 1211 1
34 1211 1
35 1211 1
8 1211 1
36 1211 1
9 1211 1
37 1211 1
38 1211 1
39 1211 1
40 1211 1
41 1211 1
42 1211 1
43 1211 1
44 1211 1
45 1211 1
46 1211 1
47 1211 1
48 1211 1
49 1211 1
50 1211 1
51 1211 1
52 1211 1
53 1211 1
54 1211 1
55 1211 1
56 1211 1
57 1211 1
58 1211 1
59 1211 1
60 1211 1
61 1212 1
62 1212 1
7 1212 1
63 1212 1
64 1212 1
2 1212 1
65 1212 1
66 1212 1
13 1212 1
67 1212 1
68 1212 1
69 1212 1
70 1212 1
71 1212 1
72 1212 1
73 1212 1
74 1212 1
75 1212 1
76 1213 1
77 1213 1
78 1213 1
79 1213 1
80 1213 1
81 1213 1
82 1213 1
83 1213 1
84 1213 1
85 1213 1
55 1213 1
86 1214 1
1 1214 1
69 1214 1
87 1214 1
88 1214 1
89 1215 1
90 1215 1
91 1215 1
17 1215 1
92 1215 1
93 1215 1
94 1215 1
76 1215 1
95 1215 1
62 1215 1
19 1215 1
96 1215 1
97 1215 1
98 1215 1
99 1215 1
100 1215 1
101 1215 1
102 1215 1
103 1215 1
104 1215 1
105 1215 1
9 1215 1
106 1215 1
107 1215 1
108 1215 1
109 1215 1
110 1215 1
111 1215 1
1 1215 1
10 1215 1
112 1215 1
113 1215 1
114 1215 1
115 1215 1
65 1215 1
0 1215 1
116 1215 1
117 1215 1
118 1215 1
6 1215 1
119 1215 1
120 1215 1
121 1215 1
122 1215 1
123 1215 1
124 1215 1
125 1215 1
126 1215 1
127 1215 1
128 1215 1
129 1215 1
71 1215 1
130 1215 1
131 1215 1
132 1215 1
133 1215 1
134 1215 1
135 1215 1
51 1215 1
136 1215 1
137 1215 1
138 1215 1
139 1215 1
140 1215 1
141 1215 1
142 1215 1
143 1215 1
61 1215 1
144 1215 1
145 1215 1
146 1215 1
147 1215 1
148 1215 1
149 1215 1
150 1215 1
151 1215 1
152 1215 1
153 1215 1
154 1215 1
155 1215 1
156 1215 1
157 1215 1
158 1215 1
159 1215 1
160 1215 1
2 1215 1
161 1215 1
162 1215 1
163 1215 1
164 1215 1
165 1215 1
166 1215 1
167 1215 1
168 1215 1
169 1215 1
170 1215 1
14 1215 1
171 1215 1
172 1215 1
173 1215 1
174 1215 1
175 1215 1
176 1215 1
177 1215 1
87 1215 1
178 1215 1
179 1215 1
180 1215 1
181 1215 1
182 1215 1
183 1215 1
184 1215 1
185 1215 1
186 1215 1
187 1215 1
188 1215 1
58 1215 1
189 1215 1
190 1215 1
191 1215 1
192 1216 1
193 1216 1
7 1216 1
96 1216 1
103 1216 1
194 1216 1
80 1216 1
195 1216 1
39 1216 1
196 1216 1
197 1216 1
128 1216 1
71 1216 1
198 1216 1
199 1216 1
85 1216 1
200 1216 1
201 1216 1
140 1216 1
202 1216 1
203 1216 1
204 1216 1
205 1216 1
145 1216 1
206 1216 1
207 1216 1
146 1216 1
208 1216 1
35 1216 1
8 1216 1
156 1216 1
81 1216 1
157 1216 1
209 1216 1
14 1216 1
210 1216 1
175 1216 1
211 1216 1
212 1216 1
213 1216 1
214 1216 1
180 1216 1
215 1216 1
11 1216 1
