5392 73999
0 263 1
1 263 1
2 264 1
3 264 1
4 265 1
5 265 1
6 265 1
7 265 1
8 265 1
9 265 1
10 265 1
11 265 1
12 265 1
13 265 1
14 266 1
15 267 1
16 267 1
17 267 1
18 268 1
1 268 1
19 268 1
3 268 1
20 268 1
21 269 1
22 269 1
23 270 1
24 270 1
6 270 1
25 270 1
26 270 1
27 270 1
28 270 1
29 270 1
30 270 1
31 270 1
32 270 1
33 270 1
34 270 1
35 270 1
0 270 1
36 270 1
37 270 1
38 270 1
39 270 1
40 270 1
41 270 1
42 270 1
43 270 1
44 270 1
45 270 1
46 270 1
47 270 1
48 270 1
18 270 1
49 270 1
50 270 1
51 270 1
1 270 1
52 270 1
53 270 1
54 270 1
55 270 1
56 270 1
57 270 1
58 270 1
59 270 1
3 270 1
60 270 1
11 270 1
61 270 1
62 270 1
63 270 1
64 270 1
65 270 1
66 271 1
67 271 1
68 272 1
27 273 1
28 273 1
30 273 1
69 273 1
70 273 1
0 273 1
71 273 1
37 273 1
39 273 1
40 273 1
72 273 1
73 273 1
42 273 1
74 273 1
75 273 1
76 273 1
46 273 1
2 273 1
77 273 1
78 273 1
8 273 1
79 273 1
51 273 1
80 273 1
52 273 1
81 273 1
53 273 1
13 273 1
82 273 1
83 273 1
84 273 1
85 273 1
3 273 1
10 273 1
86 273 1
87 273 1
11 273 1
65 273 1
6 274 1
88 274 1
89 274 1
37 274 1
45 274 1
2 274 1
5 274 1
90 274 1
91 275 1
92 275 1
15 275 1
93 276 1
32 276 1
22 276 1
94 276 1
38 276 1
95 276 1
44 276 1
96 276 1
77 276 1
51 276 1
81 276 1
97 276 1
84 276 1
59 276 1
3 276 1
86 276 1
87 276 1
98 276 1
99 276 1
65 276 1
23 277 1
6 277 1
25 277 1
26 277 1
27 277 1
28 277 1
100 277 1
29 277 1
101 277 1
102 277 1
32 277 1
103 277 1
104 277 1
22 277 1
105 277 1
106 277 1
15 277 1
107 277 1
35 277 1
89 277 1
4 277 1
37 277 1
38 277 1
7 277 1
72 277 1
73 277 1
45 277 1
17 277 1
108 277 1
109 277 1
75 277 1
76 277 1
46 277 1
110 277 1
48 277 1
2 277 1
111 277 1
78 277 1
112 277 1
8 277 1
113 277 1
114 277 1
115 277 1
90 277 1
116 277 1
117 277 1
52 277 1
54 277 1
82 277 1
118 277 1
119 277 1
120 277 1
121 277 1
57 277 1
85 277 1
59 277 1
122 277 1
10 277 1
123 277 1
86 277 1
11 277 1
61 277 1
99 277 1
23 278 1
9 278 1
69 278 1
105 278 1
106 278 1
92 278 1
35 278 1
89 278 1
39 278 1
73 278 1
41 278 1
124 278 1
42 278 1
78 278 1
112 278 1
14 278 1
125 278 1
59 278 1
126 278 1
70 279 1
41 279 1
42 279 1
127 280 1
22 280 1
81 280 1
25 281 1
29 281 1
9 281 1
31 281 1
128 281 1
37 281 1
73 281 1
129 281 1
46 281 1
110 281 1
130 281 1
48 281 1
131 281 1
2 281 1
1 281 1
52 281 1
97 281 1
119 281 1
120 281 1
132 281 1
122 281 1
11 281 1
61 281 1
65 281 1
127 282 1
27 282 1
101 282 1
70 282 1
133 282 1
91 282 1
32 282 1
22 282 1
134 282 1
34 282 1
135 282 1
40 282 1
72 282 1
42 282 1
44 282 1
45 282 1
136 282 1
17 282 1
108 282 1
46 282 1
48 282 1
77 282 1
51 282 1
80 282 1
52 282 1
53 282 1
13 282 1
54 282 1
97 282 1
84 282 1
59 282 1
122 282 1
3 282 1
137 282 1
138 282 1
127 283 1
28 283 1
139 283 1
15 283 1
135 283 1
3 283 1
61 283 1
140 284 1
141 284 1
39 284 1
95 284 1
41 284 1
124 284 1
42 284 1
108 284 1
51 284 1
81 284 1
119 284 1
23 285 1
139 285 1
88 285 1
93 285 1
103 285 1
142 285 1
34 285 1
74 285 1
43 285 1
45 285 1
109 285 1
21 285 1
115 285 1
143 285 1
144 285 1
145 285 1
84 285 1
86 285 1
11 285 1
61 285 1
24 286 1
27 286 1
69 286 1
31 286 1
52 286 1
53 286 1
54 286 1
127 287 1
146 288 1
69 288 1
0 288 1
135 288 1
48 288 1
51 288 1
14 288 1
53 288 1
54 288 1
97 288 1
147 288 1
83 289 1
30 290 1
135 290 1
51 290 1
14 290 1
94 291 1
6 292 1
0 292 1
89 292 1
148 292 1
44 292 1
75 292 1
48 292 1
149 292 1
5 292 1
79 292 1
12 292 1
14 292 1
13 292 1
3 292 1
147 292 1
29 293 1
4 293 1
135 293 1
143 293 1
86 293 1
150 293 1
35 294 1
151 294 1
89 294 1
18 294 1
22 295 1
140 295 1
94 295 1
135 295 1
7 295 1
39 295 1
73 295 1
81 295 1
13 295 1
16 295 1
97 295 1
152 296 1
153 297 1
143 297 1
15 298 1
81 298 1
121 298 1
24 299 1
6 299 1
27 299 1
69 299 1
139 299 1
134 299 1
128 299 1
151 299 1
0 299 1
89 299 1
141 299 1
154 299 1
37 299 1
39 299 1
155 299 1
42 299 1
148 299 1
76 299 1
78 299 1
79 299 1
51 299 1
80 299 1
156 299 1
14 299 1
53 299 1
13 299 1
157 299 1
16 299 1
147 299 1
158 299 1
159 299 1
86 299 1
160 299 1
87 299 1
150 299 1
98 299 1
6 300 1
70 300 1
133 300 1
93 300 1
32 300 1
104 300 1
106 300 1
34 300 1
128 300 1
0 300 1
135 300 1
37 300 1
39 300 1
72 300 1
73 300 1
41 300 1
124 300 1
42 300 1
44 300 1
48 300 1
77 300 1
8 300 1
50 300 1
161 300 1
51 300 1
14 300 1
81 300 1
54 300 1
16 300 1
55 300 1
97 300 1
84 300 1
59 300 1
122 300 1
3 300 1
123 300 1
86 300 1
137 300 1
98 300 1
99 300 1
23 301 1
127 301 1
27 301 1
29 301 1
30 301 1
32 301 1
22 301 1
33 301 1
34 301 1
36 301 1
37 301 1
7 301 1
162 301 1
45 301 1
108 301 1
46 301 1
48 301 1
18 301 1
77 301 1
50 301 1
12 301 1
14 301 1
81 301 1
54 301 1
163 301 1
19 301 1
59 301 1
10 301 1
60 301 1
164 301 1
160 301 1
11 301 1
150 301 1
98 301 1
63 301 1
65 301 1
23 302 1
28 302 1
103 302 1
15 302 1
34 302 1
36 302 1
162 302 1
74 302 1
109 302 1
153 302 1
1 302 1
55 302 1
3 302 1
86 302 1
165 302 1
9 303 1
166 304 1
24 304 1
6 304 1
27 304 1
30 304 1
69 304 1
101 304 1
32 304 1
22 304 1
142 304 1
35 304 1
151 304 1
167 304 1
0 304 1
37 304 1
38 304 1
39 304 1
168 304 1
41 304 1
124 304 1
42 304 1
47 304 1
48 304 1
131 304 1
77 304 1
78 304 1
113 304 1
114 304 1
90 304 1
116 304 1
1 304 1
163 304 1
120 304 1
86 304 1
60 304 1
11 304 1
61 304 1
25 304 1
26 304 1
28 304 1
100 304 1
70 304 1
133 304 1
91 304 1
139 304 1
88 304 1
93 304 1
103 304 1
92 304 1
140 304 1
15 304 1
34 304 1
128 304 1
169 304 1
40 304 1
72 304 1
73 304 1
170 304 1
74 304 1
171 304 1
43 304 1
148 304 1
96 304 1
44 304 1
45 304 1
153 304 1
8 304 1
80 304 1
52 304 1
81 304 1
53 304 1
145 304 1
55 304 1
119 304 1
59 304 1
3 304 1
10 304 1
147 304 1
172 304 1
65 304 1
127 305 1
22 305 1
149 305 1
1 305 1
132 305 1
25 305 1
70 305 1
53 305 1
30 306 1
173 306 1
7 307 1
132 307 1
6 308 1
27 308 1
9 308 1
101 308 1
31 308 1
32 308 1
104 308 1
22 308 1
134 308 1
35 308 1
151 308 1
37 308 1
174 308 1
38 308 1
7 308 1
39 308 1
41 308 1
129 308 1
136 308 1
108 308 1
48 308 1
113 308 1
50 308 1
14 308 1
1 308 1
117 308 1
120 308 1
123 308 1
175 308 1
176 308 1
25 308 1
70 308 1
133 308 1
177 308 1
88 308 1
93 308 1
92 308 1
140 308 1
15 308 1
128 308 1
94 308 1
178 308 1
40 308 1
72 308 1
44 308 1
45 308 1
17 308 1
46 308 1
18 308 1
49 308 1
179 308 1
115 308 1
51 308 1
52 308 1
81 308 1
54 308 1
145 308 1
55 308 1
19 308 1
97 308 1
59 308 1
122 308 1
137 308 1
172 308 1
62 308 1
98 308 1
99 308 1
63 308 1
65 308 1
180 309 1
152 310 1
30 310 1
22 310 1
153 310 1
152 311 1
181 311 1
9 311 1
32 311 1
22 311 1
106 311 1
134 311 1
0 311 1
39 311 1
41 311 1
124 311 1
42 311 1
129 311 1
47 311 1
48 311 1
77 311 1
50 311 1
14 311 1
120 311 1
84 311 1
85 311 1
123 311 1
86 311 1
182 311 1
25 311 1
28 311 1
70 311 1
133 311 1
91 311 1
88 311 1
93 311 1
128 311 1
4 311 1
44 311 1
17 311 1
51 311 1
52 311 1
53 311 1
13 311 1
54 311 1
183 311 1
97 311 1
59 311 1
122 311 1
3 311 1
98 311 1
99 311 1
24 312 1
12 312 1
53 312 1
68 312 1
27 313 1
107 313 1
141 313 1
39 313 1
132 313 1
67 313 1
86 313 1
100 313 1
73 313 1
45 313 1
153 313 1
80 313 1
64 313 1
65 313 1
152 314 1
