5524 73876
0 273 1
1 273 1
2 274 1
3 274 1
4 274 1
5 275 1
6 275 1
7 275 1
8 275 1
9 275 1
10 275 1
11 275 1
12 275 1
13 275 1
14 276 1
15 277 1
16 277 1
17 277 1
18 278 1
1 278 1
3 278 1
19 278 1
20 279 1
21 279 1
22 280 1
7 280 1
23 280 1
24 280 1
25 280 1
26 280 1
27 280 1
0 280 1
28 280 1
29 280 1
30 280 1
31 280 1
32 280 1
33 280 1
34 280 1
35 280 1
36 280 1
37 280 1
38 280 1
18 280 1
39 280 1
40 280 1
41 280 1
1 280 1
42 280 1
43 280 1
3 280 1
44 280 1
45 280 1
46 280 1
47 280 1
48 280 1
49 280 1
50 281 1
51 281 1
52 282 1
23 283 1
24 283 1
26 283 1
53 283 1
54 283 1
0 283 1
55 283 1
28 283 1
30 283 1
31 283 1
56 283 1
57 283 1
58 283 1
59 283 1
60 283 1
36 283 1
2 283 1
61 283 1
62 283 1
9 283 1
63 283 1
41 283 1
64 283 1
42 283 1
65 283 1
43 283 1
13 283 1
66 283 1
67 283 1
68 283 1
69 283 1
3 283 1
11 283 1
70 283 1
71 283 1
49 283 1
7 284 1
72 284 1
73 284 1
74 284 1
28 284 1
35 284 1
2 284 1
6 284 1
75 285 1
76 285 1
15 285 1
77 286 1
78 286 1
79 286 1
21 286 1
80 286 1
29 286 1
81 286 1
34 286 1
82 286 1
83 286 1
61 286 1
84 286 1
41 286 1
65 286 1
85 286 1
86 286 1
68 286 1
3 286 1
4 286 1
70 286 1
87 286 1
71 286 1
88 286 1
89 286 1
90 286 1
49 286 1
7 287 1
23 287 1
24 287 1
91 287 1
25 287 1
92 287 1
93 287 1
94 287 1
95 287 1
21 287 1
96 287 1
97 287 1
15 287 1
98 287 1
74 287 1
5 287 1
28 287 1
29 287 1
8 287 1
56 287 1
57 287 1
35 287 1
17 287 1
99 287 1
59 287 1
60 287 1
36 287 1
100 287 1
38 287 1
2 287 1
101 287 1
62 287 1
102 287 1
9 287 1
103 287 1
104 287 1
105 287 1
106 287 1
42 287 1
66 287 1
107 287 1
108 287 1
109 287 1
110 287 1
69 287 1
111 287 1
11 287 1
112 287 1
70 287 1
45 287 1
90 287 1
10 288 1
53 288 1
96 288 1
97 288 1
76 288 1
74 288 1
30 288 1
57 288 1
32 288 1
113 288 1
62 288 1
102 288 1
14 288 1
114 288 1
115 288 1
54 289 1
32 289 1
116 290 1
21 290 1
65 290 1
25 291 1
10 291 1
117 291 1
28 291 1
57 291 1
118 291 1
36 291 1
100 291 1
119 291 1
38 291 1
120 291 1
2 291 1
1 291 1
42 291 1
86 291 1
108 291 1
109 291 1
121 291 1
111 291 1
88 291 1
45 291 1
49 291 1
122 292 1
77 292 1
123 292 1
116 292 1
23 292 1
92 292 1
124 292 1
54 292 1
125 292 1
75 292 1
21 292 1
126 292 1
127 292 1
128 292 1
31 292 1
56 292 1
34 292 1
35 292 1
129 292 1
17 292 1
36 292 1
38 292 1
61 292 1
41 292 1
64 292 1
42 292 1
43 292 1
13 292 1
86 292 1
68 292 1
111 292 1
3 292 1
130 292 1
88 292 1
116 293 1
24 293 1
131 293 1
15 293 1
128 293 1
3 293 1
45 293 1
132 294 1
30 294 1
81 294 1
32 294 1
113 294 1
41 294 1
65 294 1
108 294 1
77 295 1
131 295 1
72 295 1
78 295 1
93 295 1
133 295 1
58 295 1
33 295 1
35 295 1
99 295 1
20 295 1
134 295 1
135 295 1
136 295 1
68 295 1
70 295 1
45 295 1
122 296 1
22 296 1
123 296 1
137 296 1
23 296 1
53 296 1
138 296 1
124 296 1
139 296 1
140 296 1
141 296 1
42 296 1
43 296 1
142 296 1
77 297 1
116 297 1
80 297 1
141 297 1
4 297 1
88 297 1
143 298 1
53 298 1
0 298 1
128 298 1
38 298 1
41 298 1
14 298 1
43 298 1
86 298 1
144 298 1
67 299 1
26 300 1
128 300 1
41 300 1
14 300 1
7 301 1
123 301 1
137 301 1
124 301 1
95 301 1
0 301 1
74 301 1
145 301 1
34 301 1
146 301 1
140 301 1
59 301 1
141 301 1
38 301 1
147 301 1
6 301 1
63 301 1
12 301 1
14 301 1
13 301 1
142 301 1
148 301 1
3 301 1
144 301 1
4 301 1
25 302 1
5 302 1
128 302 1
134 302 1
70 302 1
149 302 1
150 303 1
74 303 1
140 303 1
18 303 1
79 304 1
21 304 1
128 304 1
8 304 1
30 304 1
57 304 1
151 304 1
65 304 1
13 304 1
16 304 1
86 304 1
152 305 1
153 306 1
134 306 1
15 307 1
65 307 1
110 307 1
22 308 1
7 308 1
23 308 1
53 308 1
131 308 1
126 308 1
117 308 1
150 308 1
0 308 1
74 308 1
132 308 1
154 308 1
28 308 1
30 308 1
155 308 1
145 308 1
60 308 1
62 308 1
63 308 1
41 308 1
64 308 1
156 308 1
14 308 1
43 308 1
13 308 1
157 308 1
16 308 1
144 308 1
158 308 1
159 308 1
70 308 1
160 308 1
71 308 1
149 308 1
89 308 1
7 309 1
54 309 1
125 309 1
78 309 1
94 309 1
97 309 1
117 309 1
0 309 1
128 309 1
28 309 1
30 309 1
56 309 1
57 309 1
32 309 1
113 309 1
34 309 1
38 309 1
61 309 1
9 309 1
40 309 1
161 309 1
41 309 1
14 309 1
65 309 1
16 309 1
86 309 1
68 309 1
111 309 1
3 309 1
112 309 1
70 309 1
130 309 1
89 309 1
90 309 1
116 310 1
23 310 1
25 310 1
26 310 1
21 310 1
27 310 1
28 310 1
8 310 1
162 310 1
35 310 1
36 310 1
38 310 1
18 310 1
61 310 1
40 310 1
12 310 1
14 310 1
65 310 1
163 310 1
11 310 1
44 310 1
164 310 1
160 310 1
149 310 1
88 310 1
89 310 1
47 310 1
49 310 1
24 311 1
93 311 1
15 311 1
162 311 1
58 311 1
99 311 1
153 311 1
1 311 1
3 311 1
70 311 1
165 311 1
10 312 1
166 313 1
22 313 1
7 313 1
23 313 1
26 313 1
53 313 1
92 313 1
21 313 1
133 313 1
150 313 1
167 313 1
0 313 1
28 313 1
29 313 1
30 313 1
168 313 1
32 313 1
113 313 1
37 313 1
38 313 1
120 313 1
61 313 1
62 313 1
103 313 1
104 313 1
105 313 1
1 313 1
163 313 1
109 313 1
70 313 1
44 313 1
45 313 1
24 313 1
91 313 1
54 313 1
125 313 1
75 313 1
131 313 1
72 313 1
78 313 1
93 313 1
76 313 1
15 313 1
117 313 1
169 313 1
31 313 1
56 313 1
57 313 1
170 313 1
58 313 1
171 313 1
33 313 1
145 313 1
82 313 1
34 313 1
35 313 1
153 313 1
9 313 1
64 313 1
42 313 1
65 313 1
43 313 1
136 313 1
108 313 1
3 313 1
11 313 1
144 313 1
172 313 1
49 313 1
116 314 1
124 314 1
21 314 1
147 314 1
1 314 1
121 314 1
54 314 1
43 314 1
26 315 1
173 315 1
8 316 1
121 316 1
122 317 1
77 317 1
7 317 1
23 317 1
10 317 1
92 317 1
94 317 1
21 317 1
126 317 1
150 317 1
28 317 1
174 317 1
29 317 1
8 317 1
30 317 1
32 317 1
118 317 1
129 317 1
139 317 1
140 317 1
38 317 1
103 317 1
40 317 1
14 317 1
1 317 1
106 317 1
109 317 1
112 317 1
175 317 1
88 317 1
176 317 1
54 317 1
125 317 1
177 317 1
72 317 1
78 317 1
79 317 1
76 317 1
15 317 1
117 317 1
31 317 1
56 317 1
34 317 1
35 317 1
17 317 1
36 317 1
18 317 1
39 317 1
178 317 1
41 317 1
42 317 1
65 317 1
136 317 1
86 317 1
111 317 1
130 317 1
172 317 1
46 317 1
89 317 1
90 317 1
47 317 1
49 317 1
179 318 1
152 319 1
26 319 1
21 319 1
153 319 1
152 320 1
180 320 1
10 320 1
124 320 1
21 320 1
97 320 1
126 320 1
0 320 1
30 320 1
32 320 1
113 320 1
118 320 1
37 320 1
38 320 1
61 320 1
40 320 1
14 320 1
109 320 1
68 320 1
69 320 1
112 320 1
70 320 1
181 320 1
88 320 1
24 320 1
54 320 1
125 320 1
75 320 1
72 320 1
78 320 1
117 320 1
5 320 1
34 320 1
17 320 1
41 320 1
42 320 1
43 320 1
13 320 1
182 320 1
86 320 1
111 320 1
3 320 1
89 320 1
90 320 1
22 321 1
124 321 1
80 321 1
141 321 1
12 321 1
4 321 1
123 321 1
43 321 1
52 321 1
23 322 1
98 322 1
132 322 1
30 322 1
121 322 1
51 322 1
70 322 1
91 322 1
79 322 1
57 322 1
35 322 1
153 322 1
64 322 1
48 322 1
49 322 1
152 323 1
96 323 1
183 323 1
75 323 1
22 324 1
7 324 1
23 324 1
53 324 1
124 324 1
95 324 1
97 324 1
80 324 1
128 324 1
32 324 1
113 324 1
139 324 1
140 324 1
37 324 1
141 324 1
12 324 1
14 324 1
68 324 1
4 324 1
123 324 1
54 324 1
78 324 1
79 324 1
73 324 1
169 324 1
58 324 1
17 324 1
99 324 1
151 324 1
134 324 1
184 324 1
52 324 1
87 324 1
15 325 1
15 326 1
25 327 1
150 327 1
32 327 1
103 327 1
104 327 1
105 327 1
109 327 1
149 327 1
2 327 1
136 327 1
26 328 1
44 328 1
26 329 1
0 329 1
4 329 1
45 330 1
176 331 1
96 332 1
152 333 1
7 333 1
185 333 1
10 333 1
96 333 1
97 333 1
150 333 1
8 333 1
30 333 1
168 333 1
32 333 1
113 333 1
118 333 1
129 333 1
100 333 1
38 333 1
6 333 1
105 333 1
66 333 1
121 333 1
69 333 1
112 333 1
44 333 1
186 333 1
45 333 1
24 333 1
93 333 1
15 333 1
117 333 1
33 333 1
2 333 1
101 333 1
187 333 1
188 333 1
108 333 1
189 333 1
49 333 1
124 334 1
80 334 1
79 334 1
190 335 1
180 335 1
23 335 1
185 335 1
133 335 1
167 335 1
28 335 1
174 335 1
191 335 1
20 335 1
156 335 1
1 335 1
192 335 1
163 335 1
193 335 1
51 335 1
19 335 1
194 335 1
91 335 1
177 335 1
195 335 1
196 335 1
76 335 1
154 335 1
33 335 1
36 335 1
18 335 1
197 335 1
134 335 1
64 335 1
42 335 1
135 335 1
108 335 1
198 335 1
199 335 1
200 335 1
15 336 1
26 337 1
1 337 1
163 337 1
18 337 1
39 337 1
79 338 1
1 339 1
201 340 1
124 340 1
21 340 1
80 340 1
140 340 1
84 340 1
4 340 1
123 340 1
169 340 1
187 340 1
142 340 1
72 341 1
57 341 1
7 342 1
23 342 1
92 342 1
94 342 1
133 342 1
28 342 1
174 342 1
29 342 1
38 342 1
15 342 1
56 342 1
35 342 1
36 342 1
64 342 1
42 342 1
16 342 1
199 342 1
202 343 1
95 344 1
203 344 1
193 344 1
70 344 1
24 344 1
91 344 1
33 344 1
35 344 1
197 344 1
42 344 1
135 344 1
11 344 1
14 345 1
179 345 1
80 346 1
4 346 1
97 347 1
80 347 1
30 347 1
121 347 1
51 347 1
45 347 1
78 347 1
79 347 1
15 347 1
73 347 1
153 347 1
9 347 1
64 347 1
65 347 1
187 347 1
182 347 1
204 347 1
128 348 1
152 349 1
7 349 1
23 349 1
185 349 1
25 349 1
26 349 1
94 349 1
27 349 1
133 349 1
167 349 1
132 349 1
28 349 1
174 349 1
29 349 1
8 349 1
205 349 1
62 349 1
6 349 1
103 349 1
104 349 1
156 349 1
105 349 1
1 349 1
106 349 1
163 349 1
193 349 1
70 349 1
206 349 1
175 349 1
149 349 1
45 349 1
207 349 1
176 349 1
24 349 1
91 349 1
131 349 1
177 349 1
72 349 1
78 349 1
93 349 1
196 349 1
76 349 1
15 349 1
74 349 1
154 349 1
31 349 1
58 349 1
208 349 1
34 349 1
35 349 1
36 349 1
153 349 1
18 349 1
39 349 1
2 349 1
197 349 1
134 349 1
64 349 1
42 349 1
65 349 1
136 349 1
108 349 1
110 349 1
11 349 1
199 349 1
89 349 1
47 349 1
49 349 1
7 350 1
92 350 1
94 350 1
21 350 1
96 350 1
97 350 1
133 350 1
98 350 1
28 350 1
174 350 1
8 350 1
113 350 1
129 350 1
37 350 1
100 350 1
38 350 1
104 350 1
106 350 1
107 350 1
68 350 1
121 350 1
69 350 1
112 350 1
45 350 1
209 350 1
24 350 1
125 350 1
75 350 1
131 350 1
93 350 1
15 350 1
117 350 1
5 350 1
56 350 1
57 350 1
36 350 1
2 350 1
101 350 1
41 350 1
42 350 1
188 350 1
86 350 1
111 350 1
10 351 1
77 352 1
8 352 1
121 352 1
57 352 1
13 353 1
122 354 1
22 354 1
210 354 1
80 354 1
139 354 1
140 354 1
141 354 1
102 354 1
84 354 1
14 354 1
4 354 1
123 354 1
169 354 1
13 354 1
85 354 1
198 354 1
52 354 1
47 354 1
105 355 1
41 355 1
53 356 1
176 356 1
32 357 1
113 357 1
37 357 1
105 357 1
114 357 1
106 357 1
45 357 1
170 357 1
9 357 1
97 358 1
0 358 1
30 358 1
32 358 1
113 358 1
118 358 1
37 358 1
103 358 1
105 358 1
69 358 1
45 358 1
125 358 1
15 358 1
5 358 1
171 358 1
108 358 1
11 358 1
77 359 1
139 359 1
141 359 1
123 359 1
15 359 1
57 359 1
65 359 1
98 360 1
8 360 1
30 360 1
168 360 1
118 360 1
106 360 1
112 360 1
44 360 1
45 360 1
24 360 1
72 360 1
15 360 1
170 360 1
2 360 1
41 360 1
65 360 1
108 360 1
11 360 1
0 361 1
128 361 1
40 361 1
3 362 1
122 363 1
124 363 1
94 363 1
140 363 1
43 363 1
142 363 1
41 364 1
89 364 1
23 365 1
26 365 1
167 365 1
32 365 1
113 365 1
37 365 1
141 365 1
105 366 1
24 366 1
2 366 1
51 367 1
122 368 1
77 368 1
116 368 1
210 368 1
201 368 1
138 368 1
95 368 1
80 368 1
211 368 1
139 368 1
140 368 1
141 368 1
84 368 1
4 368 1
123 368 1
151 368 1
184 368 1
85 368 1
142 368 1
198 368 1
30 369 1
183 369 1
176 369 1
65 369 1
23 370 1
27 370 1
28 370 1
212 370 1
1 370 1
163 370 1
177 370 1
31 370 1
145 370 1
34 370 1
18 370 1
39 370 1
197 370 1
134 370 1
64 370 1
42 370 1
198 370 1
90 370 1
26 371 1
168 371 1
183 371 1
41 371 1
65 371 1
21 372 1
28 372 1
103 372 1
104 372 1
56 372 1
34 372 1
36 372 1
42 372 1
16 372 1
116 373 1
26 373 1
10 373 1
92 373 1
94 373 1
21 373 1
97 373 1
133 373 1
126 373 1
98 373 1
150 373 1
55 373 1
28 373 1
174 373 1
8 373 1
30 373 1
113 373 1
118 373 1
129 373 1
100 373 1
38 373 1
61 373 1
40 373 1
105 373 1
213 373 1
1 373 1
106 373 1
109 373 1
68 373 1
69 373 1
183 373 1
112 373 1
71 373 1
181 373 1
88 373 1
209 373 1
24 373 1
54 373 1
125 373 1
75 373 1
72 373 1
78 373 1
93 373 1
76 373 1
117 373 1
31 373 1
56 373 1
57 373 1
34 373 1
35 373 1
99 373 1
36 373 1
18 373 1
39 373 1
2 373 1
101 373 1
9 373 1
41 373 1
42 373 1
65 373 1
86 373 1
108 373 1
111 373 1
11 373 1
130 373 1
172 373 1
89 373 1
90 373 1
47 373 1
49 373 1
53 374 1
97 374 1
126 374 1
8 374 1
30 374 1
37 374 1
38 374 1
61 374 1
102 374 1
202 374 1
68 374 1
121 374 1
69 374 1
158 374 1
54 374 1
75 374 1
15 374 1
56 374 1
57 374 1
153 374 1
41 374 1
65 374 1
43 374 1
142 374 1
3 374 1
11 374 1
23 375 1
185 375 1
20 375 1
51 375 1
91 375 1
72 375 1
76 375 1
15 375 1
154 375 1
33 375 1
128 376 1
126 377 1
68 377 1
42 377 1
86 377 1
3 377 1
30 378 1
121 378 1
45 378 1
24 378 1
101 378 1
77 379 1
22 379 1
25 379 1
124 379 1
95 379 1
97 379 1
0 379 1
128 379 1
129 379 1
140 379 1
37 379 1
6 379 1
20 379 1
105 379 1
12 379 1
114 379 1
157 379 1
109 379 1
69 379 1
4 379 1
159 379 1
44 379 1
149 379 1
125 379 1
131 379 1
