5675 84690
0 322 1
1 322 1
2 322 1
3 322 1
4 322 1
5 322 1
6 322 1
7 322 1
8 322 1
9 322 1
10 323 1
11 324 1
12 324 1
13 324 1
14 324 1
15 324 1
16 324 1
17 324 1
18 324 1
19 324 1
20 325 1
21 326 1
22 326 1
23 326 1
24 326 1
25 327 1
26 327 1
5 327 1
6 327 1
27 327 1
28 327 1
29 327 1
30 327 1
31 327 1
32 327 1
33 327 1
1 327 1
34 327 1
35 327 1
36 328 1
37 328 1
38 328 1
39 329 1
13 329 1
40 329 1
41 329 1
42 329 1
43 329 1
3 329 1
44 329 1
45 329 1
46 329 1
2 329 1
47 329 1
48 329 1
49 329 1
50 329 1
51 329 1
52 329 1
31 329 1
53 329 1
1 329 1
54 329 1
55 329 1
56 329 1
57 329 1
35 329 1
8 329 1
58 329 1
59 329 1
60 329 1
4 329 1
25 329 1
61 329 1
62 329 1
5 329 1
63 329 1
64 329 1
6 329 1
65 329 1
66 329 1
67 329 1
68 329 1
69 329 1
70 329 1
32 329 1
71 329 1
72 329 1
73 329 1
74 329 1
75 329 1
76 329 1
77 329 1
78 330 1
79 330 1
80 331 1
40 332 1
41 332 1
43 332 1
81 332 1
82 332 1
2 332 1
83 332 1
48 332 1
50 332 1
52 332 1
84 332 1
85 332 1
86 332 1
87 332 1
58 332 1
10 332 1
88 332 1
89 332 1
15 332 1
90 332 1
91 332 1
66 332 1
92 332 1
67 332 1
19 332 1
93 332 1
94 332 1
95 332 1
96 332 1
17 332 1
97 332 1
98 332 1
76 332 1
13 333 1
99 333 1
100 333 1
48 333 1
57 333 1
10 333 1
12 333 1
101 333 1
38 333 1
102 333 1
103 334 1
104 334 1
21 334 1
102 334 1
105 335 1
37 335 1
49 335 1
106 335 1
56 335 1
107 335 1
88 335 1
92 335 1
108 335 1
95 335 1
97 335 1
98 335 1
109 335 1
110 335 1
76 335 1
26 336 1
13 336 1
40 336 1
41 336 1
111 336 1
42 336 1
112 336 1
3 336 1
113 336 1
114 336 1
37 336 1
115 336 1
116 336 1
45 336 1
21 336 1
117 336 1
118 336 1
46 336 1
100 336 1
11 336 1
119 336 1
48 336 1
49 336 1
14 336 1
51 336 1
84 336 1
57 336 1
24 336 1
120 336 1
7 336 1
8 336 1
86 336 1
87 336 1
9 336 1
58 336 1
121 336 1
60 336 1
62 336 1
10 336 1
122 336 1
89 336 1
5 336 1
123 336 1
15 336 1
124 336 1
125 336 1
126 336 1
127 336 1
66 336 1
93 336 1
128 336 1
129 336 1
130 336 1
131 336 1
96 336 1
132 336 1
17 336 1
133 336 1
97 336 1
102 336 1
72 336 1
110 336 1
16 337 1
81 337 1
3 337 1
134 337 1
115 337 1
116 337 1
45 337 1
104 337 1
46 337 1
100 337 1
50 337 1
51 337 1
53 337 1
135 337 1
8 337 1
9 337 1
89 337 1
123 337 1
20 337 1
136 337 1
102 337 1
137 337 1
82 338 1
53 338 1
138 339 1
37 339 1
92 339 1
102 339 1
42 340 1
16 340 1
139 340 1
48 340 1
140 340 1
58 340 1
121 340 1
141 340 1
60 340 1
142 340 1
10 340 1
6 340 1
66 340 1
108 340 1
129 340 1
130 340 1
143 340 1
132 340 1
72 340 1
76 340 1
138 341 1
40 341 1
112 341 1
0 341 1
82 341 1
144 341 1
103 341 1
37 341 1
145 341 1
119 341 1
146 341 1
52 341 1
84 341 1
56 341 1
57 341 1
147 341 1
24 341 1
58 341 1
60 341 1
88 341 1
91 341 1
66 341 1
67 341 1
19 341 1
108 341 1
95 341 1
132 341 1
148 341 1
138 342 1
41 342 1
149 342 1
21 342 1
146 342 1
150 342 1
72 342 1
151 343 1
50 343 1
106 343 1
53 343 1
135 343 1
92 343 1
129 343 1
149 344 1
99 344 1
105 344 1
113 344 1
152 344 1
153 344 1
31 344 1
85 344 1
55 344 1
57 344 1
35 344 1
154 344 1
120 344 1
5 344 1
36 344 1
155 344 1
156 344 1
157 344 1
95 344 1
32 344 1
97 344 1
72 344 1
39 345 1
40 345 1
81 345 1
66 345 1
67 345 1
138 346 1
158 346 1
70 346 1
159 347 1
81 347 1
2 347 1
146 347 1
60 347 1
20 347 1
67 347 1
108 347 1
160 347 1
94 348 1
43 349 1
45 349 1
47 349 1
146 349 1
158 349 1
20 349 1
68 349 1
161 350 1
32 350 1
13 351 1
162 351 1
3 351 1
2 351 1
100 351 1
163 351 1
164 351 1
31 351 1
1 351 1
165 351 1
56 351 1
35 351 1
86 351 1
60 351 1
166 351 1
12 351 1
90 351 1
167 351 1
18 351 1
20 351 1
168 351 1
19 351 1
160 351 1
32 351 1
42 352 1
11 352 1
146 352 1
154 352 1
155 352 1
97 352 1
169 352 1
170 353 1
45 353 1
46 353 1
171 353 1
100 353 1
47 353 1
163 353 1
172 353 1
1 353 1
54 353 1
35 353 1
9 353 1
173 353 1
4 353 1
25 353 1
174 353 1
175 353 1
64 353 1
68 353 1
70 353 1
176 353 1
37 354 1
45 354 1
146 354 1
14 354 1
50 354 1
177 354 1
92 354 1
19 354 1
22 354 1
108 354 1
176 354 1
178 355 1
31 355 1
35 355 1
161 355 1
70 355 1
32 355 1
26 356 1
51 356 1
35 356 1
179 356 1
5 356 1
155 356 1
32 356 1
21 357 1
92 357 1
131 357 1
39 358 1
13 358 1
40 358 1
81 358 1
149 358 1
145 358 1
139 358 1
171 358 1
2 358 1
100 358 1
151 358 1
180 358 1
48 358 1
50 358 1
181 358 1
165 358 1
87 358 1
89 358 1
90 358 1
91 358 1
182 358 1
20 358 1
168 358 1
67 358 1
19 358 1
183 358 1
22 358 1
160 358 1
184 358 1
185 358 1
97 358 1
186 358 1
98 358 1
169 358 1
109 358 1
26 359 1
13 360 1
82 360 1
144 360 1
105 360 1
114 360 1
116 360 1
139 360 1
2 360 1
146 360 1
48 360 1
50 360 1
84 360 1
53 360 1
135 360 1
56 360 1
60 360 1
88 360 1
15 360 1
63 360 1
187 360 1
20 360 1
92 360 1
22 360 1
108 360 1
95 360 1
132 360 1
133 360 1
97 360 1
148 360 1
109 360 1
110 360 1
102 361 1
138 362 1
40 362 1
42 362 1
43 362 1
3 362 1
134 362 1
37 362 1
44 362 1
118 362 1
48 362 1
14 362 1
188 362 1
57 362 1
8 362 1
58 362 1
60 362 1
25 362 1
88 362 1
63 362 1
18 362 1
20 362 1
92 362 1
189 362 1
29 362 1
17 362 1
71 362 1
190 362 1
186 362 1
169 362 1
109 362 1
74 362 1
76 362 1
41 363 1
113 363 1
21 363 1
191 363 1
188 363 1
1 363 1
85 363 1
35 363 1
120 363 1
179 363 1
173 363 1
5 363 1
150 363 1
6 363 1
168 363 1
70 363 1
192 363 1
97 363 1
193 363 1
16 364 1
194 365 1
39 365 1
13 365 1
40 365 1
43 365 1
81 365 1
112 365 1
3 365 1
37 365 1
45 365 1
152 365 1
118 365 1
46 365 1
171 365 1
195 365 1
2 365 1
196 365 1
48 365 1
158 365 1
49 365 1
50 365 1
51 365 1
197 365 1
53 365 1
135 365 1
1 365 1
35 365 1
7 365 1
59 365 1
60 365 1
142 365 1
177 365 1
88 365 1
89 365 1
124 365 1
125 365 1
126 365 1
6 365 1
70 365 1
189 365 1
130 365 1
97 365 1
102 365 1
71 365 1
72 365 1
41 365 1
111 365 1
82 365 1
144 365 1
103 365 1
134 365 1
149 365 1
99 365 1
105 365 1
113 365 1
104 365 1
21 365 1
139 365 1
198 365 1
52 365 1
84 365 1
199 365 1
85 365 1
200 365 1
55 365 1
165 365 1
107 365 1
56 365 1
57 365 1
201 365 1
8 365 1
9 365 1
179 365 1
5 365 1
202 365 1
15 365 1
64 365 1
91 365 1
66 365 1
92 365 1
67 365 1
68 365 1
69 365 1
157 365 1
129 365 1
17 365 1
160 365 1
203 365 1
76 365 1
138 366 1
0 366 1
3 366 1
37 366 1
7 366 1
166 366 1
6 366 1
143 366 1
102 366 1
82 366 1
67 366 1
43 367 1
204 367 1
161 368 1
14 369 1
143 369 1
13 370 1
40 370 1
16 370 1
112 370 1
0 370 1
3 370 1
114 370 1
37 370 1
45 370 1
145 370 1
46 370 1
171 370 1
196 370 1
48 370 1
205 370 1
158 370 1
49 370 1
14 370 1
50 370 1
51 370 1
53 370 1
1 370 1
140 370 1
147 370 1
35 370 1
7 370 1
60 370 1
124 370 1
63 370 1
101 370 1
20 370 1
6 370 1
65 370 1
127 370 1
130 370 1
133 370 1
102 370 1
206 370 1
207 370 1
26 370 1
170 370 1
82 370 1
144 370 1
134 370 1
208 370 1
99 370 1
105 370 1
104 370 1
21 370 1
209 370 1
139 370 1
27 370 1
210 370 1
119 370 1
52 370 1
84 370 1
33 370 1
56 370 1
57 370 1
24 370 1
8 370 1
9 370 1
58 370 1
25 370 1
61 370 1
62 370 1
5 370 1
211 370 1
150 370 1
66 370 1
92 370 1
157 370 1
29 370 1
108 370 1
132 370 1
32 370 1
148 370 1
23 370 1
203 370 1
73 370 1
109 370 1
110 370 1
74 370 1
76 370 1
47 371 1
212 372 1
178 373 1
43 373 1
0 373 1
37 373 1
179 373 1
178 374 1
213 374 1
16 374 1
0 374 1
3 374 1
37 374 1
116 374 1
45 374 1
145 374 1
2 374 1
47 374 1
50 374 1
153 374 1
53 374 1
135 374 1
140 374 1
59 374 1
60 374 1
88 374 1
63 374 1
20 374 1
130 374 1
95 374 1
96 374 1
133 374 1
97 374 1
214 374 1
170 374 1
41 374 1
82 374 1
144 374 1
103 374 1
99 374 1
105 374 1
139 374 1
11 374 1
119 374 1
56 374 1
24 374 1
8 374 1
202 374 1
66 374 1
67 374 1
19 374 1
215 374 1
108 374 1
132 374 1
109 374 1
110 374 1
39 375 1
0 375 1
47 375 1
191 375 1
158 375 1
1 375 1
35 375 1
173 375 1
4 375 1
174 375 1
18 375 1
70 375 1
162 375 1
216 375 1
172 375 1
31 375 1
33 375 1
217 375 1
168 375 1
67 375 1
68 375 1
218 375 1
176 375 1
32 375 1
219 375 1
80 375 1
40 376 1
117 376 1
151 376 1
50 376 1
143 376 1
79 376 1
97 376 1
111 376 1
57 376 1
179 376 1
91 376 1
75 376 1
76 376 1
178 377 1
115 377 1
220 377 1
103 377 1
39 378 1
13 378 1
40 378 1
81 378 1
3 378 1
116 378 1
47 378 1
146 378 1
53 378 1
135 378 1
35 378 1
59 378 1
177 378 1
18 378 1
20 378 1
70 378 1
95 378 1
82 378 1
105 378 1
27 378 1
221 378 1
198 378 1
216 378 1
31 378 1
85 378 1
24 378 1
120 378 1
9 378 1
202 378 1
64 378 1
155 378 1
69 378 1
176 378 1
32 378 1
80 378 1
21 379 1
222 380 1
21 380 1
42 381 1
171 381 1
153 381 1
53 381 1
124 381 1
125 381 1
126 381 1
130 381 1
169 381 1
10 381 1
157 381 1
43 382 1
0 382 1
71 382 1
43 383 1
2 383 1
45 384 1
47 384 1
72 384 1
223 384 1
31 384 1
64 384 1
102 385 1
207 386 1
23 386 1
115 387 1
178 388 1
13 388 1
224 388 1
16 388 1
115 388 1
116 388 1
171 388 1
14 388 1
50 388 1
51 388 1
197 388 1
153 388 1
53 388 1
135 388 1
140 388 1
147 388 1
121 388 1
60 388 1
12 388 1
126 388 1
93 388 1
143 388 1
96 388 1
133 388 1
71 388 1
225 388 1
72 388 1
41 388 1
113 388 1
21 388 1
139 388 1
55 388 1
10 388 1
122 388 1
226 388 1
227 388 1
129 388 1
228 388 1
76 388 1
47 389 1
64 389 1
218 389 1
229 390 1
213 390 1
40 390 1
224 390 1
0 390 1
3 390 1
45 390 1
152 390 1
118 390 1
46 390 1
195 390 1
48 390 1
205 390 1
230 390 1
51 390 1
7 390 1
231 390 1
36 390 1
161 390 1
232 390 1
182 390 1
6 390 1
233 390 1
189 390 1
234 390 1
79 390 1
34 390 1
102 390 1
26 390 1
235 390 1
111 390 1
208 390 1
236 390 1
237 390 1
104 390 1
180 390 1
55 390 1
8 390 1
9 390 1
58 390 1
25 390 1
62 390 1
238 390 1
5 390 1
155 390 1
91 390 1
66 390 1
156 390 1
129 390 1
239 390 1
240 390 1
241 390 1
242 390 1
21 391 1
43 392 1
0 392 1
3 392 1
222 392 1
45 392 1
46 392 1
191 392 1
158 392 1
51 392 1
1 392 1
54 392 1
7 392 1
4 392 1
174 392 1
161 392 1
6 392 1
70 392 1
189 392 1
27 392 1
243 392 1
216 392 1
172 392 1
31 392 1
33 392 1
217 392 1
8 392 1
244 392 1
9 392 1
25 392 1
61 392 1
62 392 1
150 392 1
167 392 1
29 392 1
176 392 1
245 392 1
161 393 1
0 394 1
222 394 1
6 394 1
5 394 1
37 395 1
163 395 1
198 395 1
226 395 1
245 395 1
99 396 1
13 397 1
40 397 1
112 397 1
114 397 1
152 397 1
48 397 1
205 397 1
49 397 1
60 397 1
161 397 1
102 397 1
21 397 1
84 397 1
57 397 1
58 397 1
91 397 1
66 397 1
22 397 1
240 397 1
246 398 1
247 399 1
234 399 1
97 399 1
26 399 1
170 399 1
41 399 1
111 399 1
55 399 1
57 399 1
238 399 1
66 399 1
156 399 1
17 399 1
32 399 1
20 400 1
62 400 1
212 400 1
222 401 1
116 401 1
50 401 1
101 401 1
143 401 1
79 401 1
102 401 1
72 401 1
105 401 1
21 401 1
179 401 1
15 401 1
91 401 1
92 401 1
226 401 1
215 401 1
248 401 1
146 402 1
64 402 1
178 403 1
13 403 1
40 403 1
224 403 1
42 403 1
43 403 1
0 403 1
3 403 1
114 403 1
44 403 1
45 403 1
152 403 1
118 403 1
249 403 1
46 403 1
195 403 1
196 403 1
151 403 1
48 403 1
205 403 1
191 403 1
158 403 1
230 403 1
49 403 1
14 403 1
51 403 1
153 403 1
1 403 1
35 403 1
154 403 1
7 403 1
250 403 1
89 403 1
12 403 1
124 403 1
125 403 1
182 403 1
126 403 1
6 403 1
127 403 1
70 403 1
189 403 1
234 403 1
97 403 1
102 403 1
251 403 1
206 403 1
169 403 1
72 403 1
252 403 1
207 403 1
26 403 1
170 403 1
162 403 1
41 403 1
111 403 1
149 403 1
208 403 1
99 403 1
105 403 1
113 403 1
237 403 1
104 403 1
21 403 1
28 403 1
100 403 1
119 403 1
180 403 1
52 403 1
31 403 1
85 403 1
217 403 1
253 403 1
56 403 1
57 403 1
8 403 1
244 403 1
9 403 1
58 403 1
179 403 1
25 403 1
61 403 1
62 403 1
10 403 1
238 403 1
5 403 1
150 403 1
155 403 1
91 403 1
168 403 1
66 403 1
92 403 1
68 403 1
38 403 1
157 403 1
29 403 1
129 403 1
131 403 1
17 403 1
32 403 1
240 403 1
254 403 1
255 403 1
109 403 1
74 403 1
76 403 1
13 404 1
112 404 1
114 404 1
37 404 1
115 404 1
116 404 1
152 404 1
117 404 1
48 404 1
205 404 1
14 404 1
135 404 1
147 404 1
59 404 1
121 404 1
60 404 1
125 404 1
127 404 1
128 404 1
95 404 1
143 404 1
96 404 1
133 404 1
72 404 1
256 404 1
26 404 1
41 404 1
144 404 1
103 404 1
149 404 1
113 404 1
21 404 1
139 404 1
11 404 1
84 404 1
58 404 1
10 404 1
122 404 1
5 404 1
66 404 1
227 404 1
108 404 1
132 404 1
16 405 1
14 406 1
143 406 1
38 406 1
45 407 1
19 407 1
39 408 1
3 408 1
163 408 1
164 408 1
54 408 1
173 408 1
123 408 1
174 408 1
20 408 1
70 408 1
162 408 1
198 408 1
216 408 1
19 408 1
218 408 1
239 408 1
80 408 1
74 408 1
126 409 1
81 410 1
222 410 1
207 410 1
53 411 1
135 411 1
59 411 1
