5772 84608
0 320 1
1 320 1
2 321 1
3 321 1
4 321 1
5 322 1
6 322 1
7 322 1
8 322 1
9 322 1
10 322 1
11 322 1
12 322 1
13 322 1
14 323 1
15 324 1
16 324 1
17 324 1
18 324 1
19 324 1
20 325 1
1 325 1
21 325 1
22 326 1
23 326 1
16 326 1
24 326 1
25 326 1
26 326 1
27 327 1
7 327 1
28 327 1
29 327 1
30 327 1
31 327 1
32 327 1
33 327 1
16 327 1
0 327 1
34 327 1
35 327 1
36 327 1
37 327 1
38 327 1
39 327 1
40 327 1
41 327 1
42 327 1
43 327 1
44 327 1
20 327 1
45 327 1
46 327 1
1 327 1
47 327 1
48 327 1
49 327 1
50 327 1
51 327 1
52 327 1
53 327 1
54 327 1
55 328 1
56 328 1
57 328 1
58 329 1
28 330 1
29 330 1
31 330 1
59 330 1
0 330 1
60 330 1
34 330 1
36 330 1
37 330 1
61 330 1
62 330 1
26 330 1
63 330 1
64 330 1
42 330 1
2 330 1
65 330 1
66 330 1
9 330 1
67 330 1
68 330 1
69 330 1
47 330 1
70 330 1
48 330 1
13 330 1
71 330 1
72 330 1
73 330 1
74 330 1
11 330 1
75 330 1
76 330 1
54 330 1
26 331 1
3 332 1
7 332 1
77 332 1
16 332 1
78 332 1
79 332 1
80 332 1
81 332 1
34 332 1
41 332 1
82 332 1
2 332 1
6 332 1
67 332 1
83 332 1
84 332 1
85 332 1
4 332 1
86 332 1
32 333 1
87 333 1
88 333 1
89 334 1
90 334 1
23 334 1
91 334 1
35 334 1
92 334 1
93 334 1
94 334 1
40 334 1
95 334 1
65 334 1
96 334 1
70 334 1
97 334 1
73 334 1
75 334 1
76 334 1
98 334 1
99 334 1
54 334 1
7 335 1
28 335 1
29 335 1
100 335 1
30 335 1
101 335 1
102 335 1
103 335 1
55 335 1
23 335 1
104 335 1
105 335 1
106 335 1
80 335 1
5 335 1
34 335 1
35 335 1
8 335 1
61 335 1
26 335 1
41 335 1
19 335 1
107 335 1
63 335 1
64 335 1
42 335 1
108 335 1
44 335 1
2 335 1
109 335 1
66 335 1
110 335 1
9 335 1
111 335 1
112 335 1
113 335 1
114 335 1
47 335 1
24 335 1
71 335 1
115 335 1
116 335 1
117 335 1
118 335 1
74 335 1
119 335 1
11 335 1
85 335 1
120 335 1
75 335 1
50 335 1
99 335 1
10 336 1
59 336 1
104 336 1
105 336 1
88 336 1
80 336 1
36 336 1
38 336 1
121 336 1
122 336 1
66 336 1
110 336 1
14 336 1
123 336 1
83 336 1
84 336 1
4 336 1
124 336 1
125 336 1
38 337 1
126 338 1
23 338 1
70 338 1
84 338 1
127 339 1
128 339 1
30 339 1
10 339 1
129 339 1
81 339 1
34 339 1
130 339 1
42 339 1
108 339 1
122 339 1
131 339 1
44 339 1
132 339 1
2 339 1
133 339 1
1 339 1
47 339 1
97 339 1
116 339 1
117 339 1
134 339 1
119 339 1
4 339 1
50 339 1
54 339 1
126 340 1
28 340 1
101 340 1
32 340 1
135 340 1
87 340 1
23 340 1
136 340 1
137 340 1
37 340 1
61 340 1
92 340 1
138 340 1
139 340 1
40 340 1
41 340 1
140 340 1
19 340 1
42 340 1
44 340 1
65 340 1
69 340 1
47 340 1
48 340 1
13 340 1
84 340 1
141 340 1
97 340 1
73 340 1
119 340 1
85 340 1
142 340 1
126 341 1
29 341 1
143 341 1
137 341 1
50 341 1
144 342 1
36 342 1
93 342 1
38 342 1
121 342 1
70 342 1
116 342 1
128 343 1
143 343 1
77 343 1
89 343 1
102 343 1
145 343 1
79 343 1
62 343 1
39 343 1
41 343 1
107 343 1
146 343 1
67 343 1
22 343 1
147 343 1
148 343 1
149 343 1
24 343 1
83 343 1
84 343 1
150 343 1
73 343 1
75 343 1
4 343 1
86 343 1
50 343 1
27 344 1
28 344 1
59 344 1
151 344 1
47 344 1
48 344 1
126 345 1
91 345 1
152 345 1
153 346 1
59 346 1
0 346 1
137 346 1
44 346 1
14 346 1
48 346 1
97 346 1
154 346 1
26 347 1
72 347 1
155 348 1
31 348 1
32 348 1
137 348 1
14 348 1
7 349 1
156 349 1
32 349 1
55 349 1
16 349 1
0 349 1
80 349 1
18 349 1
138 349 1
157 349 1
40 349 1
63 349 1
82 349 1
44 349 1
158 349 1
159 349 1
160 349 1
6 349 1
68 349 1
12 349 1
14 349 1
13 349 1
154 349 1
161 349 1
162 349 1
86 349 1
30 350 1
5 350 1
137 350 1
133 350 1
147 350 1
84 350 1
75 350 1
4 350 1
163 350 1
15 351 1
164 351 1
32 351 1
165 351 1
80 351 1
139 351 1
166 351 1
20 351 1
167 351 1
168 351 1
164 352 1
90 352 1
23 352 1
137 352 1
8 352 1
36 352 1
169 352 1
70 352 1
13 352 1
84 352 1
17 352 1
97 352 1
85 352 1
4 352 1
86 352 1
170 353 1
171 354 1
147 354 1
70 355 1
118 355 1
27 356 1
7 356 1
28 356 1
59 356 1
143 356 1
136 356 1
129 356 1
165 356 1
0 356 1
80 356 1
144 356 1
172 356 1
34 356 1
36 356 1
173 356 1
157 356 1
64 356 1
66 356 1
68 356 1
69 356 1
174 356 1
14 356 1
48 356 1
13 356 1
175 356 1
17 356 1
154 356 1
176 356 1
177 356 1
75 356 1
178 356 1
76 356 1
163 356 1
98 356 1
122 357 1
83 357 1
7 358 1
135 358 1
89 358 1
103 358 1
105 358 1
129 358 1
0 358 1
137 358 1
34 358 1
36 358 1
61 358 1
92 358 1
38 358 1
121 358 1
40 358 1
44 358 1
65 358 1
9 358 1
46 358 1
179 358 1
14 358 1
70 358 1
17 358 1
97 358 1
73 358 1
119 358 1
180 358 1
120 358 1
75 358 1
142 358 1
98 358 1
99 358 1
127 359 1
126 359 1
28 359 1
30 359 1
31 359 1
23 359 1
33 359 1
16 359 1
34 359 1
8 359 1
181 359 1
92 359 1
138 359 1
41 359 1
42 359 1
44 359 1
20 359 1
65 359 1
46 359 1
12 359 1
14 359 1
70 359 1
148 359 1
84 359 1
182 359 1
183 359 1
11 359 1
49 359 1
184 359 1
178 359 1
163 359 1
98 359 1
52 359 1
54 359 1
29 360 1
32 360 1
102 360 1
181 360 1
138 360 1
139 360 1
62 360 1
185 360 1
107 360 1
171 360 1
1 360 1
75 360 1
186 360 1
187 360 1
10 361 1
122 361 1
83 361 1
125 361 1
188 362 1
3 362 1
27 362 1
7 362 1
28 362 1
31 362 1
59 362 1
101 362 1
23 362 1
145 362 1
79 362 1
165 362 1
189 362 1
0 362 1
34 362 1
35 362 1
36 362 1
190 362 1
92 362 1
38 362 1
121 362 1
191 362 1
43 362 1
44 362 1
132 362 1
133 362 1
65 362 1
66 362 1
111 362 1
112 362 1
113 362 1
1 362 1
83 362 1
182 362 1
117 362 1
75 362 1
49 362 1
4 362 1
50 362 1
128 362 1
29 362 1
100 362 1
135 362 1
87 362 1
143 362 1
77 362 1
89 362 1
102 362 1
88 362 1
16 362 1
129 362 1
192 362 1
18 362 1
37 362 1
61 362 1
193 362 1
62 362 1
194 362 1
39 362 1
157 362 1
95 362 1
40 362 1
41 362 1
82 362 1
146 362 1
171 362 1
195 362 1
9 362 1
69 362 1
47 362 1
70 362 1
48 362 1
150 362 1
116 362 1
11 362 1
154 362 1
187 362 1
196 362 1
54 362 1
126 363 1
23 363 1
92 363 1
160 363 1
1 363 1
134 363 1
48 363 1
31 364 1
122 364 1
197 364 1
3 365 1
8 365 1
134 365 1
25 365 1
67 365 1
7 366 1
28 366 1
10 366 1
101 366 1
103 366 1
23 366 1
136 366 1
165 366 1
34 366 1
198 366 1
35 366 1
8 366 1
36 366 1
92 366 1
138 366 1
38 366 1
130 366 1
140 366 1
191 366 1
44 366 1
133 366 1
111 366 1
46 366 1
199 366 1
200 366 1
14 366 1
1 366 1
114 366 1
24 366 1
84 366 1
117 366 1
25 366 1
85 366 1
180 366 1
120 366 1
162 366 1
167 366 1
201 366 1
4 366 1
202 366 1
127 366 1
128 366 1
135 366 1
203 366 1
204 366 1
77 366 1
89 366 1
90 366 1
88 366 1
129 366 1
18 366 1
37 366 1
61 366 1
205 366 1
40 366 1
41 366 1
19 366 1
42 366 1
206 366 1
20 366 1
45 366 1
207 366 1
195 366 1
47 366 1
70 366 1
148 366 1
150 366 1
141 366 1
97 366 1
119 366 1
142 366 1
86 366 1
187 366 1
196 366 1
51 366 1
98 366 1
99 366 1
52 366 1
54 366 1
32 367 1
208 368 1
170 369 1
31 369 1
23 369 1
171 369 1
170 370 1
209 370 1
10 370 1
164 370 1
55 370 1
23 370 1
105 370 1
136 370 1
0 370 1
36 370 1
210 370 1
92 370 1
38 370 1
121 370 1
130 370 1
211 370 1
43 370 1
44 370 1
65 370 1
46 370 1
14 370 1
117 370 1
73 370 1
74 370 1
180 370 1
120 370 1
75 370 1
162 370 1
4 370 1
212 370 1
29 370 1
135 370 1
87 370 1
77 370 1
89 370 1
129 370 1
5 370 1
18 370 1
40 370 1
19 370 1
67 370 1
47 370 1
48 370 1
13 370 1
213 370 1
97 370 1
119 370 1
98 370 1
99 370 1
27 371 1
32 371 1
91 371 1
200 371 1
12 371 1
26 371 1
48 371 1
141 371 1
58 371 1
28 372 1
79 372 1
106 372 1
144 372 1
36 372 1
138 372 1
191 372 1
24 372 1
84 372 1
134 372 1
214 372 1
25 372 1
57 372 1
75 372 1
4 372 1
127 372 1
100 372 1
90 372 1
215 372 1
16 372 1
18 372 1
41 372 1
82 372 1
146 372 1
171 372 1
195 372 1
69 372 1
86 372 1
53 372 1
54 372 1
170 373 1
104 373 1
216 373 1
125 373 1
87 373 1
27 374 1
7 374 1
28 374 1
156 374 1
59 374 1
32 374 1
105 374 1
91 374 1
137 374 1
152 374 1
38 374 1
121 374 1
43 374 1
159 374 1
133 374 1
12 374 1
14 374 1
183 374 1
73 374 1
25 374 1
162 374 1
89 374 1
90 374 1
16 374 1
78 374 1
192 374 1
62 374 1
94 374 1
205 374 1
19 374 1
107 374 1
169 374 1
166 374 1
146 374 1
217 374 1
147 374 1
141 374 1
161 374 1
58 374 1
86 374 1
125 375 1
205 375 1
125 376 1
127 376 1
30 377 1
165 377 1
38 377 1
111 377 1
112 377 1
113 377 1
117 377 1
163 377 1
16 377 1
2 377 1
150 377 1
31 378 1
49 378 1
31 379 1
0 379 1
50 380 1
187 380 1
125 381 1
202 382 1
104 383 1
170 384 1
3 384 1
7 384 1
218 384 1
10 384 1
104 384 1
105 384 1
165 384 1
8 384 1
36 384 1
190 384 1
38 384 1
121 384 1
130 384 1
140 384 1
108 384 1
44 384 1
6 384 1
113 384 1
71 384 1
134 384 1
74 384 1
180 384 1
120 384 1
49 384 1
4 384 1
219 384 1
50 384 1
29 384 1
102 384 1
129 384 1
39 384 1
2 384 1
109 384 1
220 384 1
221 384 1
116 384 1
222 384 1
54 384 1
15 385 1
91 385 1
138 385 1
25 385 1
167 385 1
90 385 1
215 385 1
223 386 1
209 386 1
28 386 1
218 386 1
145 386 1
189 386 1
34 386 1
198 386 1
224 386 1
225 386 1
22 386 1
174 386 1
1 386 1
226 386 1
182 386 1
227 386 1
57 386 1
21 386 1
228 386 1
100 386 1
204 386 1
229 386 1
230 386 1
88 386 1
172 386 1
39 386 1
185 386 1
42 386 1
20 386 1
231 386 1
147 386 1
69 386 1
47 386 1
149 386 1
116 386 1
232 386 1
233 386 1
234 386 1
15 387 1
26 387 1
31 388 1
1 388 1
182 388 1
20 388 1
45 388 1
187 388 1
3 389 1
15 389 1
138 389 1
4 389 1
90 389 1
18 389 1
26 389 1
146 389 1
235 389 1
236 389 1
1 390 1
23 391 1
91 391 1
96 391 1
192 391 1
151 391 1
220 391 1
138 392 1
191 392 1
83 392 1
84 392 1
180 392 1
125 392 1
77 392 1
18 392 1
82 392 1
146 392 1
217 392 1
86 392 1
7 393 1
28 393 1
101 393 1
103 393 1
145 393 1
34 393 1
198 393 1
35 393 1
44 393 1
61 393 1
41 393 1
42 393 1
69 393 1
47 393 1
17 393 1
233 393 1
237 394 1
125 395 1
238 396 1
211 396 1
227 396 1
75 396 1
29 396 1
100 396 1
39 396 1
41 396 1
231 396 1
47 396 1
149 396 1
11 396 1
14 397 1
208 397 1
91 398 1
151 398 1
168 398 1
105 399 1
91 399 1
36 399 1
191 399 1
199 399 1
24 399 1
84 399 1
134 399 1
57 399 1
85 399 1
50 399 1
89 399 1
90 399 1
16 399 1
78 399 1
81 399 1
82 399 1
146 399 1
171 399 1
9 399 1
69 399 1
70 399 1
220 399 1
213 399 1
239 399 1
137 400 1
16 400 1
187 400 1
170 401 1
3 401 1
7 401 1
28 401 1
218 401 1
30 401 1
31 401 1
103 401 1
33 401 1
145 401 1
189 401 1
144 401 1
34 401 1
198 401 1
35 401 1
8 401 1
240 401 1
133 401 1
66 401 1
6 401 1
111 401 1
112 401 1
174 401 1
113 401 1
1 401 1
114 401 1
182 401 1
227 401 1
180 401 1
75 401 1
241 401 1
201 401 1
4 401 1
125 401 1
163 401 1
50 401 1
242 401 1
202 401 1
127 401 1
29 401 1
100 401 1
143 401 1
204 401 1
77 401 1
89 401 1
102 401 1
230 401 1
88 401 1
80 401 1
172 401 1
37 401 1
62 401 1
243 401 1
40 401 1
41 401 1
42 401 1
171 401 1
20 401 1
45 401 1
2 401 1
231 401 1
147 401 1
69 401 1
47 401 1
70 401 1
150 401 1
116 401 1
118 401 1
11 401 1
233 401 1
98 401 1
52 401 1
54 401 1
7 402 1
101 402 1
103 402 1
23 402 1
104 402 1
105 402 1
145 402 1
106 402 1
34 402 1
198 402 1
8 402 1
121 402 1
140 402 1
43 402 1
108 402 1
44 402 1
112 402 1
114 402 1
115 402 1
73 402 1
134 402 1
74 402 1
180 402 1
120 402 1
50 402 1
244 402 1
29 402 1
135 402 1
87 402 1
143 402 1
102 402 1
129 402 1
5 402 1
61 402 1
42 402 1
2 402 1
109 402 1
47 402 1
221 402 1
97 402 1
119 402 1
10 403 1
8 404 1
134 404 1
4 404 1
13 405 1
27 406 1
155 406 1
32 406 1
91 406 1
152 406 1
110 406 1
96 406 1
200 406 1
14 406 1
192 406 1
166 406 1
151 406 1
13 406 1
141 406 1
232 406 1
58 406 1
52 406 1
113 407 1
59 408 1
202 408 1
15 409 1
38 409 1
121 409 1
43 409 1
113 409 1
123 409 1
114 409 1
4 409 1
50 409 1
193 409 1
9 409 1
105 410 1
0 410 1
36 410 1
38 410 1
121 410 1
130 410 1
43 410 1
111 410 1
113 410 1
74 410 1
50 410 1
135 410 1
5 410 1
194 410 1
116 410 1
11 410 1
156 411 1
32 411 1
152 411 1
159 411 1
26 411 1
70 411 1
106 412 1
8 412 1
36 412 1
190 412 1
130 412 1
114 412 1
180 412 1
120 412 1
49 412 1
50 412 1
127 412 1
29 412 1
77 412 1
193 412 1
2 412 1
67 412 1
70 412 1
116 412 1
11 412 1
0 413 1
137 413 1
46 413 1
138 414 1
139 414 1
103 415 1
200 415 1
48 415 1
161 415 1
168 415 1
