6397 130708
0 607 1
1 607 1
2 607 1
3 607 1
4 607 1
5 608 1
6 608 1
7 608 1
8 608 1
9 608 1
10 608 1
11 608 1
12 608 1
13 608 1
14 608 1
15 608 1
16 608 1
17 609 1
18 609 1
19 609 1
20 609 1
21 609 1
22 609 1
23 609 1
24 609 1
25 610 1
26 611 1
27 611 1
28 611 1
29 611 1
30 611 1
31 611 1
32 611 1
33 611 1
34 611 1
35 611 1
36 611 1
37 611 1
38 611 1
10 611 1
39 611 1
40 611 1
41 611 1
42 611 1
43 611 1
44 611 1
45 611 1
46 611 1
47 612 1
48 612 1
3 612 1
8 612 1
49 612 1
50 612 1
51 612 1
4 612 1
52 612 1
53 612 1
54 612 1
55 612 1
56 612 1
57 612 1
58 612 1
59 612 1
60 612 1
0 612 1
61 612 1
62 612 1
63 612 1
64 613 1
65 613 1
66 613 1
67 613 1
13 613 1
68 613 1
69 613 1
70 613 1
71 613 1
72 613 1
5 613 1
73 613 1
9 613 1
74 613 1
10 613 1
58 613 1
75 613 1
12 613 1
76 613 1
77 614 1
78 614 1
56 614 1
79 614 1
80 615 1
81 615 1
82 615 1
48 615 1
19 615 1
83 615 1
84 615 1
85 615 1
86 615 1
87 615 1
88 615 1
89 615 1
90 615 1
11 615 1
91 615 1
92 615 1
5 615 1
93 615 1
1 615 1
94 615 1
7 615 1
95 615 1
96 615 1
97 615 1
57 615 1
98 615 1
99 615 1
59 615 1
0 615 1
100 615 1
101 615 1
102 615 1
103 615 1
104 615 1
63 615 1
105 615 1
106 615 1
107 615 1
108 615 1
47 615 1
109 615 1
3 615 1
110 615 1
111 615 1
65 615 1
112 615 1
68 615 1
113 615 1
4 615 1
114 615 1
115 615 1
116 615 1
117 615 1
118 615 1
119 615 1
74 615 1
60 615 1
120 615 1
121 615 1
122 615 1
123 615 1
124 615 1
125 615 1
8 616 1
126 616 1
127 616 1
59 616 1
128 616 1
129 616 1
68 616 1
130 616 1
119 616 1
131 616 1
132 616 1
133 616 1
16 616 1
134 617 1
85 618 1
88 618 1
135 618 1
1 618 1
136 618 1
94 618 1
96 618 1
97 618 1
137 618 1
138 618 1
139 618 1
140 618 1
105 618 1
6 618 1
141 618 1
142 618 1
143 618 1
20 618 1
144 618 1
145 618 1
115 618 1
146 618 1
24 618 1
147 618 1
148 618 1
149 618 1
150 618 1
22 618 1
151 618 1
152 618 1
125 618 1
153 619 1
154 619 1
155 620 1
19 620 1
83 620 1
156 620 1
157 620 1
158 620 1
159 620 1
160 620 1
94 620 1
58 620 1
104 620 1
6 620 1
18 620 1
65 620 1
50 620 1
161 620 1
162 621 1
155 621 1
156 621 1
163 621 1
164 621 1
153 621 1
165 621 1
158 621 1
159 621 1
166 621 1
58 621 1
167 621 1
168 622 1
13 622 1
69 622 1
169 622 1
95 622 1
170 622 1
103 622 1
171 622 1
172 622 1
28 622 1
141 622 1
173 622 1
146 622 1
174 622 1
149 622 1
151 622 1
152 622 1
175 622 1
176 622 1
177 622 1
125 622 1
27 623 1
19 623 1
178 623 1
85 623 1
179 623 1
87 623 1
180 623 1
181 623 1
13 623 1
182 623 1
183 623 1
184 623 1
69 623 1
185 623 1
186 623 1
126 623 1
187 623 1
5 623 1
160 623 1
17 623 1
94 623 1
7 623 1
95 623 1
56 623 1
137 623 1
58 623 1
104 623 1
42 623 1
188 623 1
139 623 1
140 623 1
105 623 1
45 623 1
189 623 1
6 623 1
190 623 1
142 623 1
3 623 1
191 623 1
20 623 1
192 623 1
193 623 1
112 623 1
194 623 1
195 623 1
115 623 1
116 623 1
147 623 1
37 623 1
196 623 1
197 623 1
198 623 1
9 623 1
199 623 1
150 623 1
200 623 1
201 623 1
22 623 1
75 623 1
12 623 1
202 623 1
151 623 1
121 623 1
177 623 1
8 624 1
203 624 1
21 624 1
