5895 116070
0 409 1
1 409 1
2 410 1
3 410 1
4 410 1
5 410 1
6 410 1
7 411 1
8 411 1
9 411 1
10 411 1
11 411 1
12 411 1
13 411 1
14 411 1
15 411 1
16 411 1
17 412 1
18 413 1
19 413 1
20 413 1
21 413 1
22 413 1
23 413 1
24 413 1
25 413 1
26 414 1
1 414 1
6 414 1
27 414 1
5 415 1
28 416 1
29 416 1
30 416 1
31 416 1
24 416 1
21 417 1
32 417 1
33 418 1
3 418 1
34 418 1
9 418 1
35 418 1
4 418 1
36 418 1
37 418 1
38 418 1
39 418 1
40 418 1
41 418 1
42 418 1
43 418 1
21 418 1
0 418 1
44 418 1
45 418 1
46 418 1
47 418 1
48 418 1
49 418 1
50 418 1
51 418 1
52 418 1
53 418 1
54 418 1
24 418 1
55 418 1
56 418 1
57 418 1
58 418 1
59 418 1
26 418 1
60 418 1
61 418 1
62 418 1
63 418 1
64 418 1
1 418 1
65 418 1
66 418 1
67 418 1
68 418 1
6 418 1
69 418 1
70 418 1
71 418 1
14 418 1
72 418 1
73 418 1
74 418 1
75 418 1
76 418 1
77 419 1
61 419 1
78 419 1
79 420 1
80 420 1
4 421 1
36 421 1
38 421 1
40 421 1
81 421 1
82 421 1
0 421 1
83 421 1
45 421 1
48 421 1
49 421 1
84 421 1
85 421 1
51 421 1
86 421 1
87 421 1
88 421 1
57 421 1
2 421 1
89 421 1
90 421 1
11 421 1
91 421 1
64 421 1
92 421 1
65 421 1
93 421 1
66 421 1
16 421 1
94 421 1
95 421 1
96 421 1
97 421 1
6 421 1
13 421 1
98 421 1
99 421 1
14 421 1
76 421 1
100 422 1
101 422 1
100 423 1
9 423 1
102 423 1
103 423 1
104 423 1
45 423 1
54 423 1
2 423 1
8 423 1
5 423 1
105 424 1
106 424 1
107 424 1
108 424 1
20 424 1
109 425 1
110 425 1
111 425 1
112 425 1
3 425 1
113 425 1
114 425 1
115 425 1
41 425 1
29 425 1
30 425 1
21 425 1
116 425 1
117 425 1
44 425 1
118 425 1
119 425 1
120 425 1
121 425 1
122 425 1
101 425 1
47 425 1
123 425 1
124 425 1
125 425 1
53 425 1
126 425 1
24 425 1
127 425 1
55 425 1
128 425 1
56 425 1
129 425 1
130 425 1
89 425 1
131 425 1
79 425 1
132 425 1
133 425 1
134 425 1
135 425 1
64 425 1
136 425 1
93 425 1
22 425 1
67 425 1
137 425 1
138 425 1
139 425 1
140 425 1
141 425 1
142 425 1
143 425 1
144 425 1
145 425 1
96 425 1
68 425 1
146 425 1
6 425 1
31 425 1
147 425 1
98 425 1
148 425 1
149 425 1
99 425 1
150 425 1
151 425 1
152 425 1
153 425 1
154 425 1
76 425 1
9 426 1
105 426 1
4 426 1
36 426 1
38 426 1
155 426 1
39 426 1
156 426 1
157 426 1
41 426 1
158 426 1
159 426 1
29 426 1
30 426 1
160 426 1
161 426 1
20 426 1
162 426 1
104 426 1
163 426 1
7 426 1
164 426 1
45 426 1
47 426 1
10 426 1
84 426 1
165 426 1
85 426 1
166 426 1
167 426 1
54 426 1
25 426 1
56 426 1
168 426 1
87 426 1
88 426 1
57 426 1
169 426 1
59 426 1
2 426 1
170 426 1
90 426 1
171 426 1
11 426 1
172 426 1
173 426 1
174 426 1
175 426 1
65 426 1
94 426 1
176 426 1
177 426 1
