6469 149902
0 622 1
1 622 1
2 622 1
3 623 1
4 623 1
5 623 1
6 623 1
7 623 1
8 623 1
9 623 1
10 623 1
11 623 1
12 623 1
13 623 1
14 623 1
15 623 1
16 624 1
17 624 1
18 624 1
19 624 1
20 624 1
21 624 1
22 624 1
23 624 1
24 625 1
25 626 1
26 626 1
27 626 1
28 626 1
29 626 1
30 626 1
31 626 1
32 626 1
33 626 1
34 626 1
35 626 1
36 626 1
37 626 1
38 626 1
39 626 1
40 626 1
41 626 1
42 626 1
43 626 1
44 626 1
45 627 1
2 627 1
46 627 1
47 627 1
48 628 1
25 629 1
10 629 1
49 629 1
50 629 1
51 629 1
52 629 1
14 629 1
53 629 1
9 629 1
40 629 1
54 629 1
42 629 1
55 629 1
56 629 1
48 630 1
31 630 1
57 630 1
1 630 1
32 630 1
58 630 1
40 630 1
59 630 1
60 631 1
18 631 1
61 631 1
62 631 1
63 631 1
64 631 1
65 631 1
66 631 1
67 631 1
1 631 1
32 631 1
0 631 1
68 631 1
69 631 1
70 631 1
71 631 1
72 631 1
73 631 1
74 631 1
75 631 1
76 631 1
77 631 1
78 631 1
79 631 1
45 631 1
80 631 1
8 631 1
81 631 1
2 631 1
82 631 1
83 631 1
84 631 1
85 631 1
86 631 1
87 631 1
88 631 1
89 631 1
90 631 1
91 631 1
35 632 1
92 632 1
93 632 1
34 632 1
84 632 1
94 632 1
95 632 1
96 633 1
62 634 1
63 634 1
65 634 1
97 634 1
0 634 1
98 634 1
68 634 1
70 634 1
71 634 1
99 634 1
100 634 1
101 634 1
102 634 1
77 634 1
6 634 1
103 634 1
104 634 1
105 634 1
19 634 1
106 634 1
107 634 1
82 634 1
108 634 1
23 634 1
109 634 1
110 634 1
111 634 1
112 634 1
21 634 1
113 634 1
114 634 1
91 634 1
73 635 1
7 636 1
28 636 1
115 636 1
18 636 1
116 636 1
10 636 1
117 636 1
118 636 1
119 636 1
52 636 1
57 636 1
120 636 1
121 636 1
122 636 1
123 636 1
124 636 1
125 636 1
68 636 1
126 636 1
127 636 1
39 636 1
73 636 1
76 636 1
55 636 1
128 636 1
129 636 1
130 636 1
131 636 1
6 636 1
17 636 1
132 636 1
133 636 1
5 636 1
134 636 1
135 636 1
136 636 1
137 636 1
138 636 1
139 636 1
66 637 1
140 637 1
141 637 1
142 637 1
143 637 1
144 637 1
145 638 1
146 638 1
147 638 1
28 638 1
148 638 1
14 638 1
149 638 1
57 638 1
53 638 1
32 638 1
150 638 1
151 638 1
69 638 1
152 638 1
59 638 1
75 638 1
153 638 1
27 638 1
103 638 1
154 638 1
155 638 1
156 638 1
157 638 1
108 638 1
83 638 1
158 638 1
159 638 1
160 638 1
161 638 1
111 638 1
54 638 1
135 638 1
12 638 1
42 638 1
113 638 1
162 638 1
114 638 1
163 638 1
164 638 1
165 638 1
91 638 1
26 639 1
18 639 1
62 639 1
63 639 1
166 639 1
64 639 1
167 639 1
14 639 1
168 639 1
169 639 1
170 639 1
53 639 1
171 639 1
172 639 1
173 639 1
123 639 1
16 639 1
68 639 1
69 639 1
174 639 1
99 639 1
73 639 1
76 639 1
43 639 1
175 639 1
128 639 1
101 639 1
102 639 1
77 639 1
44 639 1
176 639 1
25 639 1
79 639 1
6 639 1
177 639 1
8 639 1
178 639 1
104 639 1
179 639 1
19 639 1
180 639 1
181 639 1
182 639 1
183 639 1
82 639 1
109 639 1
184 639 1
185 639 1
186 639 1
9 639 1
187 639 1
112 639 1
188 639 1
