5820 94624
0 346 1
1 346 1
2 347 1
3 347 1
4 347 1
5 347 1
6 347 1
7 347 1
8 347 1
9 347 1
10 347 1
11 348 1
12 348 1
13 348 1
14 348 1
15 348 1
16 348 1
17 348 1
18 348 1
19 348 1
20 348 1
21 349 1
22 350 1
23 350 1
9 350 1
24 350 1
25 350 1
26 350 1
27 351 1
1 351 1
28 351 1
7 351 1
29 351 1
30 352 1
9 352 1
31 352 1
32 352 1
33 352 1
34 352 1
35 352 1
28 352 1
10 353 1
22 354 1
36 354 1
37 354 1
13 354 1
38 354 1
39 354 1
40 354 1
41 354 1
8 354 1
42 354 1
43 354 1
0 354 1
44 354 1
5 354 1
45 354 1
46 354 1
47 354 1
48 354 1
49 354 1
50 354 1
51 354 1
52 354 1
53 354 1
54 354 1
55 354 1
56 354 1
57 354 1
27 354 1
58 354 1
59 354 1
60 354 1
1 354 1
61 354 1
62 354 1
63 354 1
64 354 1
7 354 1
65 354 1
66 354 1
18 354 1
67 354 1
68 354 1
69 354 1
70 354 1
71 354 1
72 355 1
73 355 1
74 355 1
75 356 1
38 357 1
39 357 1
41 357 1
76 357 1
77 357 1
0 357 1
78 357 1
45 357 1
47 357 1
48 357 1
79 357 1
80 357 1
50 357 1
81 357 1
82 357 1
83 357 1
54 357 1
4 357 1
84 357 1
85 357 1
15 357 1
86 357 1
60 357 1
87 357 1
61 357 1
88 357 1
62 357 1
20 357 1
89 357 1
90 357 1
91 357 1
92 357 1
7 357 1
17 357 1
93 357 1
66 357 1
94 357 1
18 357 1
71 357 1
95 358 1
13 359 1
96 359 1
33 359 1
97 359 1
45 359 1
28 359 1
53 359 1
4 359 1
12 359 1
98 359 1
9 359 1
64 359 1
99 360 1
100 360 1
24 360 1
28 360 1
101 361 1
34 361 1
44 361 1
46 361 1
102 361 1
52 361 1
103 361 1
84 361 1
104 361 1
60 361 1
88 361 1
63 361 1
105 361 1
91 361 1
7 361 1
93 361 1
66 361 1
94 361 1
106 361 1
107 361 1
71 361 1
13 362 1
38 362 1
39 362 1
108 362 1
40 362 1
109 362 1
110 362 1
111 362 1
34 362 1
112 362 1
113 362 1
24 362 1
114 362 1
97 362 1
11 362 1
45 362 1
46 362 1
14 362 1
79 362 1
80 362 1
28 362 1
53 362 1
26 362 1
