5454 74866
0 290 1
1 290 1
2 291 1
3 291 1
4 291 1
5 291 1
6 292 1
7 292 1
8 292 1
9 292 1
10 292 1
11 292 1
12 292 1
13 292 1
14 292 1
15 292 1
16 292 1
17 293 1
18 293 1
19 293 1
20 294 1
21 294 1
22 294 1
23 294 1
24 295 1
4 295 1
25 295 1
26 295 1
27 295 1
1 295 1
28 295 1
29 295 1
30 295 1
5 295 1
31 295 1
32 296 1
33 296 1
30 296 1
34 297 1
8 297 1
35 297 1
36 297 1
37 297 1
38 297 1
39 297 1
40 297 1
0 297 1
41 297 1
42 297 1
43 297 1
44 297 1
45 297 1
46 297 1
47 297 1
48 297 1
49 297 1
50 297 1
51 297 1
52 297 1
24 297 1
53 297 1
4 297 1
54 297 1
1 297 1
19 297 1
55 297 1
56 297 1
5 297 1
57 297 1
58 297 1
59 297 1
60 297 1
61 297 1
62 297 1
63 298 1
64 298 1
65 299 1
35 300 1
36 300 1
38 300 1
66 300 1
67 300 1
0 300 1
68 300 1
41 300 1
44 300 1
45 300 1
69 300 1
70 300 1
71 300 1
72 300 1
50 300 1
3 300 1
73 300 1
74 300 1
4 300 1
10 300 1
75 300 1
76 300 1
55 300 1
77 300 1
56 300 1
16 300 1
78 300 1
79 300 1
80 300 1
81 300 1
5 300 1
12 300 1
82 300 1
83 300 1
62 300 1
8 301 1
84 301 1
85 301 1
41 301 1
30 301 1
49 301 1
3 301 1
4 301 1
7 301 1
86 301 1
87 302 1
88 302 1
20 302 1
30 302 1
89 303 1
33 303 1
43 303 1
90 303 1
48 303 1
91 303 1
73 303 1
77 303 1
92 303 1
93 303 1
80 303 1
5 303 1
82 303 1
83 303 1
94 303 1
95 303 1
62 303 1
8 304 1
35 304 1
36 304 1
96 304 1
37 304 1
97 304 1
98 304 1
99 304 1
33 304 1
100 304 1
101 304 1
20 304 1
102 304 1
85 304 1
6 304 1
41 304 1
43 304 1
9 304 1
69 304 1
30 304 1
13 304 1
14 304 1
49 304 1
22 304 1
103 304 1
71 304 1
72 304 1
50 304 1
104 304 1
52 304 1
3 304 1
105 304 1
74 304 1
4 304 1
106 304 1
10 304 1
