6957 189864
0 1068 1
1 1068 1
2 1068 1
3 1068 1
4 1068 1
5 1068 1
6 1068 1
7 1068 1
8 1068 1
9 1068 1
10 1068 1
11 1068 1
12 1069 1
13 1069 1
14 1069 1
15 1069 1
16 1069 1
17 1069 1
18 1070 1
19 1070 1
20 1070 1
21 1070 1
22 1070 1
23 1070 1
24 1070 1
25 1070 1
26 1071 1
27 1071 1
28 1071 1
29 1071 1
30 1071 1
31 1071 1
32 1071 1
33 1071 1
34 1071 1
15 1071 1
35 1071 1
36 1071 1
37 1071 1
38 1071 1
39 1071 1
40 1071 1
41 1071 1
42 1071 1
43 1071 1
44 1071 1
45 1071 1
46 1071 1
47 1071 1
48 1071 1
49 1071 1
50 1071 1
51 1071 1
52 1071 1
53 1071 1
54 1071 1
55 1071 1
56 1072 1
57 1072 1
58 1072 1
4 1072 1
59 1072 1
60 1072 1
7 1072 1
61 1072 1
62 1072 1
18 1072 1
63 1072 1
64 1072 1
65 1072 1
66 1072 1
67 1072 1
68 1072 1
69 1072 1
70 1072 1
71 1072 1
72 1073 1
73 1073 1
74 1073 1
75 1073 1
76 1073 1
77 1073 1
78 1073 1
79 1073 1
80 1073 1
81 1073 1
82 1073 1
51 1073 1
3 1074 1
83 1074 1
5 1074 1
6 1074 1
65 1074 1
84 1074 1
85 1074 1
86 1075 1
87 1075 1
3 1075 1
88 1075 1
89 1075 1
73 1075 1
90 1075 1
58 1075 1
91 1075 1
92 1075 1
93 1075 1
94 1075 1
95 1075 1
96 1075 1
97 1075 1
98 1075 1
15 1075 1
99 1075 1
100 1075 1
101 1075 1
102 1075 1
5 1075 1
16 1075 1
103 1075 1
104 1075 1
105 1075 1
106 1075 1
61 1075 1
107 1075 1
108 1075 1
109 1075 1
110 1075 1
111 1075 1
14 1075 1
112 1075 1
113 1075 1
114 1075 1
115 1075 1
116 1075 1
117 1075 1
118 1075 1
119 1075 1
120 1075 1
67 1075 1
121 1075 1
122 1075 1
123 1075 1
124 1075 1
48 1075 1
125 1075 1
126 1075 1
127 1075 1
128 1075 1
10 1075 1
129 1075 1
130 1075 1
131 1075 1
56 1075 1
132 1075 1
133 1075 1
4 1075 1
134 1075 1
135 1075 1
136 1075 1
137 1075 1
138 1075 1
139 1075 1
140 1075 1
141 1075 1
142 1075 1
143 1075 1
144 1075 1
145 1075 1
146 1075 1
6 1075 1
147 1075 1
7 1075 1
148 1075 1
149 1075 1
150 1075 1
151 1075 1
152 1075 1
153 1075 1
154 1075 1
155 1075 1
156 1075 1
157 1075 1
2 1075 1
158 1075 1
159 1075 1
160 1075 1
161 1075 1
84 1075 1
162 1075 1
163 1075 1
164 1075 1
165 1075 1
166 1075 1
167 1075 1
168 1075 1
169 1075 1
170 1075 1
53 1075 1
171 1075 1
172 1076 1
173 1076 1
95 1076 1
174 1076 1
76 1076 1
175 1076 1
37 1076 1
176 1076 1
177 1076 1
120 1076 1
67 1076 1
178 1076 1
179 1076 1
82 1076 1
180 1076 1
181 1076 1
128 1076 1
182 1076 1
183 1076 1
184 1076 1
185 1076 1
133 1076 1
186 1076 1
187 1076 1
134 1076 1
188 1076 1
34 1076 1
143 1076 1
77 1076 1
144 1076 1
189 1076 1
190 1076 1
191 1076 1
192 1076 1
193 1076 1
164 1076 1
194 1077 1
195 1077 1
196 1077 1
85 1078 1
197 1078 1
198 1078 1
199 1078 1
23 1078 1
200 1078 1
201 1079 1
202 1079 1
91 1079 1
203 1079 1
175 1079 1
204 1079 1
205 1079 1
18 1079 1
206 1079 1
176 1079 1
207 1079 1
208 1079 1
49 1079 1
209 1079 1
210 1079 1
83 1079 1
211 1079 1
59 1079 1
212 1079 1
