5519 59889
0 254 1
1 254 1
2 254 1
3 254 1
4 254 1
5 254 1
6 254 1
7 254 1
8 254 1
9 254 1
10 254 1
11 254 1
12 255 1
13 255 1
14 255 1
15 255 1
16 255 1
17 255 1
18 256 1
19 256 1
20 256 1
21 256 1
22 256 1
23 256 1
24 256 1
25 256 1
26 256 1
27 257 1
28 257 1
29 257 1
4 257 1
7 257 1
18 258 1
30 258 1
31 258 1
32 258 1
33 258 1
34 258 1
35 258 1
36 258 1
37 258 1
18 259 1
27 259 1
3 259 1
38 259 1
5 259 1
6 259 1
39 259 1
3 260 1
40 260 1
41 260 1
42 260 1
43 260 1
44 260 1
5 260 1
45 260 1
46 260 1
47 260 1
48 260 1
49 260 1
10 260 1
50 260 1
51 260 1
28 260 1
52 260 1
4 260 1
6 260 1
7 260 1
53 260 1
2 260 1
39 260 1
15 260 1
54 260 1
21 261 1
37 262 1
55 262 1
56 262 1
12 263 1
57 263 1
56 263 1
13 264 1
58 264 1
59 264 1
18 264 1
27 264 1
12 264 1
38 264 1
53 264 1
25 264 1
60 264 1
61 264 1
62 264 1
63 264 1
64 264 1
65 265 1
66 265 1
64 265 1
3 266 1
67 266 1
32 266 1
33 266 1
68 266 1
49 266 1
69 266 1
70 266 1
19 266 1
27 266 1
71 266 1
22 266 1
57 266 1
72 266 1
25 266 1
16 266 1
73 266 1
74 266 1
75 266 1
29 267 1
76 267 1
8 267 1
40 267 1
77 267 1
42 267 1
43 267 1
78 267 1
79 267 1
32 267 1
33 267 1
44 267 1
80 267 1
81 267 1
45 267 1
82 267 1
46 267 1
47 267 1
48 267 1
9 267 1
10 267 1
59 267 1
51 267 1
11 267 1
52 267 1
83 267 1
12 267 1
4 267 1
84 267 1
6 267 1
85 267 1
86 267 1
34 267 1
53 267 1
2 267 1
87 267 1
36 267 1
62 267 1
63 267 1
64 267 1
88 267 1
74 267 1
56 267 1
75 267 1
3 268 1
65 268 1
40 268 1
77 268 1
42 268 1
43 268 1
33 268 1
44 268 1
81 268 1
45 268 1
82 268 1
48 268 1
68 268 1
1 268 1
49 268 1
66 268 1
10 268 1
51 268 1
11 268 1
27 268 1
30 268 1
22 268 1
64 268 1
27 269 1
89 270 1
42 270 1
32 270 1
90 270 1
66 270 1
6 270 1
57 270 1
2 270 1
64 270 1
91 271 1
41 271 1
77 271 1
78 271 1
92 271 1
93 271 1
94 271 1
95 271 1
12 271 1
7 271 1
96 271 1
86 271 1
53 271 1
72 271 1
97 271 1
98 271 1
36 271 1
74 271 1
56 271 1
99 272 1
3 272 1
100 272 1
101 272 1
89 272 1
0 272 1
32 272 1
102 272 1
5 272 1
103 272 1
68 272 1
49 272 1
66 272 1
70 272 1
19 272 1
104 272 1
105 272 1
106 272 1
107 272 1
108 272 1
24 272 1
72 272 1
25 272 1
109 272 1
39 272 1
110 272 1
36 272 1
63 272 1
37 272 1
26 272 1
111 272 1
88 272 1
74 272 1
112 272 1
89 273 1
113 274 1
27 274 1
57 274 1
96 274 1
114 275 1
40 275 1
115 275 1
58 275 1
68 275 1
4 275 1
116 275 1
