3994 24080
0 186 1
1 186 1
2 186 1
3 186 1
4 186 1
5 186 1
6 186 1
7 187 1
8 187 1
9 187 1
10 187 1
11 187 1
12 187 1
13 187 1
14 188 1
15 188 1
3 188 1
4 188 1
16 189 1
17 189 1
18 189 1
2 190 1
11 190 1
19 190 1
20 190 1
2 191 1
21 191 1
22 191 1
23 191 1
24 191 1
25 191 1
26 191 1
27 191 1
28 191 1
29 191 1
14 191 1
30 191 1
3 191 1
4 191 1
31 191 1
19 191 1
32 191 1
33 192 1
2 193 1
11 193 1
17 193 1
18 193 1
34 193 1
15 194 1
35 194 1
5 194 1
21 194 1
36 194 1
23 194 1
37 194 1
38 194 1
17 194 1
18 194 1
39 194 1
40 194 1
24 194 1
25 194 1
26 194 1
6 194 1
28 194 1
30 194 1
41 194 1
3 194 1
42 194 1
43 194 1
34 194 1
2 195 1
21 195 1
36 195 1
23 195 1
18 195 1
40 195 1
26 195 1
1 195 1
28 195 1
16 195 1
44 196 1
23 196 1
17 196 1
45 196 1
46 197 1
22 197 1
36 197 1
37 197 1
47 197 1
4 197 1
48 197 1
2 198 1
49 198 1
44 198 1
0 198 1
11 198 1
17 198 1
19 198 1
50 198 1
51 198 1
44 199 1
52 200 1
29 200 1
48 200 1
53 201 1
21 201 1
3 201 1
22 202 1
44 203 1
32 203 1
2 204 1
11 204 1
54 204 1
55 205 1
56 205 1
8 206 1
49 206 1
14 207 1
57 207 1
58 208 1
8 208 1
49 208 1
5 208 1
46 208 1
21 208 1
9 208 1
17 208 1
52 208 1
1 208 1
29 208 1
16 208 1
59 208 1
60 208 1
50 208 1
56 209 1
15 210 1
26 210 1
61 210 1
62 210 1
3 210 1
15 211 1
41 211 1
34 212 1
44 213 1
23 213 1
17 213 1
18 213 1
14 213 1
42 213 1
19 213 1
3 214 1
4 214 1
63 215 1
46 216 1
23 216 1
37 216 1
17 216 1
40 216 1
24 216 1
26 216 1
6 216 1
16 216 1
59 216 1
4 216 1
5 216 1
64 216 1
52 216 1
65 216 1
66 216 1
67 216 1
1 216 1
3 216 1
68 216 1
48 216 1
20 216 1
44 217 1
0 217 1
17 217 1
18 217 1
6 217 1
16 217 1
4 217 1
5 217 1
66 217 1
62 217 1
1 217 1
50 217 1
67 218 1
56 219 1
8 220 1
22 220 1
0 220 1
17 220 1
18 220 1
26 220 1
6 220 1
4 220 1
15 220 1
52 220 1
14 220 1
30 220 1
3 220 1
48 220 1
34 220 1
1 221 1
7 222 1
0 222 1
17 222 1
55 222 1
32 222 1
2 223 1
21 223 1
36 223 1
0 223 1
23 223 1
17 223 1
18 223 1
40 223 1
11 223 1
68 223 1
48 223 1
34 223 1
0 224 1
69 224 1
66 225 1
23 226 1
59 226 1
68 226 1
70 226 1
71 227 1
29 227 1
65 228 1
0 229 1
2 230 1
26 230 1
48 230 1
35 231 1
46 231 1
21 231 1
0 231 1
23 231 1
37 231 1
38 231 1
40 231 1
24 231 1
25 231 1
72 231 1
26 231 1
73 231 1
6 231 1
74 231 1
56 231 1
75 231 1
4 231 1
76 231 1
77 231 1
15 231 1
5 231 1
64 231 1
52 231 1
62 231 1
67 231 1
1 231 1
28 231 1
14 231 1
30 231 1
41 231 1
3 231 1
42 231 1
43 231 1
19 231 1
78 231 1
79 231 1
80 231 1
81 231 1
2 232 1
19 232 1
0 233 1
26 233 1
6 233 1
56 233 1
4 233 1
82 233 1
14 233 1
30 233 1
22 234 1
56 234 1
67 234 1
0 235 1
4 235 1
1 235 1
3 235 1
17 236 1
22 237 1
56 237 1
79 237 1
83 238 1
15 239 1
5 239 1
12 240 1
30 240 1
35 241 1
46 241 1
21 241 1
36 241 1
0 241 1
23 241 1
37 241 1
38 241 1
40 241 1
24 241 1
25 241 1
72 241 1
26 241 1
6 241 1
4 241 1
77 241 1
15 241 1
5 241 1
84 241 1
64 241 1
52 241 1
45 241 1
66 241 1
67 241 1
85 241 1
1 241 1
27 241 1
82 241 1
14 241 1
30 241 1
41 241 1
3 241 1
86 241 1
42 241 1
43 241 1
79 241 1
87 241 1
32 241 1
88 241 1
81 241 1
89 241 1
2 242 1
46 242 1
21 242 1
36 242 1
17 242 1
18 242 1
73 242 1
16 242 1
15 242 1
5 242 1
3 242 1
5 243 1
78 244 1
66 245 1
81 245 1
90 246 1
56 247 1
60 248 1
91 249 1
52 250 1
60 251 1
44 252 1
22 252 1
36 252 1
23 252 1
18 252 1
24 252 1
26 252 1
16 252 1
56 252 1
55 252 1
5 252 1
1 252 1
82 252 1
30 252 1
19 252 1
78 252 1
87 252 1
7 253 1
92 253 1
21 254 1
22 254 1
0 254 1
23 254 1
37 254 1
40 254 1
24 254 1
25 254 1
26 254 1
93 254 1
74 254 1
4 254 1
76 254 1
53 254 1
84 254 1
62 254 1
27 254 1
28 254 1
14 254 1
30 254 1
3 254 1
43 254 1
78 254 1
32 254 1
34 254 1
56 255 1
17 256 1
35 257 1
2 257 1
44 257 1
46 257 1
21 257 1
22 257 1
36 257 1
23 257 1
37 257 1
17 257 1
18 257 1
25 257 1
72 257 1
26 257 1
73 257 1
16 257 1
4 257 1
53 257 1
15 257 1
5 257 1
52 257 1
66 257 1
1 257 1
27 257 1
14 257 1
30 257 1
48 257 1
42 257 1
90 257 1
34 257 1
83 257 1
21 258 1
23 258 1
40 258 1
24 258 1
26 258 1
6 258 1
74 258 1
5 258 1
52 258 1
66 258 1
67 258 1
28 258 1
30 258 1
86 258 1
43 258 1
81 258 1
89 258 1
53 259 1
94 260 1
44 260 1
90 260 1
56 261 1
49 262 1
6 262 1
12 262 1
33 262 1
55 262 1
58 262 1
11 262 1
61 262 1
48 262 1
19 262 1
50 262 1
20 262 1
56 263 1
8 264 1
71 264 1
46 264 1
22 264 1
36 264 1
9 264 1
37 264 1
95 264 1
26 264 1
6 264 1
56 264 1
96 264 1
97 264 1
61 264 1
14 264 1
30 264 1
41 264 1
3 264 1
98 264 1
68 264 1
99 264 1
80 264 1
34 264 1
83 264 1
52 265 1
2 266 1
2 267 1
8 267 1
21 267 1
22 267 1
36 267 1
0 267 1
17 267 1
40 267 1
24 267 1
25 267 1
59 267 1
100 267 1
101 267 1
11 267 1
97 267 1
102 267 1
27 267 1
82 267 1
41 267 1
68 267 1
103 267 1
43 267 1
87 267 1
34 267 1
33 268 1
71 269 1
0 269 1
41 269 1
65 270 1
21 271 1
23 271 1
26 271 1
73 271 1
6 271 1
56 271 1
4 271 1
5 271 1
67 271 1
28 271 1
30 271 1
3 271 1
68 271 1
42 271 1
6 272 1
4 272 1
35 273 1
36 273 1
38 273 1
26 273 1
6 273 1
59 273 1
15 273 1
104 273 1
64 273 1
30 273 1
90 273 1
79 273 1
32 273 1
89 273 1
94 274 1
2 274 1
44 274 1
71 274 1
9 274 1
18 274 1
95 274 1
105 274 1
106 274 1
33 274 1
55 274 1
58 274 1
11 274 1
102 274 1
61 274 1
107 274 1
29 274 1
108 274 1
109 274 1
110 274 1
111 274 1
99 274 1
83 274 1
10 275 1
112 275 1
11 275 1
56 276 1
90 276 1
46 277 1
71 278 1
19 278 1
64 279 1
66 280 1
2 281 1
49 281 1
71 281 1
23 281 1
113 281 1
26 281 1
114 281 1
106 281 1
11 281 1
61 281 1
109 281 1
68 281 1
115 281 1
99 281 1
50 281 1
15 282 1
5 282 1
1 282 1
3 282 1
46 283 1
17 283 1
18 283 1
75 283 1
11 283 1
64 283 1
52 283 1
66 283 1
1 283 1
3 283 1
116 284 1
21 285 1
36 285 1
10 285 1
37 285 1
25 285 1
12 285 1
55 285 1
97 285 1
14 285 1
30 285 1
3 285 1
19 285 1
71 286 1
69 286 1
6 286 1
56 286 1
92 286 1
58 286 1
67 286 1
29 286 1
41 286 1
60 286 1
18 287 1
71 288 1
12 288 1
100 288 1
11 288 1
65 288 1
61 288 1
98 288 1
117 288 1
11 289 1
94 290 1
49 290 1
44 290 1
118 290 1
71 290 1
17 290 1
95 290 1
113 290 1
13 290 1
59 290 1
12 290 1
92 290 1
33 290 1
119 290 1
58 290 1
11 290 1
120 290 1
102 290 1
66 290 1
121 290 1
122 290 1
108 290 1
68 290 1
70 290 1
123 290 1
60 290 1
99 290 1
124 290 1
91 290 1
20 290 1
7 291 1
44 292 1
21 292 1
9 292 1
0 292 1
112 292 1
56 292 1
125 292 1
11 292 1
97 292 1
65 292 1
61 292 1
30 292 1
68 292 1
61 293 1
36 294 1
37 294 1
26 294 1
6 294 1
4 294 1
15 294 1
3 294 1
87 294 1
17 295 1
113 296 1
37 297 1
117 298 1
37 299 1
22 300 1
23 300 1
25 300 1
26 300 1
4 300 1
5 300 1
1 300 1
30 300 1
81 300 1
35 301 1
44 301 1
46 301 1
21 301 1
0 301 1
23 301 1
37 301 1
18 301 1
25 301 1
26 301 1
73 301 1
6 301 1
56 301 1
4 301 1
5 301 1
52 301 1
82 301 1
28 301 1
14 301 1
41 301 1
60 301 1
43 301 1
87 301 1
2 302 1
49 302 1
71 302 1
9 302 1
10 302 1
6 302 1
106 302 1
56 302 1
12 302 1
125 302 1
5 302 1
11 302 1
97 302 1
61 302 1
1 302 1
122 302 1
29 302 1
70 302 1
60 302 1
50 302 1
36 303 1
26 303 1
30 303 1
35 304 1
36 304 1
23 304 1
37 304 1
56 304 1
30 304 1
41 304 1
3 304 1
68 304 1
60 304 1
32 304 1
2 305 1
8 305 1
44 305 1
26 305 1
93 305 1
126 305 1
11 305 1
19 305 1
6 306 1
2 307 1
44 307 1
71 307 1
0 307 1
17 307 1
18 307 1
113 307 1
72 307 1
73 307 1
4 307 1
92 307 1
55 307 1
58 307 1
64 307 1
52 307 1
66 307 1
61 307 1
1 307 1
122 307 1
42 307 1
19 307 1
79 307 1
117 307 1
81 307 1
46 308 1
21 308 1
37 308 1
24 308 1
93 308 1
56 308 1
66 308 1
67 308 1
14 308 1
30 308 1
41 308 1
52 309 1
122 310 1
46 311 1
23 311 1
37 311 1
24 311 1
72 311 1
16 311 1
30 311 1
48 311 1
7 312 1
127 312 1
0 312 1
5 312 1
66 312 1
67 312 1
28 312 1
14 312 1
128 312 1
79 312 1
129 313 1
44 313 1
17 313 1
92 313 1
17 314 1
15 314 1
71 315 1
12 315 1
11 315 1
1 315 1
66 316 1
79 317 1
58 318 1
50 318 1
46 319 1
56 319 1
4 319 1
55 319 1
19 319 1
46 320 1
23 320 1
37 320 1
24 320 1
11 320 1
120 320 1
65 320 1
57 320 1
128 320 1
68 320 1
115 320 1
78 320 1
50 320 1
87 320 1
71 321 1
29 321 1
70 321 1
46 322 1
0 322 1
4 322 1
8 323 1
49 323 1
9 323 1
10 323 1
17 323 1
114 323 1
33 323 1
100 323 1
11 323 1
29 323 1
70 323 1
90 323 1
60 323 1
99 323 1
50 323 1
83 323 1
29 324 1
95 325 1
83 325 1
2 326 1
26 327 1
30 327 1
8 328 1
49 328 1
44 328 1
71 328 1
10 328 1
0 328 1
17 328 1
18 328 1
93 328 1
6 328 1
114 328 1
12 328 1
130 328 1
100 328 1
126 328 1
5 328 1
11 328 1
61 328 1
29 328 1
109 328 1
128 328 1
110 328 1
70 328 1
115 328 1
103 328 1
131 328 1
123 328 1
60 328 1
99 328 1
50 328 1
117 328 1
20 328 1
34 328 1
83 328 1
46 329 1
31 330 1
2 331 1
19 332 1
44 333 1
29 333 1
7 334 1
95 335 1
56 335 1
52 335 1
34 335 1
74 336 1
71 337 1
11 337 1
36 338 1
132 338 1
52 338 1
65 339 1
114 340 1
65 340 1
44 341 1
48 341 1
36 342 1
37 342 1
59 342 1
64 342 1
39 342 1
18 343 1
52 343 1
48 343 1
34 343 1
93 344 1
6 344 1
4 344 1
53 344 1
5 344 1
28 344 1
14 344 1
41 344 1
3 344 1
32 344 1
34 344 1
93 345 1
6 345 1
56 345 1
75 345 1
4 345 1
30 345 1
68 345 1
32 345 1
2 346 1
2 347 1
112 347 1
46 348 1
36 348 1
5 348 1
1 348 1
3 348 1
35 349 1
35 350 1
2 350 1
46 350 1
21 350 1
0 350 1
23 350 1
17 350 1
40 350 1
24 350 1
26 350 1
6 350 1
16 350 1
4 350 1
55 350 1
15 350 1
5 350 1
64 350 1
27 350 1
82 350 1
28 350 1
14 350 1
30 350 1
19 350 1
79 350 1
34 350 1
21 351 1
17 351 1
52 351 1
28 351 1
48 351 1
78 352 1
95 353 1
10 354 1
12 354 1
11 354 1
60 354 1
2 355 1
35 356 1
127 356 1
46 356 1
21 356 1
36 356 1
9 356 1
23 356 1
37 356 1
38 356 1
17 356 1
25 356 1
26 356 1
73 356 1
56 356 1
64 356 1
52 356 1
28 356 1
14 356 1
41 356 1
3 356 1
68 356 1
48 356 1
32 356 1
34 356 1
89 356 1
8 357 1
49 357 1
71 357 1
9 357 1
10 357 1
12 357 1
100 357 1
125 357 1
11 357 1
97 357 1
102 357 1
61 357 1
29 357 1
110 357 1
115 357 1
103 357 1
131 357 1
60 357 1
20 357 1
17 358 1
3 359 1
46 360 1
12 360 1
133 360 1
58 360 1
66 360 1
61 360 1
63 360 1
117 360 1
8 361 1
49 361 1
112 361 1
12 361 1
58 361 1
17 362 1
4 363 1
15 363 1
68 363 1
0 364 1
56 364 1
49 365 1
71 365 1
125 365 1
11 365 1
61 365 1
60 365 1
50 365 1
21 366 1
22 366 1
25 366 1
71 367 1
46 367 1
