7375 197314
0 1413 1
1 1413 1
2 1413 1
3 1413 1
4 1413 1
5 1413 1
6 1413 1
7 1413 1
8 1413 1
9 1413 1
10 1413 1
11 1413 1
12 1413 1
13 1413 1
14 1413 1
15 1414 1
16 1414 1
17 1414 1
18 1414 1
19 1414 1
20 1414 1
21 1414 1
22 1414 1
23 1414 1
24 1414 1
25 1414 1
26 1414 1
27 1414 1
28 1414 1
29 1414 1
30 1414 1
31 1414 1
32 1414 1
33 1414 1
34 1414 1
35 1414 1
36 1414 1
37 1414 1
38 1414 1
39 1414 1
40 1414 1
41 1414 1
42 1414 1
43 1414 1
44 1414 1
45 1414 1
46 1414 1
47 1414 1
48 1414 1
49 1414 1
50 1415 1
19 1416 1
51 1417 1
52 1417 1
53 1417 1
54 1417 1
55 1417 1
56 1417 1
57 1417 1
58 1417 1
59 1417 1
60 1417 1
61 1417 1
62 1417 1
63 1417 1
64 1417 1
65 1417 1
66 1417 1
67 1417 1
68 1417 1
32 1417 1
69 1417 1
70 1417 1
71 1417 1
72 1417 1
73 1417 1
74 1417 1
75 1417 1
76 1417 1
77 1417 1
78 1417 1
79 1417 1
80 1417 1
81 1417 1
82 1417 1
83 1417 1
84 1417 1
85 1417 1
86 1417 1
87 1417 1
88 1417 1
89 1417 1
90 1417 1
91 1417 1
92 1417 1
93 1417 1
94 1417 1
95 1417 1
96 1417 1
97 1417 1
98 1417 1
99 1417 1
100 1417 1
101 1417 1
102 1417 1
103 1417 1
104 1417 1
105 1417 1
106 1417 1
107 1417 1
108 1417 1
109 1417 1
110 1417 1
111 1417 1
112 1417 1
113 1418 1
114 1418 1
5 1418 1
115 1418 1
116 1418 1
8 1418 1
117 1418 1
118 1418 1
119 1418 1
120 1418 1
121 1418 1
122 1418 1
123 1419 1
60 1419 1
124 1419 1
125 1419 1
126 1419 1
127 1419 1
128 1419 1
129 1419 1
130 1419 1
11 1419 1
131 1419 1
132 1419 1
133 1419 1
134 1419 1
135 1419 1
136 1419 1
137 1419 1
138 1419 1
139 1419 1
140 1419 1
141 1419 1
142 1419 1
143 1419 1
144 1419 1
145 1419 1
146 1419 1
147 1419 1
148 1419 1
149 1419 1
150 1419 1
151 1419 1
152 1419 1
153 1419 1
154 1419 1
155 1419 1
15 1419 1
156 1419 1
157 1419 1
158 1419 1
159 1419 1
160 1419 1
161 1419 1
162 1419 1
163 1419 1
7 1419 1
164 1419 1
165 1419 1
166 1419 1
167 1419 1
36 1419 1
93 1419 1
94 1419 1
168 1419 1
169 1419 1
170 1419 1
171 1419 1
172 1419 1
106 1419 1
173 1419 1
174 1419 1
175 1419 1
176 1419 1
177 1419 1
124 1420 1
4 1420 1
178 1420 1
179 1420 1
71 1420 1
145 1420 1
180 1420 1
181 1420 1
119 1420 1
182 1420 1
101 1420 1
183 1420 1
102 1420 1
184 1420 1
185 1420 1
186 1421 1
187 1421 1
23 1421 1
4 1421 1
128 1421 1
188 1421 1
189 1421 1
190 1421 1
191 1421 1
35 1421 1
192 1421 1
193 1421 1
144 1421 1
194 1421 1
43 1421 1
15 1421 1
195 1421 1
196 1421 1
197 1421 1
22 1421 1
198 1421 1
199 1421 1
200 1421 1
201 1421 1
33 1421 1
202 1421 1
203 1421 1
103 1421 1
204 1421 1
205 1421 1
206 1421 1
207 1421 1
12 1421 1
208 1421 1
209 1421 1
210 1421 1
177 1421 1
113 1421 1
211 1421 1
212 1421 1
5 1421 1
213 1421 1
214 1421 1
136 1421 1
215 1421 1
40 1421 1
216 1421 1
146 1421 1
41 1421 1
217 1421 1
218 1421 1
219 1421 1
44 1421 1
8 1421 1
220 1421 1
3 1421 1
161 1421 1
221 1421 1
222 1421 1
163 1421 1
223 1421 1
182 1421 1
224 1421 1
225 1421 1
226 1421 1
1 1421 1
227 1421 1
228 1421 1
111 1421 1
229 1421 1
230 1422 1
140 1422 1
231 1422 1
232 1422 1
171 1422 1
104 1422 1
233 1422 1
234 1422 1
32 1422 1
72 1422 1
146 1422 1
147 1422 1
217 1422 1
235 1422 1
236 1422 1
14 1422 1
180 1422 1
237 1422 1
238 1422 1
102 1422 1
239 1422 1
170 1423 1
240 1423 1
241 1423 1
242 1423 1
243 1424 1
170 1424 1
244 1424 1
245 1424 1
129 1425 1
178 1425 1
179 1425 1
139 1425 1
144 1425 1
194 1425 1
246 1425 1
247 1425 1
248 1425 1
109 1425 1
249 1425 1
250 1425 1
251 1425 1
252 1425 1
253 1425 1
214 1425 1
240 1425 1
136 1425 1
254 1425 1
145 1425 1
41 1425 1
116 1425 1
156 1425 1
180 1425 1
255 1425 1
223 1425 1
256 1425 1
257 1425 1
258 1425 1
259 1425 1
260 1425 1
173 1425 1
261 1425 1
262 1426 1
260 1426 1
263 1426 1
23 1427 1
4 1427 1
264 1427 1
265 1427 1
148 1427 1
149 1427 1
266 1427 1
267 1427 1
268 1427 1
269 1427 1
270 1427 1
206 1427 1
271 1427 1
185 1427 1
272 1427 1
273 1427 1
274 1427 1
56 1427 1
275 1427 1
276 1427 1
277 1427 1
278 1427 1
72 1427 1
279 1427 1
41 1427 1
78 1427 1
241 1427 1
157 1427 1
257 1427 1
37 1427 1
100 1427 1
280 1427 1
281 1427 1
282 1427 1
55 1428 1
114 1428 1
283 1428 1
264 1428 1
284 1428 1
9 1428 1
285 1428 1
189 1428 1
286 1428 1
192 1428 1
287 1428 1
288 1428 1
289 1428 1
144 1428 1
290 1428 1
291 1428 1
292 1428 1
194 1428 1
148 1428 1
149 1428 1
293 1428 1
231 1428 1
294 1428 1
15 1428 1
195 1428 1
295 1428 1
246 1428 1
296 1428 1
197 1428 1
199 1428 1
200 1428 1
119 1428 1
31 1428 1
297 1428 1
298 1428 1
299 1428 1
101 1428 1
300 1428 1
170 1428 1
301 1428 1
10 1428 1
12 1428 1
250 1428 1
209 1428 1
13 1428 1
212 1428 1
302 1428 1
5 1428 1
303 1428 1
214 1428 1
304 1428 1
305 1428 1
216 1428 1
78 1428 1
306 1428 1
14 1428 1
242 1428 1
85 1428 1
3 1428 1
307 1428 1
161 1428 1
308 1428 1
309 1428 1
222 1428 1
310 1428 1
311 1428 1
36 1428 1
93 1428 1
259 1428 1
260 1428 1
312 1428 1
175 1428 1
281 1428 1
4 1429 1
189 1429 1
286 1429 1
192 1429 1
149 1429 1
150 1429 1
294 1429 1
195 1429 1
295 1429 1
246 1429 1
200 1429 1
2 1429 1
206 1429 1
12 1429 1
209 1429 1
13 1429 1
125 1429 1
313 1429 1
91 1429 1
95 1429 1
260 1429 1
245 1429 1
314 1430 1
315 1431 1
192 1431 1
148 1431 1
316 1431 1
317 1431 1
241 1431 1
3 1431 1
260 1431 1
23 1432 1
318 1432 1
191 1432 1
286 1432 1
142 1432 1
290 1432 1
319 1432 1
82 1432 1
320 1432 1
198 1432 1
321 1432 1
103 1432 1
172 1432 1
322 1432 1
303 1432 1
130 1432 1
8 1432 1
323 1432 1
324 1432 1
325 1432 1
326 1433 1
4 1433 1
265 1433 1
315 1433 1
327 1433 1
0 1433 1
328 1433 1
148 1433 1
329 1433 1
330 1433 1
331 1433 1
270 1433 1
206 1433 1
332 1433 1
274 1433 1
56 1433 1
333 1433 1
334 1433 1
335 1433 1
336 1433 1
337 1433 1
338 1433 1
182 1433 1
339 1433 1
99 1433 1
340 1433 1
312 1433 1
341 1433 1
282 1433 1
111 1433 1
315 1434 1
342 1434 1
190 1434 1
83 1434 1
343 1434 1
87 1434 1
118 1434 1
297 1434 1
344 1434 1
345 1434 1
331 1434 1
233 1434 1
346 1434 1
176 1434 1
347 1434 1
53 1434 1
348 1434 1
219 1434 1
78 1434 1
117 1434 1
349 1435 1
248 1435 1
278 1435 1
41 1435 1
241 1435 1
323 1435 1
350 1435 1
174 1435 1
351 1436 1
352 1436 1
353 1436 1
354 1436 1
128 1436 1
355 1436 1
356 1436 1
357 1436 1
284 1436 1
358 1436 1
359 1436 1
360 1436 1
134 1436 1
189 1436 1
292 1436 1
361 1436 1
194 1436 1
362 1436 1
151 1436 1
363 1436 1
247 1436 1
364 1436 1
201 1436 1
365 1436 1
297 1436 1
33 1436 1
366 1436 1
367 1436 1
202 1436 1
344 1436 1
299 1436 1
368 1436 1
39 1436 1
101 1436 1
331 1436 1
369 1436 1
346 1436 1
370 1436 1
371 1436 1
372 1436 1
373 1436 1
332 1436 1
374 1436 1
375 1436 1
335 1436 1
376 1436 1
336 1436 1
5 1436 1
377 1436 1
378 1436 1
240 1436 1
379 1436 1
380 1436 1
278 1436 1
138 1436 1
381 1436 1
145 1436 1
382 1436 1
