4442 37179
0 135 1
1 135 1
2 135 1
3 135 1
4 135 1
5 135 1
6 135 1
7 135 1
8 135 1
9 135 1
10 135 1
11 135 1
12 136 1
13 137 1
14 138 1
15 138 1
4 138 1
7 138 1
16 138 1
17 139 1
18 139 1
19 139 1
3 140 1
5 140 1
6 140 1
20 140 1
21 141 1
3 141 1
12 141 1
22 141 1
23 141 1
24 141 1
25 141 1
26 141 1
27 141 1
28 141 1
5 141 1
29 141 1
30 141 1
31 141 1
32 141 1
33 141 1
34 141 1
35 141 1
36 141 1
37 141 1
38 141 1
10 141 1
39 141 1
40 141 1
41 141 1
14 141 1
42 141 1
4 141 1
43 141 1
6 141 1
7 141 1
44 141 1
2 141 1
45 141 1
46 141 1
47 141 1
20 141 1
48 141 1
49 141 1
50 141 1
24 142 1
33 142 1
37 142 1
51 142 1
41 142 1
52 142 1
53 142 1
12 143 1
33 143 1
54 143 1
55 143 1
56 144 1
55 144 1
3 145 1
18 145 1
19 145 1
57 145 1
35 145 1
58 145 1
38 145 1
53 145 1
59 145 1
60 145 1
21 146 1
15 146 1
61 146 1
12 146 1
22 146 1
8 146 1
23 146 1
24 146 1
25 146 1
62 146 1
63 146 1
64 146 1
27 146 1
65 146 1
66 146 1
67 146 1
18 146 1
19 146 1
68 146 1
28 146 1
69 146 1
70 146 1
30 146 1
71 146 1
32 146 1
33 146 1
34 146 1
35 146 1
36 146 1
51 146 1
72 146 1
9 146 1
10 146 1
40 146 1
11 146 1
41 146 1
42 146 1
73 146 1
4 146 1
74 146 1
54 146 1
6 146 1
75 146 1
2 146 1
76 146 1
46 146 1
55 146 1
60 146 1
21 147 1
3 147 1
25 147 1
63 147 1
27 147 1
19 147 1
68 147 1
28 147 1
70 147 1
30 147 1
71 147 1
36 147 1
1 147 1
56 147 1
10 147 1
40 147 1
11 147 1
17 147 1
55 147 1
77 148 1
27 148 1
18 148 1
78 148 1
56 148 1
6 148 1
53 148 1
2 148 1
55 148 1
22 149 1
79 149 1
26 149 1
63 149 1
65 149 1
33 149 1
80 149 1
41 149 1
7 149 1
81 149 1
59 149 1
3 150 1
77 150 1
24 150 1
62 150 1
0 150 1
18 150 1
5 150 1
29 150 1
37 150 1
51 150 1
38 150 1
72 150 1
56 150 1
41 150 1
52 150 1
59 150 1
20 150 1
82 150 1
77 151 1
83 152 1
58 152 1
72 152 1
53 152 1
81 152 1
21 153 1
84 153 1
25 153 1
85 153 1
29 153 1
4 153 1
74 153 1
24 154 1
26 154 1
77 155 1
49 155 1
59 156 1
3 157 1
28 158 1
86 159 1
5 159 1
57 159 1
87 159 1
12 160 1
38 160 1
5 161 1
28 162 1
30 162 1
11 162 1
14 162 1
88 162 1
8 163 1
79 163 1
25 163 1
18 163 1
28 163 1
83 163 1
57 163 1
1 163 1
56 163 1
17 163 1
6 163 1
53 163 1
59 163 1
87 164 1
15 165 1
36 165 1
89 165 1
4 165 1
53 166 1
12 167 1
24 167 1
90 167 1
33 167 1
52 167 1
15 168 1
73 168 1
12 169 1
67 169 1
29 169 1
33 169 1
51 169 1
38 169 1
43 169 1
53 169 1
44 169 1
59 169 1
60 169 1
55 170 1
21 171 1
77 171 1
24 171 1
27 171 1
18 171 1
19 171 1
5 171 1
29 171 1
31 171 1
33 171 1
72 171 1
10 171 1
41 171 1
14 171 1
43 171 1
53 171 1
75 171 1
16 171 1
2 171 1
20 171 1
48 171 1
50 171 1
21 172 1
29 172 1
31 172 1
4 172 1
7 172 1
44 172 1
12 173 1
24 173 1
79 173 1
62 173 1
27 173 1
65 173 1
18 173 1
28 173 1
85 173 1
30 173 1
71 173 1
32 173 1
33 173 1
35 173 1
36 173 1
9 173 1
17 173 1
54 173 1
6 173 1
7 173 1
55 173 1
48 173 1
22 173 1
8 173 1
23 173 1
91 173 1
83 173 1
29 173 1
92 173 1
37 173 1
51 173 1
93 173 1
38 173 1
1 173 1
10 173 1
56 173 1
11 173 1
4 173 1
94 173 1
52 173 1
53 173 1
81 173 1
44 173 1
77 174 1
0 174 1
18 174 1
19 174 1
9 174 1
17 174 1
6 174 1
7 174 1
55 174 1
22 174 1
8 174 1
92 174 1
89 174 1
1 174 1
56 174 1
93 175 1
87 176 1
6 176 1
12 177 1
24 177 1
62 177 1
26 177 1
0 177 1
67 177 1
18 177 1
19 177 1
28 177 1
5 177 1
30 177 1
33 177 1
95 177 1
35 177 1
36 177 1
72 177 1
9 177 1
43 177 1
7 177 1
55 177 1
96 177 1
15 177 1
22 177 1
97 177 1
83 177 1
57 177 1
98 177 1
37 177 1
51 177 1
38 177 1
56 177 1
10 177 1
11 177 1
41 177 1
14 177 1
42 177 1
4 177 1
74 177 1
53 177 1
81 177 1
44 177 1
16 177 1
59 177 1
60 177 1
50 177 1
1 178 1
56 178 1
13 179 1
0 179 1
18 179 1
86 179 1
49 179 1
3 180 1
25 180 1
63 180 1
0 180 1
27 180 1
18 180 1
19 180 1
28 180 1
70 180 1
71 180 1
43 180 1
22 180 1
38 180 1
10 180 1
94 180 1
81 180 1
2 180 1
59 180 1
60 180 1
0 181 1
24 182 1
52 182 1
68 183 1
92 183 1
12 184 1
24 184 1
27 184 1
21 184 1
11 184 1
94 184 1
2 184 1
56 185 1
0 186 1
48 186 1
28 187 1
5 187 1
55 188 1
68 189 1
3 190 1
12 190 1
68 190 1
36 190 1
48 190 1
22 190 1
23 190 1
64 190 1
81 190 1
61 191 1
24 191 1
79 191 1
25 191 1
0 191 1
27 191 1
65 191 1
66 191 1
28 191 1
5 191 1
85 191 1
70 191 1
30 191 1
71 191 1
32 191 1
33 191 1
95 191 1
34 191 1
99 191 1
36 191 1
100 191 1
9 191 1
101 191 1
87 191 1
102 191 1
103 191 1
54 191 1
6 191 1
7 191 1
46 191 1
104 191 1
55 191 1
105 191 1
15 191 1
22 191 1
8 191 1
97 191 1
91 191 1
83 191 1
29 191 1
90 191 1
89 191 1
93 191 1
1 191 1
56 191 1
10 191 1
40 191 1
11 191 1
41 191 1
14 191 1
42 191 1
73 191 1
4 191 1
52 191 1
75 191 1
2 191 1
76 191 1
20 191 1
106 191 1
107 191 1
108 191 1
109 191 1
3 192 1
5 192 1
20 192 1
0 193 1
28 193 1
5 193 1
30 193 1
36 193 1
9 193 1
87 193 1
7 193 1
21 193 1
10 193 1
110 193 1
11 193 1
14 193 1
42 193 1
16 193 1
26 194 1
87 194 1
93 194 1
0 195 1
6 195 1
7 195 1
1 195 1
4 195 1
18 196 1
12 197 1
24 197 1
62 197 1
26 197 1
67 197 1
85 197 1
33 197 1
95 197 1
35 197 1
87 197 1
54 197 1
45 197 1
46 197 1
55 197 1
21 197 1
29 197 1
57 197 1
51 197 1
41 197 1
52 197 1
107 197 1
15 198 1
8 198 1
42 199 1
55 200 1
52 200 1
53 200 1
61 201 1
12 201 1
24 201 1
79 201 1
25 201 1
63 201 1
0 201 1
27 201 1
65 201 1
66 201 1
67 201 1
111 201 1
28 201 1
85 201 1
70 201 1
30 201 1
