4197 28065
0 119 1
1 119 1
2 119 1
3 119 1
4 119 1
5 119 1
6 119 1
7 119 1
8 119 1
9 120 1
10 121 1
11 122 1
12 122 1
3 122 1
4 122 1
13 123 1
14 123 1
15 123 1
2 124 1
16 124 1
2 125 1
17 125 1
18 125 1
19 125 1
20 125 1
21 125 1
22 125 1
7 125 1
23 125 1
24 125 1
11 125 1
25 125 1
3 125 1
4 125 1
16 125 1
26 125 1
27 126 1
28 127 1
29 127 1
29 128 1
2 129 1
30 129 1
14 129 1
15 129 1
31 129 1
32 129 1
33 129 1
27 129 1
34 129 1
9 129 1
35 129 1
36 129 1
12 130 1
37 130 1
5 130 1
17 130 1
38 130 1
19 130 1
39 130 1
40 130 1
41 130 1
14 130 1
15 130 1
42 130 1
43 130 1
44 130 1
20 130 1
21 130 1
22 130 1
6 130 1
7 130 1
24 130 1
8 130 1
25 130 1
45 130 1
3 130 1
46 130 1
47 130 1
29 130 1
36 130 1
2 131 1
17 131 1
38 131 1
19 131 1
15 131 1
43 131 1
44 131 1
22 131 1
1 131 1
7 131 1
24 131 1
8 131 1
13 131 1
29 131 1
48 132 1
19 132 1
14 132 1
49 132 1
27 132 1
29 132 1
50 133 1
18 133 1
38 133 1
39 133 1
51 133 1
4 133 1
52 133 1
53 134 1
2 134 1
54 134 1
48 134 1
0 134 1
14 134 1
55 134 1
16 134 1
48 135 1
56 136 1
27 136 1
52 136 1
57 137 1
17 137 1
58 137 1
3 137 1
53 138 1
54 138 1
59 138 1
18 138 1
60 138 1
61 138 1
62 138 1
63 138 1
48 139 1
31 139 1
63 139 1
9 139 1
26 139 1
2 140 1
64 141 1
65 141 1
54 142 1
59 142 1
41 142 1
66 142 1
62 142 1
63 142 1
67 142 1
9 142 1
62 143 1
8 143 1
11 143 1
68 143 1
5 144 1
50 144 1
17 144 1
30 144 1
14 144 1
56 144 1
1 144 1
69 144 1
13 144 1
27 144 1
65 145 1
12 146 1
22 146 1
70 146 1
3 146 1
27 147 1
12 148 1
45 148 1
27 149 1
36 149 1
29 150 1
48 151 1
19 151 1
14 151 1
15 151 1
7 151 1
11 151 1
27 151 1
46 151 1
16 151 1
3 152 1
4 152 1
50 153 1
19 153 1
39 153 1
14 153 1
58 153 1
44 153 1
20 153 1
22 153 1
6 153 1
13 153 1
4 153 1
29 153 1
5 153 1
71 153 1
56 153 1
72 153 1
73 153 1
1 153 1
7 153 1
8 153 1
3 153 1
74 153 1
27 153 1
52 153 1
48 154 1
0 154 1
14 154 1
15 154 1
6 154 1
13 154 1
4 154 1
29 154 1
5 154 1
72 154 1
70 154 1
1 154 1
73 155 1
65 156 1
53 157 1
18 157 1
0 157 1
14 157 1
15 157 1
22 157 1
61 157 1
62 157 1
6 157 1
4 157 1
29 157 1
12 157 1
30 157 1
56 157 1
7 157 1
8 157 1
11 157 1
25 157 1
3 157 1
27 157 1
52 157 1
36 157 1
1 158 1
10 159 1
0 159 1
14 159 1
64 159 1
26 159 1
2 160 1
17 160 1
38 160 1
0 160 1
19 160 1
14 160 1
15 160 1
43 160 1
44 160 1
7 160 1
74 160 1
52 160 1
36 160 1
0 161 1
31 161 1
63 161 1
9 161 1
54 161 1
30 162 1
72 163 1
19 164 1
41 164 1
31 164 1
61 164 1
62 164 1
63 164 1
9 164 1
54 164 1
30 164 1
28 164 1
69 164 1
8 164 1
74 164 1
75 164 1
35 164 1
0 165 1
9 166 1
29 167 1
2 168 1
22 168 1
52 168 1
31 169 1
30 169 1
37 170 1
50 170 1
17 170 1
0 170 1
19 170 1
39 170 1
40 170 1
58 170 1
43 170 1
44 170 1
20 170 1
21 170 1
76 170 1
22 170 1
77 170 1
6 170 1
78 170 1
65 170 1
79 170 1
4 170 1
80 170 1
29 170 1
81 170 1
12 170 1
5 170 1
71 170 1
56 170 1
70 170 1
73 170 1
1 170 1
7 170 1
24 170 1
8 170 1
11 170 1
25 170 1
45 170 1
3 170 1
46 170 1
47 170 1
16 170 1
82 170 1
83 170 1
84 170 1
85 170 1
2 171 1
16 171 1
0 172 1
22 172 1
6 172 1
65 172 1
4 172 1
7 172 1
86 172 1
8 172 1
11 172 1
25 172 1
18 173 1
65 173 1
30 173 1
73 173 1
0 174 1
4 174 1
1 174 1
3 174 1
87 175 1
14 175 1
31 175 1
62 175 1
33 175 1
9 175 1
54 175 1
18 176 1
58 176 1
65 176 1
29 176 1
83 176 1
41 177 1
12 177 1
5 177 1
25 178 1
31 179 1
9 179 1
31 180 1
29 180 1
30 180 1
28 180 1
27 180 1
37 181 1
50 181 1
17 181 1
38 181 1
0 181 1
19 181 1
39 181 1
40 181 1
58 181 1
43 181 1
44 181 1
20 181 1
21 181 1
76 181 1
22 181 1
6 181 1
4 181 1
29 181 1
81 181 1
12 181 1
5 181 1
88 181 1
71 181 1
56 181 1
49 181 1
72 181 1
73 181 1
89 181 1
1 181 1
7 181 1
23 181 1
86 181 1
8 181 1
11 181 1
25 181 1
45 181 1
3 181 1
27 181 1
90 181 1
46 181 1
47 181 1
83 181 1
91 181 1
26 181 1
92 181 1
85 181 1
93 181 1
2 182 1
50 182 1
17 182 1
38 182 1
14 182 1
15 182 1
58 182 1
77 182 1
13 182 1
12 182 1
5 182 1
3 182 1
43 183 1
5 184 1
53 185 1
94 185 1
31 185 1
61 185 1
62 185 1
63 185 1
33 185 1
9 185 1
54 185 1
34 185 1
82 185 1
72 186 1
85 186 1
61 187 1
63 187 1
54 187 1
27 187 1
95 187 1
65 188 1
27 188 1
53 189 1
62 189 1
8 189 1
63 190 1
56 190 1
53 191 1
48 191 1
94 191 1
87 191 1
18 191 1
38 191 1
60 191 1
19 191 1
41 191 1
15 191 1
43 191 1
31 191 1
20 191 1
22 191 1
96 191 1
61 191 1
62 191 1
63 191 1
13 191 1
33 191 1
65 191 1
9 191 1
64 191 1
54 191 1
5 191 1
1 191 1
69 191 1
7 191 1
86 191 1
25 191 1
75 191 1
34 191 1
16 191 1
82 191 1
91 191 1
10 192 1
27 192 1
17 193 1
18 193 1
0 193 1
19 193 1
39 193 1
43 193 1
44 193 1
20 193 1
21 193 1
22 193 1
97 193 1
78 193 1
4 193 1
80 193 1
57 193 1
88 193 1
70 193 1
23 193 1
24 193 1
8 193 1
11 193 1
25 193 1
3 193 1
47 193 1
82 193 1
26 193 1
36 193 1
65 194 1
27 194 1
14 195 1
37 196 1
2 196 1
48 196 1
50 196 1
17 196 1
18 196 1
38 196 1
19 196 1
39 196 1
14 196 1
15 196 1
58 196 1
21 196 1
76 196 1
22 196 1
77 196 1
13 196 1
4 196 1
29 196 1
57 196 1
12 196 1
5 196 1
56 196 1
72 196 1
1 196 1
23 196 1
11 196 1
25 196 1
27 196 1
52 196 1
46 196 1
95 196 1
36 196 1
27 197 1
17 198 1
19 198 1
43 198 1
44 198 1
20 198 1
22 198 1
6 198 1
78 198 1
5 198 1
56 198 1
72 198 1
73 198 1
7 198 1
24 198 1
25 198 1
90 198 1
47 198 1
85 198 1
93 198 1
41 199 1
62 199 1
9 199 1
57 199 1
30 199 1
28 199 1
69 199 1
35 199 1
53 200 1
63 201 1
48 202 1
95 202 1
65 203 1
27 204 1
53 205 1
62 205 1
6 205 1
63 205 1
64 205 1
52 205 1
16 205 1
65 206 1
29 206 1
30 206 1
50 207 1
18 207 1
38 207 1
39 207 1
22 207 1
61 207 1
6 207 1
63 207 1
65 207 1
7 207 1
8 207 1
11 207 1
25 207 1
45 207 1
3 207 1
74 207 1
84 207 1
36 207 1
29 208 1
30 208 1
56 208 1
53 209 1
2 209 1
87 209 1
33 209 1
54 209 1
59 209 1
30 209 1
2 210 1
17 210 1
18 210 1
38 210 1
0 210 1
14 210 1
43 210 1
44 210 1
20 210 1
21 210 1
9 210 1
98 210 1
7 210 1
23 210 1
86 210 1
8 210 1
45 210 1
74 210 1
47 210 1
91 210 1
36 210 1
31 211 1
63 211 1
33 211 1
9 211 1
54 211 1
75 211 1
94 212 1
33 212 1
0 213 1
45 213 1
27 213 1
53 214 1
94 214 1
17 214 1
60 214 1
19 214 1
41 214 1
43 214 1
31 214 1
22 214 1
77 214 1
6 214 1
63 214 1
33 214 1
65 214 1
4 214 1
9 214 1
54 214 1
59 214 1
99 214 1
5 214 1
73 214 1
69 214 1
7 214 1
24 214 1
8 214 1
25 214 1
3 214 1
74 214 1
75 214 1
46 214 1
58 215 1
6 215 1
4 215 1
37 216 1
38 216 1
40 216 1
58 216 1
22 216 1
6 216 1
29 216 1
12 216 1
71 216 1
25 216 1
