4975 57947
0 378 1
1 378 1
2 378 1
3 378 1
4 378 1
5 378 1
6 378 1
7 379 1
8 380 1
9 380 1
10 380 1
11 380 1
12 380 1
13 381 1
14 381 1
3 381 1
4 381 1
15 382 1
16 382 1
17 382 1
2 383 1
18 383 1
19 383 1
20 384 1
2 384 1
21 384 1
22 384 1
23 384 1
24 384 1
25 384 1
26 384 1
27 384 1
28 384 1
13 384 1
29 384 1
3 384 1
4 384 1
19 384 1
30 384 1
31 384 1
32 384 1
33 385 1
34 385 1
35 386 1
36 387 1
37 387 1
38 387 1
39 388 1
11 388 1
40 389 1
41 389 1
42 389 1
2 389 1
16 389 1
17 389 1
43 389 1
44 389 1
45 389 1
46 389 1
34 389 1
47 389 1
48 389 1
49 389 1
50 389 1
51 389 1
14 390 1
52 390 1
5 390 1
21 390 1
53 390 1
23 390 1
54 390 1
55 390 1
16 390 1
17 390 1
56 390 1
57 390 1
24 390 1
25 390 1
26 390 1
6 390 1
28 390 1
29 390 1
58 390 1
3 390 1
59 390 1
60 390 1
61 390 1
51 390 1
20 391 1
62 391 1
63 391 1
2 391 1
64 391 1
65 391 1
66 391 1
67 391 1
7 391 1
21 391 1
53 391 1
39 391 1
68 391 1
23 391 1
36 391 1
69 391 1
70 391 1
71 391 1
72 391 1
73 391 1
17 391 1
74 391 1
75 391 1
57 391 1
26 391 1
76 391 1
77 391 1
1 391 1
28 391 1
78 391 1
79 391 1
15 391 1
80 391 1
81 391 1
35 391 1
82 391 1
10 391 1
83 391 1
84 391 1
85 391 1
86 391 1
37 391 1
48 391 1
87 391 1
30 391 1
32 391 1
88 392 1
23 392 1
16 392 1
89 392 1
34 392 1
90 393 1
91 393 1
7 393 1
22 393 1
53 393 1
11 393 1
54 393 1
92 393 1
93 393 1
94 393 1
76 393 1
95 393 1
78 393 1
96 393 1
79 393 1
10 393 1
97 393 1
98 393 1
99 393 1
4 393 1
85 393 1
100 393 1
60 393 1
18 393 1
101 393 1
40 394 1
41 394 1
2 394 1
88 394 1
0 394 1
102 394 1
103 394 1
16 394 1
104 394 1
44 394 1
105 394 1
106 394 1
45 394 1
48 394 1
19 394 1
107 394 1
108 394 1
88 395 1
109 396 1
34 396 1
100 396 1
110 396 1
111 397 1
112 397 1
21 397 1
93 397 1
105 397 1
3 397 1
85 397 1
37 397 1
113 397 1
22 398 1
114 399 1
88 399 1
31 399 1
114 400 1
2 401 1
80 401 1
115 402 1
116 402 1
117 402 1
118 403 1
119 403 1
114 404 1
40 404 1
41 404 1
120 404 1
63 404 1
65 404 1
121 404 1
66 404 1
68 404 1
69 404 1
70 404 1
71 404 1
72 404 1
11 404 1
73 404 1
122 404 1
123 404 1
124 404 1
75 404 1
12 404 1
115 404 1
45 404 1
125 404 1
35 404 1
126 404 1
127 404 1
128 404 1
110 404 1
86 404 1
113 404 1
129 404 1
130 404 1
131 404 1
107 404 1
75 405 1
115 405 1
86 405 1
30 405 1
65 406 1
13 406 1
132 406 1
5 407 1
91 407 1
21 407 1
39 407 1
16 407 1
109 407 1
104 407 1
1 407 1
45 407 1
15 407 1
125 407 1
34 407 1
107 407 1
116 408 1
133 408 1
119 408 1
14 409 1
26 409 1
134 409 1
3 409 1
34 410 1
14 411 1
36 411 1
78 411 1
58 411 1
37 411 1
135 412 1
104 412 1
34 412 1
136 412 1
51 412 1
114 413 1
88 413 1
23 413 1
16 413 1
17 413 1
137 413 1
115 413 1
13 413 1
35 413 1
138 413 1
139 413 1
140 413 1
141 413 1
142 413 1
34 413 1
59 413 1
113 413 1
19 413 1
143 413 1
144 413 1
30 413 1
145 413 1
146 413 1
32 413 1
3 414 1
4 414 1
60 414 1
147 415 1
148 415 1
64 415 1
7 415 1
93 415 1
149 415 1
78 415 1
150 415 1
151 415 1
152 415 1
153 415 1
79 415 1
154 415 1
116 415 1
133 415 1
155 415 1
156 415 1
157 415 1
158 415 1
159 415 1
35 415 1
138 415 1
139 415 1
140 415 1
141 415 1
142 415 1
86 415 1
37 415 1
146 415 1
91 416 1
23 416 1
54 416 1
16 416 1
57 416 1
24 416 1
26 416 1
6 416 1
15 416 1
80 416 1
4 416 1
37 416 1
5 416 1
160 416 1
161 416 1
109 416 1
162 416 1
104 416 1
163 416 1
1 416 1
3 416 1
164 416 1
85 416 1
34 416 1
100 416 1
88 417 1
0 417 1
16 417 1
17 417 1
6 417 1
