4384 32969
0 150 1
1 150 1
2 150 1
3 150 1
4 150 1
5 150 1
6 150 1
7 150 1
8 150 1
9 150 1
10 151 1
11 152 1
12 152 1
4 152 1
5 152 1
13 152 1
14 152 1
15 152 1
16 152 1
17 152 1
18 153 1
19 153 1
20 153 1
21 153 1
3 154 1
22 154 1
3 155 1
23 155 1
24 155 1
25 155 1
26 155 1
27 155 1
28 155 1
29 155 1
30 155 1
8 155 1
31 155 1
32 155 1
1 155 1
11 155 1
33 155 1
34 155 1
4 155 1
35 155 1
5 155 1
36 155 1
37 155 1
38 155 1
22 155 1
39 155 1
40 155 1
23 156 1
41 156 1
42 157 1
21 157 1
43 157 1
43 158 1
3 159 1
19 159 1
20 159 1
41 159 1
44 159 1
12 160 1
45 160 1
6 160 1
24 160 1
46 160 1
26 160 1
47 160 1
48 160 1
19 160 1
20 160 1
49 160 1
50 160 1
51 160 1
52 160 1
53 160 1
27 160 1
28 160 1
29 160 1
7 160 1
8 160 1
32 160 1
9 160 1
34 160 1
54 160 1
4 160 1
55 160 1
56 160 1
43 160 1
44 160 1
3 161 1
24 161 1
46 161 1
26 161 1
57 161 1
20 161 1
51 161 1
52 161 1
29 161 1
2 161 1
8 161 1
32 161 1
9 161 1
18 161 1
43 161 1
58 162 1
26 162 1
19 162 1
59 162 1
41 162 1
43 162 1
60 163 1
25 163 1
46 163 1
47 163 1
61 163 1
5 163 1
62 163 1
3 164 1
58 164 1
0 164 1
19 164 1
53 164 1
22 164 1
58 165 1
63 165 1
64 166 1
41 166 1
62 166 1
65 167 1
24 167 1
66 167 1
67 167 1
68 167 1
4 167 1
25 168 1
58 169 1
69 169 1
39 169 1
3 170 1
23 171 1
69 171 1
37 171 1
70 172 1
71 172 1
72 173 1
73 173 1
74 173 1
75 173 1
76 173 1
68 174 1
77 175 1
78 175 1
73 175 1
79 175 1
30 175 1
9 175 1
80 175 1
1 175 1
11 175 1
81 175 1
82 175 1
35 175 1
37 175 1
83 175 1
6 176 1
60 176 1
24 176 1
19 176 1
64 176 1
2 176 1
18 176 1
84 176 1
41 176 1
83 176 1
71 177 1
12 178 1
29 178 1
85 178 1
4 178 1
41 179 1
78 180 1
76 180 1
12 181 1
54 181 1
41 182 1
44 182 1
43 183 1
58 184 1
23 184 1
26 184 1
57 184 1
19 184 1
20 184 1
50 184 1
86 184 1
8 184 1
11 184 1
41 184 1
55 184 1
87 184 1
15 184 1
22 184 1
88 185 1
86 185 1
80 185 1
4 185 1
63 185 1
5 185 1
76 185 1
89 185 1
60 186 1
23 186 1
26 186 1
47 186 1
19 186 1
66 186 1
50 186 1
78 186 1
52 186 1
90 186 1
27 186 1
69 186 1
29 186 1
7 186 1
18 186 1
84 186 1
5 186 1
87 186 1
43 186 1
6 186 1
57 186 1
91 186 1
64 186 1
92 186 1
93 186 1
2 186 1
94 186 1
8 186 1
9 186 1
4 186 1
95 186 1
35 186 1
41 186 1
62 186 1
37 186 1
38 186 1
58 187 1
0 187 1
19 187 1
20 187 1
7 187 1
18 187 1
5 187 1
43 187 1
6 187 1
92 187 1
85 187 1
2 187 1
23 188 1
93 188 1
71 189 1
25 190 1
0 190 1
19 190 1
20 190 1
78 190 1
90 190 1
69 190 1
29 190 1
7 190 1
42 190 1
5 190 1
36 190 1
43 190 1
12 190 1
77 190 1
57 190 1
64 190 1
96 190 1
13 190 1
97 190 1
53 190 1
17 190 1
8 190 1
9 190 1
11 190 1
33 190 1
34 190 1
4 190 1
63 190 1
41 190 1
62 190 1
15 190 1
44 190 1
2 191 1
10 192 1
23 192 1
0 192 1
19 192 1
70 192 1
39 192 1
3 193 1
24 193 1
46 193 1
0 193 1
26 193 1
19 193 1
20 193 1
51 193 1
52 193 1
67 193 1
77 193 1
53 193 1
8 193 1
95 193 1
62 193 1
44 193 1
0 194 1
88 194 1
69 194 1
80 194 1
1 194 1
81 194 1
72 194 1
98 194 1
79 194 1
17 194 1
99 194 1
76 194 1
37 194 1
100 194 1
83 194 1
101 194 1
92 195 1
26 196 1
84 196 1
13 196 1
102 196 1
98 196 1
9 196 1
95 196 1
35 196 1
38 196 1
83 196 1
103 197 1
78 198 1
67 198 1
23 199 1
0 199 1
23 200 1
104 201 1
35 201 1
43 202 1
3 203 1
78 203 1
29 203 1
67 203 1
62 203 1
35 204 1
100 204 1
45 205 1
60 205 1
24 205 1
0 205 1
26 205 1
47 205 1
48 205 1
66 205 1
50 205 1
51 205 1
52 205 1
27 205 1
28 205 1
105 205 1
29 205 1
106 205 1
7 205 1
107 205 1
71 205 1
108 205 1
5 205 1
87 205 1
109 205 1
43 205 1
110 205 1
12 205 1
6 205 1
91 205 1
64 205 1
85 205 1
93 205 1
2 205 1
8 205 1
32 205 1
9 205 1
11 205 1
34 205 1
54 205 1
4 205 1
55 205 1
56 205 1
22 205 1
111 205 1
112 205 1
113 205 1
114 205 1
3 206 1
22 206 1
23 207 1
0 207 1
103 207 1
88 207 1
69 207 1
29 207 1
30 207 1
7 207 1
1 207 1
81 207 1
71 207 1
5 207 1
87 207 1
13 207 1
115 207 1
98 207 1
79 207 1
17 207 1
99 207 1
8 207 1
116 207 1
9 207 1
11 207 1
33 207 1
34 207 1
63 207 1
75 207 1
15 207 1
83 207 1
117 207 1
25 208 1
71 208 1
93 208 1
0 209 1
103 209 1
5 209 1
2 209 1
4 209 1
19 210 1
73 210 1
117 210 1
25 211 1
66 211 1
71 211 1
43 211 1
112 211 1
12 212 1
77 212 1
6 212 1
34 213 1
103 214 1
42 214 1
43 214 1
41 214 1
35 215 1
45 216 1
60 216 1
23 216 1
24 216 1
46 216 1
0 216 1
26 216 1
47 216 1
48 216 1
66 216 1
50 216 1
118 216 1
51 216 1
52 216 1
90 216 1
27 216 1
88 216 1
28 216 1
69 216 1
105 216 1
29 216 1
67 216 1
68 216 1
7 216 1
5 216 1
87 216 1
43 216 1
110 216 1
12 216 1
77 216 1
6 216 1
72 216 1
119 216 1
91 216 1
64 216 1
59 216 1
14 216 1
53 216 1
92 216 1
99 216 1
93 216 1
120 216 1
2 216 1
8 216 1
31 216 1
116 216 1
9 216 1
11 216 1
33 216 1
34 216 1
54 216 1
4 216 1
63 216 1
76 216 1
41 216 1
37 216 1
121 216 1
55 216 1
21 216 1
15 216 1
56 216 1
112 216 1
122 216 1
39 216 1
123 216 1
114 216 1
124 216 1
3 217 1
60 217 1
24 217 1
46 217 1
19 217 1
20 217 1
66 217 1
106 217 1
18 217 1
12 217 1
6 217 1
4 217 1
51 218 1
21 219 1
6 220 1
73 221 1
74 221 1
30 221 1
80 221 1
81 221 1
72 221 1
98 221 1
100 221 1
111 221 1
103 222 1
92 222 1
114 222 1
35 223 1
41 223 1
125 223 1
126 223 1
71 224 1
41 224 1
81 225 1
98 226 1
9 226 1
35 226 1
37 227 1
23 228 1
80 228 1
64 228 1
35 228 1
37 228 1
38 228 1
58 229 1
