4945 40167
0 166 1
1 166 1
2 166 1
3 166 1
4 166 1
5 166 1
6 166 1
7 166 1
8 166 1
9 167 1
10 168 1
11 169 1
12 169 1
3 169 1
4 169 1
13 170 1
14 170 1
15 170 1
16 170 1
17 170 1
2 171 1
18 171 1
2 172 1
19 172 1
20 172 1
21 172 1
22 172 1
23 172 1
24 172 1
7 172 1
25 172 1
26 172 1
11 172 1
27 172 1
3 172 1
4 172 1
18 172 1
28 172 1
17 173 1
29 173 1
30 173 1
31 173 1
17 174 1
9 175 1
32 175 1
33 175 1
34 175 1
35 175 1
36 175 1
30 175 1
37 175 1
38 175 1
38 176 1
2 177 1
39 177 1
14 177 1
15 177 1
40 177 1
41 177 1
42 177 1
43 177 1
31 177 1
44 177 1
12 178 1
45 178 1
5 178 1
19 178 1
46 178 1
21 178 1
47 178 1
48 178 1
14 178 1
15 178 1
49 178 1
50 178 1
51 178 1
22 178 1
23 178 1
24 178 1
17 178 1
6 178 1
7 178 1
26 178 1
8 178 1
27 178 1
52 178 1
29 178 1
3 178 1
53 178 1
54 178 1
38 178 1
44 178 1
2 179 1
19 179 1
46 179 1
21 179 1
15 179 1
50 179 1
51 179 1
24 179 1
1 179 1
7 179 1
26 179 1
8 179 1
55 179 1
13 179 1
29 179 1
37 179 1
38 179 1
56 179 1
57 180 1
21 180 1
14 180 1
58 180 1
31 180 1
38 180 1
59 181 1
60 181 1
61 181 1
20 181 1
46 181 1
47 181 1
35 181 1
62 181 1
55 181 1
63 181 1
4 181 1
64 181 1
2 182 1
57 182 1
0 182 1
14 182 1
41 182 1
65 182 1
66 182 1
67 182 1
18 182 1
57 183 1
68 184 1
31 184 1
64 184 1
69 185 1
60 185 1
19 185 1
32 185 1
70 185 1
34 185 1
71 185 1
3 185 1
30 185 1
72 185 1
37 185 1
20 186 1
73 186 1
57 187 1
40 187 1
74 187 1
28 187 1
2 188 1
17 188 1
75 189 1
76 190 1
77 190 1
78 191 1
65 191 1
36 191 1
79 191 1
80 191 1
81 191 1
82 191 1
63 192 1
83 193 1
66 193 1
84 193 1
8 193 1
11 193 1
85 193 1
86 193 1
87 193 1
5 194 1
61 194 1
19 194 1
83 194 1
39 194 1
14 194 1
68 194 1
1 194 1
88 194 1
13 194 1
31 194 1
77 195 1
12 196 1
24 196 1
89 196 1
3 196 1
31 197 1
29 198 1
12 199 1
55 199 1
52 199 1
37 199 1
41 200 1
31 200 1
90 200 1
44 200 1
38 201 1
59 202 1
57 202 1
21 202 1
14 202 1
15 202 1
41 202 1
65 202 1
7 202 1
11 202 1
31 202 1
72 202 1
53 202 1
91 202 1
18 202 1
65 203 1
66 203 1
92 203 1
3 203 1
4 203 1
93 203 1
55 204 1
37 204 1
56 204 1
9 205 1
61 205 1
21 205 1
47 205 1
14 205 1
70 205 1
34 205 1
51 205 1
22 205 1
24 205 1
41 205 1
94 205 1
6 205 1
13 205 1
63 205 1
29 205 1
4 205 1
37 205 1
38 205 1
60 205 1
5 205 1
32 205 1
95 205 1
68 205 1
96 205 1
97 205 1
1 205 1
7 205 1
36 205 1
71 205 1
8 205 1
3 205 1
98 205 1
99 205 1
31 205 1
64 205 1
93 205 1
57 206 1
0 206 1
14 206 1
15 206 1
41 206 1
6 206 1
13 206 1
4 206 1
38 206 1
5 206 1
96 206 1
89 206 1
1 206 1
55 207 1
97 207 1
77 208 1
9 209 1
16 209 1
30 209 1
20 210 1
0 210 1
14 210 1
15 210 1
24 210 1
41 210 1
65 210 1
94 210 1
6 210 1
63 210 1
100 210 1
101 210 1
4 210 1
16 210 1
90 210 1
82 210 1
38 210 1
86 210 1
59 210 1
12 210 1
60 210 1
102 210 1
32 210 1
39 210 1
68 210 1
103 210 1
7 210 1
8 210 1
104 210 1
11 210 1
27 210 1
3 210 1
99 210 1
31 210 1
64 210 1
72 210 1
67 210 1
93 210 1
44 210 1
1 211 1
10 212 1
0 212 1
14 212 1
76 212 1
28 212 1
2 213 1
19 213 1
46 213 1
83 213 1
0 213 1
21 213 1
14 213 1
15 213 1
50 213 1
51 213 1
105 213 1
41 213 1
106 213 1
90 213 1
82 213 1
32 213 1
7 213 1
98 213 1
30 213 1
64 213 1
44 213 1
0 214 1
40 214 1
101 214 1
17 214 1
67 214 1
34 215 1
65 215 1
94 215 1
107 215 1
16 215 1
59 215 1
39 215 1
108 215 1
36 215 1
71 215 1
99 215 1
56 216 1
96 216 1
78 217 1
21 217 1
40 217 1
74 217 1
80 217 1
63 217 1
91 217 1
16 217 1
82 217 1
39 217 1
33 217 1
42 217 1
103 217 1
88 217 1
84 217 1
8 217 1
71 217 1
98 217 1
109 217 1
67 217 1
81 217 1
56 218 1
103 218 1
56 219 1
59 219 1
0 220 1
93 221 1
38 222 1
56 222 1
9 223 1
2 223 1
24 223 1
90 223 1
64 223 1
40 224 1
65 224 1
16 224 1
86 224 1
39 224 1
108 224 1
45 225 1
61 225 1
19 225 1
0 225 1
21 225 1
47 225 1
48 225 1
70 225 1
50 225 1
51 225 1
22 225 1
23 225 1
110 225 1
24 225 1
111 225 1
6 225 1
112 225 1
113 225 1
77 225 1
114 225 1
4 225 1
115 225 1
38 225 1
116 225 1
12 225 1
5 225 1
95 225 1
68 225 1
89 225 1
97 225 1
92 225 1
1 225 1
7 225 1
26 225 1
8 225 1
11 225 1
27 225 1
52 225 1
3 225 1
53 225 1
54 225 1
18 225 1
117 225 1
118 225 1
119 225 1
120 225 1
2 226 1
17 226 1
18 226 1
0 227 1
24 227 1
6 227 1
77 227 1
4 227 1
7 227 1
121 227 1
8 227 1
11 227 1
27 227 1
93 227 1
9 228 1
20 228 1
65 228 1
77 228 1
39 228 1
97 228 1
17 228 1
71 228 1
122 228 1
123 228 1
0 229 1
4 229 1
1 229 1
3 229 1
14 230 1
40 230 1
43 230 1
73 230 1
65 231 1
94 231 1
37 231 1
90 231 1
56 231 1
32 231 1
36 231 1
71 231 1
109 231 1
20 232 1
70 232 1
77 232 1
38 232 1
118 232 1
56 233 1
106 234 1
12 234 1
5 234 1
27 235 1
40 236 1
73 236 1
87 236 1
40 237 1
94 237 1
100 237 1
38 237 1
39 237 1
33 237 1
35 237 1
36 237 1
71 237 1
31 237 1
93 238 1
45 239 1
9 239 1
61 239 1
19 239 1
46 239 1
0 239 1
21 239 1
47 239 1
48 239 1
70 239 1
50 239 1
51 239 1
22 239 1
23 239 1
110 239 1
24 239 1
6 239 1
63 239 1
29 239 1
4 239 1
90 239 1
38 239 1
56 239 1
59 239 1
116 239 1
12 239 1
5 239 1
124 239 1
32 239 1
95 239 1
68 239 1
58 239 1
96 239 1
97 239 1
125 239 1
1 239 1
7 239 1
25 239 1
121 239 1
8 239 1
11 239 1
27 239 1
52 239 1
3 239 1
31 239 1
126 239 1
53 239 1
54 239 1
118 239 1
127 239 1
28 239 1
128 239 1
120 239 1
129 239 1
2 240 1
61 240 1
19 240 1
46 240 1
14 240 1
15 240 1
70 240 1
111 240 1
13 240 1
90 240 1
12 240 1
5 240 1
3 240 1
50 241 1
5 242 1
75 243 1
40 243 1
74 243 1
43 243 1
101 243 1
84 243 1
73 243 1
67 243 1
117 243 1
96 244 1
120 244 1
78 245 1
74 245 1
80 245 1
17 245 1
31 245 1
130 245 1
77 246 1
90 246 1
59 246 1
32 246 1
30 246 1
31 246 1
65 247 1
66 247 1
101 248 1
8 248 1
81 248 1
87 248 1
68 249 1
92 249 1
9 250 1
100 250 1
16 251 1
17 251 1
57 252 1
20 252 1
46 252 1
21 252 1
15 252 1
50 252 1
40 252 1
22 252 1
24 252 1
13 252 1
43 252 1
77 252 1
76 252 1
5 252 1
1 252 1
88 252 1
7 252 1
121 252 1
27 252 1
18 252 1
117 252 1
127 252 1
10 253 1
31 253 1
19 254 1
20 254 1
0 254 1
21 254 1
47 254 1
50 254 1
51 254 1
22 254 1
23 254 1
24 254 1
131 254 1
113 254 1
4 254 1
115 254 1
69 254 1
124 254 1
89 254 1
92 254 1
17 254 1
25 254 1
26 254 1
8 254 1
11 254 1
27 254 1
3 254 1
54 254 1
117 254 1
28 254 1
44 254 1
77 255 1
31 255 1
14 256 1
17 256 1
45 257 1
2 257 1
57 257 1
61 257 1
19 257 1
20 257 1
46 257 1
21 257 1
47 257 1
14 257 1
15 257 1
70 257 1
23 257 1
110 257 1
24 257 1
41 257 1
111 257 1
13 257 1
4 257 1
90 257 1
38 257 1
69 257 1
12 257 1
5 257 1
32 257 1
68 257 1
96 257 1
1 257 1
25 257 1
11 257 1
27 257 1
31 257 1
64 257 1
53 257 1
130 257 1
44 257 1
65 258 1
31 258 1
19 259 1
21 259 1
50 259 1
51 259 1
22 259 1
24 259 1
6 259 1
113 259 1
60 259 1
5 259 1
32 259 1
68 259 1
96 259 1
97 259 1
7 259 1
26 259 1
27 259 1
126 259 1
54 259 1
120 259 1
129 259 1
74 260 1
65 260 1
94 260 1
132 260 1
69 260 1
39 260 1
33 260 1
133 260 1
103 260 1
88 260 1
36 260 1
71 260 1
109 260 1
72 260 1
66 261 1
57 262 1
65 262 1
36 262 1
134 262 1
130 262 1
77 263 1
100 264 1
16 264 1
31 265 1
6 266 1
37 266 1
76 266 1
64 266 1
72 266 1
67 266 1
18 266 1
17 267 1
36 267 1
71 267 1
90 268 1
32 268 1
77 269 1
38 269 1
56 269 1
39 269 1
17 269 1
61 270 1
20 270 1
46 270 1
47 270 1
24 270 1
41 270 1
65 270 1
6 270 1
79 270 1
63 270 1
77 270 1
7 270 1
8 270 1
11 270 1
27 270 1
52 270 1
3 270 1
98 270 1
81 270 1
119 270 1
93 270 1
44 270 1
34 271 1
79 271 1
90 271 1
38 271 1
39 271 1
68 271 1
108 271 1
122 271 1
2 272 1
43 272 1
39 272 1
2 273 1
19 273 1
20 273 1
46 273 1
0 273 1
14 273 1
50 273 1
51 273 1
22 273 1
23 273 1
29 273 1
101 273 1
82 273 1
135 273 1
7 273 1
25 273 1
121 273 1
8 273 1
52 273 1
98 273 1
54 273 1
127 273 1
44 273 1
40 274 1
74 274 1
43 274 1
67 274 1
43 275 1
101 275 1
103 275 1
136 275 1
67 275 1
0 276 1
52 276 1
31 276 1
17 277 1
41 278 1
17 278 1
41 279 1
17 279 1
78 280 1
19 280 1
21 280 1
50 280 1
40 280 1
24 280 1
66 280 1
111 280 1
6 280 1
80 280 1
63 280 1
43 280 1
77 280 1
101 280 1
4 280 1
91 280 1
82 280 1
5 280 1
97 280 1
88 280 1
7 280 1
26 280 1
8 280 1
27 280 1
3 280 1
98 280 1
73 280 1
53 280 1
67 280 1
81 280 1
70 281 1
6 281 1
100 281 1
4 281 1
56 281 1
30 281 1
45 282 1
9 282 1
46 282 1
48 282 1
70 282 1
24 282 1
65 282 1
66 282 1
6 282 1
29 282 1
101 282 1
90 282 1
82 282 1
38 282 1
12 282 1
60 282 1
32 282 1
95 282 1
35 282 1
133 282 1
42 282 1
103 282 1
71 282 1
27 282 1
73 282 1
130 282 1
118 282 1
28 282 1
129 282 1
9 283 1
2 283 1
57 283 1
15 283 1
65 283 1
100 283 1
16 283 1
86 283 1
76 283 1
59 283 1
39 283 1
33 283 1
17 283 1
134 283 1
30 283 1
73 283 1
17 284 1
65 285 1
104 285 1
70 286 1
77 287 1
130 287 1
61 288 1
34 289 1
65 289 1
94 289 1
91 289 1
133 289 1
36 289 1
71 289 1
72 289 1
81 289 1
93 289 1
70 290 1
40 290 1
41 290 1
29 290 1
39 290 1
18 290 1
40 291 1
95 291 1
96 292 1
2 293 1
21 293 1
24 293 1
101 293 1
102 293 1
98 293 1
81 293 1
87 293 1
38 294 1
12 294 1
5 294 1
1 294 1
3 294 1
9 295 1
61 295 1
14 295 1
15 295 1
70 295 1
105 295 1
55 295 1
100 295 1
114 295 1
37 295 1
90 295 1
56 295 1
32 295 1
95 295 1
68 295 1
96 295 1
1 295 1
3 295 1
137 295 1
78 296 1
66 296 1
106 297 1
73 297 1
138 297 1
19 298 1
46 298 1
47 298 1
23 298 1
41 298 1
65 298 1
79 298 1
63 298 1
29 298 1
139 298 1
56 298 1
76 298 1
32 298 1
42 298 1
36 298 1
8 298 1
104 298 1
11 298 1
27 298 1
3 298 1
30 298 1
67 298 1
18 298 1
81 298 1
59 299 1
70 300 1
65 300 1
6 300 1
29 300 1
100 300 1
77 300 1
56 300 1
103 300 1
97 300 1
52 300 1
31 300 1
67 300 1
15 301 1
39 302 1
40 303 1
88 303 1
57 304 1
78 304 1
75 304 1
83 304 1
14 304 1
40 304 1
74 304 1
66 304 1
106 304 1
80 304 1
43 304 1
101 304 1
102 304 1
39 304 1
33 304 1
96 304 1
103 304 1
88 304 1
84 304 1
8 304 1
134 304 1
98 304 1
136 304 1
73 304 1
31 304 1
67 304 1
81 304 1
140 304 1
87 304 1
10 305 1
57 306 1
19 306 1
0 306 1
77 306 1
91 306 1
16 306 1
17 306 1
88 306 1
27 306 1
98 306 1
93 306 1
42 307 1
46 308 1
47 308 1
24 308 1
41 308 1
66 308 1
6 308 1
4 308 1
12 308 1
8 308 1
3 308 1
127 308 1
14 309 1
41 309 1
47 310 1
56 310 1
30 310 1
47 311 1
50 311 1
40 311 1
94 311 1
43 311 1
141 311 1
103 311 1
88 311 1
84 311 1
136 311 1
73 311 1
20 312 1
21 312 1
50 312 1
23 312 1
24 312 1
4 312 1
91 312 1
5 312 1
1 312 1
7 312 1
27 312 1
120 312 1
45 313 1
57 313 1
61 313 1
19 313 1
0 313 1
21 313 1
47 313 1
15 313 1
50 313 1
23 313 1
24 313 1
111 313 1
6 313 1
77 313 1
4 313 1
5 313 1
68 313 1
121 313 1
26 313 1
8 313 1
11 313 1
52 313 1
54 313 1
127 313 1
2 314 1
6 314 1
77 314 1
16 314 1
139 314 1
5 314 1
108 314 1
17 314 1
1 314 1
123 314 1
93 314 1
17 315 1
56 316 1
46 317 1
24 317 1
8 317 1
27 317 1
45 318 1
46 318 1
21 318 1
47 318 1
70 318 1
94 318 1
77 318 1
90 318 1
38 318 1
59 318 1
32 318 1
39 318 1
33 318 1
35 318 1
17 318 1
36 318 1
71 318 1
27 318 1
52 318 1
3 318 1
98 318 1
30 318 1
31 318 1
28 318 1
2 319 1
57 319 1
75 319 1
83 319 1
40 319 1
24 319 1
131 319 1
80 319 1
63 319 1
43 319 1
108 319 1
136 319 1
18 319 1
6 320 1
2 321 1
57 321 1
0 321 1
14 321 1
15 321 1
70 321 1
110 321 1
41 321 1
111 321 1
94 321 1
79 321 1
43 321 1
101 321 1
4 321 1
90 321 1
82 321 1
56 321 1
76 321 1
59 321 1
32 321 1
95 321 1
68 321 1
96 321 1
17 321 1
1 321 1
88 321 1
134 321 1
142 321 1
99 321 1
73 321 1
31 321 1
53 321 1
67 321 1
18 321 1
118 321 1
140 321 1
120 321 1
9 322 1
61 322 1
19 322 1
47 322 1
50 322 1
22 322 1
131 322 1
94 322 1
63 322 1
77 322 1
38 322 1
32 322 1
96 322 1
97 322 1
7 322 1
71 322 1
11 322 1
27 322 1
52 322 1
90 323 1
32 323 1
68 323 1
71 323 1
9 324 1
61 324 1
21 324 1
47 324 1
70 324 1
50 324 1
22 324 1
110 324 1
55 324 1
13 324 1
63 324 1
100 324 1
37 324 1
16 324 1
56 324 1
59 324 1
60 324 1
32 324 1
7 324 1
8 324 1
71 324 1
104 324 1
27 324 1
64 324 1
139 325 1
10 326 1
143 326 1
0 326 1
70 326 1
16 326 1
90 326 1
59 326 1
5 326 1
32 326 1
96 326 1
97 326 1
17 326 1
26 326 1
8 326 1
11 326 1
30 326 1
118 326 1
57 327 1
14 327 1
73 327 1
67 327 1
140 327 1
14 328 1
12 328 1
109 328 1
75 329 1
55 329 1
37 329 1
1 329 1
88 329 1
73 329 1
96 330 1
9 331 1
59 331 1
32 331 1
118 331 1
144 332 1
94 333 1
61 334 1
70 334 1
77 334 1
4 334 1
76 334 1
134 334 1
31 334 1
18 334 1
31 335 1
61 336 1
21 336 1
47 336 1
50 336 1
22 336 1
66 336 1
101 336 1
16 336 1
82 336 1
60 336 1
42 336 1
7 336 1
8 336 1
85 336 1
98 336 1
73 336 1
81 336 1
117 336 1
127 336 1
93 336 1
31 337 1
38 338 1
31 338 1
42 339 1
9 340 1
145 340 1
37 340 1
16 340 1
82 340 1
59 340 1
32 340 1
108 340 1
17 340 1
36 340 1
71 340 1
93 340 1
105 341 1
65 341 1
132 341 1
107 341 1
16 341 1
59 341 1
33 341 1
109 341 1
72 341 1
9 342 1
61 342 1
0 342 1
70 342 1
55 342 1
63 342 1
4 342 1
36 342 1
72 342 1
83 343 1
