6224 114472
0 491 1
1 491 1
2 491 1
3 491 1
4 491 1
5 491 1
6 491 1
7 491 1
8 491 1
9 491 1
10 491 1
11 491 1
12 492 1
13 492 1
14 492 1
15 492 1
16 492 1
17 492 1
18 492 1
19 492 1
20 492 1
21 492 1
22 493 1
23 493 1
24 494 1
25 494 1
26 494 1
27 494 1
28 494 1
29 494 1
30 494 1
31 494 1
32 494 1
33 494 1
34 494 1
35 494 1
36 494 1
37 494 1
38 494 1
39 494 1
40 494 1
41 494 1
42 495 1
43 495 1
4 495 1
7 495 1
44 495 1
45 496 1
24 497 1
46 497 1
47 497 1
48 497 1
20 497 1
49 497 1
50 497 1
16 497 1
38 497 1
51 497 1
40 497 1
52 497 1
53 497 1
45 498 1
3 498 1
30 498 1
54 498 1
5 498 1
6 498 1
31 498 1
55 498 1
56 498 1
38 498 1
57 498 1
3 499 1
58 499 1
59 499 1
60 499 1
61 499 1
62 499 1
63 499 1
5 499 1
31 499 1
64 499 1
65 499 1
66 499 1
67 499 1
10 499 1
68 499 1
69 499 1
42 499 1
70 499 1
15 499 1
4 499 1
6 499 1
7 499 1
71 499 1
2 499 1
72 499 1
56 499 1
73 499 1
74 499 1
34 500 1
33 500 1
72 500 1
75 500 1
76 501 1
77 501 1
23 501 1
14 502 1
78 502 1
79 502 1
80 502 1
81 502 1
54 502 1
82 502 1
83 502 1
84 502 1
85 502 1
86 502 1
87 502 1
88 502 1
89 502 1
37 502 1
52 502 1
90 502 1
91 502 1
92 502 1
93 502 1
22 502 1
94 502 1
95 502 1
96 502 1
97 502 1
98 502 1
99 502 1
100 502 1
61 503 1
101 503 1
102 503 1
103 503 1
104 503 1
100 503 1
105 504 1
106 504 1
107 504 1
3 504 1
108 504 1
20 504 1
109 504 1
54 504 1
49 504 1
50 504 1
31 504 1
110 504 1
111 504 1
57 504 1
26 504 1
112 504 1
113 504 1
114 504 1
115 504 1
77 504 1
71 504 1
116 504 1
117 504 1
118 504 1
119 504 1
51 504 1
97 504 1
18 504 1
40 504 1
120 504 1
121 504 1
122 504 1
25 505 1
43 505 1
123 505 1
8 505 1
59 505 1
124 505 1
62 505 1
20 505 1
125 505 1
126 505 1
127 505 1
49 505 1
50 505 1
63 505 1
128 505 1
129 505 1
64 505 1
130 505 1
85 505 1
65 505 1
66 505 1
67 505 1
131 505 1
132 505 1
9 505 1
10 505 1
90 505 1
69 505 1
11 505 1
41 505 1
24 505 1
70 505 1
133 505 1
134 505 1
15 505 1
4 505 1
6 505 1
135 505 1
136 505 1
2 505 1
137 505 1
16 505 1
98 505 1
99 505 1
19 505 1
138 505 1
100 505 1
121 505 1
122 505 1
107 506 1
3 506 1
79 506 1
59 506 1
124 506 1
101 506 1
62 506 1
81 506 1
50 506 1
63 506 1
129 506 1
64 506 1
130 506 1
85 506 1
12 506 1
139 506 1
67 506 1
1 506 1
103 506 1
10 506 1
69 506 1
11 506 1
140 506 1
93 506 1
46 506 1
117 506 1
141 506 1
95 506 1
119 506 1
51 506 1
39 506 1
100 506 1
142 506 1
107 507 1
143 508 1
62 508 1
49 508 1
144 508 1
103 508 1
6 508 1
77 508 1
2 508 1
100 508 1
145 509 1
146 509 1
13 509 1
147 509 1
148 509 1
60 509 1
124 509 1
48 509 1
20 509 1
125 509 1
31 509 1
149 509 1
150 509 1
86 509 1
12 509 1
87 509 1
151 509 1
152 509 1
37 509 1
38 509 1
153 509 1
53 509 1
154 509 1
155 509 1
41 509 1
156 509 1
24 509 1
140 509 1
157 509 1
158 509 1
15 509 1
94 509 1
76 509 1
159 509 1
160 509 1
161 509 1
7 509 1
162 509 1
55 509 1
118 509 1
72 509 1
16 509 1
163 509 1
99 509 1
19 509 1
40 509 1
121 509 1
164 510 1
165 510 1
166 510 1
105 510 1
106 510 1
3 510 1
167 510 1
168 510 1
143 510 1
169 510 1
0 510 1
61 510 1
170 510 1
171 510 1
54 510 1
49 510 1
5 510 1
102 510 1
82 510 1
110 510 1
139 510 1
172 510 1
38 510 1
173 510 1
174 510 1
175 510 1
176 510 1
177 510 1
178 510 1
179 510 1
103 510 1
26 510 1
180 510 1
181 510 1
114 510 1
182 510 1
23 510 1
71 510 1
117 510 1
183 510 1
35 510 1
118 510 1
184 510 1
119 510 1
185 510 1
56 510 1
186 510 1
51 510 1
98 510 1
99 510 1
187 510 1
121 510 1
188 510 1
143 511 1
78 512 1
58 512 1
189 512 1
31 512 1
89 512 1
77 512 1
162 512 1
190 513 1
191 513 1
192 513 1
59 513 1
108 513 1
193 513 1
84 513 1
44 513 1
151 513 1
88 513 1
194 513 1
38 513 1
195 513 1
132 513 1
196 513 1
197 513 1
198 513 1
4 513 1
199 513 1
200 513 1
201 513 1
95 513 1
33 513 1
202 513 1
203 513 1
16 513 1
163 513 1
97 513 1
19 513 1
164 514 1
60 514 1
204 514 1
205 514 1
165 515 1
206 515 1
143 515 1
207 515 1
208 515 1
205 515 1
18 515 1
74 515 1
206 516 1
209 516 1
20 516 1
210 516 1
41 516 1
24 516 1
211 516 1
118 516 1
119 516 1
212 516 1
3 517 1
213 518 1
61 518 1
63 518 1
214 518 1
165 519 1
215 519 1
25 519 1
79 519 1
17 519 1
54 519 1
5 519 1
111 519 1
216 519 1
165 520 1
206 520 1
105 520 1
106 520 1
167 520 1
17 520 1
217 520 1
61 520 1
48 520 1
54 520 1
127 520 1
149 520 1
110 520 1
85 520 1
12 520 1
210 520 1
139 520 1
218 520 1
36 520 1
38 520 1
173 520 1
175 520 1
219 520 1
176 520 1
220 520 1
204 520 1
91 520 1
221 520 1
222 520 1
205 520 1
223 520 1
26 520 1
224 520 1
22 520 1
112 520 1
114 520 1
225 520 1
23 520 1
71 520 1
141 520 1
226 520 1
186 520 1
227 520 1
18 520 1
99 520 1
188 520 1
228 520 1
20 521 1
5 521 1
139 521 1
41 521 1
214 521 1
198 521 1
76 521 1
141 521 1
72 521 1
16 521 1
229 522 1
61 522 1
63 522 1
64 522 1
85 522 1
174 522 1
204 522 1
11 522 1
42 522 1
230 522 1
199 522 1
231 522 1
165 523 1
107 523 1
167 523 1
58 523 1
8 523 1
29 523 1
148 523 1
59 523 1
229 523 1
101 523 1
109 523 1
171 523 1
49 523 1
63 523 1
102 523 1
189 523 1
232 523 1
111 523 1
44 523 1
38 523 1
176 523 1
1 523 1
233 523 1
103 523 1
90 523 1
234 523 1
235 523 1
26 523 1
46 523 1
15 523 1
236 523 1
94 523 1
237 523 1
114 523 1
6 523 1
77 523 1
23 523 1
118 523 1
119 523 1
185 523 1
186 523 1
73 523 1
238 523 1
98 523 1
99 523 1
239 523 1
188 523 1
216 524 1
43 525 1
67 525 1
240 525 1
4 525 1
76 525 1
241 525 1
72 525 1
242 525 1
243 525 1
80 526 1
89 526 1
37 526 1
77 526 1
169 527 1
85 527 1
113 527 1
23 527 1
43 528 1
81 528 1
140 528 1
133 528 1
95 528 1
244 528 1
245 529 1
58 529 1
108 529 1
31 529 1
82 529 1
232 529 1
151 529 1
246 529 1
41 529 1
24 529 1
158 529 1
94 529 1
114 529 1
247 529 1
248 529 1
77 529 1
71 529 1
118 529 1
249 529 1
119 529 1
185 529 1
250 529 1
138 529 1
187 529 1
212 529 1
122 529 1
79 530 1
100 530 1
206 531 1
146 531 1
78 531 1
143 531 1
62 531 1
49 531 1
50 531 1
5 531 1
173 531 1
10 531 1
42 531 1
251 531 1
77 531 1
136 531 1
2 531 1
72 531 1
56 531 1
252 531 1
212 531 1
253 531 1
61 532 1
254 532 1
173 532 1
174 532 1
132 532 1
208 532 1
214 532 1
4 532 1
7 532 1
16 532 1
255 532 1
139 533 1
140 533 1
251 533 1
141 533 1
95 533 1
256 533 1
252 533 1
142 533 1
14 534 1
78 534 1
148 534 1
62 534 1
125 534 1
49 534 1
63 534 1
193 534 1
82 534 1
84 534 1
64 534 1
130 534 1
65 534 1
88 534 1
67 534 1
257 534 1
258 534 1
9 534 1
155 534 1
235 534 1
157 534 1
46 534 1
236 534 1
76 534 1
114 534 1
247 534 1
47 534 1
6 534 1
7 534 1
95 534 1
100 534 1
259 534 1
13 534 1
58 534 1
192 534 1
8 534 1
108 534 1
260 534 1
189 534 1
261 534 1
12 534 1
151 534 1
262 534 1
36 534 1
263 534 1
264 534 1
1 534 1
10 534 1
103 534 1
91 534 1
196 534 1
265 534 1
11 534 1
266 534 1
4 534 1
267 534 1
268 534 1
248 534 1
77 534 1
162 534 1
72 534 1
185 534 1
143 535 1
0 535 1
49 535 1
50 535 1
9 535 1
46 535 1
224 535 1
6 535 1
7 535 1
40 535 1
100 535 1
8 535 1
262 535 1
240 535 1
1 535 1
103 535 1
24 535 1
268 535 1
269 535 1
19 535 1
212 535 1
107 536 1
139 536 1
140 536 1
39 536 1
263 536 1
270 536 1
107 537 1
216 537 1
6 537 1
39 537 1
271 537 1
57 537 1
14 538 1
171 538 1
37 538 1
246 538 1
265 538 1
41 538 1
24 538 1
15 538 1
159 538 1
268 538 1
238 538 1
164 539 1
165 539 1
107 539 1
60 539 1
0 539 1
54 539 1
49 539 1
50 539 1
63 539 1
5 539 1
272 539 1
64 539 1
273 539 1
88 539 1
67 539 1
173 539 1
274 539 1
219 539 1
153 539 1
177 539 1
220 539 1
204 539 1
258 539 1
9 539 1
221 539 1
234 539 1
197 539 1
26 539 1
112 539 1
94 539 1
275 539 1
76 539 1
241 539 1
237 539 1
200 539 1
276 539 1
114 539 1
247 539 1
7 539 1
135 539 1
277 539 1
33 539 1
278 539 1
16 539 1
244 539 1
96 539 1
98 539 1
40 539 1
250 539 1
138 539 1
100 539 1
255 539 1
121 539 1
146 539 1
279 539 1
13 539 1
43 539 1
167 539 1
58 539 1
280 539 1
170 539 1
48 539 1
108 539 1
109 539 1
102 539 1
189 539 1
31 539 1
261 539 1
232 539 1
110 539 1
111 539 1
44 539 1
281 539 1
282 539 1
283 539 1
36 539 1
284 539 1
38 539 1
285 539 1
286 539 1
287 539 1
288 539 1
179 539 1
103 539 1
10 539 1
11 539 1
41 539 1
266 539 1
289 539 1
92 539 1
93 539 1
42 539 1
70 539 1
158 539 1
290 539 1
4 539 1
291 539 1
159 539 1
292 539 1
160 539 1
