5311 54309
0 205 1
1 205 1
2 205 1
3 205 1
4 205 1
5 205 1
6 205 1
7 205 1
8 205 1
9 205 1
10 205 1
11 205 1
12 205 1
13 206 1
14 206 1
15 206 1
16 206 1
17 206 1
18 206 1
19 207 1
20 207 1
18 207 1
21 208 1
22 208 1
5 208 1
8 208 1
23 208 1
24 209 1
25 209 1
18 209 1
26 209 1
27 209 1
28 209 1
29 209 1
30 209 1
23 209 1
4 210 1
6 210 1
7 210 1
31 210 1
4 211 1
32 211 1
33 211 1
34 211 1
17 211 1
1 211 1
35 211 1
36 211 1
6 211 1
37 211 1
38 211 1
39 211 1
40 211 1
41 211 1
15 211 1
42 211 1
43 211 1
11 211 1
44 211 1
45 211 1
46 211 1
21 211 1
47 211 1
5 211 1
7 211 1
8 211 1
48 211 1
3 211 1
49 211 1
31 211 1
50 211 1
51 212 1
52 213 1
53 213 1
48 213 1
54 214 1
27 215 1
23 215 1
55 215 1
18 215 1
49 215 1
56 215 1
23 216 1
57 216 1
56 216 1
4 217 1
28 217 1
29 217 1
40 217 1
58 217 1
53 217 1
59 217 1
60 217 1
22 218 1
61 218 1
9 218 1
33 218 1
62 218 1
1 218 1
35 218 1
63 218 1
64 218 1
28 218 1
29 218 1
36 218 1
65 218 1
38 218 1
66 218 1
39 218 1
67 218 1
41 218 1
42 218 1
43 218 1
23 218 1
10 218 1
11 218 1
68 218 1
45 218 1
12 218 1
69 218 1
70 218 1
47 218 1
71 218 1
5 218 1
7 218 1
72 218 1
73 218 1
3 218 1
74 218 1
56 218 1
60 218 1
4 219 1
33 219 1
52 219 1
62 219 1
1 219 1
35 219 1
29 219 1
36 219 1
38 219 1
66 219 1
39 219 1
67 219 1
40 219 1
43 219 1
2 219 1
57 219 1
11 219 1
45 219 1
12 219 1
24 219 1
56 219 1
75 220 1
35 220 1
28 220 1
76 220 1
77 220 1
57 220 1
7 220 1
53 220 1
3 220 1
56 220 1
78 221 1
34 221 1
62 221 1
27 221 1
63 221 1
79 221 1
8 221 1
80 221 1
73 221 1
59 221 1
81 221 1
4 222 1
75 222 1
82 222 1
0 222 1
27 222 1
28 222 1
6 222 1
83 222 1
57 222 1
48 222 1
59 222 1
31 222 1
75 223 1
54 223 1
23 223 1
84 224 1
85 224 1
86 224 1
53 224 1
80 224 1
81 224 1
87 225 1
33 225 1
88 225 1
27 225 1
89 225 1
90 225 1
70 225 1
5 225 1
73 225 1
49 225 1
51 225 1
52 226 1
34 226 1
48 226 1
14 226 1
75 227 1
38 227 1
23 227 1
91 227 1
50 227 1
92 228 1
52 228 1
40 228 1
93 228 1
16 228 1
48 228 1
94 228 1
59 228 1
95 228 1
4 229 1
36 230 1
38 230 1
96 230 1
95 230 1
97 231 1
6 231 1
23 231 1
98 231 1
54 232 1
1 232 1
99 232 1
38 232 1
40 232 1
100 232 1
101 232 1
93 232 1
102 232 1
94 232 1
95 232 1
6 233 1
103 234 1
99 234 1
36 234 1
38 234 1
39 234 1
12 234 1
21 234 1
104 234 1
105 234 1
14 234 1
106 234 1
13 235 1
9 235 1
78 235 1
33 235 1
88 235 1
27 235 1
99 235 1
28 235 1
36 235 1
85 235 1
40 235 1
15 235 1
100 235 1
107 235 1
2 235 1
57 235 1
68 235 1
46 235 1
24 235 1
108 235 1
7 235 1
53 235 1
73 235 1
59 235 1
106 235 1
49 235 1
95 235 1
109 235 1
110 235 1
38 236 1
98 236 1
22 237 1
43 237 1
111 237 1
5 237 1
53 238 1
82 239 1
52 239 1
88 239 1
112 239 1
27 239 1
99 239 1
37 239 1
40 239 1
86 239 1
113 239 1
107 239 1
114 239 1
101 239 1
115 239 1
69 239 1
93 239 1
46 239 1
116 239 1
58 239 1
102 239 1
48 239 1
94 239 1
117 239 1
73 239 1
118 239 1
95 239 1
119 239 1
109 239 1
22 240 1
17 240 1
71 240 1
112 241 1
40 241 1
53 241 1
59 241 1
60 241 1
56 242 1
75 243 1
25 243 1
1 243 1
35 243 1
28 243 1
29 243 1
6 243 1
38 243 1
11 243 1
21 243 1
53 243 1
72 243 1
3 243 1
31 243 1
23 244 1
120 244 1
5 244 1
8 244 1
102 244 1
13 245 1
32 245 1
78 245 1
52 245 1
17 245 1
1 245 1
35 245 1
63 245 1
28 245 1
36 245 1
89 245 1
39 245 1
67 245 1
41 245 1
43 245 1
10 245 1
70 245 1
93 245 1
120 245 1
24 245 1
108 245 1
55 245 1
18 245 1
26 245 1
7 245 1
8 245 1
56 245 1
121 245 1
9 245 1
25 245 1
27 245 1
122 245 1
85 245 1
37 245 1
123 245 1
107 245 1
114 245 1
101 245 1
124 245 1
125 245 1
23 245 1
126 245 1
2 245 1
11 245 1
57 245 1
12 245 1
5 245 1
16 245 1
127 245 1
128 245 1
53 245 1
48 245 1
80 245 1
94 245 1
73 245 1
75 246 1
0 246 1
1 246 1
28 246 1
29 246 1
10 246 1
24 246 1
7 246 1
8 246 1
56 246 1
9 246 1
123 246 1
111 246 1
2 246 1
57 246 1
48 246 1
23 247 1
126 247 1
98 248 1
7 248 1
129 249 1
34 249 1
0 249 1
1 249 1
99 249 1
28 249 1
29 249 1
36 249 1
6 249 1
38 249 1
39 249 1
43 249 1
100 249 1
83 249 1
77 249 1
10 249 1
69 249 1
55 249 1
8 249 1
109 249 1
56 249 1
130 249 1
22 249 1
85 249 1
40 249 1
107 249 1
57 249 1
11 249 1
68 249 1
12 249 1
21 249 1
47 249 1
5 249 1
16 249 1
53 249 1
80 249 1
59 249 1
51 249 1
60 249 1
131 250 1
2 251 1
57 251 1
18 252 1
25 252 1
27 252 1
20 253 1
0 253 1
28 253 1
97 253 1
50 253 1
4 254 1
33 254 1
62 254 1
0 254 1
1 254 1
35 254 1
28 254 1
29 254 1
36 254 1
66 254 1
67 254 1
90 254 1
69 254 1
49 254 1
25 254 1
40 254 1
11 254 1
68 254 1
16 254 1
127 254 1
48 254 1
94 254 1
80 254 1
3 254 1
59 254 1
14 254 1
91 254 1
60 254 1
17 255 1
0 255 1
99 255 1
38 255 1
132 255 1
105 255 1
118 255 1
133 255 1
134 255 1
68 255 1
19 255 1
135 255 1
136 255 1
137 255 1
102 255 1
48 255 1
14 255 1
91 255 1
86 256 1
46 256 1
123 257 1
32 258 1
52 258 1
54 258 1
17 258 1
1 258 1
35 258 1
100 258 1
138 258 1
26 258 1
105 258 1
133 258 1
124 258 1
12 258 1
139 258 1
127 258 1
30 258 1
3 258 1
106 258 1
18 259 1
57 259 1
90 260 1
46 260 1
49 260 1
107 260 1
0 261 1
99 261 1
54 262 1
17 262 1
99 262 1
15 262 1
140 262 1
124 262 1
32 263 1
36 263 1
6 263 1
27 264 1
77 265 1
56 265 1
4 266 1
43 266 1
90 266 1
83 266 1
69 266 1
80 266 1
73 266 1
141 266 1
142 266 1
61 267 1
78 267 1
33 267 1
0 267 1
1 267 1
35 267 1
63 267 1
64 267 1
36 267 1
6 267 1
89 267 1
38 267 1
66 267 1
39 267 1
67 267 1
41 267 1
42 267 1
143 267 1
43 267 1
144 267 1
10 267 1
145 267 1
98 267 1
146 267 1
7 267 1
8 267 1
147 267 1
56 267 1
148 267 1
22 267 1
9 267 1
122 267 1
85 267 1
111 267 1
126 267 1
2 267 1
57 267 1
11 267 1
45 267 1
12 267 1
21 267 1
47 267 1
71 267 1
5 267 1
72 267 1
3 267 1
74 267 1
31 267 1
149 267 1
150 267 1
151 267 1
152 267 1
4 268 1
6 268 1
31 268 1
77 269 1
0 270 1
1 270 1
36 270 1
6 270 1
38 270 1
39 270 1
43 270 1
10 270 1
98 270 1
8 270 1
133 270 1
11 270 1
153 270 1
12 270 1
21 270 1
47 270 1
34 271 1
98 271 1
126 271 1
0 272 1
18 272 1
7 272 1
8 272 1
2 272 1
5 272 1
154 273 1
54 273 1
28 273 1
100 273 1
136 273 1
137 273 1
95 273 1
91 273 1
27 274 1
34 275 1
89 275 1
98 275 1
56 275 1
150 275 1
22 276 1
9 276 1
93 277 1
47 277 1
100 278 1
13 279 1
18 279 1
49 279 1
56 279 1
53 279 1
51 279 1
15 280 1
61 281 1
78 281 1
33 281 1
62 281 1
0 281 1
1 281 1
35 281 1
63 281 1
64 281 1
36 281 1
89 281 1
38 281 1
66 281 1
39 281 1
67 281 1
86 281 1
41 281 1
42 281 1
143 281 1
43 281 1
90 281 1
10 281 1
7 281 1
8 281 1
56 281 1
148 281 1
22 281 1
9 281 1
155 281 1
122 281 1
85 281 1
76 281 1
123 281 1
126 281 1
156 281 1
2 281 1
11 281 1
44 281 1
153 281 1
12 281 1
21 281 1
47 281 1
71 281 1
5 281 1
102 281 1
53 281 1
157 281 1
72 281 1
30 281 1
3 281 1
74 281 1
150 281 1
158 281 1
50 281 1
159 281 1
152 281 1
160 281 1
4 282 1
78 282 1
33 282 1
62 282 1
28 282 1
29 282 1
89 282 1
83 282 1
144 282 1
70 282 1
24 282 1
49 282 1
161 282 1
22 282 1
9 282 1
107 282 1
114 282 1
162 282 1
5 282 1
94 282 1
73 282 1
59 282 1
66 283 1
49 284 1
36 285 1
9 285 1
27 285 1
32 286 1
1 286 1
15 286 1
163 286 1
96 286 1
109 286 1
164 286 1
140 286 1
133 286 1
124 286 1
139 286 1
3 286 1
106 286 1
149 286 1
52 287 1
38 287 1
123 287 1
3 287 1
152 287 1
18 288 1
49 288 1
88 288 1
69 289 1
70 289 1
73 289 1
57 290 1
53 290 1
165 290 1
108 291 1
98 291 1
53 291 1
77 292 1
16 293 1
94 293 1
95 293 1
38 294 1
1 295 1
99 295 1
166 295 1
140 295 1
133 295 1
12 295 1
136 295 1
48 295 1
23 296 1
1 297 1
38 297 1
85 297 1
106 297 1
7 298 1
25 298 1
75 299 1
34 299 1
62 299 1
1 299 1
35 299 1
29 299 1
36 299 1
6 299 1
38 299 1
66 299 1
39 299 1
41 299 1
43 299 1
24 299 1
98 299 1
97 299 1
9 299 1
2 299 1
57 299 1
11 299 1
153 299 1
47 299 1
31 299 1
149 299 1
158 299 1
20 300 1
53 300 1
33 301 1
34 301 1
0 301 1
1 301 1
35 301 1
63 301 1
36 301 1
38 301 1
66 301 1
39 301 1
67 301 1
41 301 1
42 301 1
43 301 1
167 301 1
145 301 1
7 301 1
8 301 1
147 301 1
87 301 1
155 301 1
111 301 1
57 301 1
44 301 1
45 301 1
12 301 1
21 301 1
47 301 1
5 301 1
3 301 1
74 301 1
149 301 1
50 301 1
60 301 1
98 302 1
53 302 1
28 303 1
84 303 1
61 304 1
4 304 1
75 304 1
78 304 1
33 304 1
34 304 1
62 304 1
1 304 1
35 304 1
63 304 1
28 304 1
29 304 1
36 304 1
6 304 1
89 304 1
38 304 1
39 304 1
42 304 1
143 304 1
43 304 1
90 304 1
83 304 1
144 304 1
24 304 1
108 304 1
18 304 1
7 304 1
8 304 1
56 304 1
161 304 1
87 304 1
22 304 1
9 304 1
88 304 1
85 304 1
40 304 1
123 304 1
101 304 1
162 304 1
2 304 1
68 304 1
44 304 1
21 304 1
47 304 1
53 304 1
80 304 1
72 304 1
165 304 1
3 304 1
59 304 1
14 304 1
91 304 1
60 304 1
52 305 1
15 305 1
93 305 1
108 305 1
119 305 1
161 305 1
16 305 1
53 305 1
48 305 1
94 305 1
14 305 1
95 305 1
91 305 1
33 306 1
1 306 1
35 306 1
66 306 1
39 306 1
67 306 1
41 306 1
43 306 1
10 306 1
145 306 1
7 306 1
9 306 1
85 306 1
123 306 1
126 306 1
57 306 1
11 306 1
45 306 1
47 306 1
157 306 1
74 306 1
152 306 1
160 306 1
1 307 1
73 307 1
59 307 1
69 308 1
13 309 1
82 309 1
54 309 1
