4249 30583
0 139 1
1 139 1
2 139 1
3 139 1
4 139 1
5 139 1
6 139 1
7 139 1
8 139 1
9 140 1
10 141 1
11 141 1
12 142 1
13 143 1
14 143 1
15 144 1
16 144 1
3 144 1
17 144 1
18 144 1
19 144 1
4 144 1
20 144 1
21 144 1
22 145 1
23 145 1
24 145 1
2 146 1
25 146 1
2 147 1
26 147 1
27 147 1
28 147 1
29 147 1
30 147 1
31 147 1
32 147 1
7 147 1
33 147 1
34 147 1
15 147 1
35 147 1
3 147 1
4 147 1
25 147 1
36 147 1
37 148 1
38 148 1
39 149 1
2 150 1
23 150 1
24 150 1
38 150 1
40 150 1
16 151 1
41 151 1
5 151 1
26 151 1
42 151 1
28 151 1
43 151 1
44 151 1
23 151 1
24 151 1
45 151 1
46 151 1
47 151 1
30 151 1
31 151 1
32 151 1
10 151 1
11 151 1
6 151 1
7 151 1
34 151 1
37 151 1
8 151 1
35 151 1
48 151 1
3 151 1
49 151 1
12 151 1
50 151 1
40 151 1
2 152 1
26 152 1
42 152 1
28 152 1
24 152 1
46 152 1
47 152 1
32 152 1
1 152 1
7 152 1
34 152 1
8 152 1
22 152 1
51 153 1
28 153 1
23 153 1
52 153 1
38 153 1
53 154 1
27 154 1
42 154 1
43 154 1
54 154 1
4 154 1
55 154 1
56 154 1
2 155 1
51 155 1
0 155 1
23 155 1
25 155 1
51 156 1
57 156 1
58 157 1
38 157 1
55 157 1
59 158 1
26 158 1
57 158 1
60 158 1
61 158 1
62 158 1
3 158 1
63 158 1
27 159 1
9 159 1
51 160 1
36 160 1
12 161 1
2 162 1
64 163 1
65 164 1
66 164 1
29 165 1
37 165 1
67 165 1
64 165 1
12 165 1
68 165 1
20 165 1
56 166 1
18 167 1
69 167 1
70 167 1
29 167 1
71 167 1
9 167 1
8 167 1
15 167 1
17 167 1
67 167 1
64 167 1
72 167 1
12 167 1
68 167 1
56 167 1
5 168 1
53 168 1
26 168 1
23 168 1
58 168 1
29 168 1
1 168 1
22 168 1
38 168 1
12 168 1
39 168 1
66 169 1
16 170 1
32 170 1
73 170 1
3 170 1
38 171 1
57 172 1
16 173 1
48 173 1
38 174 1
40 174 1
51 175 1
28 175 1
23 175 1
24 175 1
7 175 1
15 175 1
38 175 1
49 175 1
25 175 1
74 176 1
3 176 1
4 176 1
53 177 1
28 177 1
75 177 1
43 177 1
23 177 1
60 177 1
29 177 1
47 177 1
30 177 1
32 177 1
10 177 1
11 177 1
6 177 1
76 177 1
22 177 1
4 177 1
77 177 1
56 177 1
5 177 1
57 177 1
78 177 1
58 177 1
79 177 1
21 177 1
80 177 1
1 177 1
7 177 1
8 177 1
3 177 1
67 177 1
81 177 1
19 177 1
38 177 1
55 177 1
12 177 1
68 177 1
82 177 1
39 177 1
51 178 1
0 178 1
23 178 1
24 178 1
6 178 1
22 178 1
4 178 1
5 178 1
79 178 1
73 178 1
1 178 1
80 179 1
66 180 1
11 181 1
77 181 1
27 182 1
0 182 1
23 182 1
24 182 1
9 182 1
32 182 1
10 182 1
6 182 1
4 182 1
56 182 1
16 182 1
58 182 1
7 182 1
8 182 1
15 182 1
35 182 1
62 182 1
3 182 1
38 182 1
55 182 1
40 182 1
74 183 1
1 184 1
13 185 1
0 185 1
23 185 1
65 185 1
36 185 1
2 186 1
26 186 1
42 186 1
0 186 1
28 186 1
23 186 1
24 186 1
46 186 1
47 186 1
10 186 1
7 186 1
81 186 1
55 186 1
40 186 1
70 187 1
0 187 1
29 187 1
79 188 1
70 189 1
28 189 1
29 189 1
17 189 1
18 189 1
69 189 1
8 189 1
81 189 1
83 189 1
0 190 1
71 191 1
9 192 1
71 192 1
83 192 1
2 193 1
32 193 1
56 193 1
55 193 1
41 194 1
53 194 1
26 194 1
0 194 1
28 194 1
43 194 1
44 194 1
60 194 1
46 194 1
47 194 1
30 194 1
31 194 1
84 194 1
32 194 1
85 194 1
6 194 1
86 194 1
66 194 1
87 194 1
4 194 1
88 194 1
89 194 1
16 194 1
5 194 1
78 194 1
58 194 1
73 194 1
80 194 1
1 194 1
7 194 1
34 194 1
8 194 1
15 194 1
35 194 1
48 194 1
3 194 1
49 194 1
50 194 1
25 194 1
90 194 1
91 194 1
92 194 1
93 194 1
2 195 1
25 195 1
0 196 1
32 196 1
6 196 1
66 196 1
4 196 1
7 196 1
94 196 1
8 196 1
15 196 1
35 196 1
27 197 1
66 197 1
80 197 1
0 198 1
4 198 1
1 198 1
3 198 1
23 199 1
95 199 1
67 199 1
27 200 1
60 200 1
66 200 1
91 200 1
16 201 1
5 201 1
35 202 1
19 203 1
38 203 1
39 203 1
41 204 1
53 204 1
26 204 1
42 204 1
0 204 1
28 204 1
43 204 1
44 204 1
60 204 1
46 204 1
47 204 1
30 204 1
31 204 1
84 204 1
32 204 1
6 204 1
4 204 1
89 204 1
16 204 1
5 204 1
96 204 1
57 204 1
78 204 1
58 204 1
52 204 1
79 204 1
80 204 1
97 204 1
1 204 1
7 204 1
33 204 1
94 204 1
8 204 1
15 204 1
35 204 1
48 204 1
3 204 1
38 204 1
98 204 1
49 204 1
50 204 1
91 204 1
99 204 1
36 204 1
100 204 1
93 204 1
101 204 1
2 205 1
53 205 1
26 205 1
42 205 1
23 205 1
24 205 1
60 205 1
10 205 1
85 205 1
22 205 1
16 205 1
5 205 1
57 205 1
3 205 1
46 206 1
5 207 1
39 207 1
70 208 1
29 208 1
95 208 1
69 208 1
90 208 1
79 209 1
93 209 1
38 210 1
102 210 1
66 211 1
38 211 1
12 212 1
29 213 1
95 213 1
69 213 1
71 213 1
8 213 1
58 214 1
51 215 1
27 215 1
42 215 1
28 215 1
24 215 1
46 215 1
30 215 1
32 215 1
22 215 1
66 215 1
65 215 1
5 215 1
1 215 1
7 215 1
94 215 1
35 215 1
25 215 1
90 215 1
99 215 1
13 216 1
38 216 1
74 217 1
26 217 1
27 217 1
0 217 1
28 217 1
43 217 1
46 217 1
47 217 1
30 217 1
31 217 1
32 217 1
103 217 1
86 217 1
4 217 1
88 217 1
59 217 1
96 217 1
73 217 1
33 217 1
34 217 1
8 217 1
15 217 1
35 217 1
3 217 1
50 217 1
90 217 1
36 217 1
40 217 1
66 218 1
38 218 1
23 219 1
41 220 1
2 220 1
51 220 1
74 220 1
53 220 1
26 220 1
27 220 1
42 220 1
28 220 1
43 220 1
23 220 1
24 220 1
60 220 1
31 220 1
84 220 1
32 220 1
10 220 1
11 220 1
85 220 1
76 220 1
22 220 1
4 220 1
77 220 1
56 220 1
59 220 1
16 220 1
18 220 1
5 220 1
58 220 1
79 220 1
1 220 1
33 220 1
15 220 1
35 220 1
104 220 1
38 220 1
55 220 1
49 220 1
12 220 1
102 220 1
39 220 1
40 220 1
38 221 1
26 222 1
28 222 1
46 222 1
47 222 1
30 222 1
32 222 1
6 222 1
86 222 1
56 222 1
5 222 1
58 222 1
79 222 1
80 222 1
7 222 1
34 222 1
35 222 1
98 222 1
50 222 1
93 222 1
101 222 1
105 223 1
70 223 1
75 223 1
29 223 1
10 223 1
11 223 1
76 223 1
17 223 1
95 223 1
77 223 1
56 223 1
59 223 1
18 223 1
57 223 1
71 223 1
61 223 1
37 223 1
19 223 1
106 223 1
39 223 1
12 224 1
51 225 1
102 225 1
66 226 1
107 226 1
57 227 1
38 228 1
12 228 1
63 228 1
6 229 1
65 229 1
55 229 1
25 229 1
14 229 1
10 230 1
77 231 1
66 232 1
53 233 1
27 233 1
42 233 1
43 233 1
32 233 1
6 233 1
66 233 1
56 233 1
7 233 1
8 233 1
15 233 1
35 233 1
48 233 1
3 233 1
81 233 1
19 233 1
39 233 1
92 233 1
40 233 1
57 234 1
58 234 1
19 234 1
39 234 1
2 235 1
2 236 1
26 236 1
27 236 1
42 236 1
0 236 1
23 236 1
46 236 1
47 236 1
30 236 1
31 236 1
108 236 1
7 236 1
33 236 1
94 236 1
8 236 1
48 236 1
81 236 1
50 236 1
99 236 1
40 236 1
0 237 1
48 237 1
38 237 1
39 237 1
70 238 1
26 238 1
28 238 1
46 238 1
29 238 1
32 238 1
85 238 1
6 238 1
66 238 1
4 238 1
5 238 1
80 238 1
7 238 1
34 238 1
8 238 1
35 238 1
3 238 1
81 238 1
49 238 1
60 239 1
6 239 1
4 239 1
41 240 1
70 240 1
42 240 1
44 240 1
60 240 1
29 240 1
32 240 1
6 240 1
77 240 1
16 240 1
78 240 1
109 240 1
35 240 1
62 240 1
19 240 1
102 240 1
91 240 1
36 240 1
101 240 1
2 241 1
51 241 1
24 241 1
65 241 1
60 242 1
66 243 1
102 243 1
53 244 1
62 244 1
74 245 1
60 245 1
9 245 1
10 245 1
37 245 1
25 245 1
78 246 1
79 247 1
2 248 1
70 248 1
74 248 1
28 248 1
29 248 1
32 248 1
76 248 1
81 248 1
39 248 1
16 249 1
5 249 1
1 249 1
3 249 1
53 250 1
23 250 1
24 250 1
60 250 1
10 250 1
11 250 1
87 250 1
57 250 1
78 250 1
58 250 1
79 250 1
1 250 1
3 250 1
39 250 1
29 251 1
29 252 1
110 252 1
26 253 1
42 253 1
43 253 1
31 253 1
56 253 1
65 253 1
8 253 1
15 253 1
35 253 1
3 253 1
25 253 1
56 254 1
70 255 1
75 255 1
60 255 1
29 255 1
10 255 1
6 255 1
66 255 1
69 255 1
111 255 1
80 255 1
48 255 1
62 255 1
38 255 1
39 255 1
24 256 1
29 256 1
51 257 1
70 257 1
75 257 1
23 257 1
29 257 1
9 257 1
18 257 1
69 257 1
71 257 1
79 257 1
8 257 1
81 257 1
38 257 1
83 257 1
68 257 1
20 257 1
13 258 1
12 258 1
51 259 1
26 259 1
0 259 1
66 259 1
35 259 1
81 259 1
56 260 1
74 261 1
42 261 1
43 261 1
32 261 1
6 261 1
4 261 1
56 261 1
16 261 1
71 261 1
37 261 1
8 261 1
3 261 1
12 261 1
68 261 1
99 261 1
23 262 1
43 263 1
10 263 1
56 263 1
21 263 1
62 263 1
11 264 1
43 265 1
46 265 1
95 265 1
27 266 1
28 266 1
46 266 1
31 266 1
32 266 1
4 266 1
5 266 1
1 266 1
7 266 1
35 266 1
93 266 1
57 267 1
41 268 1
51 268 1
53 268 1
26 268 1
0 268 1
28 268 1
43 268 1
24 268 1
46 268 1
31 268 1
32 268 1
85 268 1
6 268 1
66 268 1
4 268 1
5 268 1
58 268 1
94 268 1
34 268 1
8 268 1
15 268 1
48 268 1
50 268 1
99 268 1
2 269 1
