7039 196648
0 1138 1
1 1138 1
2 1138 1
3 1138 1
4 1138 1
5 1138 1
6 1138 1
7 1138 1
8 1138 1
9 1138 1
10 1138 1
11 1138 1
12 1139 1
13 1139 1
14 1139 1
15 1139 1
16 1139 1
17 1139 1
18 1140 1
19 1140 1
20 1140 1
21 1140 1
22 1140 1
23 1140 1
24 1140 1
25 1140 1
26 1141 1
27 1141 1
28 1141 1
29 1141 1
30 1141 1
31 1141 1
32 1141 1
33 1141 1
34 1141 1
15 1141 1
35 1141 1
36 1141 1
37 1141 1
38 1141 1
39 1141 1
40 1141 1
41 1141 1
42 1141 1
43 1141 1
44 1141 1
45 1141 1
46 1141 1
47 1141 1
48 1141 1
49 1141 1
50 1141 1
51 1141 1
52 1141 1
53 1141 1
54 1141 1
55 1141 1
56 1142 1
57 1142 1
58 1142 1
3 1142 1
59 1142 1
60 1142 1
6 1142 1
61 1142 1
62 1142 1
18 1142 1
63 1142 1
64 1142 1
65 1142 1
66 1142 1
67 1142 1
68 1142 1
69 1142 1
70 1142 1
71 1142 1
72 1142 1
73 1143 1
74 1143 1
75 1143 1
76 1143 1
77 1143 1
78 1143 1
79 1143 1
80 1143 1
81 1143 1
82 1143 1
51 1143 1
83 1144 1
4 1144 1
5 1144 1
66 1144 1
84 1144 1
85 1144 1
86 1145 1
87 1145 1
88 1145 1
89 1145 1
74 1145 1
90 1145 1
58 1145 1
91 1145 1
92 1145 1
93 1145 1
94 1145 1
95 1145 1
96 1145 1
97 1145 1
98 1145 1
99 1145 1
100 1145 1
15 1145 1
101 1145 1
102 1145 1
103 1145 1
104 1145 1
105 1145 1
4 1145 1
16 1145 1
106 1145 1
107 1145 1
108 1145 1
109 1145 1
61 1145 1
110 1145 1
111 1145 1
112 1145 1
113 1145 1
114 1145 1
14 1145 1
115 1145 1
116 1145 1
117 1145 1
118 1145 1
119 1145 1
120 1145 1
121 1145 1
122 1145 1
123 1145 1
124 1145 1
125 1145 1
126 1145 1
68 1145 1
127 1145 1
128 1145 1
129 1145 1
130 1145 1
131 1145 1
132 1145 1
133 1145 1
48 1145 1
134 1145 1
135 1145 1
136 1145 1
137 1145 1
9 1145 1
138 1145 1
139 1145 1
140 1145 1
141 1145 1
56 1145 1
142 1145 1
143 1145 1
144 1145 1
3 1145 1
145 1145 1
146 1145 1
147 1145 1
148 1145 1
149 1145 1
150 1145 1
151 1145 1
152 1145 1
153 1145 1
154 1145 1
155 1145 1
156 1145 1
157 1145 1
5 1145 1
158 1145 1
6 1145 1
159 1145 1
160 1145 1
161 1145 1
162 1145 1
163 1145 1
164 1145 1
165 1145 1
166 1145 1
167 1145 1
168 1145 1
2 1145 1
169 1145 1
170 1145 1
171 1145 1
172 1145 1
173 1145 1
174 1145 1
84 1145 1
175 1145 1
176 1145 1
177 1145 1
178 1145 1
179 1145 1
180 1145 1
181 1145 1
182 1145 1
183 1145 1
184 1145 1
185 1145 1
53 1145 1
186 1145 1
187 1145 1
188 1145 1
189 1145 1
