5719 74145
0 383 1
1 383 1
2 383 1
3 383 1
4 383 1
5 383 1
6 383 1
7 383 1
8 383 1
9 383 1
10 383 1
11 384 1
12 384 1
13 384 1
14 384 1
15 385 1
16 385 1
17 385 1
18 385 1
19 385 1
20 385 1
21 385 1
22 386 1
23 386 1
24 386 1
3 386 1
5 386 1
25 386 1
26 386 1
27 386 1
28 386 1
29 386 1
30 387 1
31 387 1
32 387 1
33 387 1
34 387 1
35 387 1
36 387 1
22 388 1
37 388 1
4 388 1
38 389 1
39 389 1
40 389 1
41 389 1
42 389 1
43 389 1
44 389 1
45 389 1
46 389 1
25 389 1
47 389 1
48 389 1
49 389 1
50 389 1
51 389 1
52 389 1
53 389 1
54 389 1
55 389 1
56 389 1
57 389 1
58 389 1
8 389 1
59 389 1
60 389 1
61 389 1
23 389 1
62 389 1
63 389 1
3 389 1
4 389 1
5 389 1
64 389 1
65 389 1
2 389 1
66 389 1
67 389 1
68 389 1
69 389 1
70 389 1
71 389 1
72 389 1
73 389 1
74 389 1
75 389 1
10 390 1
76 390 1
36 391 1
77 391 1
78 391 1
53 392 1
79 392 1
61 392 1
80 392 1
78 392 1
74 392 1
11 393 1
81 393 1
82 393 1
22 393 1
37 393 1
83 393 1
64 393 1
84 393 1
85 393 1
86 393 1
87 393 1
88 394 1
89 394 1
90 394 1
91 394 1
92 395 1
51 395 1
93 395 1
57 395 1
58 395 1
94 395 1
95 395 1
15 395 1
22 395 1
96 395 1
17 395 1
13 395 1
97 395 1
98 395 1
99 395 1
74 395 1
24 396 1
100 396 1
101 396 1
38 396 1
6 396 1
39 396 1
102 396 1
40 396 1
103 396 1
104 396 1
42 396 1
43 396 1
105 396 1
106 396 1
45 396 1
107 396 1
25 396 1
108 396 1
109 396 1
47 396 1
110 396 1
111 396 1
112 396 1
113 396 1
48 396 1
49 396 1
51 396 1
52 396 1
114 396 1
115 396 1
116 396 1
117 396 1
7 396 1
8 396 1
82 396 1
60 396 1
79 396 1
9 396 1
61 396 1
63 396 1
118 396 1
3 396 1
83 396 1
119 396 1
4 396 1
120 396 1
10 396 1
121 396 1
33 396 1
64 396 1
122 396 1
123 396 1
2 396 1
124 396 1
125 396 1
126 396 1
66 396 1
20 396 1
35 396 1
86 396 1
87 396 1
127 396 1
128 396 1
98 396 1
78 396 1
129 396 1
99 396 1
88 397 1
40 397 1
103 397 1
42 397 1
43 397 1
45 397 1
89 397 1
109 397 1
47 397 1
110 397 1
52 397 1
93 397 1
1 397 1
58 397 1
91 397 1
8 397 1
60 397 1
9 397 1
22 397 1
30 397 1
17 397 1
130 397 1
22 398 1
42 399 1
131 399 1
91 399 1
4 399 1
2 399 1
