4609 38525
0 313 1
1 313 1
2 313 1
3 313 1
4 313 1
5 313 1
6 314 1
7 314 1
8 314 1
9 314 1
10 314 1
11 314 1
12 314 1
13 315 1
14 315 1
1 315 1
2 315 1
15 315 1
16 315 1
17 315 1
18 315 1
19 315 1
20 316 1
21 316 1
10 317 1
22 317 1
23 318 1
24 318 1
25 318 1
15 318 1
26 318 1
27 318 1
28 318 1
29 318 1
30 318 1
31 318 1
32 318 1
33 318 1
34 318 1
35 318 1
36 318 1
13 318 1
37 318 1
1 318 1
2 318 1
38 318 1
39 318 1
40 318 1
41 318 1
42 318 1
43 318 1
44 318 1
45 318 1
46 318 1
47 318 1
48 318 1
5 319 1
49 319 1
50 319 1
30 320 1
51 320 1
52 320 1
53 321 1
54 322 1
55 322 1
10 323 1
29 323 1
56 323 1
14 324 1
57 324 1
58 324 1
3 324 1
23 324 1
59 324 1
60 324 1
61 324 1
62 324 1
63 324 1
64 324 1
15 324 1
65 324 1
66 324 1
67 324 1
68 324 1
69 324 1
26 324 1
27 324 1
29 324 1
70 324 1
71 324 1
72 324 1
73 324 1
4 324 1
35 324 1
51 324 1
74 324 1
1 324 1
53 324 1
75 324 1
5 324 1
76 324 1
77 324 1
78 324 1
79 324 1
80 324 1
39 324 1
81 324 1
82 324 1
56 324 1
60 325 1
54 325 1
66 325 1
0 325 1
35 325 1
20 325 1
83 325 1
84 326 1
24 327 1
60 327 1
62 327 1
2 327 1
85 327 1
79 327 1
80 327 1
86 328 1
10 328 1
28 328 1
30 328 1
52 328 1
87 328 1
88 328 1
89 329 1
90 329 1
36 329 1
85 329 1
79 329 1
91 330 1
92 330 1
93 330 1
15 330 1
73 330 1
32 330 1
94 330 1
1 330 1
21 330 1
95 330 1
96 330 1
97 330 1
76 330 1
77 330 1
98 330 1
82 330 1
24 331 1
43 332 1
10 333 1
99 333 1
67 334 1
100 335 1
7 336 1
86 336 1
67 336 1
68 336 1
70 336 1
31 336 1
101 336 1
19 336 1
102 337 1
95 337 1
73 338 1
13 338 1
103 339 1
7 339 1
86 339 1
3 339 1
8 339 1
90 339 1
0 339 1
36 339 1
20 339 1
104 339 1
105 339 1
87 339 1
69 340 1
100 340 1
14 341 1
93 341 1
15 341 1
106 341 1
107 341 1
1 341 1
95 341 1
5 341 1
108 342 1
101 342 1
51 342 1
52 342 1
109 342 1
14 343 1
74 343 1
5 343 1
38 344 1
56 344 1
89 345 1
25 345 1
65 345 1
67 345 1
68 345 1
110 345 1
13 345 1
111 345 1
75 345 1
112 345 1
16 345 1
42 345 1
46 345 1
58 346 1
113 346 1
33 346 1
114 346 1
115 346 1
1 346 1
2 346 1
38 346 1
116 346 1
117 347 1
118 348 1
119 348 1
92 348 1
93 348 1
62 348 1
120 348 1
15 348 1
65 348 1
121 348 1
66 348 1
26 348 1
