4574 45156
0 238 1
1 238 1
2 238 1
3 238 1
4 238 1
5 238 1
6 238 1
7 238 1
8 238 1
9 238 1
10 239 1
11 239 1
12 240 1
13 240 1
3 240 1
4 240 1
14 240 1
15 240 1
16 240 1
17 240 1
18 240 1
19 241 1
20 241 1
21 242 1
22 242 1
23 242 1
24 242 1
25 242 1
26 242 1
27 242 1
14 242 1
28 242 1
29 242 1
30 242 1
31 242 1
32 242 1
33 242 1
34 242 1
35 242 1
36 242 1
37 242 1
38 242 1
39 242 1
7 242 1
40 242 1
41 242 1
42 242 1
12 242 1
43 242 1
44 242 1
3 242 1
45 242 1
4 242 1
46 242 1
2 242 1
47 242 1
48 242 1
49 242 1
50 242 1
51 242 1
52 242 1
53 242 1
54 242 1
55 242 1
56 242 1
57 242 1
9 243 1
58 243 1
35 244 1
59 244 1
60 244 1
42 244 1
61 244 1
56 244 1
62 245 1
63 246 1
64 246 1
65 247 1
33 247 1
66 247 1
39 247 1
67 247 1
56 247 1
21 248 1
13 248 1
68 248 1
69 248 1
22 248 1
5 248 1
23 248 1
70 248 1
24 248 1
71 248 1
72 248 1
73 248 1
26 248 1
74 248 1
75 248 1
76 248 1
77 248 1
78 248 1
14 248 1
79 248 1
80 248 1
28 248 1
81 248 1
82 248 1
83 248 1
84 248 1
30 248 1
31 248 1
33 248 1
34 248 1
85 248 1
86 248 1
59 248 1
87 248 1
88 248 1
89 248 1
6 248 1
7 248 1
41 248 1
60 248 1
8 248 1
42 248 1
44 248 1
90 248 1
3 248 1
91 248 1
62 248 1
92 248 1
9 248 1
93 248 1
94 248 1
2 248 1
95 248 1
96 248 1
97 248 1
48 248 1
11 248 1
98 248 1
99 248 1
67 248 1
21 249 1
24 249 1
72 249 1
26 249 1
77 249 1
63 249 1
80 249 1
28 249 1
81 249 1
34 249 1
1 249 1
7 249 1
41 249 1
8 249 1
19 249 1
100 249 1
26 250 1
101 250 1
2 250 1
22 251 1
25 251 1
72 251 1
74 251 1
42 251 1
4 251 1
102 251 1
96 251 1
97 251 1
56 251 1
71 252 1
0 252 1
32 252 1
35 252 1
59 252 1
39 252 1
89 252 1
42 252 1
61 252 1
11 252 1
103 252 1
104 253 1
105 253 1
66 253 1
89 253 1
102 253 1
96 253 1
21 254 1
106 254 1
107 254 1
108 254 1
24 254 1
109 254 1
14 254 1
88 254 1
37 254 1
110 254 1
3 254 1
20 254 1
91 254 1
111 254 1
112 254 1
113 254 1
93 254 1
94 254 1
114 254 1
99 254 1
25 255 1
51 256 1
82 257 1
65 258 1
115 258 1
82 259 1
83 259 1
85 259 1
36 259 1
116 259 1
39 259 1
11 259 1
18 259 1
117 260 1
111 260 1
28 261 1
88 261 1
8 261 1
12 261 1
5 262 1
24 262 1
105 262 1
65 262 1
1 262 1
19 262 1
84 263 1
115 263 1
13 264 1
108 264 1
14 264 1
34 264 1
118 264 1
3 264 1
111 264 1
9 264 1
119 265 1
120 266 1
116 266 1
60 266 1
61 266 1
121 266 1
13 267 1
90 267 1
9 267 1
76 268 1
59 268 1
39 268 1
45 268 1
46 268 1
67 268 1
21 269 1
104 269 1
26 269 1
27 269 1
79 269 1
29 269 1
82 269 1
83 269 1
122 269 1
89 269 1
7 269 1
42 269 1
12 269 1
123 269 1
45 269 1
92 269 1
124 269 1
15 269 1
2 269 1
50 269 1
54 269 1
56 269 1
21 270 1
69 270 1
29 270 1
125 270 1
38 270 1
126 270 1
127 270 1
3 270 1
4 270 1
46 270 1
128 270 1
129 271 1
130 271 1
107 271 1
108 271 1
71 271 1
26 271 1
74 271 1
109 271 1
131 271 1
14 271 1
79 271 1
28 271 1
132 271 1
81 271 1
30 271 1
33 271 1
34 271 1
6 271 1
19 271 1
133 271 1
62 271 1
4 271 1
124 271 1
97 271 1
50 271 1
22 271 1
5 271 1
23 271 1
70 271 1
134 271 1
63 271 1
105 271 1
82 271 1
83 271 1
135 271 1
86 271 1
16 271 1
35 271 1
59 271 1
136 271 1
137 271 1
88 271 1
138 271 1
37 271 1
38 271 1
116 271 1
39 271 1
1 271 1
110 271 1
7 271 1
8 271 1
127 271 1
3 271 1
139 271 1
140 271 1
61 271 1
102 271 1
46 271 1
141 271 1
94 271 1
96 271 1
18 271 1
99 271 1
56 271 1
0 272 1
6 272 1
19 272 1
4 272 1
22 272 1
5 272 1
135 272 1
118 272 1
1 272 1
138 273 1
115 274 1
71 275 1
25 275 1
0 275 1
76 275 1
28 275 1
142 275 1
32 275 1
33 275 1
34 275 1
89 275 1
6 275 1
45 275 1
119 275 1
4 275 1
97 275 1
143 275 1
13 275 1
22 275 1
144 275 1
63 275 1
105 275 1
65 275 1
145 275 1
35 275 1
59 275 1
88 275 1
39 275 1
7 275 1
8 275 1
42 275 1
12 275 1
43 275 1
44 275 1
3 275 1
91 275 1
102 275 1
46 275 1
15 275 1
146 275 1
53 275 1
67 275 1
54 275 1
56 275 1
38 276 1
1 277 1
147 277 1
10 278 1
0 278 1
131 278 1
148 278 1
51 278 1
149 279 1
24 279 1
72 279 1
0 279 1
26 279 1
80 279 1
81 279 1
45 279 1
97 279 1
11 279 1
22 279 1
136 279 1
39 279 1
7 279 1
123 279 1
102 279 1
150 279 1
2 279 1
146 279 1
67 279 1
0 280 1
119 280 1
58 281 1
70 281 1
61 281 1
55 281 1
56 281 1
77 282 1
135 282 1
151 282 1
26 283 1
152 283 1
21 283 1
8 283 1
111 283 1
2 283 1
153 284 1
119 285 1
97 285 1
0 286 1
50 286 1
154 286 1
119 287 1
64 287 1
77 288 1
107 289 1
155 289 1
77 289 1
34 289 1
50 289 1
22 289 1
23 289 1
73 289 1
37 289 1
102 289 1
96 289 1
56 289 1
129 290 1
156 290 1
68 290 1
69 290 1
107 290 1
149 290 1
108 290 1
155 290 1
157 290 1
24 290 1
0 290 1
26 290 1
74 290 1
75 290 1
109 290 1
131 290 1
14 290 1
79 290 1
80 290 1
28 290 1
132 290 1
81 290 1
30 290 1
142 290 1
31 290 1
158 290 1
34 290 1
85 290 1
117 290 1
159 290 1
6 290 1
160 290 1
133 290 1
161 290 1
162 290 1
119 290 1
20 290 1
115 290 1
163 290 1
164 290 1
121 290 1
62 290 1
153 290 1
4 290 1
165 290 1
113 290 1
124 290 1
48 290 1
11 290 1
166 290 1
114 290 1
58 290 1
167 290 1
17 290 1
168 290 1
169 290 1
13 290 1
170 290 1
22 290 1
104 290 1
5 290 1
70 290 1
154 290 1
144 290 1
171 290 1
134 290 1
172 290 1
63 290 1
105 290 1
173 290 1
120 290 1
87 290 1
118 290 1
88 290 1
138 290 1
37 290 1
64 290 1
126 290 1
1 290 1
110 290 1
7 290 1
41 290 1
8 290 1
42 290 1
127 290 1
12 290 1
44 290 1
90 290 1
123 290 1
174 290 1
175 290 1
3 290 1
111 290 1
61 290 1
92 290 1
9 290 1
112 290 1
94 290 1
2 290 1
95 290 1
96 290 1
176 290 1
177 290 1
178 290 1
179 290 1
180 290 1
181 290 1
182 290 1
0 291 1
28 291 1
34 291 1
6 291 1
115 291 1
4 291 1
124 291 1
11 291 1
21 291 1
7 291 1
183 291 1
8 291 1
12 291 1
43 291 1
44 291 1
15 291 1
25 292 1
115 292 1
138 292 1
108 293 1
0 293 1
119 293 1
4 293 1
114 293 1
1 293 1
3 293 1
71 294 1
25 294 1
76 294 1
109 294 1
142 294 1
33 294 1
115 294 1
62 294 1
47 294 1
48 294 1
21 294 1
65 294 1
59 294 1
42 294 1
61 294 1
178 294 1
184 295 1
166 295 1
13 295 1
5 295 1
70 295 1
88 295 1
37 295 1
175 295 1
140 295 1
112 295 1
44 296 1
147 296 1
114 297 1
58 297 1
61 297 1
150 297 1
68 298 1
155 298 1
24 298 1
72 298 1
0 298 1
26 298 1
74 298 1
75 298 1
76 298 1
185 298 1
27 298 1
109 298 1
79 298 1
186 298 1
80 298 1
28 298 1
132 298 1
81 298 1
30 298 1
142 298 1
31 298 1
158 298 1
33 298 1
34 298 1
6 298 1
121 298 1
62 298 1
4 298 1
124 298 1
47 298 1
166 298 1
187 298 1
143 298 1
21 298 1
188 298 1
169 298 1
13 298 1
22 298 1
104 298 1
5 298 1
189 298 1
70 298 1
144 298 1
134 298 1
172 298 1
63 298 1
105 298 1
101 298 1
29 298 1
82 298 1
83 298 1
120 298 1
135 298 1
35 298 1
138 298 1
190 298 1
39 298 1
1 298 1
7 298 1
40 298 1
183 298 1
8 298 1
42 298 1
12 298 1
43 298 1
44 298 1
90 298 1
175 298 1
3 298 1
111 298 1
61 298 1
191 298 1
92 298 1
46 298 1
15 298 1
2 298 1
95 298 1
96 298 1
178 298 1
192 298 1
51 298 1
193 298 1
146 298 1
181 298 1
18 298 1
54 298 1
56 298 1
194 298 1
24 299 1
71 299 1
72 299 1
76 299 1
77 299 1
109 299 1
142 299 1
159 299 1
19 299 1
62 299 1
13 299 1
5 299 1
23 299 1
73 299 1
65 299 1
59 299 1
42 299 1
174 299 1
3 299 1
46 299 1
80 300 1
5 301 1
2 302 1
177 302 1
