4734 45472
0 272 1
1 272 1
2 272 1
3 272 1
4 272 1
5 272 1
6 272 1
7 273 1
8 274 1
9 274 1
2 274 1
3 274 1
10 274 1
11 274 1
12 274 1
13 274 1
14 274 1
15 274 1
16 274 1
17 274 1
18 274 1
19 275 1
20 275 1
21 275 1
22 276 1
23 276 1
24 276 1
25 276 1
26 276 1
27 276 1
10 276 1
28 276 1
29 276 1
30 276 1
31 276 1
32 276 1
33 276 1
34 276 1
35 276 1
36 276 1
37 276 1
38 276 1
39 276 1
0 276 1
8 276 1
40 276 1
2 276 1
41 276 1
3 276 1
42 276 1
43 276 1
44 276 1
45 276 1
46 276 1
47 276 1
48 276 1
49 276 1
50 276 1
51 276 1
52 276 1
53 276 1
54 276 1
55 276 1
6 277 1
56 277 1
23 278 1
33 278 1
57 278 1
58 278 1
59 279 1
60 279 1
21 279 1
61 280 1
62 280 1
31 281 1
63 281 1
9 282 1
64 282 1
65 282 1
4 282 1
22 282 1
66 282 1
24 282 1
67 282 1
68 282 1
26 282 1
69 282 1
70 282 1
71 282 1
10 282 1
72 282 1
73 282 1
74 282 1
75 282 1
76 282 1
77 282 1
28 282 1
29 282 1
31 282 1
32 282 1
78 282 1
79 282 1
80 282 1
81 282 1
5 282 1
39 282 1
57 282 1
82 282 1
2 282 1
60 282 1
83 282 1
6 282 1
84 282 1
85 282 1
86 282 1
87 282 1
88 282 1
46 282 1
89 282 1
90 282 1
63 282 1
24 283 1
67 283 1
26 283 1
91 283 1
61 283 1
73 283 1
32 283 1
1 283 1
39 283 1
19 283 1
92 283 1
26 284 1
93 284 1
25 285 1
67 285 1
69 285 1
3 285 1
94 285 1
87 285 1
88 285 1
77 286 1
30 286 1
33 286 1
58 286 1
95 287 1
96 288 1
97 288 1
94 288 1
87 288 1
98 289 1
99 289 1
100 289 1
24 289 1
10 289 1
101 289 1
81 289 1
36 289 1
102 289 1
103 289 1
2 289 1
20 289 1
104 289 1
105 289 1
106 289 1
84 289 1
85 289 1
107 289 1
90 289 1
25 290 1
108 291 1
49 291 1
23 292 1
74 292 1
108 292 1
43 292 1
109 293 1
110 294 1
74 294 1
75 294 1
111 294 1
78 294 1
112 294 1
35 294 1
113 294 1
114 294 1
115 294 1
18 294 1
116 295 1
102 295 1
104 295 1
117 296 1
118 296 1
111 296 1
119 296 1
34 296 1
81 296 1
120 296 1
0 296 1
8 296 1
121 296 1
122 296 1
41 296 1
43 296 1
123 296 1
4 297 1
24 297 1
97 297 1
1 297 1
19 297 1
124 297 1
123 297 1
76 298 1
109 298 1
9 299 1
100 299 1
10 299 1
32 299 1
125 299 1
2 299 1
104 299 1
6 299 1
126 300 1
118 301 1
127 301 1
113 301 1
57 301 1
58 301 1
128 301 1
115 301 1
9 302 1
82 302 1
6 302 1
45 303 1
63 303 1
96 304 1
23 304 1
26 304 1
91 304 1
27 304 1
72 304 1
74 304 1
75 304 1
129 304 1
130 304 1
8 304 1
131 304 1
83 304 1
132 304 1
13 304 1
48 304 1
52 304 1
65 305 1
133 305 1
130 305 1
134 305 1
37 305 1
135 305 1
136 305 1
120 305 1
2 305 1
95 305 1
3 305 1
115 305 1
45 305 1
137 305 1
138 305 1
139 306 1
140 306 1
99 306 1
100 306 1
23 306 1
26 306 1
69 306 1
141 306 1
10 306 1
72 306 1
118 306 1
142 306 1
73 306 1
143 306 1
28 306 1
108 306 1
31 306 1
32 306 1
5 306 1
19 306 1
124 306 1
144 306 1
60 306 1
3 306 1
132 306 1
88 306 1
48 306 1
4 306 1
22 306 1
66 306 1
91 306 1
145 306 1
61 306 1
97 306 1
74 306 1
75 306 1
146 306 1
79 306 1
15 306 1
33 306 1
147 306 1
148 306 1
81 306 1
149 306 1
36 306 1
37 306 1
113 306 1
1 306 1
150 306 1
103 306 1
136 306 1
2 306 1
151 306 1
152 306 1
153 306 1
41 306 1
58 306 1
94 306 1
43 306 1
44 306 1
45 306 1
154 306 1
85 306 1
87 306 1
18 306 1
90 306 1
5 307 1
19 307 1
3 307 1
4 307 1
146 307 1
125 307 1
1 307 1
23 308 1
149 308 1
109 309 1
25 310 1
118 310 1
143 310 1
155 310 1
108 310 1
30 310 1
31 310 1
32 310 1
5 310 1
126 310 1
59 310 1
3 310 1
42 310 1
88 310 1
156 310 1
9 310 1
117 310 1
91 310 1
157 310 1
61 310 1
97 310 1
158 310 1
11 310 1
159 310 1
77 310 1
33 310 1
16 310 1
81 310 1
8 310 1
40 310 1
2 310 1
95 310 1
94 310 1
45 310 1
13 310 1
160 310 1
51 310 1
63 310 1
52 310 1
37 311 1
1 312 1
161 312 1
7 313 1
23 313 1
141 313 1
162 313 1
49 313 1
163 314 1
24 314 1
67 314 1
26 314 1
73 314 1
101 314 1
88 314 1
117 314 1
77 314 1
147 314 1
131 314 1
151 314 1
94 314 1
164 314 1
160 314 1
63 314 1
133 315 1
108 315 1
120 315 1
0 315 1
121 315 1
126 315 1
110 315 1
165 315 1
119 315 1
16 315 1
166 315 1
115 315 1
43 315 1
167 315 1
123 315 1
168 315 1
56 316 1
66 316 1
58 316 1
53 316 1
146 317 1
169 317 1
26 318 1
170 318 1
124 318 1
11 318 1
171 318 1
165 318 1
151 318 1
41 318 1
104 318 1
44 318 1
123 318 1
172 319 1
173 320 1
118 321 1
101 321 1
126 321 1
88 321 1
23 322 1
48 322 1
174 322 1
23 323 1
175 324 1
41 324 1
126 325 1
62 325 1
99 326 1
176 326 1
118 326 1
32 326 1
101 326 1
48 326 1
22 326 1
68 326 1
36 326 1
94 326 1
87 326 1
41 327 1
167 327 1
139 328 1
177 328 1
64 328 1
65 328 1
99 328 1
163 328 1
100 328 1
176 328 1
178 328 1
24 328 1
26 328 1
69 328 1
70 328 1
141 328 1
10 328 1
72 328 1
142 328 1
73 328 1
28 328 1
155 328 1
29 328 1
179 328 1
32 328 1
78 328 1
116 328 1
180 328 1
5 328 1
181 328 1
144 328 1
182 328 1
183 328 1
126 328 1
20 328 1
109 328 1
184 328 1
185 328 1
128 328 1
60 328 1
172 328 1
3 328 1
186 328 1
106 328 1
132 328 1
46 328 1
187 328 1
107 328 1
56 328 1
188 328 1
17 328 1
189 328 1
190 328 1
9 328 1
191 328 1
96 328 1
4 328 1
66 328 1
174 328 1
157 328 1
192 328 1
145 328 1
193 328 1
61 328 1
97 328 1
194 328 1
127 328 1
80 328 1
125 328 1
81 328 1
149 328 1
36 328 1
62 328 1
135 328 1
1 328 1
103 328 1
39 328 1
136 328 1
8 328 1
82 328 1
131 328 1
195 328 1
196 328 1
2 328 1
104 328 1
58 328 1
83 328 1
6 328 1
105 328 1
85 328 1
86 328 1
87 328 1
197 328 1
198 328 1
199 328 1
200 328 1
201 328 1
202 328 1
203 328 1
23 329 1
173 329 1
133 329 1
108 329 1
32 329 1
34 329 1
5 329 1
0 329 1
121 329 1
109 329 1
3 329 1
132 329 1
11 329 1
204 329 1
165 329 1
