5185 54527
0 293 1
1 293 1
2 293 1
3 293 1
4 293 1
5 293 1
6 293 1
7 294 1
8 295 1
9 295 1
10 296 1
11 296 1
2 296 1
3 296 1
12 296 1
13 296 1
14 296 1
15 296 1
16 296 1
17 297 1
18 297 1
19 297 1
20 298 1
21 298 1
22 298 1
23 298 1
24 298 1
25 298 1
12 298 1
26 298 1
27 298 1
28 298 1
29 298 1
30 298 1
31 298 1
32 298 1
33 298 1
34 298 1
35 298 1
36 298 1
37 298 1
10 298 1
38 298 1
39 298 1
2 298 1
3 298 1
40 298 1
41 298 1
42 298 1
43 298 1
44 298 1
45 298 1
46 298 1
47 298 1
48 298 1
49 298 1
50 298 1
6 299 1
51 299 1
31 300 1
52 300 1
37 300 1
53 300 1
54 300 1
55 300 1
49 300 1
7 301 1
56 301 1
57 301 1
58 301 1
59 301 1
54 301 1
60 301 1
61 301 1
62 302 1
63 302 1
64 303 1
65 303 1
29 303 1
66 303 1
67 303 1
68 303 1
69 303 1
49 303 1
11 304 1
70 304 1
71 304 1
20 304 1
4 304 1
21 304 1
72 304 1
22 304 1
73 304 1
74 304 1
24 304 1
75 304 1
76 304 1
77 304 1
12 304 1
78 304 1
79 304 1
80 304 1
81 304 1
82 304 1
26 304 1
27 304 1
29 304 1
30 304 1
83 304 1
84 304 1
85 304 1
86 304 1
5 304 1
36 304 1
52 304 1
37 304 1
39 304 1
87 304 1
53 304 1
2 304 1
60 304 1
88 304 1
6 304 1
89 304 1
90 304 1
91 304 1
92 304 1
93 304 1
41 304 1
9 304 1
94 304 1
95 304 1
69 304 1
22 305 1
73 305 1
24 305 1
62 305 1
79 305 1
30 305 1
1 305 1
36 305 1
96 305 1
17 305 1
53 305 1
61 305 1
97 305 1
24 306 1
98 306 1
99 307 1
100 307 1
20 307 1
23 307 1
73 307 1
75 307 1
58 307 1
37 307 1
96 307 1
101 307 1
3 307 1
102 307 1
92 307 1
93 307 1
49 307 1
0 308 1
28 308 1
31 308 1
66 308 1
103 308 1
37 308 1
55 308 1
104 308 1
9 308 1
105 309 1
106 309 1
102 309 1
92 309 1
107 310 1
100 310 1
108 310 1
109 310 1
22 310 1
110 310 1
57 310 1
12 310 1
86 310 1
33 310 1
111 310 1
112 310 1
2 310 1
54 310 1
18 310 1
113 310 1
114 310 1
115 310 1
116 310 1
61 310 1
89 310 1
90 310 1
117 310 1
95 310 1
23 311 1
118 311 1
65 312 1
119 312 1
44 312 1
120 313 1
80 313 1
121 314 1
122 315 1
80 315 1
81 315 1
83 315 1
32 315 1
123 315 1
59 315 1
124 315 1
125 315 1
9 315 1
126 315 1
127 315 1
16 315 1
128 316 1
101 316 1
113 316 1
129 317 1
103 317 1
86 317 1
130 317 1
10 317 1
131 317 1
132 317 1
4 318 1
22 318 1
129 318 1
64 318 1
106 318 1
1 318 1
133 318 1
17 318 1
82 319 1
121 319 1
11 320 1
109 320 1
12 320 1
30 320 1
134 320 1
2 320 1
113 320 1
6 320 1
135 321 1
136 322 1
123 322 1
52 322 1
53 322 1
55 322 1
137 322 1
11 323 1
96 323 1
87 323 1
6 323 1
61 323 1
66 324 1
40 324 1
138 324 1
69 324 1
99 325 1
105 325 1
24 325 1
25 325 1
78 325 1
80 325 1
81 325 1
139 325 1
66 325 1
37 325 1
10 325 1
140 325 1
114 325 1
88 325 1
141 325 1
13 325 1
142 325 1
43 325 1
47 325 1
49 325 1
71 326 1
103 326 1
143 326 1
34 326 1
144 326 1
145 326 1
2 326 1
3 326 1
40 326 1
146 326 1
147 326 1
96 327 1
61 327 1
148 328 1
149 328 1
7 328 1
108 328 1
109 328 1
24 328 1
75 328 1
110 328 1
57 328 1
150 328 1
12 328 1
78 328 1
151 328 1
79 328 1
26 328 1
29 328 1
30 328 1
66 328 1
152 328 1
5 328 1
17 328 1
101 328 1
53 328 1
153 328 1
60 328 1
3 328 1
61 328 1
141 328 1
93 328 1
43 328 1
100 328 1
20 328 1
4 328 1
21 328 1
72 328 1
154 328 1
62 328 1
106 328 1
80 328 1
81 328 1
155 328 1
84 328 1
14 328 1
31 328 1
156 328 1
157 328 1
86 328 1
158 328 1
33 328 1
34 328 1
123 328 1
1 328 1
111 328 1
59 328 1
112 328 1
145 328 1
2 328 1
159 328 1
160 328 1
161 328 1
55 328 1
102 328 1
40 328 1
162 328 1
90 328 1
92 328 1
147 328 1
16 328 1
95 328 1
49 328 1
0 329 1
66 329 1
5 329 1
17 329 1
3 329 1
20 329 1
4 329 1
155 329 1
134 329 1
1 329 1
96 330 1
158 330 1
121 331 1
7 332 1
19 332 1
54 332 1
23 333 1
0 333 1
163 333 1
28 333 1
29 333 1
30 333 1
66 333 1
152 333 1
5 333 1
101 333 1
135 333 1
