4725 44864
0 265 1
1 265 1
2 265 1
3 265 1
4 265 1
5 265 1
6 265 1
7 266 1
8 267 1
9 268 1
10 269 1
11 269 1
12 269 1
13 270 1
14 270 1
2 270 1
15 270 1
16 270 1
17 270 1
3 270 1
18 270 1
19 270 1
20 270 1
21 270 1
22 270 1
23 270 1
24 271 1
25 271 1
26 272 1
27 272 1
28 272 1
29 272 1
30 272 1
31 272 1
18 272 1
32 272 1
33 272 1
34 272 1
35 272 1
36 272 1
37 272 1
38 272 1
39 272 1
40 272 1
41 272 1
42 272 1
43 272 1
13 272 1
44 272 1
45 272 1
2 272 1
3 272 1
46 272 1
47 272 1
48 272 1
49 272 1
50 272 1
51 272 1
52 272 1
53 272 1
54 272 1
55 272 1
56 272 1
6 273 1
57 273 1
38 274 1
58 274 1
59 274 1
60 274 1
55 274 1
61 275 1
62 276 1
63 276 1
36 277 1
64 277 1
55 277 1
14 278 1
65 278 1
66 278 1
26 278 1
4 278 1
27 278 1
67 278 1
28 278 1
68 278 1
69 278 1
30 278 1
70 278 1
71 278 1
72 278 1
18 278 1
73 278 1
74 278 1
75 278 1
76 278 1
77 278 1
33 278 1
34 278 1
36 278 1
37 278 1
78 278 1
79 278 1
80 278 1
8 278 1
81 278 1
5 278 1
43 278 1
58 278 1
59 278 1
45 278 1
82 278 1
2 278 1
61 278 1
83 278 1
6 278 1
9 278 1
84 278 1
85 278 1
86 278 1
87 278 1
88 278 1
47 278 1
11 278 1
89 278 1
90 278 1
64 278 1
28 279 1
68 279 1
30 279 1
62 279 1
74 279 1
37 279 1
1 279 1
43 279 1
24 279 1
91 279 1
30 280 1
92 280 1
26 281 1
29 281 1
68 281 1
70 281 1
3 281 1
93 281 1
87 281 1
88 281 1
55 281 1
0 282 1
35 282 1
38 282 1
60 282 1
11 282 1
94 283 1
95 284 1
96 284 1
93 284 1
87 284 1
97 285 1
98 285 1
99 285 1
28 285 1
94 285 1
18 285 1
81 285 1
40 285 1
100 285 1
101 285 1
102 285 1
2 285 1
25 285 1
103 285 1
104 285 1
105 285 1
84 285 1
85 285 1
106 285 1
107 285 1
90 285 1
29 286 1
7 286 1
50 287 1
9 288 1
75 289 1
108 289 1
109 290 1
32 291 1
75 291 1
76 291 1
78 291 1
39 291 1
110 291 1
58 291 1
111 291 1
108 291 1
9 291 1
112 291 1
19 291 1
11 291 1
23 291 1
113 292 1
103 292 1
16 293 1
114 293 1
115 293 1
32 293 1
116 293 1
7 293 1
81 293 1
13 293 1
15 293 1
111 293 1
108 293 1
9 293 1
112 293 1
4 294 1
28 294 1
96 294 1
32 294 1
1 294 1
24 294 1
9 294 1
77 295 1
109 295 1
14 296 1
99 296 1
18 296 1
37 296 1
117 296 1
2 296 1
103 296 1
6 296 1
118 297 1
94 298 1
119 298 1
110 298 1
59 298 1
60 298 1
120 298 1
14 299 1
82 299 1
6 299 1
46 300 1
64 300 1
95 301 1
30 301 1
31 301 1
73 301 1
75 301 1
76 301 1
121 301 1
13 301 1
122 301 1
83 301 1
123 301 1
20 301 1
49 301 1
53 301 1
55 301 1
66 302 1
124 302 1
125 302 1
41 302 1
126 302 1
127 302 1
2 302 1
3 302 1
46 302 1
128 302 1
129 303 1
130 303 1
98 303 1
99 303 1
30 303 1
131 303 1
70 303 1
132 303 1
18 303 1
73 303 1
32 303 1
133 303 1
74 303 1
33 303 1
36 303 1
37 303 1
8 303 1
5 303 1
134 303 1
24 303 1
135 303 1
61 303 1
3 303 1
123 303 1
88 303 1
49 303 1
136 303 1
26 303 1
4 303 1
27 303 1
67 303 1
94 303 1
137 303 1
62 303 1
96 303 1
75 303 1
76 303 1
138 303 1
79 303 1
21 303 1
38 303 1
139 303 1
140 303 1
81 303 1
141 303 1
40 303 1
41 303 1
110 303 1
1 303 1
101 303 1
127 303 1
2 303 1
111 303 1
142 303 1
143 303 1
60 303 1
17 303 1
93 303 1
9 303 1
112 303 1
46 303 1
144 303 1
85 303 1
87 303 1
23 303 1
90 303 1
55 303 1
0 304 1
5 304 1
24 304 1
3 304 1
26 304 1
4 304 1
138 304 1
117 304 1
1 304 1
141 305 1
109 306 1
8 307 1
136 307 1
29 308 1
0 308 1
7 308 1
145 308 1
35 308 1
36 308 1
37 308 1
5 308 1
118 308 1
3 308 1
88 308 1
146 308 1
14 308 1
26 308 1
147 308 1
62 308 1
96 308 1
38 308 1
81 308 1
13 308 1
44 308 1
45 308 1
102 308 1
2 308 1
93 308 1
46 308 1
20 308 1
148 308 1
52 308 1
64 308 1
53 308 1
55 308 1
124 309 1
41 309 1
1 310 1
149 310 1
10 311 1
0 311 1
132 311 1
150 311 1
50 311 1
151 312 1
28 312 1
68 312 1
0 312 1
30 312 1
74 312 1
88 312 1
11 312 1
26 312 1
139 312 1
122 312 1
93 312 1
152 312 1
148 312 1
64 312 1
115 313 1
0 313 1
32 313 1
118 313 1
57 314 1
67 314 1
60 314 1
54 314 1
55 314 1
138 315 1
153 315 1
115 316 1
30 316 1
154 316 1
32 316 1
15 316 1
16 316 1
114 316 1
103 316 1
155 316 1
156 317 1
118 318 1
88 318 1
0 319 1
49 319 1
157 319 1
116 320 1
7 321 1
116 321 1
155 321 1
118 322 1
63 322 1
98 323 1
158 323 1
37 323 1
49 323 1
26 323 1
27 323 1
69 323 1
40 323 1
93 323 1
87 323 1
55 323 1
129 324 1
159 324 1
65 324 1
66 324 1
98 324 1
151 324 1
99 324 1
158 324 1
160 324 1
28 324 1
0 324 1
30 324 1
70 324 1
71 324 1
132 324 1
18 324 1
73 324 1
133 324 1
74 324 1
33 324 1
145 324 1
34 324 1
161 324 1
37 324 1
78 324 1
113 324 1
162 324 1
5 324 1
163 324 1
135 324 1
164 324 1
165 324 1
118 324 1
25 324 1
109 324 1
166 324 1
167 324 1
120 324 1
61 324 1
156 324 1
3 324 1
168 324 1
105 324 1
123 324 1
47 324 1
11 324 1
169 324 1
106 324 1
57 324 1
170 324 1
22 324 1
171 324 1
172 324 1
14 324 1
173 324 1
26 324 1
95 324 1
4 324 1
67 324 1
157 324 1
147 324 1
174 324 1
137 324 1
175 324 1
62 324 1
96 324 1
176 324 1
119 324 1
80 324 1
117 324 1
81 324 1
141 324 1
40 324 1
63 324 1
126 324 1
1 324 1
101 324 1
43 324 1
127 324 1
13 324 1
45 324 1
82 324 1
122 324 1
177 324 1
178 324 1
2 324 1
103 324 1
60 324 1
83 324 1
6 324 1
104 324 1
85 324 1
86 324 1
87 324 1
179 324 1
180 324 1
181 324 1
182 324 1
183 324 1
184 324 1
185 324 1
0 325 1
37 325 1
5 325 1
109 325 1
3 325 1
123 325 1
11 325 1
186 325 1
13 325 1
44 325 1
45 325 1
20 325 1
29 326 1
109 326 1
141 326 1
99 327 1
0 327 1
118 327 1
3 327 1
106 327 1
1 327 1
2 327 1
187 328 1
111 328 1
29 329 1
145 329 1
36 329 1
109 329 1
61 329 1
47 329 1
60 329 1
181 329 1
188 330 1
169 330 1
14 330 1
4 330 1
67 330 1
81 330 1
40 330 1
178 330 1
143 330 1
104 330 1
45 331 1
149 331 1
106 332 1
57 332 1
60 332 1
17 332 1
152 332 1
65 333 1
158 333 1
28 333 1
68 333 1
0 333 1
30 333 1
70 333 1
71 333 1
189 333 1
31 333 1
73 333 1
190 333 1
133 333 1
74 333 1
33 333 1
145 333 1
34 333 1
161 333 1
36 333 1
37 333 1
5 333 1
120 333 1
61 333 1
3 333 1
123 333 1
169 333 1
191 333 1
146 333 1
192 333 1
172 333 1
14 333 1
26 333 1
95 333 1
4 333 1
193 333 1
67 333 1
94 333 1
147 333 1
137 333 1
175 333 1
62 333 1
96 333 1
92 333 1
75 333 1
76 333 1
119 333 1
138 333 1
38 333 1
141 333 1
194 333 1
1 333 1
42 333 1
186 333 1
13 333 1
44 333 1
45 333 1
82 333 1
178 333 1
2 333 1
103 333 1
60 333 1
195 333 1
83 333 1
46 333 1
20 333 1
86 333 1
87 333 1
181 333 1
196 333 1
50 333 1
197 333 1
148 333 1
184 333 1
23 333 1
53 333 1
55 333 1
198 333 1
28 334 1
68 334 1
145 334 1
162 334 1
24 334 1
61 334 1
14 334 1
4 334 1
27 334 1
69 334 1
94 334 1
177 334 1
2 334 1
46 334 1
4 335 1
115 336 1
32 336 1
187 336 1
114 336 1
180 336 1
53 336 1
138 337 1
39 337 1
184 337 1
26 338 1
69 338 1
75 338 1
140 338 1
87 338 1
118 339 1
199 339 1
51 339 1
109 340 1
49 340 1
101 340 1
87 340 1
148 341 1
9 342 1
32 343 1
187 343 1
114 343 1
116 343 1
133 344 1
200 344 1
61 344 1
96 344 1
126 344 1
46 344 1
57 345 1
29 346 1
68 346 1
30 346 1
33 346 1
37 346 1
24 346 1
109 346 1
4 346 1
1 346 1
186 346 1
45 346 1
180 346 1
196 346 1
10 347 1
124 348 1
28 348 1
29 348 1
0 348 1
30 348 1
70 348 1
31 348 1
74 348 1
33 348 1
34 348 1
37 348 1
78 348 1
201 348 1
165 348 1
3 348 1
123 348 1
11 348 1
106 348 1
170 348 1
97 348 1
95 348 1
193 348 1
147 348 1
75 348 1
76 348 1
38 348 1
117 348 1
39 348 1
125 348 1
110 348 1
126 348 1
42 348 1
43 348 1
13 348 1
44 348 1
45 348 1
178 348 1
2 348 1
103 348 1
60 348 1
6 348 1
