7086 207206
0 1147 1
1 1147 1
2 1148 1
3 1148 1
4 1148 1
5 1148 1
6 1148 1
7 1148 1
8 1148 1
9 1148 1
10 1148 1
11 1148 1
12 1148 1
13 1148 1
14 1148 1
15 1149 1
16 1149 1
17 1149 1
18 1149 1
19 1149 1
20 1149 1
21 1149 1
22 1149 1
23 1149 1
24 1150 1
25 1150 1
26 1150 1
27 1150 1
28 1150 1
29 1150 1
30 1150 1
31 1150 1
32 1150 1
33 1150 1
11 1150 1
34 1150 1
35 1150 1
36 1150 1
37 1150 1
38 1150 1
39 1150 1
40 1150 1
41 1150 1
42 1150 1
43 1150 1
44 1150 1
45 1150 1
46 1150 1
47 1150 1
48 1150 1
49 1150 1
50 1150 1
51 1150 1
52 1150 1
53 1150 1
54 1150 1
55 1150 1
56 1150 1
57 1150 1
58 1150 1
59 1151 1
60 1151 1
7 1151 1
61 1151 1
62 1151 1
1 1151 1
63 1151 1
64 1151 1
15 1151 1
65 1151 1
66 1151 1
67 1151 1
68 1151 1
69 1151 1
70 1151 1
71 1151 1
72 1151 1
73 1151 1
74 1152 1
75 1152 1
76 1152 1
77 1152 1
78 1152 1
79 1152 1
80 1152 1
81 1152 1
82 1152 1
83 1152 1
84 1152 1
85 1152 1
53 1152 1
59 1153 1
86 1153 1
0 1153 1
67 1153 1
87 1153 1
88 1153 1
89 1154 1
90 1154 1
91 1154 1
92 1154 1
75 1154 1
93 1154 1
60 1154 1
94 1154 1
95 1154 1
96 1154 1
97 1154 1
98 1154 1
99 1154 1
100 1154 1
101 1154 1
11 1154 1
102 1154 1
103 1154 1
104 1154 1
105 1154 1
106 1154 1
0 1154 1
13 1154 1
107 1154 1
108 1154 1
109 1154 1
110 1154 1
63 1154 1
111 1154 1
112 1154 1
113 1154 1
6 1154 1
114 1154 1
115 1154 1
116 1154 1
117 1154 1
118 1154 1
119 1154 1
120 1154 1
121 1154 1
69 1154 1
122 1154 1
123 1154 1
124 1154 1
125 1154 1
50 1154 1
126 1154 1
127 1154 1
128 1154 1
129 1154 1
130 1154 1
131 1154 1
132 1154 1
133 1154 1
134 1154 1
135 1154 1
136 1154 1
137 1154 1
138 1154 1
139 1154 1
140 1154 1
141 1154 1
142 1154 1
143 1154 1
144 1154 1
145 1154 1
146 1154 1
147 1154 1
1 1154 1
148 1154 1
149 1154 1
150 1154 1
151 1154 1
152 1154 1
153 1154 1
154 1154 1
155 1154 1
156 1154 1
16 1154 1
157 1154 1
158 1154 1
159 1154 1
160 1154 1
161 1154 1
162 1154 1
163 1154 1
87 1154 1
9 1154 1
164 1154 1
165 1154 1
166 1154 1
167 1154 1
168 1154 1
169 1154 1
170 1154 1
171 1154 1
56 1154 1
172 1154 1
173 1155 1
174 1155 1
7 1155 1
94 1155 1
99 1155 1
175 1155 1
78 1155 1
176 1155 1
38 1155 1
177 1155 1
178 1155 1
120 1155 1
69 1155 1
179 1155 1
180 1155 1
85 1155 1
181 1155 1
182 1155 1
130 1155 1
183 1155 1
184 1155 1
185 1155 1
186 1155 1
133 1155 1
187 1155 1
188 1155 1
134 1155 1
189 1155 1
32 1155 1
143 1155 1
79 1155 1
144 1155 1
190 1155 1
16 1155 1
191 1155 1
161 1155 1
192 1155 1
193 1155 1
194 1155 1
165 1155 1
195 1155 1
196 1156 1
197 1156 1
84 1156 1
198 1156 1
199 1156 1
200 1156 1
88 1157 1
4 1157 1
201 1157 1
202 1157 1
21 1157 1
203 1157 1
199 1157 1
204 1158 1
205 1158 1
5 1158 1
206 1158 1
95 1158 1
207 1158 1
176 1158 1
208 1158 1
209 1158 1
15 1158 1
210 1158 1
177 1158 1
211 1158 1
212 1158 1
51 1158 1
213 1158 1
214 1158 1
59 1158 1
215 1158 1
4 1158 1
33 1158 1
86 1158 1
216 1158 1
61 1158 1
155 1158 1
16 1158 1
217 1158 1
218 1158 1
219 1158 1
220 1158 1
221 1158 1
222 1158 1
193 1158 1
223 1158 1
224 1159 1
225 1159 1
204 1159 1
226 1159 1
207 1159 1
101 1159 1
227 1159 1
228 1159 1
229 1159 1
208 1159 1
209 1159 1
230 1159 1
231 1159 1
232 1159 1
233 1159 1
234 1160 1
235 1160 1
236 1160 1
128 1160 1
237 1160 1
238 1160 1
27 1160 1
59 1160 1
201 1160 1
239 1160 1
240 1160 1
241 1160 1
32 1160 1
35 1160 1
242 1160 1
10 1160 1
243 1160 1
203 1160 1
244 1160 1
245 1160 1
89 1161 1
246 1161 1
94 1161 1
98 1161 1
247 1161 1
102 1161 1
248 1161 1
249 1161 1
250 1161 1
104 1161 1
63 1161 1
17 1161 1
251 1161 1
252 1161 1
253 1161 1
254 1161 1
255 1161 1
67 1161 1
256 1161 1
22 1161 1
23 1161 1
257 1161 1
214 1161 1
4 1161 1
258 1161 1
216 1161 1
259 1161 1
260 1161 1
261 1161 1
80 1161 1
262 1161 1
155 1161 1
156 1161 1
263 1161 1
264 1161 1
41 1161 1
21 1161 1
83 1161 1
221 1161 1
265 1161 1
222 1161 1
266 1161 1
267 1161 1
244 1161 1
199 1161 1
268 1161 1
89 1162 1
173 1162 1
7 1162 1
226 1162 1
20 1162 1
227 1162 1
11 1162 1
269 1162 1
102 1162 1
270 1162 1
104 1162 1
229 1162 1
18 1162 1
271 1162 1
235 1162 1
128 1162 1
272 1162 1
273 1162 1
274 1162 1
275 1162 1
