6975 180273
0 1105 1
1 1105 1
2 1106 1
3 1106 1
4 1106 1
5 1106 1
6 1106 1
7 1106 1
8 1107 1
9 1107 1
10 1107 1
11 1107 1
12 1107 1
13 1107 1
14 1107 1
15 1107 1
16 1108 1
17 1108 1
18 1108 1
19 1108 1
20 1108 1
21 1108 1
22 1108 1
23 1108 1
24 1108 1
25 1108 1
26 1108 1
27 1108 1
5 1108 1
28 1108 1
29 1108 1
30 1108 1
31 1108 1
32 1108 1
33 1108 1
34 1108 1
35 1108 1
36 1108 1
37 1108 1
38 1108 1
39 1108 1
40 1108 1
41 1108 1
42 1108 1
43 1108 1
44 1108 1
45 1108 1
46 1108 1
47 1108 1
48 1108 1
49 1108 1
50 1108 1
51 1108 1
52 1108 1
53 1109 1
54 1109 1
55 1109 1
1 1109 1
56 1109 1
57 1109 1
8 1109 1
58 1109 1
59 1109 1
60 1109 1
61 1109 1
62 1109 1
63 1109 1
64 1109 1
65 1109 1
66 1109 1
67 1110 1
68 1110 1
69 1110 1
70 1110 1
71 1110 1
72 1110 1
73 1110 1
74 1110 1
47 1110 1
28 1111 1
75 1111 1
0 1111 1
60 1111 1
76 1111 1
77 1111 1
78 1111 1
79 1112 1
80 1112 1
81 1112 1
82 1112 1
67 1112 1
83 1112 1
53 1112 1
84 1112 1
85 1112 1
86 1112 1
87 1112 1
88 1112 1
89 1112 1
5 1112 1
90 1112 1
91 1112 1
92 1112 1
93 1112 1
94 1112 1
0 1112 1
6 1112 1
95 1112 1
96 1112 1
97 1112 1
98 1112 1
56 1112 1
99 1112 1
100 1112 1
101 1112 1
4 1112 1
102 1112 1
103 1112 1
104 1112 1
105 1112 1
106 1112 1
107 1112 1
108 1112 1
62 1112 1
109 1112 1
110 1112 1
111 1112 1
112 1112 1
43 1112 1
113 1112 1
114 1112 1
115 1112 1
116 1112 1
117 1112 1
118 1112 1
119 1112 1
120 1112 1
121 1112 1
122 1112 1
123 1112 1
124 1112 1
125 1112 1
126 1112 1
127 1112 1
128 1112 1
129 1112 1
130 1112 1
131 1112 1
132 1112 1
133 1112 1
1 1112 1
134 1112 1
135 1112 1
136 1112 1
137 1112 1
138 1112 1
139 1112 1
140 1112 1
141 1112 1
142 1112 1
143 1112 1
144 1112 1
145 1112 1
146 1112 1
147 1112 1
148 1112 1
149 1112 1
76 1112 1
150 1112 1
151 1112 1
152 1112 1
153 1112 1
154 1112 1
155 1112 1
156 1112 1
157 1112 1
50 1112 1
158 1112 1
159 1113 1
160 1113 1
88 1113 1
161 1113 1
70 1113 1
162 1113 1
31 1113 1
163 1113 1
164 1113 1
108 1113 1
62 1113 1
165 1113 1
166 1113 1
74 1113 1
167 1113 1
168 1113 1
116 1113 1
169 1113 1
170 1113 1
171 1113 1
172 1113 1
119 1113 1
173 1113 1
174 1113 1
120 1113 1
175 1113 1
26 1113 1
129 1113 1
71 1113 1
130 1113 1
176 1113 1
177 1113 1
178 1113 1
179 1113 1
180 1113 1
181 1113 1
151 1113 1
182 1114 1
183 1114 1
184 1114 1
77 1115 1
185 1115 1
186 1115 1
13 1115 1
187 1115 1
188 1116 1
189 1116 1
84 1116 1
190 1116 1
162 1116 1
191 1116 1
192 1116 1
8 1116 1
193 1116 1
163 1116 1
194 1116 1
195 1116 1
44 1116 1
196 1116 1
197 1116 1
27 1116 1
75 1116 1
198 1116 1
54 1116 1
141 1116 1
199 1116 1
200 1116 1
201 1116 1
180 1116 1
202 1116 1
203 1117 1
204 1117 1
188 1117 1
190 1117 1
205 1117 1
206 1117 1
207 1117 1
191 1117 1
192 1117 1
208 1117 1
209 1117 1
210 1117 1
211 1117 1
28 1118 1
212 1118 1
185 1118 1
213 1118 1
214 1118 1
26 1118 1
215 1118 1
187 1118 1
216 1118 1
217 1118 1
79 1119 1
218 1119 1
87 1119 1
219 1119 1
90 1119 1
220 1119 1
221 1119 1
222 1119 1
92 1119 1
56 1119 1
9 1119 1
223 1119 1
224 1119 1
225 1119 1
226 1119 1
227 1119 1
60 1119 1
228 1119 1
14 1119 1
15 1119 1
229 1119 1
230 1119 1
198 1119 1
231 1119 1
232 1119 1
72 1119 1
233 1119 1
141 1119 1
142 1119 1
234 1119 1
235 1119 1
34 1119 1
13 1119 1
236 1119 1
237 1119 1
216 1119 1
238 1119 1
79 1120 1
159 1120 1
12 1120 1
205 1120 1
5 1120 1
239 1120 1
90 1120 1
240 1120 1
92 1120 1
207 1120 1
10 1120 1
241 1120 1
242 1120 1
243 1120 1
244 1120 1
245 1120 1
122 1120 1
246 1120 1
247 1120 1
248 1120 1
249 1120 1
250 1120 1
210 1120 1
251 1120 1
150 1120 1
157 1120 1
252 1121 1
253 1122 1
254 1122 1
255 1122 1
80 1123 1
160 1123 1
256 1123 1
81 1123 1
253 1123 1
87 1123 1
257 1123 1
258 1123 1
12 1123 1
161 1123 1
5 1123 1
162 1123 1
221 1123 1
91 1123 1
94 1123 1
259 1123 1
260 1123 1
96 1123 1
98 1123 1
261 1123 1
193 1123 1
101 1123 1
262 1123 1
103 1123 1
263 1123 1
264 1123 1
241 1123 1
108 1123 1
62 1123 1
265 1123 1
266 1123 1
195 1123 1
43 1123 1
267 1123 1
115 1123 1
116 1123 1
268 1123 1
244 1123 1
269 1123 1
245 1123 1
270 1123 1
271 1123 1
272 1123 1
68 1123 1
121 1123 1
122 1123 1
27 1123 1
273 1123 1
274 1123 1
129 1123 1
275 1123 1
1 1123 1
249 1123 1
232 1123 1
276 1123 1
233 1123 1
140 1123 1
141 1123 1
277 1123 1
146 1123 1
278 1123 1
147 1123 1
279 1123 1
236 1123 1
152 1123 1
216 1123 1
280 1123 1
80 1124 1
281 1124 1
282 1124 1
283 1124 1
28 1124 1
284 1124 1
285 1124 1
94 1124 1
286 1124 1
0 1124 1
95 1124 1
97 1124 1
226 1124 1
287 1124 1
288 1124 1
289 1124 1
290 1124 1
109 1124 1
291 1124 1
292 1124 1
44 1124 1
45 1124 1
229 1124 1
293 1124 1
119 1124 1
185 1124 1
294 1124 1
22 1124 1
295 1124 1
296 1124 1
34 1124 1
76 1124 1
297 1124 1
298 1124 1
39 1124 1
41 1124 1
299 1124 1
300 1124 1
216 1124 1
50 1124 1
51 1124 1
52 1124 1
253 1125 1
301 1125 1
62 1125 1
302 1125 1
292 1125 1
168 1125 1
242 1125 1
303 1125 1
129 1125 1
304 1125 1
305 1125 1
59 1125 1
147 1125 1
306 1126 1
307 1126 1
239 1126 1
308 1126 1
229 1126 1
117 1126 1
119 1126 1
214 1126 1
278 1126 1
309 1127 1
310 1127 1
79 1127 1
311 1127 1
160 1127 1
256 1127 1
312 1127 1
67 1127 1
53 1127 1
313 1127 1
253 1127 1
314 1127 1
69 1127 1
315 1127 1
86 1127 1
257 1127 1
89 1127 1
316 1127 1
162 1127 1
317 1127 1
318 1127 1
319 1127 1
259 1127 1
320 1127 1
95 1127 1
191 1127 1
97 1127 1
98 1127 1
261 1127 1
56 1127 1
208 1127 1
321 1127 1
104 1127 1
194 1127 1
322 1127 1
106 1127 1
108 1127 1
323 1127 1
324 1127 1
325 1127 1
302 1127 1
326 1127 1
195 1127 1
327 1127 1
42 1127 1
292 1127 1
328 1127 1
329 1127 1
330 1127 1
331 1127 1
293 1127 1
332 1127 1
333 1127 1
115 1127 1
116 1127 1
334 1127 1
49 1127 1
335 1127 1
268 1127 1
336 1127 1
337 1127 1
171 1127 1
338 1127 1
172 1127 1
339 1127 1
340 1127 1
341 1127 1
342 1127 1
343 1127 1
119 1127 1
294 1127 1
344 1127 1
345 1127 1
175 1127 1
121 1127 1
346 1127 1
347 1127 1
122 1127 1
348 1127 1
214 1127 1
27 1127 1
349 1127 1
125 1127 1
230 1127 1
274 1127 1
129 1127 1
350 1127 1
351 1127 1
352 1127 1
353 1127 1
354 1127 1
249 1127 1
139 1127 1
72 1127 1
233 1127 1
355 1127 1
356 1127 1
357 1127 1
141 1127 1
358 1127 1
359 1127 1
142 1127 1
234 1127 1
235 1127 1
360 1127 1
145 1127 1
361 1127 1
146 1127 1
362 1127 1
363 1127 1
147 1127 1
199 1127 1
364 1127 1
365 1127 1
366 1127 1
367 1127 1
201 1127 1
368 1127 1
369 1127 1
370 1127 1
211 1127 1
254 1127 1
180 1127 1
371 1127 1
372 1127 1
64 1127 1
299 1127 1
373 1127 1
151 1127 1
374 1127 1
375 1127 1
376 1127 1
154 1127 1
238 1127 1
377 1128 1
3 1128 1
103 1128 1
378 1128 1
110 1128 1
379 1128 1
295 1128 1
380 1128 1
137 1128 1
300 1128 1
381 1129 1
70 1129 1
382 1129 1
383 1129 1
110 1129 1
2 1129 1
26 1129 1
133 1129 1
137 1129 1
296 1130 1
139 1130 1
384 1130 1
385 1131 1
28 1131 1
386 1131 1
237 1131 1
282 1132 1
387 1132 1
388 1132 1
206 1132 1
389 1132 1
92 1132 1
55 1132 1
6 1132 1
95 1132 1
390 1132 1
391 1132 1
392 1132 1
393 1132 1
394 1132 1
223 1132 1
100 1132 1
103 1132 1
382 1132 1
378 1132 1
395 1132 1
396 1132 1
323 1132 1
302 1132 1
292 1132 1
397 1132 1
398 1132 1
399 1132 1
183 1132 1
400 1132 1
401 1132 1
379 1132 1
402 1132 1
122 1132 1
403 1132 1
295 1132 1
27 1132 1
380 1132 1
125 1132 1
404 1132 1
405 1132 1
127 1132 1
273 1132 1
406 1132 1
296 1132 1
407 1132 1
137 1132 1
138 1132 1
408 1132 1
140 1132 1
141 1132 1
59 1132 1
148 1132 1
384 1132 1
366 1132 1
409 1132 1
410 1132 1
154 1132 1
411 1133 1
412 1133 1
0 1133 1
291 1133 1
413 1133 1
52 1133 1
414 1133 1
16 1134 1
19 1134 1
281 1134 1
282 1134 1
206 1134 1
6 1134 1
223 1134 1
224 1134 1
227 1134 1
415 1134 1
396 1134 1
110 1134 1
292 1134 1
44 1134 1
74 1134 1
416 1134 1
343 1134 1
417 1134 1
418 1134 1
122 1134 1
186 1134 1
127 1134 1
419 1134 1
129 1134 1
420 1134 1
408 1134 1
59 1134 1
34 1134 1
421 1134 1
384 1134 1
422 1134 1
237 1134 1
151 1134 1
65 1134 1
80 1135 1
311 1135 1
188 1135 1
86 1135 1
87 1135 1
257 1135 1
318 1135 1
91 1135 1
0 1135 1
55 1135 1
192 1135 1
423 1135 1
96 1135 1
58 1135 1
9 1135 1
424 1135 1
60 1135 1
396 1135 1
62 1135 1
328 1135 1
331 1135 1
425 1135 1
336 1135 1
399 1135 1
426 1135 1
271 1135 1
272 1135 1
344 1135 1
175 1135 1
122 1135 1
124 1135 1
403 1135 1
125 1135 1
273 1135 1
274 1135 1
427 1135 1
129 1135 1
428 1135 1
140 1135 1
142 1135 1
143 1135 1
429 1135 1
210 1135 1
430 1135 1
431 1135 1
432 1135 1
367 1135 1
150 1135 1
64 1135 1
151 1135 1
152 1135 1
433 1135 1
48 1135 1
280 1135 1
184 1135 1
53 1136 1
20 1136 1
434 1136 1
86 1136 1
388 1136 1
92 1136 1
6 1136 1
191 1136 1
435 1136 1
100 1136 1
3 1136 1
436 1136 1
437 1136 1
105 1136 1
60 1136 1
438 1136 1
439 1136 1
290 1136 1
109 1136 1
196 1136 1
440 1136 1
441 1136 1
442 1136 1
443 1136 1
444 1136 1
445 1136 1
418 1136 1
25 1136 1
403 1136 1
126 1136 1
134 1136 1
135 1136 1
59 1136 1
446 1136 1
447 1136 1
448 1136 1
148 1136 1
449 1136 1
450 1136 1
451 1136 1
280 1136 1
452 1136 1
453 1136 1
80 1137 1
454 1137 1
381 1137 1
19 1137 1
281 1137 1
86 1137 1
258 1137 1
388 1137 1
23 1137 1
205 1137 1
220 1137 1
92 1137 1
95 1137 1
455 1137 1
456 1137 1
262 1137 1
4 1137 1
103 1137 1
105 1137 1
395 1137 1
457 1137 1
302 1137 1
38 1137 1
333 1137 1
458 1137 1
117 1137 1
441 1137 1
459 1137 1
426 1137 1
460 1137 1
461 1137 1
345 1137 1
68 1137 1
417 1137 1
175 1137 1
462 1137 1
214 1137 1
124 1137 1
27 1137 1
125 1137 1
75 1137 1
71 1137 1
353 1137 1
139 1137 1
233 1137 1
140 1137 1
413 1137 1
177 1137 1
463 1137 1
447 1137 1
384 1137 1
450 1137 1
297 1137 1
368 1137 1
64 1137 1
300 1137 1
184 1137 1
52 1137 1
453 1137 1
412 1138 1
318 1138 1
225 1138 1
321 1138 1
332 1138 1
66 1138 1
413 1138 1
48 1138 1
188 1139 1
21 1139 1
318 1139 1
191 1139 1
192 1139 1
56 1139 1
464 1139 1
208 1139 1
465 1139 1
60 1139 1
466 1139 1
62 1139 1
439 1139 1
165 1139 1
328 1139 1
467 1139 1
425 1139 1
339 1139 1
130 1139 1
54 1139 1
354 1139 1
372 1139 1
208 1140 1
42 1140 1
468 1140 1
469 1140 1
250 1140 1
470 1140 1
435 1141 1
308 1141 1
471 1141 1
186 1141 1
233 1141 1
141 1141 1
384 1141 1
187 1141 1
433 1141 1
21 1142 1
94 1142 1
83 1143 1
257 1143 1
97 1143 1
395 1143 1
472 1143 1
473 1143 1
119 1143 1
185 1143 1
122 1143 1
124 1143 1
296 1143 1
140 1143 1
144 1143 1
154 1143 1
190 1144 1
192 1144 1
104 1144 1
140 1144 1
200 1144 1
79 1145 1
306 1145 1
87 1145 1
5 1145 1
240 1145 1
0 1145 1
97 1145 1
391 1145 1
99 1145 1
223 1145 1
224 1145 1
396 1145 1
229 1145 1
185 1145 1
231 1145 1
474 1145 1
413 1145 1
76 1145 1
13 1145 1
150 1145 1
433 1145 1
48 1145 1
475 1145 1
157 1145 1
50 1145 1
310 1146 1
79 1146 1
476 1146 1
477 1146 1
80 1146 1
204 1146 1
311 1146 1
381 1146 1
478 1146 1
218 1146 1
53 1146 1
20 1146 1
282 1146 1
479 1146 1
480 1146 1
84 1146 1
314 1146 1
190 1146 1
86 1146 1
481 1146 1
482 1146 1
483 1146 1
388 1146 1
89 1146 1
316 1146 1
206 1146 1
484 1146 1
5 1146 1
219 1146 1
485 1146 1
319 1146 1
486 1146 1
94 1146 1
29 1146 1
55 1146 1
6 1146 1
191 1146 1
192 1146 1
487 1146 1
97 1146 1
456 1146 1
464 1146 1
488 1146 1
8 1146 1
393 1146 1
99 1146 1
489 1146 1
321 1146 1
163 1146 1
102 1146 1
103 1146 1
104 1146 1
105 1146 1
378 1146 1
490 1146 1
322 1146 1
465 1146 1
60 1146 1
107 1146 1
457 1146 1
289 1146 1
325 1146 1
491 1146 1
62 1146 1
302 1146 1
290 1146 1
326 1146 1
109 1146 1
110 1146 1
492 1146 1
112 1146 1
493 1146 1
494 1146 1
292 1146 1
328 1146 1
45 1146 1
329 1146 1
114 1146 1
495 1146 1
333 1146 1
49 1146 1
467 1146 1
496 1146 1
442 1146 1
443 1146 1
338 1146 1
497 1146 1
498 1146 1
340 1146 1
499 1146 1
341 1146 1
2 1146 1
399 1146 1
500 1146 1
501 1146 1
343 1146 1
119 1146 1
272 1146 1
344 1146 1
502 1146 1
503 1146 1
504 1146 1
505 1146 1
22 1146 1
506 1146 1
348 1146 1
507 1146 1
124 1146 1
403 1146 1
295 1146 1
27 1146 1
380 1146 1
125 1146 1
304 1146 1
71 1146 1
508 1146 1
133 1146 1
1 1146 1
134 1146 1
135 1146 1
509 1146 1
407 1146 1
139 1146 1
232 1146 1
408 1146 1
305 1146 1
358 1146 1
510 1146 1
142 1146 1
144 1146 1
59 1146 1
511 1146 1
279 1146 1
448 1146 1
365 1146 1
200 1146 1
512 1146 1
513 1146 1
514 1146 1
515 1146 1
372 1146 1
64 1146 1
151 1146 1
516 1146 1
517 1146 1
409 1146 1
518 1146 1
519 1146 1
48 1146 1
374 1146 1
520 1146 1
521 1146 1
452 1146 1
51 1146 1
12 1147 1
29 1147 1
522 1147 1
523 1147 1
310 1148 1
524 1148 1
525 1148 1
312 1148 1
81 1148 1
82 1148 1
83 1148 1
253 1148 1
315 1148 1
86 1148 1
257 1148 1
258 1148 1
88 1148 1
221 1148 1
92 1148 1
93 1148 1
94 1148 1
259 1148 1
320 1148 1
526 1148 1
56 1148 1
435 1148 1
527 1148 1
528 1148 1
382 1148 1
60 1148 1
106 1148 1
302 1148 1
109 1148 1
110 1148 1
14 1148 1
15 1148 1
529 1148 1
332 1148 1
530 1148 1
244 1148 1
171 1148 1
172 1148 1
183 1148 1
500 1148 1
461 1148 1
271 1148 1
185 1148 1
272 1148 1
531 1148 1
122 1148 1
27 1148 1
130 1148 1
198 1148 1
352 1148 1
1 1148 1
134 1148 1
276 1148 1
141 1148 1
143 1148 1
429 1148 1
474 1148 1
147 1148 1
279 1148 1
201 1148 1
211 1148 1
181 1148 1
280 1148 1
203 1148 1
256 1148 1
282 1148 1
189 1148 1
84 1148 1
205 1148 1
5 1148 1
240 1148 1
239 1148 1
162 1148 1
317 1148 1
318 1148 1
532 1148 1
207 1148 1
192 1148 1
96 1148 1
97 1148 1
393 1148 1
223 1148 1
224 1148 1
321 1148 1
533 1148 1
262 1148 1
322 1148 1
228 1148 1
61 1148 1
534 1148 1
108 1148 1
324 1148 1
535 1148 1
536 1148 1
537 1148 1
111 1148 1
538 1148 1
112 1148 1
327 1148 1
42 1148 1
539 1148 1
329 1148 1
115 1148 1
334 1148 1
467 1148 1
496 1148 1
268 1148 1
540 1148 1
119 1148 1
418 1148 1
120 1148 1
541 1148 1
175 1148 1
542 1148 1
543 1148 1
303 1148 1
346 1148 1
544 1148 1
545 1148 1
246 1148 1
125 1148 1
126 1148 1
127 1148 1
128 1148 1
273 1148 1
274 1148 1
350 1148 1
129 1148 1
546 1148 1
275 1148 1
249 1148 1
136 1148 1
233 1148 1
144 1148 1
547 1148 1
235 1148 1
145 1148 1
146 1148 1
13 1148 1
236 1148 1
548 1148 1
151 1148 1
152 1148 1
518 1148 1
65 1148 1
48 1148 1
78 1148 1
238 1148 1
1 1149 1
296 1149 1
297 1149 1
184 1149 1
549 1150 1
316 1150 1
289 1150 1
381 1150 1
550 1150 1
291 1150 1
66 1150 1
197 1150 1
551 1150 1
413 1150 1
184 1150 1
52 1150 1
270 1151 1
27 1151 1
552 1151 1
412 1151 1
553 1151 1
288 1151 1
291 1151 1
45 1151 1
425 1151 1
413 1151 1
184 1151 1
549 1152 1
15 1152 1
244 1152 1
381 1152 1
90 1152 1
553 1152 1
197 1152 1
413 1152 1
554 1152 1
184 1152 1
16 1153 1
555 1153 1
556 1153 1
19 1153 1
190 1153 1
12 1153 1
557 1153 1
284 1153 1
92 1153 1
29 1153 1
0 1153 1
261 1153 1
435 1153 1
528 1153 1
3 1153 1
382 1153 1
60 1153 1
491 1153 1
14 1153 1
114 1153 1
229 1153 1
558 1153 1
17 1153 1
459 1153 1
270 1153 1
271 1153 1
559 1153 1
68 1153 1
214 1153 1
469 1153 1
71 1153 1
560 1153 1
1 1153 1
72 1153 1
359 1153 1
561 1153 1
562 1153 1
201 1153 1
563 1153 1
150 1153 1
41 1153 1
515 1153 1
216 1153 1
564 1153 1
280 1153 1
256 1153 1
67 1153 1
434 1153 1
21 1153 1
205 1153 1
5 1153 1
219 1153 1
90 1153 1
283 1153 1
240 1153 1
565 1153 1
220 1153 1
207 1153 1
192 1153 1
57 1153 1
566 1153 1
567 1153 1
568 1153 1
163 1153 1
226 1153 1
534 1153 1
241 1153 1
569 1153 1
570 1153 1
43 1153 1
571 1153 1
328 1153 1
74 1153 1
66 1153 1
342 1153 1
119 1153 1
294 1153 1
541 1153 1
303 1153 1
125 1153 1
230 1153 1
572 1153 1
419 1153 1
304 1153 1
249 1153 1
232 1153 1
250 1153 1
573 1153 1
144 1153 1
59 1153 1
422 1153 1
574 1153 1
47 1153 1
518 1153 1
156 1153 1
184 1153 1
482 1154 1
100 1154 1
103 1154 1
105 1154 1
490 1154 1
575 1154 1
137 1154 1
309 1154 1
282 1154 1
107 1154 1
112 1154 1
576 1154 1
59 1154 1
441 1155 1
216 1155 1
205 1155 1
283 1155 1
577 1155 1
542 1155 1
549 1156 1
578 1156 1
526 1156 1
411 1156 1
412 1156 1
291 1156 1
467 1156 1
197 1156 1
175 1156 1
413 1156 1
579 1156 1
184 1156 1
52 1156 1
16 1157 1
12 1157 1
92 1157 1
94 1157 1
7 1157 1
100 1157 1
14 1157 1
441 1157 1
473 1157 1
185 1157 1
25 1157 1
403 1157 1
34 1157 1
370 1157 1
434 1157 1
90 1157 1
28 1157 1
6 1157 1
9 1157 1
226 1157 1
536 1157 1
195 1157 1
165 1157 1
119 1157 1
127 1157 1
419 1157 1
129 1157 1
296 1157 1
362 1157 1
580 1157 1
574 1157 1
47 1157 1
48 1157 1
581 1157 1
16 1158 1
388 1158 1
582 1158 1
100 1158 1
382 1158 1
378 1158 1
110 1158 1
443 1158 1
2 1158 1
445 1158 1
469 1158 1
295 1158 1
380 1158 1
560 1158 1
137 1158 1
381 1158 1
21 1158 1
583 1158 1
59 1158 1
145 1158 1
512 1158 1
450 1158 1
237 1158 1
48 1158 1
584 1158 1
453 1158 1
377 1159 1
308 1159 1
72 1159 1
585 1159 1
39 1159 1
160 1159 1
219 1159 1
467 1159 1
426 1159 1
120 1159 1
541 1159 1
200 1159 1
549 1160 1
586 1160 1
194 1160 1
587 1160 1
553 1160 1
588 1160 1
197 1160 1
589 1160 1
250 1160 1
590 1160 1
184 1160 1
82 1161 1
314 1161 1
86 1161 1
388 1161 1
89 1161 1
591 1161 1
486 1161 1
392 1161 1
100 1161 1
103 1161 1
104 1161 1
105 1161 1
378 1161 1
490 1161 1
302 1161 1
592 1161 1
109 1161 1
110 1161 1
114 1161 1
398 1161 1
442 1161 1
473 1161 1
339 1161 1
459 1161 1
183 1161 1
461 1161 1
271 1161 1
272 1161 1
213 1161 1
344 1161 1
593 1161 1
403 1161 1
380 1161 1
560 1161 1
132 1161 1
594 1161 1
137 1161 1
595 1161 1
408 1161 1
141 1161 1
596 1161 1
368 1161 1
370 1161 1
180 1161 1
371 1161 1
515 1161 1
64 1161 1
597 1161 1
309 1161 1
79 1161 1
53 1161 1
282 1161 1
21 1161 1
206 1161 1
484 1161 1
5 1161 1
70 1161 1
319 1161 1
55 1161 1
57 1161 1
598 1161 1
489 1161 1
599 1161 1
396 1161 1
212 1161 1
111 1161 1
538 1161 1
195 1161 1
292 1161 1
328 1161 1
540 1161 1
343 1161 1
600 1161 1
504 1161 1
347 1161 1
601 1161 1
126 1161 1
129 1161 1
350 1161 1
135 1161 1
296 1161 1
407 1161 1
136 1161 1
59 1161 1
447 1161 1
512 1161 1
450 1161 1
602 1161 1
603 1161 1
453 1161 1
604 1162 1
94 1162 1
37 1162 1
605 1162 1
142 1162 1
563 1162 1
