8173 319525
0 2150 1
1 2150 1
2 2150 1
3 2150 1
4 2150 1
5 2150 1
6 2151 1
7 2151 1
8 2151 1
9 2151 1
10 2151 1
11 2151 1
12 2151 1
13 2151 1
14 2151 1
15 2151 1
16 2151 1
17 2151 1
18 2151 1
19 2151 1
20 2151 1
21 2151 1
22 2151 1
23 2151 1
24 2151 1
25 2151 1
26 2151 1
27 2151 1
28 2151 1
29 2151 1
30 2151 1
31 2151 1
32 2151 1
33 2151 1
34 2151 1
35 2151 1
36 2151 1
37 2151 1
38 2151 1
39 2151 1
40 2151 1
41 2151 1
42 2151 1
43 2151 1
44 2151 1
45 2151 1
46 2152 1
47 2152 1
48 2152 1
49 2152 1
50 2152 1
51 2152 1
52 2152 1
53 2152 1
54 2152 1
11 2153 1
55 2154 1
56 2154 1
57 2154 1
58 2154 1
59 2154 1
60 2154 1
61 2154 1
62 2154 1
63 2154 1
64 2154 1
65 2154 1
66 2154 1
67 2154 1
68 2154 1
69 2154 1
70 2154 1
71 2154 1
72 2154 1
73 2154 1
74 2154 1
75 2154 1
25 2154 1
76 2154 1
77 2154 1
78 2154 1
79 2154 1
80 2154 1
81 2154 1
82 2154 1
83 2154 1
31 2154 1
84 2154 1
85 2154 1
86 2154 1
87 2154 1
88 2154 1
89 2154 1
90 2154 1
91 2154 1
92 2154 1
93 2154 1
94 2154 1
95 2154 1
96 2154 1
97 2154 1
98 2154 1
99 2154 1
100 2154 1
101 2154 1
102 2154 1
103 2154 1
104 2154 1
105 2154 1
106 2154 1
107 2154 1
108 2154 1
109 2154 1
110 2154 1
111 2154 1
112 2154 1
113 2154 1
114 2154 1
115 2154 1
116 2154 1
117 2154 1
118 2154 1
119 2154 1
120 2154 1
121 2154 1
122 2154 1
123 2154 1
124 2154 1
125 2154 1
126 2154 1
127 2154 1
128 2154 1
129 2154 1
130 2154 1
131 2154 1
132 2154 1
133 2154 1
134 2154 1
135 2154 1
136 2154 1
137 2154 1
138 2155 1
139 2155 1
140 2155 1
141 2155 1
3 2155 1
142 2155 1
143 2155 1
46 2155 1
144 2155 1
145 2155 1
146 2155 1
147 2155 1
148 2155 1
149 2155 1
150 2155 1
151 2155 1
152 2155 1
153 2155 1
154 2155 1
155 2155 1
156 2155 1
157 2156 1
66 2156 1
158 2156 1
159 2156 1
160 2156 1
161 2156 1
162 2156 1
163 2156 1
4 2156 1
164 2156 1
165 2156 1
166 2156 1
167 2156 1
168 2156 1
169 2156 1
170 2156 1
171 2156 1
172 2156 1
173 2156 1
174 2156 1
175 2156 1
176 2156 1
177 2156 1
178 2156 1
