6932 188793
0 1045 1
1 1045 1
2 1046 1
3 1046 1
4 1046 1
5 1046 1
6 1046 1
7 1046 1
8 1046 1
9 1047 1
10 1047 1
11 1047 1
12 1047 1
13 1047 1
14 1047 1
15 1047 1
16 1047 1
17 1047 1
18 1047 1
19 1048 1
20 1048 1
21 1048 1
22 1048 1
23 1048 1
24 1048 1
25 1048 1
26 1048 1
27 1048 1
6 1048 1
28 1048 1
29 1048 1
30 1048 1
31 1048 1
32 1048 1
33 1048 1
34 1048 1
35 1048 1
36 1048 1
37 1048 1
38 1048 1
39 1048 1
40 1048 1
41 1048 1
42 1048 1
43 1048 1
44 1048 1
45 1048 1
46 1048 1
47 1048 1
48 1048 1
49 1048 1
50 1049 1
5 1049 1
51 1049 1
52 1049 1
1 1049 1
53 1049 1
54 1049 1
9 1049 1
55 1049 1
56 1049 1
57 1049 1
58 1049 1
59 1049 1
60 1049 1
61 1049 1
62 1049 1
63 1049 1
64 1049 1
65 1050 1
66 1050 1
67 1050 1
68 1050 1
69 1050 1
70 1050 1
71 1050 1
72 1050 1
44 1050 1
73 1051 1
0 1051 1
58 1051 1
74 1051 1
75 1051 1
76 1052 1
77 1052 1
78 1052 1
79 1052 1
65 1052 1
80 1052 1
50 1052 1
13 1052 1
81 1052 1
82 1052 1
83 1052 1
84 1052 1
85 1052 1
86 1052 1
87 1052 1
88 1052 1
89 1052 1
90 1052 1
91 1052 1
6 1052 1
92 1052 1
93 1052 1
94 1052 1
95 1052 1
96 1052 1
0 1052 1
7 1052 1
97 1052 1
98 1052 1
99 1052 1
100 1052 1
53 1052 1
101 1052 1
102 1052 1
103 1052 1
104 1052 1
4 1052 1
105 1052 1
106 1052 1
107 1052 1
108 1052 1
109 1052 1
110 1052 1
111 1052 1
112 1052 1
113 1052 1
114 1052 1
60 1052 1
115 1052 1
116 1052 1
117 1052 1
118 1052 1
119 1052 1
41 1052 1
120 1052 1
121 1052 1
122 1052 1
123 1052 1
124 1052 1
125 1052 1
126 1052 1
127 1052 1
128 1052 1
129 1052 1
130 1052 1
131 1052 1
132 1052 1
133 1052 1
134 1052 1
135 1052 1
136 1052 1
137 1052 1
138 1052 1
139 1052 1
140 1052 1
141 1052 1
142 1052 1
1 1052 1
143 1052 1
144 1052 1
145 1052 1
146 1052 1
147 1052 1
148 1052 1
149 1052 1
150 1052 1
151 1052 1
10 1052 1
152 1052 1
153 1052 1
154 1052 1
155 1052 1
156 1052 1
157 1052 1
158 1052 1
159 1052 1
160 1052 1
