7195 207443
0 1267 1
1 1267 1
2 1268 1
3 1268 1
4 1268 1
5 1268 1
6 1268 1
7 1268 1
8 1269 1
9 1269 1
10 1269 1
11 1269 1
12 1269 1
13 1269 1
14 1269 1
15 1269 1
16 1270 1
17 1270 1
18 1270 1
19 1270 1
20 1270 1
21 1270 1
22 1270 1
23 1270 1
24 1270 1
25 1270 1
5 1270 1
26 1270 1
27 1270 1
28 1270 1
29 1270 1
30 1270 1
31 1270 1
32 1270 1
33 1270 1
34 1270 1
35 1270 1
36 1270 1
37 1270 1
38 1270 1
39 1270 1
40 1270 1
41 1270 1
42 1270 1
43 1270 1
44 1270 1
45 1270 1
46 1270 1
47 1270 1
48 1270 1
49 1271 1
50 1271 1
51 1271 1
1 1271 1
52 1271 1
53 1271 1
8 1271 1
54 1271 1
55 1271 1
56 1271 1
57 1271 1
58 1271 1
59 1271 1
60 1271 1
61 1271 1
62 1271 1
63 1272 1
64 1272 1
65 1272 1
66 1272 1
67 1272 1
68 1272 1
69 1272 1
70 1272 1
44 1272 1
71 1273 1
0 1273 1
72 1273 1
56 1273 1
73 1273 1
74 1273 1
75 1274 1
76 1274 1
77 1274 1
78 1274 1
79 1274 1
63 1274 1
80 1274 1
49 1274 1
81 1274 1
82 1274 1
83 1274 1
84 1274 1
85 1274 1
86 1274 1
5 1274 1
87 1274 1
88 1274 1
89 1274 1
90 1274 1
0 1274 1
6 1274 1
91 1274 1
92 1274 1
93 1274 1
94 1274 1
52 1274 1
95 1274 1
96 1274 1
97 1274 1
4 1274 1
98 1274 1
99 1274 1
100 1274 1
101 1274 1
102 1274 1
103 1274 1
104 1274 1
58 1274 1
105 1274 1
106 1274 1
107 1274 1
108 1274 1
41 1274 1
109 1274 1
110 1274 1
111 1274 1
112 1274 1
113 1274 1
114 1274 1
115 1274 1
116 1274 1
117 1274 1
118 1274 1
119 1274 1
120 1274 1
121 1274 1
122 1274 1
123 1274 1
124 1274 1
125 1274 1
126 1274 1
127 1274 1
128 1274 1
1 1274 1
129 1274 1
130 1274 1
131 1274 1
132 1274 1
133 1274 1
134 1274 1
135 1274 1
136 1274 1
137 1274 1
138 1274 1
139 1274 1
140 1274 1
141 1274 1
142 1274 1
73 1274 1
143 1274 1
144 1274 1
145 1274 1
146 1274 1
147 1274 1
148 1274 1
149 1274 1
150 1274 1
46 1274 1
151 1274 1
152 1275 1
153 1275 1
85 1275 1
154 1275 1
66 1275 1
155 1275 1
30 1275 1
156 1275 1
157 1275 1
104 1275 1
58 1275 1
158 1275 1
159 1275 1
70 1275 1
160 1275 1
161 1275 1
112 1275 1
162 1275 1
163 1275 1
164 1275 1
165 1275 1
114 1275 1
166 1275 1
167 1275 1
115 1275 1
168 1275 1
25 1275 1
124 1275 1
67 1275 1
125 1275 1
169 1275 1
170 1275 1
171 1275 1
172 1275 1
173 1275 1
144 1275 1
174 1276 1
175 1276 1
176 1276 1
177 1277 1
74 1277 1
178 1277 1
179 1277 1
13 1277 1
180 1277 1
181 1278 1
182 1278 1
183 1279 1
184 1279 1
81 1279 1
185 1279 1
186 1279 1
155 1279 1
187 1279 1
188 1279 1
8 1279 1
189 1279 1
156 1279 1
190 1279 1
191 1279 1
42 1279 1
192 1279 1
193 1279 1
71 1279 1
194 1279 1
50 1279 1
195 1279 1
196 1279 1
197 1279 1
198 1279 1
199 1279 1
172 1279 1
200 1279 1
201 1280 1
202 1280 1
183 1280 1
185 1280 1
203 1280 1
204 1280 1
205 1280 1
26 1280 1
206 1280 1
187 1280 1
188 1280 1
207 1280 1
208 1280 1
209 1280 1
210 1280 1
211 1281 1
212 1281 1
213 1281 1
214 1281 1
215 1281 1
216 1281 1
217 1281 1
218 1281 1
178 1281 1
219 1281 1
220 1281 1
25 1281 1
221 1281 1
222 1281 1
223 1281 1
224 1281 1
225 1281 1
226 1281 1
180 1281 1
227 1281 1
228 1281 1
75 1282 1
229 1282 1
84 1282 1
230 1282 1
231 1282 1
232 1282 1
233 1282 1
52 1282 1
9 1282 1
234 1282 1
235 1282 1
236 1282 1
237 1282 1
238 1282 1
56 1282 1
239 1282 1
14 1282 1
15 1282 1
240 1282 1
241 1282 1
194 1282 1
242 1282 1
243 1282 1
68 1282 1
244 1282 1
136 1282 1
245 1282 1
246 1282 1
32 1282 1
13 1282 1
247 1282 1
248 1282 1
227 1282 1
249 1282 1
75 1283 1
152 1283 1
77 1283 1
250 1283 1
251 1283 1
252 1283 1
253 1283 1
254 1283 1
255 1283 1
12 1283 1
203 1283 1
204 1283 1
5 1283 1
256 1283 1
186 1283 1
257 1283 1
258 1283 1
259 1283 1
260 1283 1
261 1283 1
262 1283 1
263 1283 1
88 1283 1
206 1283 1
264 1283 1
265 1283 1
10 1283 1
266 1283 1
267 1283 1
268 1283 1
269 1283 1
270 1283 1
271 1283 1
272 1283 1
273 1283 1
274 1283 1
275 1283 1
181 1283 1
276 1283 1
117 1283 1
24 1283 1
277 1283 1
278 1283 1
279 1283 1
280 1283 1
281 1283 1
282 1283 1
283 1283 1
195 1283 1
284 1283 1
209 1283 1
285 1283 1
224 1283 1
286 1283 1
143 1283 1
182 1283 1
287 1283 1
150 1283 1
288 1284 1
289 1285 1
290 1285 1
291 1285 1
76 1286 1
153 1286 1
292 1286 1
293 1286 1
78 1286 1
289 1286 1
84 1286 1
294 1286 1
295 1286 1
12 1286 1
154 1286 1
5 1286 1
155 1286 1
26 1286 1
232 1286 1
296 1286 1
87 1286 1
297 1286 1
90 1286 1
298 1286 1
299 1286 1
92 1286 1
94 1286 1
300 1286 1
189 1286 1
97 1286 1
301 1286 1
99 1286 1
302 1286 1
303 1286 1
266 1286 1
104 1286 1
58 1286 1
304 1286 1
305 1286 1
191 1286 1
41 1286 1
306 1286 1
111 1286 1
112 1286 1
307 1286 1
270 1286 1
271 1286 1
308 1286 1
272 1286 1
309 1286 1
273 1286 1
