6943 188611
0 1062 1
1 1062 1
2 1062 1
3 1062 1
4 1062 1
5 1062 1
6 1062 1
7 1062 1
8 1062 1
9 1063 1
10 1063 1
11 1063 1
12 1063 1
13 1063 1
14 1063 1
15 1064 1
16 1064 1
17 1064 1
18 1064 1
19 1064 1
20 1064 1
21 1064 1
22 1064 1
23 1065 1
24 1065 1
25 1065 1
26 1065 1
27 1065 1
28 1065 1
29 1065 1
30 1065 1
31 1065 1
12 1065 1
32 1065 1
33 1065 1
34 1065 1
35 1065 1
36 1065 1
37 1065 1
38 1065 1
39 1065 1
40 1065 1
41 1065 1
42 1065 1
43 1065 1
44 1065 1
45 1065 1
46 1065 1
47 1065 1
48 1065 1
49 1065 1
50 1065 1
51 1065 1
52 1065 1
53 1065 1
54 1066 1
55 1066 1
56 1066 1
3 1066 1
57 1066 1
58 1066 1
5 1066 1
59 1066 1
60 1066 1
61 1066 1
15 1066 1
62 1066 1
63 1066 1
64 1066 1
65 1066 1
66 1066 1
67 1066 1
68 1066 1
69 1066 1
1 1066 1
70 1066 1
71 1066 1
72 1066 1
73 1066 1
74 1067 1
75 1067 1
76 1067 1
77 1067 1
78 1067 1
79 1067 1
80 1067 1
81 1067 1
82 1067 1
48 1067 1
83 1068 1
4 1068 1
66 1068 1
84 1068 1
85 1068 1
86 1069 1
87 1069 1
88 1069 1
89 1069 1
74 1069 1
90 1069 1
56 1069 1
91 1069 1
92 1069 1
93 1069 1
94 1069 1
95 1069 1
96 1069 1
97 1069 1
12 1069 1
98 1069 1
99 1069 1
100 1069 1
101 1069 1
102 1069 1
4 1069 1
13 1069 1
103 1069 1
104 1069 1
105 1069 1
106 1069 1
59 1069 1
107 1069 1
108 1069 1
109 1069 1
110 1069 1
11 1069 1
111 1069 1
112 1069 1
113 1069 1
114 1069 1
115 1069 1
116 1069 1
117 1069 1
118 1069 1
68 1069 1
1 1069 1
119 1069 1
120 1069 1
121 1069 1
122 1069 1
123 1069 1
45 1069 1
124 1069 1
125 1069 1
126 1069 1
127 1069 1
7 1069 1
128 1069 1
2 1069 1
54 1069 1
129 1069 1
130 1069 1
131 1069 1
3 1069 1
132 1069 1
133 1069 1
134 1069 1
135 1069 1
136 1069 1
137 1069 1
138 1069 1
139 1069 1
140 1069 1
141 1069 1
142 1069 1
143 1069 1
144 1069 1
145 1069 1
5 1069 1
146 1069 1
147 1069 1
148 1069 1
149 1069 1
150 1069 1
151 1069 1
152 1069 1
153 1069 1
154 1069 1
155 1069 1
156 1069 1
157 1069 1
158 1069 1
159 1069 1
160 1069 1
161 1069 1
162 1069 1
84 1069 1
163 1069 1
164 1069 1
165 1069 1
166 1069 1
167 1069 1
168 1069 1
169 1069 1
170 1069 1
51 1069 1
171 1069 1
172 1070 1
173 1070 1
96 1070 1
174 1070 1
77 1070 1
175 1070 1
34 1070 1
176 1070 1
177 1070 1
118 1070 1
68 1070 1
178 1070 1
179 1070 1
82 1070 1
180 1070 1
181 1070 1
127 1070 1
182 1070 1
183 1070 1
184 1070 1
185 1070 1
131 1070 1
186 1070 1
187 1070 1
132 1070 1
188 1070 1
30 1070 1
141 1070 1
78 1070 1
142 1070 1
189 1070 1
190 1070 1
191 1070 1
192 1070 1
193 1070 1
164 1070 1
194 1071 1
195 1071 1
196 1071 1
95 1072 1
85 1072 1
197 1072 1
198 1072 1
20 1072 1
199 1072 1
200 1073 1
201 1073 1
91 1073 1
202 1073 1
175 1073 1
203 1073 1
204 1073 1
15 1073 1
205 1073 1
176 1073 1
206 1073 1
207 1073 1
46 1073 1
208 1073 1
209 1073 1
31 1073 1
210 1073 1
83 1073 1
211 1073 1
57 1073 1
80 1073 1
155 1073 1
212 1073 1
213 1073 1
214 1073 1
192 1073 1
215 1073 1
216 1073 1
217 1074 1
218 1074 1
200 1074 1
202 1074 1
219 1074 1
220 1074 1
221 1074 1
203 1074 1
204 1074 1
222 1074 1
223 1074 1
224 1074 1
225 1074 1
215 1074 1
226 1075 1
197 1075 1
227 1075 1
228 1075 1
30 1075 1
229 1075 1
199 1075 1
230 1075 1
231 1075 1
86 1076 1
55 1076 1
232 1076 1
94 1076 1
233 1076 1
98 1076 1
234 1076 1
235 1076 1
236 1076 1
100 1076 1
59 1076 1
237 1076 1
107 1076 1
16 1076 1
238 1076 1
239 1076 1
240 1076 1
241 1076 1
115 1076 1
242 1076 1
66 1076 1
243 1076 1
21 1076 1
22 1076 1
244 1076 1
6 1076 1
7 1076 1
8 1076 1
130 1076 1
3 1076 1
245 1076 1
211 1076 1
246 1076 1
247 1076 1
79 1076 1
248 1076 1
155 1076 1
156 1076 1
249 1076 1
250 1076 1
36 1076 1
20 1076 1
251 1076 1
215 1076 1
252 1076 1
230 1076 1
253 1076 1
86 1077 1
172 1077 1
19 1077 1
219 1077 1
12 1077 1
254 1077 1
98 1077 1
255 1077 1
100 1077 1
221 1077 1
107 1077 1
17 1077 1
115 1077 1
256 1077 1
7 1077 1
257 1077 1
258 1077 1
8 1077 1
259 1077 1
260 1077 1
134 1077 1
261 1077 1
262 1077 1
263 1077 1
264 1077 1
265 1077 1
224 1077 1
266 1077 1
163 1077 1
215 1077 1
170 1077 1
267 1078 1
268 1079 1
269 1079 1
215 1079 1
270 1079 1
87 1080 1
173 1080 1
271 1080 1
88 1080 1
268 1080 1
94 1080 1
272 1080 1
273 1080 1
19 1080 1
174 1080 1
12 1080 1
175 1080 1
235 1080 1
99 1080 1
102 1080 1
274 1080 1
275 1080 1
104 1080 1
106 1080 1
276 1080 1
205 1080 1
110 1080 1
277 1080 1
112 1080 1
278 1080 1
279 1080 1
256 1080 1
118 1080 1
68 1080 1
280 1080 1
281 1080 1
207 1080 1
45 1080 1
282 1080 1
126 1080 1
127 1080 1
283 1080 1
259 1080 1
284 1080 1
260 1080 1
285 1080 1
286 1080 1
287 1080 1
75 1080 1
133 1080 1
134 1080 1
31 1080 1
288 1080 1
289 1080 1
141 1080 1
290 1080 1
5 1080 1
264 1080 1
247 1080 1
291 1080 1
248 1080 1
154 1080 1
155 1080 1
292 1080 1
160 1080 1
293 1080 1
161 1080 1
294 1080 1
251 1080 1
165 1080 1
230 1080 1
295 1080 1
87 1081 1
296 1081 1
0 1081 1
297 1081 1
298 1081 1
299 1081 1
102 1081 1
300 1081 1
4 1081 1
103 1081 1
105 1081 1
241 1081 1
301 1081 1
302 1081 1
303 1081 1
304 1081 1
119 1081 1
305 1081 1
306 1081 1
46 1081 1
47 1081 1
244 1081 1
307 1081 1
131 1081 1
197 1081 1
308 1081 1
28 1081 1
309 1081 1
310 1081 1
36 1081 1
84 1081 1
41 1081 1
43 1081 1
311 1081 1
312 1081 1
230 1081 1
51 1081 1
52 1081 1
53 1081 1
268 1082 1
313 1082 1
68 1082 1
314 1082 1
306 1082 1
181 1082 1
257 1082 1
315 1082 1
141 1082 1
316 1082 1
317 1082 1
64 1082 1
161 1082 1
318 1083 1
319 1083 1
254 1083 1
320 1083 1
244 1083 1
131 1083 1
228 1083 1
293 1083 1
321 1084 1
322 1084 1
86 1084 1
323 1084 1
173 1084 1
271 1084 1
324 1084 1
74 1084 1
56 1084 1
325 1084 1
268 1084 1
326 1084 1
76 1084 1
327 1084 1
93 1084 1
272 1084 1
97 1084 1
328 1084 1
175 1084 1
329 1084 1
330 1084 1
331 1084 1
274 1084 1
332 1084 1
103 1084 1
203 1084 1
105 1084 1
106 1084 1
276 1084 1
59 1084 1
222 1084 1
333 1084 1
113 1084 1
206 1084 1
334 1084 1
335 1084 1
116 1084 1
118 1084 1
336 1084 1
337 1084 1
338 1084 1
314 1084 1
339 1084 1
207 1084 1
340 1084 1
44 1084 1
306 1084 1
341 1084 1
342 1084 1
343 1084 1
344 1084 1
307 1084 1
345 1084 1
346 1084 1
126 1084 1
127 1084 1
347 1084 1
50 1084 1
348 1084 1
283 1084 1
349 1084 1
350 1084 1
184 1084 1
351 1084 1
185 1084 1
352 1084 1
353 1084 1
354 1084 1
355 1084 1
356 1084 1
131 1084 1
308 1084 1
357 1084 1
3 1084 1
358 1084 1
188 1084 1
133 1084 1
359 1084 1
360 1084 1
134 1084 1
361 1084 1
228 1084 1
31 1084 1
362 1084 1
137 1084 1
245 1084 1
289 1084 1
141 1084 1
