6996 194541
0 1078 1
1 1078 1
2 1079 1
3 1079 1
4 1079 1
5 1079 1
6 1079 1
7 1079 1
8 1079 1
9 1080 1
10 1080 1
11 1080 1
12 1080 1
13 1080 1
14 1080 1
15 1080 1
16 1080 1
17 1081 1
18 1081 1
19 1081 1
20 1081 1
21 1081 1
22 1081 1
23 1081 1
24 1081 1
25 1081 1
26 1081 1
6 1081 1
27 1081 1
28 1081 1
29 1081 1
30 1081 1
31 1081 1
32 1081 1
33 1081 1
34 1081 1
35 1081 1
36 1081 1
37 1081 1
38 1081 1
39 1081 1
40 1081 1
41 1081 1
42 1081 1
43 1081 1
44 1081 1
45 1081 1
46 1081 1
47 1081 1
48 1081 1
49 1081 1
50 1082 1
51 1082 1
52 1082 1
1 1082 1
53 1082 1
54 1082 1
9 1082 1
55 1082 1
56 1082 1
57 1082 1
58 1082 1
59 1082 1
60 1082 1
61 1082 1
62 1082 1
63 1082 1
64 1083 1
65 1083 1
66 1083 1
67 1083 1
68 1083 1
69 1083 1
70 1083 1
71 1083 1
72 1083 1
73 1083 1
44 1083 1
74 1084 1
0 1084 1
57 1084 1
75 1084 1
76 1084 1
77 1085 1
78 1085 1
79 1085 1
80 1085 1
64 1085 1
81 1085 1
50 1085 1
82 1085 1
83 1085 1
84 1085 1
85 1085 1
86 1085 1
87 1085 1
88 1085 1
6 1085 1
89 1085 1
90 1085 1
91 1085 1
92 1085 1
93 1085 1
0 1085 1
7 1085 1
94 1085 1
95 1085 1
96 1085 1
97 1085 1
53 1085 1
98 1085 1
99 1085 1
100 1085 1
5 1085 1
101 1085 1
102 1085 1
103 1085 1
104 1085 1
105 1085 1
106 1085 1
107 1085 1
59 1085 1
108 1085 1
109 1085 1
110 1085 1
111 1085 1
41 1085 1
112 1085 1
113 1085 1
114 1085 1
115 1085 1
116 1085 1
117 1085 1
118 1085 1
119 1085 1
120 1085 1
121 1085 1
122 1085 1
123 1085 1
124 1085 1
125 1085 1
126 1085 1
127 1085 1
128 1085 1
129 1085 1
130 1085 1
131 1085 1
1 1085 1
132 1085 1
133 1085 1
134 1085 1
135 1085 1
136 1085 1
137 1085 1
138 1085 1
139 1085 1
140 1085 1
141 1085 1
142 1085 1
143 1085 1
144 1085 1
145 1085 1
146 1085 1
75 1085 1
147 1085 1
148 1085 1
149 1085 1
150 1085 1
151 1085 1
152 1085 1
153 1085 1
154 1085 1
47 1085 1
155 1085 1
156 1086 1
157 1086 1
86 1086 1
158 1086 1
67 1086 1
159 1086 1
160 1086 1
29 1086 1
161 1086 1
162 1086 1
107 1086 1
59 1086 1
163 1086 1
164 1086 1
73 1086 1
165 1086 1
166 1086 1
115 1086 1
167 1086 1
168 1086 1
169 1086 1
170 1086 1
117 1086 1
171 1086 1
172 1086 1
118 1086 1
173 1086 1
25 1086 1
127 1086 1
68 1086 1
128 1086 1
174 1086 1
175 1086 1
176 1086 1
177 1086 1
178 1086 1
148 1086 1
179 1087 1
180 1087 1
181 1087 1
76 1088 1
72 1088 1
182 1088 1
183 1088 1
184 1088 1
185 1088 1
14 1088 1
186 1088 1
72 1089 1
187 1090 1
4 1090 1
188 1090 1
82 1090 1
189 1090 1
159 1090 1
190 1090 1
191 1090 1
192 1090 1
193 1090 1
194 1090 1
9 1090 1
195 1090 1
161 1090 1
196 1090 1
197 1090 1
198 1090 1
42 1090 1
199 1090 1
200 1090 1
201 1090 1
184 1090 1
26 1090 1
74 1090 1
202 1090 1
51 1090 1
139 1090 1
203 1090 1
204 1090 1
205 1090 1
206 1090 1
207 1090 1
177 1090 1
208 1090 1
209 1091 1
210 1091 1
187 1091 1
189 1091 1
88 1091 1
211 1091 1
212 1091 1
213 1091 1
191 1091 1
192 1091 1
214 1091 1
215 1091 1
216 1091 1
217 1091 1
218 1092 1
219 1092 1
220 1092 1
221 1092 1
182 1092 1
222 1092 1
223 1092 1
224 1092 1
25 1092 1
225 1092 1
186 1092 1
226 1092 1
227 1092 1
77 1093 1
228 1093 1
85 1093 1
229 1093 1
89 1093 1
230 1093 1
231 1093 1
232 1093 1
160 1093 1
91 1093 1
53 1093 1
10 1093 1
233 1093 1
234 1093 1
235 1093 1
236 1093 1
237 1093 1
57 1093 1
238 1093 1
15 1093 1
16 1093 1
72 1093 1
239 1093 1
183 1093 1
240 1093 1
202 1093 1
241 1093 1
242 1093 1
69 1093 1
243 1093 1
139 1093 1
140 1093 1
244 1093 1
245 1093 1
31 1093 1
14 1093 1
246 1093 1
207 1093 1
247 1093 1
226 1093 1
248 1093 1
77 1094 1
156 1094 1
13 1094 1
211 1094 1
6 1094 1
249 1094 1
89 1094 1
250 1094 1
91 1094 1
213 1094 1
11 1094 1
251 1094 1
252 1094 1
253 1094 1
254 1094 1
255 1094 1
256 1094 1
183 1094 1
120 1094 1
257 1094 1
258 1094 1
259 1094 1
260 1094 1
203 1094 1
261 1094 1
216 1094 1
262 1094 1
147 1094 1
263 1094 1
154 1094 1
264 1095 1
265 1096 1
266 1096 1
267 1096 1
78 1097 1
268 1097 1
157 1097 1
269 1097 1
79 1097 1
265 1097 1
85 1097 1
270 1097 1
271 1097 1
13 1097 1
158 1097 1
