7181 214672
0 1227 1
1 1227 1
2 1227 1
3 1227 1
4 1227 1
5 1228 1
6 1228 1
7 1228 1
8 1228 1
9 1228 1
10 1228 1
11 1228 1
12 1228 1
13 1228 1
14 1228 1
15 1228 1
16 1228 1
17 1228 1
18 1229 1
19 1229 1
20 1229 1
21 1229 1
22 1229 1
23 1229 1
24 1229 1
25 1229 1
26 1230 1
27 1230 1
28 1230 1
29 1230 1
30 1230 1
31 1230 1
32 1230 1
33 1230 1
34 1230 1
35 1230 1
36 1230 1
37 1230 1
38 1230 1
39 1230 1
40 1230 1
41 1230 1
42 1230 1
12 1230 1
43 1230 1
44 1230 1
45 1230 1
46 1230 1
47 1230 1
48 1230 1
49 1230 1
50 1230 1
51 1230 1
52 1230 1
53 1230 1
54 1230 1
55 1230 1
56 1230 1
57 1230 1
58 1230 1
59 1230 1
60 1230 1
61 1230 1
62 1230 1
63 1230 1
64 1230 1
65 1230 1
66 1230 1
67 1230 1
68 1230 1
69 1230 1
70 1230 1
71 1231 1
2 1231 1
72 1231 1
73 1231 1
74 1231 1
4 1231 1
75 1231 1
76 1231 1
77 1231 1
18 1231 1
78 1231 1
79 1231 1
80 1231 1
81 1231 1
82 1231 1
83 1231 1
0 1231 1
84 1231 1
85 1231 1
86 1231 1
87 1231 1
88 1231 1
89 1232 1
90 1232 1
91 1232 1
92 1232 1
93 1232 1
94 1232 1
95 1232 1
13 1232 1
96 1232 1
97 1232 1
98 1232 1
99 1232 1
100 1232 1
101 1232 1
5 1232 1
102 1232 1
103 1232 1
9 1232 1
104 1232 1
105 1232 1
11 1232 1
106 1232 1
107 1232 1
63 1232 1
108 1233 1
3 1233 1
109 1233 1
110 1233 1
81 1233 1
111 1233 1
112 1233 1
113 1233 1
114 1234 1
115 1234 1
116 1234 1
117 1234 1
118 1234 1
89 1234 1
119 1234 1
71 1234 1
120 1234 1
121 1234 1
122 1234 1
123 1234 1
124 1234 1
125 1234 1
126 1234 1
127 1234 1
10 1234 1
128 1234 1
129 1234 1
12 1234 1
130 1234 1
131 1234 1
132 1234 1
133 1234 1
134 1234 1
3 1234 1
14 1234 1
135 1234 1
136 1234 1
137 1234 1
138 1234 1
75 1234 1
5 1234 1
139 1234 1
140 1234 1
141 1234 1
142 1234 1
8 1234 1
143 1234 1
144 1234 1
145 1234 1
146 1234 1
147 1234 1
148 1234 1
149 1234 1
150 1234 1
151 1234 1
83 1234 1
0 1234 1
152 1234 1
153 1234 1
154 1234 1
155 1234 1
60 1234 1
86 1234 1
156 1234 1
157 1234 1
158 1234 1
159 1234 1
160 1234 1
161 1234 1
162 1234 1
163 1234 1
2 1234 1
164 1234 1
165 1234 1
166 1234 1
167 1234 1
93 1234 1
168 1234 1
169 1234 1
170 1234 1
171 1234 1
172 1234 1
173 1234 1
174 1234 1
175 1234 1
96 1234 1
176 1234 1
177 1234 1
178 1234 1
179 1234 1
4 1234 1
180 1234 1
181 1234 1
182 1234 1
183 1234 1
184 1234 1
185 1234 1
186 1234 1
187 1234 1
188 1234 1
189 1234 1
190 1234 1
191 1234 1
192 1234 1
193 1234 1
104 1234 1
194 1234 1
111 1234 1
195 1234 1
196 1234 1
197 1234 1
198 1234 1
199 1234 1
200 1234 1
201 1234 1
202 1234 1
67 1234 1
203 1234 1
204 1234 1
205 1235 1
206 1235 1
125 1235 1
207 1235 1
95 1235 1
208 1235 1
209 1235 1
48 1235 1
210 1235 1
211 1235 1
212 1235 1
149 1235 1
83 1235 1
213 1235 1
214 1235 1
107 1235 1
215 1235 1
216 1235 1
159 1235 1
217 1235 1
218 1235 1
219 1235 1
220 1235 1
163 1235 1
221 1235 1
222 1235 1
165 1235 1
223 1235 1
40 1235 1
175 1235 1
96 1235 1
97 1235 1
176 1235 1
224 1235 1
225 1235 1
226 1235 1
227 1235 1
228 1235 1
229 1235 1
230 1235 1
196 1235 1
231 1236 1
232 1236 1
233 1236 1
234 1237 1
112 1237 1
235 1237 1
236 1237 1
237 1237 1
238 1237 1
239 1237 1
23 1237 1
240 1237 1
241 1237 1
242 1238 1
243 1239 1
244 1239 1
120 1239 1
245 1239 1
208 1239 1
246 1239 1
247 1239 1
18 1239 1
248 1239 1
210 1239 1
249 1239 1
250 1239 1
61 1239 1
251 1239 1
252 1239 1
93 1239 1
42 1239 1
108 1239 1
253 1239 1
73 1239 1
187 1239 1
254 1239 1
255 1239 1
256 1239 1
229 1239 1
257 1239 1
258 1240 1
259 1240 1
243 1240 1
245 1240 1
129 1240 1
260 1240 1
261 1240 1
262 1240 1
246 1240 1
247 1240 1
263 1240 1
264 1240 1
265 1240 1
266 1240 1
13 1241 1
267 1241 1
268 1241 1
269 1241 1
31 1241 1
236 1241 1
270 1241 1
271 1241 1
272 1241 1
40 1241 1
273 1241 1
240 1241 1
241 1241 1
274 1241 1
275 1241 1
114 1242 1
30 1242 1
276 1242 1
277 1242 1
124 1242 1
278 1242 1
130 1242 1
279 1242 1
280 1242 1
13 1242 1
281 1242 1
282 1242 1
283 1242 1
284 1242 1
132 1242 1
209 1242 1
75 1242 1
5 1242 1
19 1242 1
285 1242 1
286 1242 1
287 1242 1
288 1242 1
289 1242 1
81 1242 1
290 1242 1
234 1242 1
24 1242 1
25 1242 1
291 1242 1
292 1242 1
2 1242 1
293 1242 1
174 1242 1
253 1242 1
294 1242 1
295 1242 1
101 1242 1
296 1242 1
187 1242 1
47 1242 1
188 1242 1
297 1242 1
298 1242 1
9 1242 1
50 1242 1
299 1242 1
23 1242 1
105 1242 1
11 1242 1
300 1242 1
240 1242 1
301 1242 1
274 1242 1
302 1242 1
114 1243 1
205 1243 1
303 1243 1
22 1243 1
128 1243 1
260 1243 1
12 1243 1
304 1243 1
130 1243 1
305 1243 1
132 1243 1
98 1243 1
262 1243 1
20 1243 1
306 1243 1
269 1243 1
307 1243 1
308 1243 1
309 1243 1
310 1243 1
167 1243 1
311 1243 1
312 1243 1
313 1243 1
314 1243 1
315 1243 1
265 1243 1
316 1243 1
195 1243 1
202 1243 1
317 1244 1
318 1245 1
319 1245 1
320 1245 1
115 1246 1
206 1246 1
321 1246 1
117 1246 1
318 1246 1
124 1246 1
322 1246 1
323 1246 1
22 1246 1
207 1246 1
12 1246 1
208 1246 1
13 1246 1
281 1246 1
131 1246 1
134 1246 1
324 1246 1
325 1246 1
136 1246 1
138 1246 1
326 1246 1
248 1246 1
142 1246 1
327 1246 1
144 1246 1
328 1246 1
329 1246 1
306 1246 1
149 1246 1
83 1246 1
330 1246 1
331 1246 1
250 1246 1
60 1246 1
332 1246 1
158 1246 1
159 1246 1
