7192 243982
0 1211 1
1 1211 1
2 1212 1
3 1212 1
4 1212 1
5 1212 1
6 1212 1
7 1212 1
8 1212 1
9 1212 1
10 1212 1
11 1212 1
12 1212 1
13 1213 1
14 1213 1
15 1213 1
16 1213 1
17 1213 1
18 1213 1
19 1213 1
20 1213 1
21 1213 1
22 1213 1
23 1214 1
24 1214 1
25 1214 1
26 1214 1
27 1214 1
28 1214 1
29 1214 1
30 1214 1
31 1214 1
8 1214 1
32 1214 1
9 1214 1
33 1214 1
34 1214 1
35 1214 1
36 1214 1
37 1214 1
38 1214 1
39 1214 1
40 1214 1
41 1214 1
42 1214 1
43 1214 1
44 1214 1
45 1214 1
46 1214 1
47 1214 1
48 1214 1
49 1214 1
50 1214 1
51 1214 1
52 1214 1
53 1214 1
54 1214 1
55 1214 1
56 1214 1
57 1214 1
58 1214 1
59 1214 1
60 1215 1
6 1215 1
61 1215 1
62 1215 1
1 1215 1
63 1215 1
64 1215 1
13 1215 1
65 1215 1
66 1215 1
67 1215 1
68 1215 1
69 1215 1
70 1215 1
71 1215 1
72 1215 1
73 1215 1
7 1216 1
74 1217 1
75 1217 1
76 1217 1
77 1217 1
78 1217 1
79 1217 1
80 1217 1
81 1217 1
82 1217 1
83 1217 1
84 1217 1
51 1217 1
54 1217 1
85 1218 1
0 1218 1
34 1218 1
86 1218 1
67 1218 1
87 1218 1
88 1218 1
89 1219 1
90 1219 1
91 1219 1
5 1219 1
17 1219 1
92 1219 1
93 1219 1
74 1219 1
94 1219 1
60 1219 1
95 1219 1
96 1219 1
97 1219 1
98 1219 1
99 1219 1
100 1219 1
101 1219 1
102 1219 1
103 1219 1
9 1219 1
104 1219 1
105 1219 1
106 1219 1
107 1219 1
108 1219 1
109 1219 1
0 1219 1
10 1219 1
110 1219 1
34 1219 1
111 1219 1
112 1219 1
113 1219 1
63 1219 1
114 1219 1
115 1219 1
116 1219 1
117 1219 1
4 1219 1
118 1219 1
119 1219 1
120 1219 1
121 1219 1
122 1219 1
123 1219 1
124 1219 1
125 1219 1
126 1219 1
127 1219 1
128 1219 1
41 1219 1
69 1219 1
129 1219 1
130 1219 1
131 1219 1
132 1219 1
133 1219 1
49 1219 1
51 1219 1
134 1219 1
135 1219 1
136 1219 1
137 1219 1
138 1219 1
139 1219 1
140 1219 1
141 1219 1
142 1219 1
143 1219 1
144 1219 1
145 1219 1
146 1219 1
147 1219 1
148 1219 1
149 1219 1
150 1219 1
151 1219 1
152 1219 1
153 1219 1
154 1219 1
155 1219 1
156 1219 1
157 1219 1
1 1219 1
158 1219 1
159 1219 1
160 1219 1
161 1219 1
162 1219 1
163 1219 1
164 1219 1
165 1219 1
166 1219 1
167 1219 1
14 1219 1
168 1219 1
169 1219 1
170 1219 1
171 1219 1
172 1219 1
173 1219 1
174 1219 1
87 1219 1
175 1219 1
176 1219 1
177 1219 1
178 1219 1
179 1219 1
180 1219 1
181 1219 1
182 1219 1
183 1219 1
57 1219 1
184 1219 1
185 1219 1
186 1220 1
187 1220 1
6 1220 1
96 1220 1
101 1220 1
188 1220 1
77 1220 1
189 1220 1
37 1220 1
190 1220 1
191 1220 1
192 1220 1
127 1220 1
69 1220 1
193 1220 1
194 1220 1
84 1220 1
195 1220 1
196 1220 1
139 1220 1
197 1220 1
198 1220 1
199 1220 1
200 1220 1
142 1220 1
201 1220 1
202 1220 1
143 1220 1
203 1220 1
31 1220 1
8 1220 1
153 1220 1
78 1220 1
154 1220 1
204 1220 1
14 1220 1
205 1220 1
172 1220 1
206 1220 1
207 1220 1
208 1220 1
177 1220 1
209 1220 1
11 1220 1
210 1221 1
211 1221 1
212 1221 1
213 1221 1
214 1221 1
123 1222 1
88 1222 1
215 1222 1
216 1222 1
217 1222 1
218 1222 1
20 1222 1
219 1222 1
220 1222 1
184 1222 1
221 1223 1
222 1224 1
223 1224 1
224 1224 1
97 1224 1
225 1224 1
189 1224 1
226 1224 1
227 1224 1
228 1224 1
229 1224 1
13 1224 1
230 1224 1
191 1224 1
231 1224 1
232 1224 1
50 1224 1
233 1224 1
234 1224 1
7 1224 1
32 1224 1
85 1224 1
235 1224 1
61 1224 1
166 1224 1
14 1224 1
236 1224 1
237 1224 1
238 1224 1
