7385 265609
0 1390 1
1 1390 1
2 1391 1
3 1391 1
4 1391 1
5 1391 1
6 1391 1
7 1391 1
8 1391 1
9 1391 1
10 1391 1
11 1391 1
12 1391 1
13 1391 1
14 1391 1
15 1391 1
16 1391 1
17 1391 1
18 1391 1
19 1392 1
20 1392 1
21 1392 1
22 1392 1
23 1392 1
24 1392 1
25 1392 1
26 1392 1
27 1392 1
28 1392 1
29 1392 1
30 1393 1
31 1393 1
32 1393 1
33 1393 1
34 1393 1
35 1393 1
36 1393 1
37 1393 1
38 1393 1
39 1393 1
40 1393 1
41 1393 1
42 1393 1
43 1393 1
12 1393 1
44 1393 1
14 1393 1
45 1393 1
46 1393 1
47 1393 1
48 1393 1
49 1393 1
50 1393 1
51 1393 1
52 1393 1
53 1393 1
54 1393 1
55 1393 1
56 1393 1
57 1393 1
58 1393 1
59 1393 1
60 1393 1
61 1393 1
62 1393 1
63 1393 1
64 1393 1
65 1393 1
66 1393 1
67 1393 1
68 1393 1
69 1393 1
70 1393 1
71 1393 1
72 1393 1
73 1393 1
74 1393 1
75 1393 1
76 1394 1
8 1394 1
77 1394 1
78 1394 1
1 1394 1
79 1394 1
80 1394 1
81 1394 1
19 1394 1
82 1394 1
83 1394 1
84 1394 1
85 1394 1
86 1394 1
87 1394 1
88 1394 1
89 1394 1
90 1394 1
91 1395 1
31 1396 1
92 1396 1
93 1396 1
94 1396 1
95 1396 1
96 1396 1
97 1396 1
15 1396 1
98 1396 1
99 1396 1
100 1396 1
101 1396 1
9 1396 1
56 1396 1
102 1396 1
65 1396 1
103 1396 1
104 1396 1
105 1396 1
70 1396 1
91 1397 1
42 1397 1
106 1397 1
107 1397 1
0 1397 1
46 1397 1
108 1397 1
84 1397 1
109 1397 1
56 1397 1
110 1397 1
111 1397 1
112 1398 1
113 1398 1
114 1398 1
23 1398 1
115 1398 1
116 1398 1
92 1398 1
117 1398 1
76 1398 1
118 1398 1
119 1398 1
120 1398 1
121 1398 1
122 1398 1
123 1398 1
124 1398 1
125 1398 1
126 1398 1
14 1398 1
127 1398 1
128 1398 1
129 1398 1
130 1398 1
131 1398 1
0 1398 1
16 1398 1
132 1398 1
46 1398 1
133 1398 1
134 1398 1
135 1398 1
79 1398 1
136 1398 1
137 1398 1
138 1398 1
7 1398 1
139 1398 1
140 1398 1
141 1398 1
142 1398 1
143 1398 1
144 1398 1
145 1398 1
146 1398 1
86 1398 1
147 1398 1
148 1398 1
149 1398 1
150 1398 1
67 1398 1
151 1398 1
152 1398 1
153 1398 1
154 1398 1
155 1398 1
156 1398 1
157 1398 1
158 1398 1
159 1398 1
160 1398 1
161 1398 1
162 1398 1
163 1398 1
164 1398 1
165 1398 1
166 1398 1
167 1398 1
168 1398 1
169 1398 1
170 1398 1
171 1398 1
1 1398 1
172 1398 1
173 1398 1
174 1398 1
175 1398 1
176 1398 1
177 1398 1
178 1398 1
179 1398 1
180 1398 1
181 1398 1
20 1398 1
182 1398 1
183 1398 1
184 1398 1
185 1398 1
186 1398 1
187 1398 1
188 1398 1
109 1398 1
189 1398 1
190 1398 1
191 1398 1
192 1398 1
193 1398 1
194 1398 1
195 1398 1
196 1398 1
197 1398 1
73 1398 1
198 1398 1
199 1399 1
200 1399 1
8 1399 1
119 1399 1
124 1399 1
201 1399 1
95 1399 1
202 1399 1
50 1399 1
203 1399 1
204 1399 1
145 1399 1
86 1399 1
205 1399 1
206 1399 1
104 1399 1
207 1399 1
208 1399 1
154 1399 1
209 1399 1
210 1399 1
211 1399 1
212 1399 1
157 1399 1
213 1399 1
214 1399 1
158 1399 1
215 1399 1
43 1399 1
12 1399 1
167 1399 1
98 1399 1
168 1399 1
216 1399 1
49 1399 1
20 1399 1
