5092 42234
0 273 1
1 273 1
2 273 1
3 273 1
4 273 1
5 273 1
6 274 1
7 274 1
8 274 1
9 274 1
10 274 1
11 274 1
12 274 1
13 274 1
14 274 1
15 274 1
16 274 1
17 274 1
18 274 1
19 274 1
20 275 1
6 276 1
21 276 1
22 276 1
23 276 1
24 276 1
25 276 1
6 277 1
20 277 1
11 277 1
26 277 1
27 277 1
28 278 1
29 278 1
30 278 1
31 278 1
32 278 1
3 278 1
12 279 1
33 279 1
34 279 1
25 280 1
35 280 1
36 280 1
0 281 1
36 281 1
1 282 1
37 282 1
38 282 1
6 282 1
20 282 1
0 282 1
26 282 1
31 282 1
17 282 1
39 282 1
40 282 1
41 282 1
42 282 1
43 282 1
44 283 1
11 284 1
45 284 1
46 284 1
29 284 1
47 284 1
48 284 1
7 284 1
20 284 1
49 284 1
13 284 1
17 284 1
4 284 1
50 284 1
51 284 1
28 285 1
38 285 1
0 285 1
52 285 1
53 285 1
22 285 1
31 285 1
24 285 1
41 285 1
42 285 1
43 285 1
54 285 1
51 285 1
36 285 1
44 286 1
28 286 1
46 286 1
29 286 1
20 286 1
13 286 1
20 287 1
55 288 1
56 288 1
57 288 1
0 288 1
53 288 1
31 288 1
58 288 1
59 288 1
24 288 1
43 288 1
51 288 1
36 288 1
60 289 1
61 289 1
62 289 1
63 289 1
11 289 1
64 289 1
65 289 1
46 289 1
29 289 1
48 289 1
7 289 1
66 289 1
67 289 1
68 289 1
69 289 1
70 289 1
16 289 1
17 289 1
71 289 1
72 289 1
24 289 1
73 289 1
42 289 1
74 289 1
25 289 1
18 289 1
43 289 1
75 289 1
54 289 1
51 289 1
76 289 1
30 290 1
20 290 1
37 291 1
46 291 1
77 291 1
22 291 1
31 291 1
39 291 1
3 291 1
60 292 1
62 292 1
78 292 1
4 293 1
79 294 1
56 294 1
11 295 1
80 295 1
6 296 1
31 296 1
8 297 1
61 297 1
62 297 1
78 297 1
81 297 1
79 297 1
14 297 1
2 297 1
48 297 1
7 297 1
67 297 1
5 297 1
82 297 1
17 297 1
83 297 1
72 297 1
3 297 1
24 297 1
4 297 1
43 297 1
2 298 1
84 299 1
8 299 1
61 299 1
9 299 1
45 299 1
12 299 1
33 299 1
46 299 1
38 299 1
30 299 1
7 299 1
85 299 1
26 299 1
86 299 1
71 299 1
72 299 1
24 299 1
73 299 1
42 299 1
43 299 1
87 299 1
88 300 1
89 300 1
44 301 1
12 301 1
90 301 1
31 302 1
46 303 1
29 303 1
71 303 1
75 303 1
91 303 1
20 304 1
92 304 1
53 305 1
93 306 1
1 307 1
85 307 1
52 307 1
31 307 1
36 307 1
94 307 1
95 307 1
2 307 1
71 307 1
27 307 1
59 308 1
25 308 1
46 308 1
5 308 1
69 308 1
73 308 1
6 309 1
20 309 1
1 310 1
59 310 1
23 310 1
28 310 1
24 310 1
54 310 1
60 311 1
8 311 1
96 311 1
6 311 1
7 311 1
89 311 1
97 311 1
22 311 1
17 311 1
40 311 1
23 311 1
42 311 1
18 311 1
51 311 1
98 311 1
28 311 1
45 311 1
12 311 1
94 311 1
99 311 1
46 311 1
100 311 1
29 311 1
67 311 1
101 311 1
68 311 1
82 311 1
53 311 1
16 311 1
102 311 1
58 311 1
103 311 1
75 311 1
54 311 1
104 311 1
91 311 1
33 312 1
81 313 1
17 313 1
51 313 1
12 313 1
33 313 1
6 314 1
20 314 1
13 314 1
81 315 1
6 315 1
105 315 1
28 315 1
11 315 1
12 315 1
48 315 1
91 315 1
106 316 1
14 316 1
6 316 1
4 316 1
62 316 1
3 316 1
22 317 1
59 317 1
23 317 1
45 317 1
37 318 1
13 318 1
107 319 1
81 319 1
6 319 1
85 319 1
89 319 1
108 319 1
31 319 1
23 319 1
4 319 1
62 319 1
45 319 1
109 319 1
2 319 1
67 319 1
110 319 1
5 319 1
111 319 1
68 319 1
72 319 1
3 319 1
50 319 1
104 319 1
112 320 1
12 320 1
30 320 1
52 321 1
95 321 1
20 321 1
0 321 1
4 322 1
2 322 1
5 322 1
3 322 1
6 323 1
7 323 1
67 323 1
41 324 1
12 324 1
20 325 1
26 326 1
31 326 1
1 327 1
52 327 1
59 327 1
28 327 1
46 327 1
20 327 1
0 327 1
113 327 1
91 327 1
114 328 1
23 328 1
51 328 1
45 328 1
33 328 1
69 328 1
105 329 1
51 329 1
48 329 1
20 329 1
13 329 1
115 329 1
31 330 1
1 331 1
45 331 1
13 331 1
31 332 1
116 333 1
49 333 1
4 333 1
25 333 1
62 333 1
33 333 1
69 333 1
3 333 1
67 334 1
13 335 1
56 336 1
117 337 1
15 338 1
79 338 1
24 338 1
4 339 1
2 339 1
3 339 1
25 340 1
55 341 1
6 341 1
114 341 1
97 341 1
22 341 1
31 341 1
59 341 1
17 341 1
42 341 1
25 341 1
35 341 1
87 341 1
51 341 1
45 341 1
56 341 1
48 341 1
90 341 1
1 342 1
118 342 1
52 342 1
31 342 1
12 342 1
20 342 1
0 342 1
59 343 1
36 343 1
28 343 1
46 343 1
0 343 1
113 343 1
24 343 1
6 344 1
59 344 1
18 344 1
51 344 1
60 345 1
49 345 1
4 345 1
62 345 1
2 345 1
5 345 1
52 346 1
55 347 1
26 347 1
51 347 1
20 347 1
13 347 1
52 348 1
52 349 1
36 349 1
62 350 1
12 350 1
3 350 1
24 350 1
28 351 1
46 351 1
0 351 1
119 352 1
71 352 1
48 353 1
24 353 1
60 354 1
108 354 1
2 354 1
66 354 1
5 354 1
86 354 1
3 354 1
64 355 1
120 355 1
1 356 1
55 356 1
121 356 1
37 356 1
7 356 1
89 356 1
122 356 1
97 356 1
26 356 1
52 356 1
22 356 1
17 356 1
39 356 1
40 356 1
42 356 1
35 356 1
51 356 1
36 356 1
44 356 1
28 356 1
12 356 1
29 356 1
48 356 1
20 356 1
0 356 1
16 356 1
91 356 1
22 357 1
23 357 1
33 357 1
86 357 1
60 358 1
116 358 1
49 358 1
4 358 1
62 358 1
118 359 1
123 359 1
17 360 1
87 361 1
44 361 1
20 361 1
13 361 1
103 361 1
52 362 1
36 362 1
28 362 1
79 362 1
29 362 1
20 362 1
0 362 1
71 362 1
75 362 1
117 362 1
91 362 1
59 363 1
46 363 1
66 363 1
51 364 1
79 364 1
2 364 1
115 364 1
59 365 1
36 365 1
96 366 1
124 366 1
6 366 1
89 366 1
125 366 1
52 366 1
22 366 1
17 366 1
39 366 1
4 366 1
41 366 1
42 366 1
43 366 1
119 366 1
51 366 1
36 366 1
45 366 1
109 366 1
99 366 1
2 366 1
100 366 1
66 366 1
69 366 1
102 366 1
58 366 1
71 366 1
72 366 1
3 366 1
24 366 1
75 366 1
50 366 1
104 366 1
48 367 1
60 368 1
6 368 1
48 368 1
71 368 1
24 368 1
126 369 1
127 370 1
118 370 1
7 370 1
26 370 1
59 370 1
42 370 1
43 370 1
128 370 1
129 370 1
101 370 1
16 370 1
130 371 1
96 371 1
121 371 1
37 371 1
6 371 1
7 371 1
131 371 1
89 371 1
97 371 1
22 371 1
132 371 1
17 371 1
39 371 1
23 371 1
42 371 1
43 371 1
133 371 1
35 371 1
128 371 1
28 371 1
56 371 1
46 371 1
67 371 1
0 371 1
21 371 1
134 371 1
82 371 1
16 371 1
58 371 1
71 371 1
103 371 1
24 371 1
76 371 1
91 371 1
135 372 1
46 372 1
71 372 1
24 372 1
60 373 1
61 373 1
81 373 1
114 373 1
15 373 1
34 373 1
136 373 1
36 373 1
84 373 1
11 373 1
12 373 1
33 373 1
2 373 1
88 373 1
58 373 1
73 373 1
27 373 1
89 374 1
43 374 1
100 374 1
26 375 1
22 375 1
59 375 1
36 375 1
28 375 1
46 375 1
20 375 1
0 375 1
113 375 1
115 375 1
45 376 1
12 376 1
8 377 1
112 377 1
9 377 1
137 377 1
12 377 1
138 377 1
139 377 1
56 377 1
88 377 1
100 377 1
140 377 1
53 377 1
141 377 1
117 377 1
37 378 1
22 378 1
31 378 1
28 378 1
45 378 1
21 378 1
53 378 1
60 379 1
116 379 1
81 379 1
14 379 1
6 379 1
7 379 1
49 379 1
105 379 1
25 379 1
43 379 1
51 379 1
62 379 1
78 379 1
45 379 1
48 379 1
101 379 1
69 379 1
103 379 1
72 379 1
115 379 1
8 380 1
85 380 1
4 380 1
25 380 1
142 380 1
11 380 1
139 380 1
143 380 1
144 380 1
24 380 1
49 381 1
34 381 1
4 381 1
62 381 1
49 382 1
112 383 1
95 384 1
20 384 1
12 385 1
60 386 1
6 386 1
7 386 1
49 386 1
4 386 1
62 386 1
78 386 1
12 386 1
2 386 1
66 386 1
101 386 1
5 386 1
71 386 1
92 386 1
6 387 1
97 387 1
59 387 1
42 387 1
28 387 1
94 387 1
33 387 1
56 387 1
38 387 1
48 387 1
20 387 1
0 387 1
71 387 1
24 387 1
1 388 1
85 388 1
89 388 1
22 388 1
31 388 1
36 388 1
145 388 1
28 388 1
94 388 1
0 388 1
103 388 1
75 388 1
50 388 1
92 388 1
91 388 1
127 389 1
1 389 1
112 389 1
9 389 1
118 389 1
55 389 1
14 389 1
137 389 1
121 389 1
146 389 1
6 389 1
7 389 1
147 389 1
122 389 1
97 389 1
26 389 1
22 389 1
105 389 1
34 389 1
59 389 1
17 389 1
136 389 1
23 389 1
43 389 1
119 389 1
51 389 1
148 389 1
36 389 1
84 389 1
149 389 1
11 389 1
45 389 1
12 389 1
79 389 1
94 389 1
33 389 1
143 389 1
88 389 1
46 389 1
150 389 1
100 389 1
38 389 1
30 389 1
129 389 1
48 389 1
151 389 1
66 389 1
67 389 1
0 389 1
152 389 1
101 389 1
21 389 1
153 389 1
154 389 1
68 389 1
69 389 1
13 389 1
82 389 1
113 389 1
155 389 1
16 389 1
58 389 1
141 389 1
156 389 1
71 389 1
103 389 1
72 389 1
24 389 1
50 389 1
54 389 1
92 389 1
117 389 1
10 390 1
157 390 1
22 390 1
11 390 1
66 390 1
158 391 1
55 391 1
159 391 1
7 391 1
105 391 1
51 391 1
46 391 1
29 391 1
20 391 1
101 391 1
58 391 1
24 391 1
91 391 1
60 392 1
12 392 1
72 393 1
6 394 1
22 394 1
112 395 1
22 395 1
4 395 1
62 395 1
45 395 1
46 395 1
113 395 1
92 395 1
62 396 1
158 397 1
61 397 1
107 397 1
112 397 1
81 397 1
160 397 1
161 397 1
7 397 1
147 397 1
105 397 1
17 397 1
43 397 1
11 397 1
64 397 1
33 397 1
88 397 1
152 397 1
162 397 1
141 397 1
3 397 1
73 397 1
26 398 1
52 398 1
28 398 1
13 398 1
1 399 1
163 399 1
122 399 1
97 399 1
26 399 1
52 399 1
59 399 1
40 399 1
87 399 1
44 399 1
28 399 1
11 399 1
12 399 1
94 399 1
56 399 1
46 399 1
20 399 1
0 399 1
101 399 1
13 399 1
53 399 1
58 399 1
24 399 1
54 399 1
164 399 1
5 400 1
60 401 1
10 401 1
6 401 1
7 401 1
15 401 1
40 401 1
12 401 1
139 401 1
94 401 1
91 401 1
26 402 1
112 403 1
106 403 1
121 403 1
97 403 1
52 403 1
123 403 1
59 403 1
17 403 1
42 403 1
43 403 1
36 403 1
84 403 1
62 403 1
12 403 1
2 403 1
30 403 1
67 403 1
0 403 1
13 403 1
16 403 1
86 403 1
3 403 1
24 403 1
75 403 1
6 404 1
25 404 1
48 404 1
112 405 1
15 405 1
142 405 1
11 405 1
45 405 1
33 405 1
95 405 1
88 405 1
140 405 1
165 405 1
4 406 1
62 406 1
11 406 1
33 406 1
60 407 1
158 407 1
127 407 1
61 407 1
63 407 1
166 407 1
107 407 1
112 407 1
116 407 1
81 407 1
126 407 1
14 407 1
137 407 1
160 407 1
19 407 1
6 407 1
7 407 1
85 407 1
49 407 1
125 407 1
70 407 1
15 407 1
123 407 1
105 407 1
34 407 1
17 407 1
167 407 1
4 407 1
42 407 1
25 407 1
18 407 1
43 407 1
84 407 1
62 407 1
78 407 1
149 407 1
11 407 1
45 407 1
65 407 1
12 407 1
168 407 1
33 407 1
143 407 1
2 407 1
169 407 1
170 407 1
29 407 1
38 407 1
129 407 1
48 407 1
151 407 1
66 407 1
57 407 1
67 407 1
101 407 1
5 407 1
111 407 1
69 407 1
82 407 1
171 407 1
172 407 1
86 407 1
141 407 1
72 407 1
3 407 1
24 407 1
173 407 1
120 407 1
50 407 1
104 407 1
27 407 1
115 407 1
25 408 1
9 409 1
81 409 1
157 409 1
89 409 1
26 409 1
22 409 1
105 409 1
23 409 1
43 409 1
174 409 1
11 409 1
64 409 1
139 409 1
95 409 1
88 409 1
0 409 1
21 409 1
16 409 1
3 409 1
24 409 1
88 410 1
81 411 1
29 412 1
75 412 1
91 412 1
81 413 1
160 413 1
26 413 1
105 413 1
134 413 1
81 414 1
96 414 1
121 414 1
6 414 1
52 414 1
31 414 1
59 414 1
17 414 1
18 414 1
35 414 1
51 414 1
36 414 1
94 414 1
0 414 1
21 414 1
82 414 1
53 414 1
24 414 1
26 415 1
165 415 1
60 416 1
107 416 1
49 416 1
4 416 1
36 416 1
62 416 1
28 417 1
12 418 1
5 418 1
86 418 1
61 419 1
112 419 1
9 419 1
10 419 1
14 419 1
121 419 1
6 419 1
147 419 1
22 419 1
31 419 1
15 419 1
17 419 1
23 419 1
43 419 1
51 419 1
174 419 1
11 419 1
12 419 1
139 419 1
79 419 1
33 419 1
88 419 1
170 419 1
30 419 1
57 419 1
67 419 1
101 419 1
111 419 1
82 419 1
86 419 1
175 419 1
24 419 1
73 419 1
54 419 1
104 419 1
2 420 1
20 420 1
13 420 1
94 421 1
6 422 1
105 422 1
17 422 1
12 422 1
48 422 1
5 422 1
52 423 1
22 423 1
31 423 1
132 423 1
59 423 1
17 423 1
42 423 1
51 423 1
36 423 1
28 423 1
45 423 1
12 423 1
99 423 1
46 423 1
100 423 1
67 423 1
0 423 1
155 423 1
86 423 1
3 423 1
24 423 1
91 423 1
8 424 1
81 424 1
49 424 1
4 424 1
176 424 1
62 424 1
11 424 1
48 424 1
75 424 1
60 425 1
112 425 1
116 425 1
14 425 1
121 425 1
160 425 1
6 425 1
7 425 1
49 425 1
177 425 1
52 425 1
22 425 1
31 425 1
123 425 1
105 425 1
17 425 1
18 425 1
43 425 1
51 425 1
36 425 1
84 425 1
28 425 1
88 425 1
170 425 1
29 425 1
129 425 1
67 425 1
13 425 1
71 425 1
103 425 1
90 425 1
165 425 1
91 425 1
16 426 1
1 427 1
52 427 1
31 427 1
17 427 1
36 427 1
29 427 1
20 427 1
0 427 1
13 427 1
71 427 1
103 427 1
91 427 1
81 428 1
89 428 1
22 428 1
59 428 1
41 428 1
94 428 1
0 428 1
21 428 1
82 428 1
178 428 1
54 428 1
94 429 1
37 430 1
170 430 1
1 431 1
121 431 1
37 431 1
6 431 1
7 431 1
89 431 1
97 431 1
26 431 1
52 431 1
22 431 1
132 431 1
59 431 1
17 431 1
40 431 1
23 431 1
41 431 1
42 431 1
43 431 1
35 431 1
51 431 1
36 431 1
28 431 1
12 431 1
94 431 1
56 431 1
99 431 1
100 431 1
38 431 1
20 431 1
0 431 1
110 431 1
13 431 1
77 431 1
58 431 1
90 431 1
3 431 1
50 431 1
91 431 1
163 432 1
17 432 1
39 432 1
41 432 1
56 432 1
100 432 1
67 432 1
82 432 1
54 432 1
26 433 1
52 433 1
31 433 1
23 433 1
36 433 1
28 433 1
29 433 1
0 433 1
21 433 1
179 433 1
71 433 1
75 433 1
104 433 1
91 433 1
60 434 1
180 434 1
123 434 1
181 434 1
62 434 1
66 434 1
16 434 1
112 435 1
15 435 1
51 435 1
11 435 1
33 435 1
66 435 1
72 435 1
1 436 1
52 436 1
87 436 1
44 436 1
28 436 1
94 436 1
0 436 1
21 436 1
6 437 1
182 438 1
17 438 1
84 438 1
33 438 1
73 438 1
60 439 1
118 439 1
55 439 1
22 439 1
31 439 1
39 439 1
51 439 1
28 439 1
129 439 1
