7380 196537
0 1425 1
1 1425 1
2 1425 1
3 1425 1
4 1425 1
5 1426 1
6 1426 1
7 1426 1
8 1426 1
9 1426 1
10 1426 1
11 1426 1
12 1426 1
13 1426 1
14 1426 1
15 1426 1
16 1426 1
17 1426 1
18 1426 1
19 1426 1
20 1426 1
21 1426 1
22 1426 1
23 1426 1
24 1426 1
25 1426 1
26 1426 1
27 1426 1
28 1426 1
29 1426 1
30 1426 1
31 1426 1
32 1426 1
33 1426 1
34 1426 1
35 1426 1
36 1426 1
37 1426 1
38 1426 1
39 1426 1
40 1426 1
41 1427 1
9 1428 1
42 1429 1
43 1429 1
44 1429 1
45 1429 1
46 1429 1
47 1429 1
48 1429 1
49 1429 1
50 1429 1
51 1429 1
52 1429 1
53 1429 1
54 1429 1
55 1429 1
56 1429 1
57 1429 1
58 1429 1
59 1429 1
23 1429 1
60 1429 1
61 1429 1
62 1429 1
63 1429 1
64 1429 1
65 1429 1
66 1429 1
67 1429 1
68 1429 1
69 1429 1
70 1429 1
71 1429 1
72 1429 1
73 1429 1
74 1429 1
75 1429 1
76 1429 1
77 1429 1
78 1429 1
79 1429 1
80 1429 1
81 1429 1
82 1429 1
83 1429 1
84 1429 1
85 1429 1
86 1429 1
87 1429 1
88 1429 1
89 1429 1
90 1429 1
91 1429 1
92 1429 1
93 1429 1
94 1429 1
95 1429 1
96 1429 1
97 1429 1
98 1429 1
99 1429 1
100 1429 1
101 1429 1
102 1429 1
103 1429 1
104 1429 1
105 1429 1
106 1429 1
107 1429 1
108 1429 1
109 1429 1
110 1430 1
111 1430 1
112 1430 1
113 1430 1
114 1430 1
115 1430 1
116 1430 1
117 1430 1
118 1430 1
119 1431 1
51 1431 1
120 1431 1
121 1431 1
122 1431 1
123 1431 1
124 1431 1
125 1431 1
3 1431 1
126 1431 1
127 1431 1
128 1431 1
129 1431 1
130 1431 1
131 1431 1
132 1431 1
133 1431 1
134 1431 1
135 1431 1
136 1431 1
137 1431 1
138 1431 1
139 1431 1
140 1431 1
141 1431 1
142 1431 1
143 1431 1
144 1431 1
145 1431 1
146 1431 1
147 1431 1
148 1431 1
5 1431 1
149 1431 1
150 1431 1
151 1431 1
152 1431 1
153 1431 1
154 1431 1
155 1431 1
156 1431 1
2 1431 1
157 1431 1
158 1431 1
159 1431 1
160 1431 1
27 1431 1
88 1431 1
89 1431 1
161 1431 1
162 1431 1
163 1431 1
164 1431 1
165 1431 1
166 1431 1
101 1431 1
103 1431 1
167 1431 1
168 1431 1
169 1431 1
170 1431 1
171 1431 1
110 1432 1
120 1432 1
172 1432 1
173 1432 1
62 1432 1
140 1432 1
174 1432 1
175 1432 1
176 1432 1
115 1432 1
96 1432 1
177 1432 1
97 1432 1
178 1432 1
179 1432 1
180 1433 1
181 1433 1
14 1433 1
123 1433 1
182 1433 1
183 1433 1
184 1433 1
26 1433 1
185 1433 1
139 1433 1
186 1433 1
34 1433 1
5 1433 1
187 1433 1
82 1433 1
13 1433 1
188 1433 1
189 1433 1
24 1433 1
190 1433 1
191 1433 1
98 1433 1
101 1433 1
192 1433 1
193 1433 1
194 1433 1
195 1433 1
196 1433 1
171 1433 1
197 1433 1
198 1433 1
199 1433 1
131 1433 1
200 1433 1
31 1433 1
201 1433 1
141 1433 1
32 1433 1
202 1433 1
203 1433 1
204 1433 1
35 1433 1
205 1433 1
206 1433 1
154 1433 1
207 1433 1
208 1433 1
156 1433 1
209 1433 1
210 1433 1
211 1433 1
212 1433 1
0 1433 1
213 1433 1
108 1433 1
214 1433 1
215 1434 1
135 1434 1
216 1434 1
217 1434 1
165 1434 1
100 1434 1
218 1434 1
219 1434 1
23 1434 1
63 1434 1
141 1434 1
142 1434 1
202 1434 1
220 1434 1
221 1434 1
4 1434 1
175 1434 1
222 1434 1
223 1434 1
97 1434 1
224 1434 1
162 1435 1
225 1435 1
226 1435 1
164 1436 1
227 1436 1
228 1436 1
226 1436 1
229 1437 1
164 1437 1
230 1437 1
231 1437 1
12 1438 1
124 1438 1
172 1438 1
173 1438 1
134 1438 1
139 1438 1
186 1438 1
232 1438 1
233 1438 1
234 1438 1
235 1438 1
99 1438 1
106 1438 1
236 1438 1
237 1438 1
110 1438 1
238 1438 1
239 1438 1
240 1438 1
199 1438 1
227 1438 1
131 1438 1
241 1438 1
140 1438 1
174 1438 1
32 1438 1
112 1438 1
242 1438 1
149 1438 1
175 1438 1
243 1438 1
244 1438 1
209 1438 1
245 1438 1
246 1438 1
247 1438 1
248 1438 1
249 1438 1
250 1438 1
167 1438 1
251 1438 1
252 1439 1
253 1439 1
254 1439 1
14 1440 1
255 1440 1
256 1440 1
257 1440 1
258 1440 1
259 1440 1
260 1440 1
261 1440 1
262 1440 1
101 1440 1
263 1440 1
194 1440 1
264 1440 1
179 1440 1
265 1440 1
266 1440 1
267 1440 1
47 1440 1
110 1440 1
268 1440 1
269 1440 1
270 1440 1
271 1440 1
272 1440 1
63 1440 1
273 1440 1
32 1440 1
69 1440 1
72 1440 1
150 1440 1
247 1440 1
28 1440 1
95 1440 1
274 1440 1
275 1440 1
276 1440 1
277 1440 1
46 1441 1
255 1441 1
278 1441 1
279 1441 1
280 1441 1
281 1441 1
282 1441 1
139 1441 1
283 1441 1
186 1441 1
216 1441 1
5 1441 1
232 1441 1
284 1441 1
115 1441 1
22 1441 1
285 1441 1
286 1441 1
287 1441 1
96 1441 1
288 1441 1
164 1441 1
289 1441 1
237 1441 1
290 1441 1
199 1441 1
291 1441 1
292 1441 1
201 1441 1
69 1441 1
293 1441 1
4 1441 1
294 1441 1
228 1441 1
78 1441 1
154 1441 1
295 1441 1
296 1441 1
208 1441 1
297 1441 1
298 1441 1
27 1441 1
88 1441 1
249 1441 1
250 1441 1
299 1441 1
275 1441 1
226 1441 1
169 1441 1
252 1442 1
143 1442 1
232 1442 1
261 1442 1
194 1442 1
110 1442 1
72 1442 1
300 1442 1
86 1442 1
90 1442 1
231 1442 1
301 1443 1
110 1443 1
302 1444 1
14 1445 1
184 1445 1
137 1445 1
303 1445 1
74 1445 1
304 1445 1
305 1445 1
188 1445 1
306 1445 1
98 1445 1
166 1445 1
307 1445 1
290 1445 1
125 1445 1
294 1445 1
308 1445 1
309 1445 1
310 1445 1
275 1445 1
226 1445 1
311 1446 1
312 1446 1
256 1446 1
313 1446 1
314 1446 1
315 1446 1
316 1446 1
317 1446 1
318 1446 1
261 1446 1
319 1446 1
320 1446 1
99 1446 1
263 1446 1
194 1446 1
321 1446 1
267 1446 1
47 1446 1
322 1446 1
323 1446 1
324 1446 1
325 1446 1
326 1446 1
327 1446 1
328 1446 1
329 1446 1
330 1446 1
83 1446 1
331 1446 1
250 1446 1
162 1446 1
94 1446 1
332 1446 1
333 1446 1
299 1446 1
275 1446 1
334 1446 1
335 1446 1
277 1446 1
108 1446 1
336 1447 1
183 1447 1
75 1447 1
337 1447 1
80 1447 1
114 1447 1
285 1447 1
338 1447 1
339 1447 1
320 1447 1
218 1447 1
340 1447 1
170 1447 1
341 1447 1
44 1447 1
342 1447 1
204 1447 1
69 1447 1
113 1447 1
235 1448 1
110 1448 1
272 1448 1
32 1448 1
343 1448 1
168 1448 1
344 1449 1
345 1449 1
346 1449 1
123 1449 1
347 1449 1
348 1449 1
349 1449 1
278 1449 1
350 1449 1
351 1449 1
352 1449 1
129 1449 1
283 1449 1
353 1449 1
186 1449 1
144 1449 1
354 1449 1
82 1449 1
233 1449 1
234 1449 1
355 1449 1
189 1449 1
356 1449 1
285 1449 1
24 1449 1
357 1449 1
358 1449 1
190 1449 1
338 1449 1
261 1449 1
287 1449 1
359 1449 1
30 1449 1
96 1449 1
320 1449 1
360 1449 1
340 1449 1
361 1449 1
362 1449 1
363 1449 1
364 1449 1
321 1449 1
365 1449 1
366 1449 1
325 1449 1
367 1449 1
326 1449 1
368 1449 1
369 1449 1
227 1449 1
370 1449 1
371 1449 1
272 1449 1
133 1449 1
372 1449 1
140 1449 1
373 1449 1
374 1449 1
203 1449 1
375 1449 1
376 1449 1
221 1449 1
377 1449 1
378 1449 1
379 1449 1
380 1449 1
381 1449 1
151 1449 1
382 1449 1
383 1449 1
384 1449 1
385 1449 1
154 1449 1
156 1449 1
244 1449 1
209 1449 1
386 1449 1
27 1449 1
247 1449 1
248 1449 1
387 1449 1
211 1449 1
253 1449 1
97 1449 1
224 1449 1
388 1449 1
167 1449 1
168 1449 1
389 1449 1
169 1449 1
311 1450 1
313 1450 1
390 1450 1
184 1450 1
391 1450 1
10 1450 1
188 1450 1
195 1450 1
392 1450 1
393 1450 1
206 1450 1
11 1450 1
394 1450 1
122 1451 1
336 1451 1
135 1451 1
139 1451 1
186 1451 1
143 1451 1
395 1451 1
396 1451 1
397 1451 1
288 1451 1
63 1451 1
200 1451 1
398 1451 1
88 1451 1
28 1451 1
161 1451 1
0 1451 1
399 1452 1
400 1452 1
9 1452 1
305 1452 1
401 1452 1
18 1452 1
402 1452 1
403 1452 1
404 1453 1
405 1453 1
406 1453 1
407 1453 1
164 1453 1
1 1453 1
408 1453 1
131 1453 1
148 1453 1
116 1453 1
88 1453 1
409 1453 1
410 1454 1
34 1454 1
188 1454 1
338 1454 1
320 1454 1
411 1454 1
412 1454 1
413 1454 1
414 1454 1
415 1454 1
113 1454 1
46 1455 1
17 1455 1
259 1455 1
114 1455 1
319 1455 1
288 1455 1
55 1455 1
416 1456 1
180 1456 1
14 1456 1
313 1456 1
390 1456 1
17 1456 1
417 1456 1
418 1456 1
336 1456 1
137 1456 1
66 1456 1
419 1456 1
420 1456 1
34 1456 1
303 1456 1
37 1456 1
400 1456 1
77 1456 1
5 1456 1
232 1456 1
284 1456 1
82 1456 1
421 1456 1
422 1456 1
114 1456 1
423 1456 1
424 1456 1
20 1456 1
425 1456 1
22 1456 1
426 1456 1
427 1456 1
357 1456 1
191 1456 1
30 1456 1
288 1456 1
320 1456 1
99 1456 1
165 1456 1
195 1456 1
428 1456 1
401 1456 1
6 1456 1
267 1456 1
47 1456 1
8 1456 1
197 1456 1
323 1456 1
120 1456 1
52 1456 1
429 1456 1
239 1456 1
430 1456 1
19 1456 1
431 1456 1
371 1456 1
432 1456 1
433 1456 1
29 1456 1
242 1456 1
69 1456 1
434 1456 1
41 1456 1
35 1456 1
435 1456 1
376 1456 1
436 1456 1
343 1456 1
147 1456 1
206 1456 1
113 1456 1
153 1456 1
2 1456 1
437 1456 1
331 1456 1
402 1456 1
28 1456 1
0 1456 1
438 1456 1
439 1456 1
104 1456 1
33 1456 1
440 1456 1
441 1456 1
169 1456 1
277 1456 1
40 1456 1
416 1457 1
279 1457 1
115 1457 1
360 1457 1
442 1457 1
273 1457 1
374 1457 1
443 1457 1
379 1457 1
156 1457 1
163 1457 1
180 1458 1
444 1458 1
255 1458 1
417 1458 1
445 1458 1
446 1458 1
410 1458 1
447 1458 1
448 1458 1
449 1458 1
450 1458 1
34 1458 1
451 1458 1
229 1458 1
232 1458 1
452 1458 1
453 1458 1
10 1458 1
421 1458 1
454 1458 1
455 1458 1
115 1458 1
20 1458 1
425 1458 1
456 1458 1
24 1458 1
357 1458 1
457 1458 1
287 1458 1
458 1458 1
30 1458 1
263 1458 1
236 1458 1
459 1458 1
460 1458 1
6 1458 1
8 1458 1
461 1458 1
462 1458 1
463 1458 1
431 1458 1
368 1458 1
370 1458 1
371 1458 1
61 1458 1
132 1458 1
433 1458 1
31 1458 1
464 1458 1
377 1458 1
78 1458 1
206 1458 1
113 1458 1
11 1458 1
116 1458 1
465 1458 1
27 1458 1
92 1458 1
466 1458 1
438 1458 1
33 1458 1
467 1458 1
213 1458 1
468 1458 1
469 1458 1
470 1458 1
7 1459 1
180 1459 1
124 1459 1
172 1459 1
58 1459 1
410 1459 1
447 1459 1
448 1459 1
282 1459 1
471 1459 1
257 1459 1
316 1459 1
259 1459 1
13 1459 1
188 1459 1
422 1459 1
24 1459 1
338 1459 1
261 1459 1
472 1459 1
473 1459 1
237 1459 1
264 1459 1
460 1459 1
365 1459 1
474 1459 1
47 1459 1
475 1459 1
125 1459 1
272 1459 1
476 1459 1
140 1459 1
174 1459 1
142 1459 1
443 1459 1
375 1459 1
242 1459 1
209 1459 1
331 1459 1
210 1459 1
250 1459 1
477 1459 1
478 1459 1
479 1459 1
168 1459 1
469 1459 1
118 1460 1
366 1460 1
415 1460 1
379 1460 1
48 1461 1
347 1461 1
57 1461 1
216 1461 1
115 1461 1
457 1461 1
480 1461 1
360 1461 1
442 1461 1
366 1461 1
481 1461 1
482 1461 1
141 1461 1
373 1461 1
374 1461 1
202 1461 1
443 1461 1
112 1461 1
145 1461 1
4 1461 1
379 1461 1
148 1461 1
381 1461 1
156 1461 1
27 1461 1
483 1461 1
163 1461 1
251 1461 1
252 1462 1
235 1462 1
101 1462 1
361 1462 1
242 1462 1
296 1462 1
484 1462 1
315 1463 1
232 1463 1
485 1463 1
401 1463 1
486 1463 1
140 1463 1
487 1463 1
488 1463 1
402 1463 1
477 1463 1
57 1464 1
26 1464 1
4 1464 1
78 1464 1
489 1464 1
180 1465 1
14 1465 1
261 1465 1
101 1465 1
194 1465 1
31 1465 1
35 1465 1
490 1465 1
491 1465 1
332 1465 1
277 1465 1
492 1465 1
172 1466 1
246 1466 1
127 1467 1
493 1467 1
216 1467 1
110 1467 1
41 1467 1
145 1467 1
378 1467 1
494 1467 1
88 1467 1
495 1467 1
108 1467 1
416 1468 1
496 1468 1
48 1468 1
497 1468 1
278 1468 1
498 1468 1
183 1468 1
410 1468 1
499 1468 1
283 1468 1
353 1468 1
70 1468 1
34 1468 1
144 1468 1
