5432 55566
0 223 1
1 223 1
2 223 1
3 223 1
4 223 1
5 223 1
6 224 1
7 225 1
8 225 1
9 225 1
10 225 1
11 225 1
12 225 1
13 225 1
14 225 1
15 226 1
16 226 1
7 227 1
17 227 1
18 227 1
19 227 1
20 227 1
21 227 1
22 227 1
7 228 1
15 228 1
23 228 1
24 229 1
6 229 1
25 229 1
26 229 1
27 229 1
28 229 1
29 229 1
30 229 1
31 229 1
32 229 1
33 229 1
34 229 1
35 229 1
36 229 1
37 229 1
38 229 1
39 229 1
40 229 1
41 229 1
42 229 1
43 229 1
44 229 1
45 229 1
46 229 1
47 229 1
48 229 1
49 229 1
3 229 1
50 229 1
51 229 1
9 230 1
52 231 1
22 231 1
53 231 1
54 231 1
27 232 1
28 232 1
35 232 1
37 232 1
55 232 1
41 232 1
0 232 1
56 232 1
43 232 1
54 232 1
1 233 1
6 233 1
35 233 1
57 233 1
39 233 1
58 233 1
7 233 1
15 233 1
0 233 1
23 233 1
59 233 1
45 233 1
13 233 1
60 233 1
61 233 1
62 233 1
63 233 1
64 233 1
65 233 1
66 234 1
67 235 1
31 235 1
68 235 1
36 235 1
69 235 1
70 235 1
38 235 1
40 235 1
71 235 1
72 235 1
8 235 1
15 235 1
73 235 1
10 235 1
13 235 1
4 235 1
74 235 1
75 235 1
24 236 1
6 236 1
25 236 1
26 236 1
27 236 1
28 236 1
76 236 1
77 236 1
30 236 1
31 236 1
78 236 1
79 236 1
33 236 1
35 236 1
36 236 1
55 236 1
39 236 1
80 236 1
58 236 1
41 236 1
0 236 1
81 236 1
59 236 1
82 236 1
43 236 1
44 236 1
83 236 1
18 236 1
45 236 1
48 236 1
21 236 1
63 236 1
64 236 1
65 236 1
84 236 1
75 236 1
54 236 1
24 237 1
66 237 1
30 237 1
79 237 1
33 237 1
70 237 1
40 237 1
15 237 1
10 237 1
15 238 1
25 239 1
29 239 1
85 239 1
86 239 1
35 239 1
41 239 1
87 239 1
0 239 1
43 239 1
83 239 1
45 239 1
88 239 1
89 239 1
21 239 1
65 239 1
75 239 1
54 239 1
90 240 1
91 240 1
92 240 1
27 240 1
76 240 1
31 240 1
93 240 1
94 240 1
32 240 1
95 240 1
37 240 1
55 240 1
70 240 1
38 240 1
39 240 1
80 240 1
40 240 1
41 240 1
72 240 1
8 240 1
96 240 1
97 240 1
98 240 1
56 240 1
99 240 1
43 240 1
44 240 1
100 240 1
12 240 1
13 240 1
101 240 1
102 240 1
21 240 1
64 240 1
22 240 1
14 240 1
65 240 1
103 240 1
84 240 1
75 240 1
104 240 1
105 240 1
28 241 1
95 241 1
20 241 1
106 242 1
69 242 1
80 242 1
15 242 1
24 243 1
52 243 1
107 243 1
32 243 1
57 243 1
70 243 1
39 243 1
81 243 1
108 243 1
18 243 1
45 243 1
60 243 1
3 243 1
90 244 1
91 244 1
109 244 1
27 244 1
29 244 1
43 244 1
44 244 1
4 245 1
110 246 1
95 246 1
86 246 1
44 246 1
95 247 1
7 247 1
45 247 1
68 248 1
6 249 1
91 249 1
52 249 1
109 249 1
111 249 1
110 249 1
11 249 1
2 249 1
38 249 1
72 249 1
8 249 1
97 249 1
5 249 1
112 249 1
13 249 1
113 249 1
102 249 1
3 249 1
21 249 1
4 249 1
65 249 1
95 250 1
33 251 1
2 251 1
67 252 1
106 252 1
9 252 1
68 252 1
95 252 1
70 252 1
58 252 1
8 252 1
23 252 1
20 252 1
101 252 1
102 252 1
