5152 44152
0 193 1
1 193 1
2 193 1
3 193 1
4 193 1
5 193 1
6 194 1
7 194 1
8 194 1
9 194 1
10 194 1
11 194 1
12 194 1
13 194 1
14 195 1
6 196 1
15 196 1
16 196 1
17 196 1
18 196 1
19 196 1
20 196 1
6 197 1
14 197 1
21 197 1
22 198 1
23 198 1
24 198 1
25 198 1
3 198 1
8 199 1
26 200 1
20 200 1
27 200 1
28 200 1
22 201 1
0 201 1
28 201 1
1 202 1
29 202 1
30 202 1
31 202 1
6 202 1
14 202 1
0 202 1
21 202 1
25 202 1
12 202 1
32 202 1
33 202 1
34 202 1
35 202 1
36 202 1
37 202 1
38 203 1
39 204 1
40 204 1
41 204 1
24 204 1
42 204 1
43 204 1
7 204 1
14 204 1
44 204 1
9 204 1
45 204 1
12 204 1
4 204 1
46 204 1
47 204 1
22 205 1
23 205 1
48 205 1
31 205 1
0 205 1
49 205 1
50 205 1
16 205 1
25 205 1
19 205 1
35 205 1
36 205 1
37 205 1
51 205 1
47 205 1
28 205 1
38 206 1
23 206 1
41 206 1
24 206 1
14 206 1
9 206 1
14 207 1
52 208 1
53 208 1
54 208 1
0 208 1
50 208 1
25 208 1
55 208 1
56 208 1
19 208 1
37 208 1
47 208 1
28 208 1
57 209 1
58 209 1
59 209 1
60 209 1
61 209 1
62 209 1
63 209 1
41 209 1
24 209 1
43 209 1
7 209 1
64 209 1
65 209 1
66 209 1
67 209 1
68 209 1
11 209 1
12 209 1
69 209 1
70 209 1
19 209 1
36 209 1
20 209 1
13 209 1
37 209 1
71 209 1
51 209 1
47 209 1
72 209 1
22 210 1
63 210 1
18 210 1
14 211 1
26 212 1
30 212 1
41 212 1
73 212 1
16 212 1
25 212 1
32 212 1
3 212 1
57 213 1
58 213 1
74 213 1
75 213 1
60 213 1
76 213 1
77 213 1
78 213 1
79 213 1
40 214 1
78 214 1
4 214 1
80 215 1
63 215 1
53 215 1
63 216 1
6 216 1
25 216 1
58 217 1
26 217 1
74 217 1
60 217 1
81 217 1
48 217 1
80 217 1
10 217 1
2 217 1
82 217 1
77 217 1
78 217 1
43 217 1
7 217 1
65 217 1
5 217 1
83 217 1
79 217 1
12 217 1
84 217 1
70 217 1
3 217 1
19 217 1
4 217 1
37 217 1
63 218 1
2 219 1
77 219 1
39 220 1
8 220 1
63 220 1
41 220 1
85 220 1
31 220 1
7 220 1
21 220 1
18 220 1
69 220 1
70 220 1
19 220 1
34 220 1
36 220 1
37 220 1
86 220 1
87 221 1
38 222 1
8 222 1
88 222 1
34 222 1
25 223 1
63 224 1
41 224 1
24 224 1
69 224 1
71 224 1
89 224 1
34 225 1
26 226 1
14 226 1
90 226 1
22 227 1
50 227 1
1 228 1
49 228 1
25 228 1
28 228 1
22 228 1
91 228 1
2 228 1
18 228 1
69 228 1
60 229 1
56 229 1
20 229 1
26 229 1
41 229 1
5 229 1
67 229 1
6 230 1
14 230 1
1 231 1
56 231 1
17 231 1
23 231 1
19 231 1
51 231 1
57 232 1
92 232 1
76 232 1
77 232 1
6 232 1
7 232 1
87 232 1
93 232 1
16 232 1
12 232 1
33 232 1
17 232 1
34 232 1
36 232 1
13 232 1
47 232 1
94 232 1
23 232 1
39 232 1
8 232 1
91 232 1
95 232 1
41 232 1
96 232 1
24 232 1
65 232 1
97 232 1
66 232 1
83 232 1
50 232 1
11 232 1
98 232 1
55 232 1
18 232 1
99 232 1
71 232 1
51 232 1
100 232 1
89 232 1
26 233 1
81 234 1
12 234 1
47 234 1
8 234 1
6 235 1
14 235 1
9 235 1
60 236 1
81 236 1
6 236 1
101 236 1
22 236 1
23 236 1
8 236 1
43 236 1
89 236 1
60 237 1
10 237 1
40 237 1
78 237 1
6 237 1
4 237 1
58 237 1
3 237 1
16 238 1
56 238 1
17 238 1
39 238 1
18 238 1
30 239 1
9 239 1
102 240 1
60 240 1
81 240 1
48 240 1
40 240 1
63 240 1
76 240 1
77 240 1
78 240 1
6 240 1
87 240 1
103 240 1
25 240 1
17 240 1
4 240 1
58 240 1
26 240 1
39 240 1
104 240 1
29 240 1
2 240 1
85 240 1
65 240 1
105 240 1
5 240 1
66 240 1
106 240 1
18 240 1
70 240 1
3 240 1
46 240 1
100 240 1
8 241 1
18 241 1
49 242 1
14 242 1
0 242 1
4 243 1
26 243 1
2 243 1
5 243 1
3 243 1
6 244 1
7 244 1
65 244 1
34 245 1
35 245 1
8 245 1
34 246 1
14 246 1
21 247 1
25 247 1
1 248 1
49 248 1
56 248 1
22 248 1
23 248 1
41 248 1
14 248 1
0 248 1
107 248 1
89 248 1
60 249 1
40 249 1
108 249 1
17 249 1
47 249 1
26 249 1
39 249 1
67 249 1
101 250 1
47 250 1
43 250 1
14 250 1
9 250 1
109 250 1
25 251 1
1 252 1
39 252 1
9 252 1
25 253 1
110 254 1
60 254 1
40 254 1
77 254 1
44 254 1
4 254 1
20 254 1
58 254 1
26 254 1
67 254 1
79 254 1
3 254 1
65 255 1
9 256 1
53 257 1
48 258 1
22 258 1
80 259 1
19 259 1
40 260 1
4 260 1
2 260 1
3 260 1
20 261 1
52 262 1
40 262 1
6 262 1
108 262 1
93 262 1
16 262 1
25 262 1
56 262 1
12 262 1
36 262 1
20 262 1
27 262 1
86 262 1
47 262 1
39 262 1
29 262 1
53 262 1
43 262 1
88 262 1
63 263 1
1 264 1
111 264 1
49 264 1
25 264 1
34 264 1
22 264 1
8 264 1
14 264 1
0 264 1
56 265 1
28 265 1
22 265 1
23 265 1
41 265 1
0 265 1
107 265 1
19 265 1
6 266 1
56 266 1
13 266 1
47 266 1
57 267 1
112 267 1
40 267 1
76 267 1
77 267 1
78 267 1
44 267 1
4 267 1
58 267 1
26 267 1
2 267 1
5 267 1
45 267 1
49 268 1
52 269 1
21 269 1
47 269 1
14 269 1
9 269 1
49 270 1
49 271 1
28 271 1
76 272 1
78 272 1
58 272 1
8 272 1
3 272 1
19 272 1
22 273 1
23 273 1
41 273 1
0 273 1
113 274 1
18 274 1
69 274 1
63 275 1
43 275 1
19 275 1
57 276 1
60 276 1
77 276 1
103 276 1
26 276 1
2 276 1
64 276 1
5 276 1
79 276 1
3 276 1
61 277 1
78 278 1
1 279 1
52 279 1
114 279 1
30 279 1
7 279 1
87 279 1
115 279 1
93 279 1
21 279 1
49 279 1
16 279 1
12 279 1
32 279 1
33 279 1
34 279 1
36 279 1
27 279 1
47 279 1
28 279 1
38 279 1
22 279 1
23 279 1
8 279 1
24 279 1
43 279 1
14 279 1
0 279 1
11 279 1
89 279 1
16 280 1
17 280 1
57 281 1
112 281 1
110 281 1
75 281 1
48 281 1
40 281 1
116 281 1
76 281 1
77 281 1
78 281 1
44 281 1
4 281 1
58 281 1
85 281 1
106 281 1
45 281 1
79 281 1
111 282 1
12 283 1
34 284 1
86 284 1
38 284 1
14 284 1
9 284 1
99 284 1
49 285 1
28 285 1
22 285 1
23 285 1
80 285 1
24 285 1
14 285 1
0 285 1
69 285 1
71 285 1
89 285 1
56 286 1
41 286 1
