5538 58705
0 260 1
1 260 1
2 260 1
3 260 1
4 260 1
5 260 1
6 260 1
7 260 1
8 261 1
9 261 1
10 261 1
11 261 1
12 261 1
13 261 1
14 262 1
15 262 1
16 262 1
17 262 1
18 262 1
19 262 1
20 262 1
21 262 1
22 262 1
23 263 1
24 263 1
25 263 1
3 263 1
4 263 1
26 263 1
27 263 1
28 263 1
29 263 1
30 263 1
31 263 1
1 263 1
14 264 1
32 264 1
33 264 1
34 264 1
35 264 1
36 264 1
37 264 1
14 265 1
23 265 1
38 265 1
39 266 1
40 266 1
41 266 1
42 266 1
43 266 1
44 266 1
1 266 1
45 266 1
46 266 1
6 266 1
2 266 1
24 266 1
47 266 1
48 266 1
3 266 1
49 266 1
4 266 1
50 266 1
51 266 1
52 266 1
53 266 1
54 266 1
11 266 1
30 266 1
55 266 1
16 267 1
37 268 1
56 268 1
57 268 1
39 269 1
8 269 1
57 269 1
9 270 1
58 270 1
59 270 1
14 270 1
23 270 1
8 270 1
60 270 1
38 270 1
34 270 1
54 270 1
20 270 1
61 270 1
62 270 1
63 270 1
64 270 1
65 270 1
66 270 1
67 271 1
66 271 1
68 272 1
69 272 1
46 272 1
70 272 1
71 272 1
15 272 1
23 272 1
72 272 1
17 272 1
20 272 1
12 272 1
73 272 1
74 272 1
25 273 1
40 273 1
41 273 1
75 273 1
42 273 1
76 273 1
44 273 1
5 273 1
6 273 1
59 273 1
7 273 1
48 273 1
8 273 1
3 273 1
77 273 1
78 273 1
33 273 1
54 273 1
36 273 1
63 273 1
64 273 1
65 273 1
66 273 1
79 273 1
74 273 1
57 273 1
67 274 1
40 274 1
80 274 1
41 274 1
42 274 1
44 274 1
69 274 1
46 274 1
6 274 1
7 274 1
23 274 1
17 274 1
66 274 1
23 275 1
66 276 1
81 277 1
82 277 1
83 277 1
8 277 1
4 277 1
78 277 1
54 277 1
84 277 1
85 277 1
36 277 1
65 277 1
74 277 1
57 277 1
86 278 1
87 278 1
88 278 1
0 278 1
89 278 1
90 278 1
76 278 1
69 278 1
46 278 1
71 278 1
15 278 1
91 278 1
92 278 1
93 278 1
94 278 1
95 278 1
19 278 1
20 278 1
96 278 1
97 278 1
36 278 1
64 278 1
37 278 1
21 278 1
65 278 1
98 278 1
79 278 1
74 278 1
99 278 1
100 279 1
23 280 1
58 281 1
101 281 1
69 281 1
102 281 1
3 281 1
103 281 1
33 281 1
54 281 1
61 281 1
11 281 1
30 281 1
86 282 1
87 282 1
104 282 1
105 283 1
53 283 1
12 283 1
106 284 1
82 284 1
39 285 1
41 285 1
43 285 1
105 285 1
14 285 1
51 285 1
54 285 1
107 286 1
30 286 1
87 287 1
104 287 1
108 287 1
109 287 1
106 287 1
18 287 1
110 287 1
111 287 1
10 287 1
1 287 1
71 287 1
15 287 1
92 287 1
13 287 1
112 287 1
113 287 1
114 287 1
20 287 1
115 287 1
97 287 1
11 287 1
30 287 1
36 287 1
12 287 1
65 287 1
102 288 1
116 289 1
41 289 1
42 289 1
117 289 1
43 289 1
110 289 1
118 289 1
10 289 1
1 289 1
45 289 1
7 289 1
119 289 1
2 289 1
24 289 1
120 289 1
121 289 1
49 289 1
51 289 1
53 289 1
122 289 1
68 290 1
41 290 1
16 290 1
69 290 1
59 290 1
15 290 1
123 290 1
38 290 1
96 290 1
97 290 1
122 290 1
36 290 1
64 290 1
65 290 1
124 290 1
107 291 1
53 291 1
30 291 1
25 292 1
44 292 1
3 292 1
125 292 1
30 292 1
67 293 1
16 293 1
126 293 1
117 294 1
113 294 1
54 294 1
25 295 1
69 296 1
46 296 1
96 296 1
98 296 1
127 296 1
66 297 1
39 298 1
80 298 1
75 298 1
128 298 1
6 298 1
23 298 1
24 298 1
129 298 1
28 298 1
130 298 1
131 299 1
128 299 1
1 299 1
119 299 1
3 299 1
100 299 1
4 299 1
113 299 1
53 299 1
78 299 1
132 299 1
9 300 1
39 300 1
41 300 1
75 300 1
42 300 1
117 300 1
133 300 1
105 300 1
44 300 1
1 300 1
5 300 1
123 300 1
77 300 1
4 300 1
53 300 1
54 300 1
129 300 1
66 300 1
57 300 1
80 300 1
134 300 1
10 300 1
135 300 1
6 300 1
7 300 1
3 300 1
136 300 1
49 300 1
51 300 1
52 300 1
96 300 1
0 301 1
5 301 1
4 301 1
85 301 1
37 301 1
66 301 1
69 301 1
13 301 1
94 301 1
39 302 1
14 302 1
23 302 1
107 303 1
9 304 1
85 304 1
35 304 1
40 304 1
36 304 1
79 304 1
86 305 1
0 305 1
41 305 1
137 305 1
42 305 1
117 305 1
133 305 1
105 305 1
44 305 1
1 305 1
5 305 1
14 305 1
15 305 1
125 305 1
138 305 1
60 305 1
4 305 1
50 305 1
33 305 1
20 305 1
62 305 1
35 305 1
64 305 1
21 305 1
66 305 1
74 305 1
139 305 1
25 305 1
116 305 1
40 305 1
80 305 1
68 305 1
16 305 1
140 305 1
134 305 1
26 305 1
141 305 1
76 305 1
142 305 1
69 305 1
31 305 1
143 305 1
46 305 1
6 305 1
7 305 1
24 305 1
47 305 1
48 305 1
92 305 1
144 305 1
3 305 1
93 305 1
100 305 1
114 305 1
78 305 1
19 305 1
28 305 1
145 305 1
84 305 1
146 305 1
30 305 1
98 305 1
22 305 1
79 305 1
147 305 1
127 305 1
43 306 1
109 307 1
20 307 1
74 307 1
16 307 1
39 308 1
0 308 1
14 308 1
23 308 1
17 308 1
0 309 1
109 309 1
41 309 1
43 309 1
101 309 1
14 309 1
148 309 1
116 309 1
40 309 1
16 309 1
76 309 1
6 309 1
71 309 1
136 309 1
127 309 1
0 310 1
18 310 1
43 310 1
131 310 1
105 310 1
1 310 1
119 310 1
14 310 1
2 310 1
120 310 1
53 310 1
12 310 1
87 310 1
108 310 1
149 310 1
118 310 1
31 310 1
150 310 1
113 310 1
51 310 1
151 310 1
122 310 1
11 310 1
30 310 1
152 310 1
33 311 1
85 311 1
35 311 1
68 311 1
58 312 1
17 312 1
153 313 1
109 313 1
43 313 1
14 313 1
123 313 1
125 313 1
154 313 1
53 313 1
54 313 1
35 313 1
12 313 1
87 313 1
68 313 1
155 313 1
26 313 1
156 313 1
149 313 1
10 313 1
7 313 1
92 313 1
157 313 1
136 313 1
13 313 1
49 313 1
93 313 1
52 313 1
97 313 1
122 313 1
11 313 1
30 313 1
73 313 1
147 313 1
16 314 1
158 315 1
117 316 1
101 316 1
77 316 1
23 316 1
8 316 1
39 317 1
