5372 54896
0 244 1
1 244 1
2 244 1
3 244 1
4 244 1
5 244 1
6 245 1
7 245 1
8 245 1
9 245 1
10 245 1
11 245 1
12 245 1
13 245 1
14 245 1
15 245 1
16 246 1
6 247 1
17 247 1
18 247 1
19 247 1
20 247 1
21 247 1
22 247 1
6 248 1
16 248 1
23 248 1
24 249 1
25 249 1
26 249 1
27 249 1
3 249 1
28 250 1
9 250 1
21 251 1
29 251 1
30 251 1
22 252 1
0 252 1
31 252 1
32 252 1
30 252 1
22 253 1
1 254 1
33 254 1
34 254 1
35 254 1
36 254 1
37 254 1
38 254 1
39 254 1
6 254 1
16 254 1
0 254 1
32 254 1
23 254 1
27 254 1
40 254 1
13 254 1
41 254 1
42 254 1
43 254 1
44 254 1
45 254 1
46 255 1
24 255 1
47 256 1
48 256 1
49 256 1
50 256 1
51 256 1
26 256 1
52 256 1
53 256 1
7 256 1
16 256 1
54 256 1
10 256 1
13 256 1
4 256 1
55 256 1
56 256 1
25 257 1
28 257 1
22 257 1
38 257 1
0 257 1
31 257 1
57 257 1
58 257 1
18 257 1
27 257 1
20 257 1
43 257 1
44 257 1
45 257 1
59 257 1
56 257 1
30 257 1
46 258 1
25 258 1
50 258 1
26 258 1
60 258 1
16 258 1
31 258 1
10 258 1
40 258 1
61 258 1
16 259 1
62 260 1
63 260 1
64 260 1
65 260 1
36 260 1
60 260 1
66 260 1
0 260 1
67 260 1
58 260 1
27 260 1
68 260 1
69 260 1
20 260 1
45 260 1
56 260 1
30 260 1
70 261 1
71 261 1
72 261 1
24 261 1
73 261 1
74 261 1
49 261 1
75 261 1
76 261 1
50 261 1
26 261 1
53 261 1
7 261 1
77 261 1
78 261 1
79 261 1
80 261 1
81 261 1
82 261 1
12 261 1
13 261 1
83 261 1
84 261 1
20 261 1
44 261 1
21 261 1
15 261 1
45 261 1
85 261 1
59 261 1
56 261 1
86 261 1
16 262 1
63 263 1
33 263 1
35 263 1
37 263 1
50 263 1
87 263 1
32 263 1
88 263 1
89 263 1
18 263 1
27 263 1
40 263 1
41 263 1
3 263 1
70 264 1
71 264 1
90 264 1
91 264 1
48 265 1
92 265 1
4 265 1
93 266 1
65 266 1
22 267 1
94 268 1
24 268 1
6 268 1
27 268 1
71 269 1
90 269 1
95 269 1
24 269 1
96 269 1
28 269 1
93 269 1
11 269 1
14 269 1
2 269 1
75 269 1
39 269 1
97 269 1
98 269 1
53 269 1
7 269 1
78 269 1
5 269 1
99 269 1
13 269 1
100 269 1
84 269 1
3 269 1
101 269 1
20 269 1
4 269 1
45 269 1
102 269 1
67 270 1
8 271 1
103 271 1
24 271 1
2 271 1
76 271 1
104 271 1
105 271 1
106 271 1
103 272 1
47 272 1
9 272 1
50 272 1
107 272 1
38 272 1
7 272 1
23 272 1
83 272 1
84 272 1
20 272 1
44 272 1
45 272 1
108 272 1
109 273 1
46 274 1
9 274 1
110 274 1
31 275 1
27 275 1
60 276 1
40 276 1
49 277 1
50 277 1
26 277 1
83 277 1
111 277 1
85 277 1
112 277 1
62 278 1
49 278 1
75 278 1
16 278 1
88 278 1
113 278 1
114 278 1
24 279 1
75 279 1
76 279 1
115 279 1
58 279 1
116 279 1
60 280 1
40 280 1
61 280 1
1 281 1
35 281 1
49 281 1
117 281 1
67 281 1
31 281 1
57 281 1
27 281 1
40 281 1
30 281 1
63 281 1
33 281 1
118 281 1
14 281 1
2 281 1
39 281 1
87 281 1
119 281 1
83 281 1
116 281 1
49 282 1
69 282 1
21 282 1
50 282 1
5 282 1
80 282 1
60 283 1
6 283 1
16 283 1
1 284 1
69 284 1
19 284 1
25 284 1
32 284 1
20 284 1
59 284 1
70 285 1
120 285 1
49 285 1
75 285 1
117 285 1
6 285 1
7 285 1
67 285 1
109 285 1
121 285 1
122 285 1
18 285 1
13 285 1
42 285 1
19 285 1
44 285 1
15 285 1
111 285 1
102 285 1
105 285 1
56 285 1
62 285 1
123 285 1
63 285 1
124 285 1
25 285 1
33 285 1
47 285 1
9 285 1
118 285 1
125 285 1
14 285 1
50 285 1
126 285 1
127 285 1
26 285 1
128 285 1
78 285 1
129 285 1
119 285 1
79 285 1
99 285 1
88 285 1
58 285 1
82 285 1
12 285 1
130 285 1
68 285 1
131 285 1
85 285 1
116 285 1
59 285 1
132 285 1
112 285 1
24 286 1
96 287 1
13 287 1
56 287 1
9 287 1
6 288 1
16 288 1
10 288 1
103 289 1
96 289 1
28 289 1
133 289 1
49 289 1
134 289 1
6 289 1
135 289 1
111 289 1
102 289 1
25 289 1
33 289 1
9 289 1
14 289 1
53 289 1
32 289 1
112 289 1
24 290 1
11 290 1
48 290 1
6 290 1
122 290 1
4 290 1
71 290 1
22 290 1
82 290 1
3 290 1
35 291 1
75 291 1
117 291 1
18 291 1
69 291 1
136 291 1
19 291 1
62 291 1
47 291 1
137 291 1
14 291 1
39 291 1
87 291 1
119 291 1
37 292 1
61 292 1
10 292 1
138 293 1
95 293 1
24 293 1
96 293 1
48 293 1
92 293 1
98 293 1
6 293 1
67 293 1
109 293 1
139 293 1
27 293 1
113 293 1
19 293 1
4 293 1
102 293 1
71 293 1
47 293 1
140 293 1
34 293 1
2 293 1
51 293 1
126 293 1
107 293 1
104 293 1
87 293 1
78 293 1
141 293 1
5 293 1
79 293 1
142 293 1
82 293 1
84 293 1
3 293 1
101 293 1
55 293 1
132 293 1
61 294 1
9 294 1
126 294 1
61 295 1
62 295 1
57 296 1
16 296 1
0 296 1
4 297 1
2 297 1
5 297 1
3 297 1
116 298 1
6 299 1
7 299 1
78 299 1
43 300 1
61 300 1
9 300 1
16 301 1
23 302 1
27 302 1
1 303 1
57 303 1
69 303 1
111 303 1
25 303 1
50 303 1
16 303 1
0 303 1
143 303 1
112 303 1
8 304 1
48 304 1
75 304 1
144 304 1
19 304 1
105 304 1
56 304 1
47 304 1
137 304 1
80 304 1
145 305 1
115 305 1
8 306 1
135 306 1
56 306 1
22 306 1
53 306 1
16 306 1
10 306 1
146 306 1
27 307 1
116 307 1
1 308 1
8 308 1
75 308 1
47 308 1
14 308 1
22 308 1
87 308 1
10 308 1
147 308 1
148 308 1
27 309 1
149 310 1
48 310 1
54 310 1
4 310 1
21 310 1
71 310 1
91 310 1
80 310 1
3 310 1
75 311 1
117 311 1
40 311 1
111 311 1
61 311 1
33 311 1
14 311 1
39 311 1
87 311 1
78 311 1
142 311 1
10 312 1
65 313 1
61 314 1
134 315 1
93 316 1
20 316 1
48 317 1
4 317 1
2 317 1
91 317 1
3 317 1
106 317 1
21 318 1
64 319 1
48 319 1
117 319 1
6 319 1
144 319 1
121 319 1
18 319 1
27 319 1
69 319 1
13 319 1
44 319 1
21 319 1
29 319 1
108 319 1
56 319 1
47 319 1
34 319 1
65 319 1
36 319 1
39 319 1
87 319 1
53 319 1
110 319 1
116 320 1
1 321 1
150 321 1
67 321 1
31 321 1
57 321 1
27 321 1
111 321 1
61 321 1
62 321 1
33 321 1
9 321 1
16 321 1
0 321 1
69 322 1
111 322 1
30 322 1
25 322 1
50 322 1
0 322 1
143 322 1
20 322 1
6 323 1
69 323 1
15 323 1
56 323 1
70 324 1
94 324 1
24 324 1
48 324 1
92 324 1
54 324 1
122 324 1
4 324 1
71 324 1
2 324 1
104 324 1
91 324 1
5 324 1
82 324 1
57 325 1
64 326 1
23 326 1
56 326 1
16 326 1
10 326 1
8 327 1
57 327 1
57 328 1
30 328 1
95 329 1
24 329 1
92 329 1
98 329 1
71 329 1
9 329 1
22 329 1
3 329 1
20 329 1
111 330 1
62 330 1
25 330 1
33 330 1
50 330 1
0 330 1
32 330 1
151 331 1
83 331 1
53 332 1
20 332 1
75 333 1
76 333 1
70 334 1
122 334 1
139 334 1
2 334 1
77 334 1
5 334 1
3 334 1
101 334 1
106 334 1
73 335 1
24 336 1
115 336 1
1 337 1
64 337 1
152 337 1
37 337 1
7 337 1
109 337 1
153 337 1
121 337 1
23 337 1
57 337 1
18 337 1
13 337 1
41 337 1
42 337 1
44 337 1
29 337 1
56 337 1
30 337 1
46 337 1
25 337 1
9 337 1
26 337 1
53 337 1
16 337 1
0 337 1
12 337 1
112 337 1
18 338 1
19 338 1
22 338 1
70 339 1
149 339 1
48 339 1
54 339 1
4 339 1
71 339 1
107 339 1
150 340 1
115 341 1
22 341 1
13 342 1
108 343 1
46 343 1
22 343 1
16 343 1
10 343 1
131 343 1
49 344 1
57 344 1
111 344 1
30 344 1
25 344 1
33 344 1
93 344 1
14 344 1
26 344 1
16 344 1
0 344 1
83 344 1
85 344 1
112 344 1
24 345 1
75 345 1
69 345 1
50 345 1
77 345 1
63 346 1
33 346 1
56 347 1
93 347 1
2 347 1
146 347 1
69 348 1
30 348 1
24 349 1
28 349 1
120 349 1
92 349 1
75 349 1
117 349 1
154 349 1
155 349 1
6 349 1
109 349 1
156 349 1
57 349 1
18 349 1
13 349 1
41 349 1
4 349 1
43 349 1
44 349 1
45 349 1
151 349 1
56 349 1
30 349 1
47 349 1
140 349 1
34 349 1
125 349 1
2 349 1
157 349 1
126 349 1
127 349 1
107 349 1
39 349 1
87 349 1
77 349 1
142 349 1
80 349 1
88 349 1
130 349 1
68 349 1
83 349 1
84 349 1
3 349 1
20 349 1
85 349 1
55 349 1
132 349 1
53 350 1
70 351 1
6 351 1
53 351 1
83 351 1
20 351 1
158 352 1
76 352 1
150 353 1
75 353 1
7 353 1
23 353 1
69 353 1
44 353 1
45 353 1
159 353 1
39 353 1
160 353 1
129 353 1
12 353 1
161 354 1
120 354 1
152 354 1
37 354 1
6 354 1
7 354 1
162 354 1
109 354 1
121 354 1
18 354 1
163 354 1
13 354 1
41 354 1
19 354 1
44 354 1
45 354 1
164 354 1
29 354 1
159 354 1
25 354 1
65 354 1
50 354 1
78 354 1
0 354 1
17 354 1
165 354 1
99 354 1
12 354 1
68 354 1
83 354 1
131 354 1
20 354 1
86 354 1
112 354 1
166 355 1
50 355 1
83 355 1
20 355 1
70 356 1
8 356 1
96 356 1
28 356 1
144 356 1
40 356 1
167 356 1
30 356 1
9 356 1
2 356 1
88 356 1
82 356 1
68 356 1
109 357 1
45 357 1
14 357 1
22 357 1
127 357 1
39 357 1
87 357 1
23 358 1
18 358 1
69 358 1
111 358 1
30 358 1
25 358 1
33 358 1
50 358 1
16 358 1
0 358 1
143 358 1
146 358 1
61 359 1
47 359 1
9 359 1
22 359 1
24 360 1
49 360 1
75 360 1
97 360 1
67 360 1
9 360 1
65 360 1
14 360 1
127 360 1
58 360 1
101 360 1
116 360 1
35 361 1
37 361 1
97 361 1
18 361 1
27 361 1
111 361 1
25 361 1
47 361 1
137 361 1
17 361 1
147 361 1
58 361 1
70 362 1
149 362 1
8 362 1
96 362 1
11 362 1
6 362 1
7 362 1
54 362 1
135 362 1
21 362 1
45 362 1
56 362 1
71 362 1
90 362 1
47 362 1
53 362 1
129 362 1
80 362 1
131 362 1
84 362 1
146 362 1
31 363 1
122 363 1
4 363 1
21 363 1
102 363 1
14 363 1
20 363 1
24 364 1
48 364 1
92 364 1
54 364 1
4 364 1
71 364 1
82 364 1
54 365 1
122 365 1
126 365 1
168 365 1
82 365 1
22 366 1
49 367 1
22 367 1
16 367 1
49 368 1
9 368 1
22 368 1
70 369 1
95 369 1
24 369 1
48 369 1
76 369 1
98 369 1
6 369 1
7 369 1
67 369 1
54 369 1
122 369 1
113 369 1
4 369 1
102 369 1
71 369 1
90 369 1
9 369 1
2 369 1
107 369 1
77 369 1
129 369 1
91 369 1
5 369 1
82 369 1
83 369 1
101 369 1
114 369 1
6 370 1
121 370 1
69 370 1
44 370 1
61 370 1
25 370 1
118 370 1
65 370 1
38 370 1
53 370 1
16 370 1
0 370 1
32 370 1
83 370 1
20 370 1
1 371 1
75 371 1
76 371 1
31 371 1
109 371 1
122 371 1
18 371 1
27 371 1
111 371 1
102 371 1
30 371 1
63 371 1
25 371 1
33 371 1
118 371 1
36 371 1
157 371 1
51 371 1
126 371 1
87 371 1
0 371 1
91 371 1
131 371 1
85 371 1
55 371 1
114 371 1
112 371 1
1 372 1
150 372 1
64 372 1
11 372 1
152 372 1
75 372 1
6 372 1
7 372 1
153 372 1
121 372 1
23 372 1
18 372 1
135 372 1
69 372 1
13 372 1
167 372 1
19 372 1
45 372 1
105 372 1
151 372 1
56 372 1
169 372 1
30 372 1
62 372 1
170 372 1
47 372 1
9 372 1
34 372 1
93 372 1
118 372 1
14 372 1
50 372 1
22 372 1
127 372 1
38 372 1
160 372 1
53 372 1
77 372 1
78 372 1
0 372 1
129 372 1
17 372 1
32 372 1
91 372 1
79 372 1
80 372 1
10 372 1
99 372 1
143 372 1
171 372 1
12 372 1
68 372 1
172 372 1
83 372 1
131 372 1
84 372 1
20 372 1
55 372 1
59 372 1
114 372 1
18 373 1
22 373 1
77 373 1
173 374 1
64 374 1
75 374 1
174 374 1
7 374 1
135 374 1
56 374 1
50 374 1
26 374 1
128 374 1
16 374 1
129 374 1
68 374 1
20 374 1
112 374 1
70 375 1
9 375 1
84 376 1
35 377 1
75 377 1
117 377 1
6 377 1
18 377 1
113 377 1
157 377 1
39 377 1
87 377 1
88 377 1
101 377 1
116 377 1
8 378 1
24 378 1
48 378 1
49 378 1
31 378 1
18 378 1
4 378 1
71 378 1
47 378 1
50 378 1
143 378 1
114 378 1
48 379 1
71 379 1
173 380 1
138 380 1
8 380 1
96 380 1
28 380 1
7 380 1
122 380 1
135 380 1
13 380 1
45 380 1
124 380 1
73 380 1
3 380 1
101 380 1
106 380 1
23 381 1
57 381 1
25 381 1
10 381 1
1 382 1
133 382 1
60 382 1
175 382 1
153 382 1
121 382 1
23 382 1
57 382 1
40 382 1
69 382 1
42 382 1
111 382 1
108 382 1
61 382 1
46 382 1
25 382 1
33 382 1
9 382 1
118 382 1
65 382 1
50 382 1
16 382 1
0 382 1
129 382 1
10 382 1
58 382 1
68 382 1
176 382 1
20 382 1
59 382 1
177 382 1
95 383 1
76 383 1
134 384 1
14 384 1
91 384 1
5 384 1
70 385 1
28 385 1
49 385 1
75 385 1
97 385 1
6 385 1
7 385 1
67 385 1
31 385 1
42 385 1
178 385 1
61 385 1
33 385 1
9 385 1
118 385 1
14 385 1
51 385 1
39 385 1
128 385 1
32 385 1
82 385 1
101 385 1
112 385 1
23 386 1
62 386 1
152 387 1
75 387 1
31 387 1
121 387 1
57 387 1
69 387 1
13 387 1
44 387 1
45 387 1
30 387 1
61 387 1
71 387 1
9 387 1
14 387 1
2 387 1
126 387 1
78 387 1
0 387 1
10 387 1
82 387 1
12 387 1
3 387 1
20 387 1
85 387 1
6 388 1
21 388 1
53 388 1
47 389 1
48 390 1
4 390 1
71 390 1
107 390 1
70 391 1
173 391 1
72 391 1
138 391 1
95 391 1
94 391 1
149 391 1
8 391 1
103 391 1
24 391 1
96 391 1
158 391 1
28 391 1
11 391 1
48 391 1
92 391 1
76 391 1
134 391 1
98 391 1
6 391 1
7 391 1
54 391 1
122 391 1
156 391 1
81 391 1
135 391 1
13 391 1
4 391 1
44 391 1
21 391 1
15 391 1
45 391 1
71 391 1
90 391 1
170 391 1
124 391 1
47 391 1
74 391 1
9 391 1
34 391 1
2 391 1
126 391 1
26 391 1
107 391 1
38 391 1
104 391 1
160 391 1
53 391 1
77 391 1
66 391 1
78 391 1
129 391 1
168 391 1
91 391 1
5 391 1
80 391 1
99 391 1
179 391 1
82 391 1
84 391 1
3 391 1
101 391 1
20 391 1
180 391 1
55 391 1
132 391 1
146 391 1
106 391 1
21 392 1
96 393 1
28 393 1
109 393 1
23 393 1
18 393 1
113 393 1
135 393 1
19 393 1
45 393 1
73 393 1
22 393 1
107 393 1
0 393 1
17 393 1
12 393 1
3 393 1
20 393 1
116 393 1
51 394 1
96 395 1
49 395 1
76 395 1
49 396 1
26 396 1
85 396 1
112 396 1
96 397 1
28 397 1
23 397 1
135 397 1
165 397 1
96 398 1
120 398 1
152 398 1
6 398 1
57 398 1
27 398 1
69 398 1
13 398 1
15 398 1
29 398 1
56 398 1
30 398 1
61 398 1
118 398 1
0 398 1
17 398 1
32 398 1
99 398 1
58 398 1
20 398 1
23 399 1
70 400 1
138 400 1
28 400 1
48 400 1
117 400 1
54 400 1
4 400 1
30 400 1
181 400 1
71 400 1
126 400 1
107 400 1
104 400 1
168 400 1
91 400 1
28 401 1
113 401 1
25 402 1
9 403 1
5 403 1
8 404 1
11 404 1
152 404 1
6 404 1
18 404 1
27 404 1
13 404 1
19 404 1
178 404 1
45 404 1
56 404 1
9 404 1
137 404 1
93 404 1
14 404 1
22 404 1
66 404 1
78 404 1
129 404 1
99 404 1
148 404 1
182 404 1
20 404 1
116 404 1
59 404 1
132 404 1
2 405 1
22 405 1
16 405 1
10 405 1
61 406 1
118 406 1
6 407 1
135 407 1
13 407 1
9 407 1
53 407 1
5 407 1
117 408 1
57 408 1
18 408 1
27 408 1
163 408 1
69 408 1
13 408 1
44 408 1
111 408 1
56 408 1
30 408 1
62 408 1
25 408 1
33 408 1
47 408 1
9 408 1
34 408 1
36 408 1
125 408 1
50 408 1
22 408 1
127 408 1
39 408 1
87 408 1
78 408 1
0 408 1
32 408 1
171 408 1
3 408 1
20 408 1
112 408 1
94 409 1
103 409 1
24 409 1
96 409 1
28 409 1
48 409 1
98 409 1
67 409 1
54 409 1
4 409 1
